,Open,High,Low,Close,Volume,TradingDate
0,9233.0,9776.0,8418.0,9016.0,367800,2009-07-09
1,9233.0,9233.0,8527.0,8853.0,195600,2009-07-10
2,8690.0,8690.0,8255.0,8310.0,46400,2009-07-13
3,8201.0,8201.0,7767.0,7767.0,87200,2009-07-14
4,7224.0,7984.0,7224.0,7658.0,254800,2009-07-15
5,8038.0,8147.0,7875.0,8147.0,145300,2009-07-16
6,8690.0,8690.0,8147.0,8473.0,128100,2009-07-17
7,8418.0,8418.0,7930.0,8038.0,92800,2009-07-20
8,8147.0,8147.0,7658.0,7984.0,83800,2009-07-21
9,8093.0,8093.0,7821.0,7930.0,50800,2009-07-22
10,7875.0,8387.0,7473.0,8011.0,181000,2009-07-23
11,8473.0,8636.0,8473.0,8636.0,767500,2009-07-24
12,9233.0,9233.0,8962.0,9233.0,973700,2009-07-27
13,9505.0,9722.0,8690.0,9016.0,323100,2009-07-28
14,8853.0,9233.0,8636.0,8907.0,205400,2009-07-29
15,8473.0,8690.0,8310.0,8527.0,204600,2009-07-30
16,8853.0,8962.0,8527.0,8690.0,252700,2009-07-31
17,8907.0,8907.0,8527.0,8636.0,150400,2009-08-03
18,8799.0,8853.0,8527.0,8636.0,195800,2009-08-04
19,8636.0,8690.0,8527.0,8581.0,195500,2009-08-05
20,8581.0,8636.0,8473.0,8527.0,247400,2009-08-06
21,8581.0,8636.0,8418.0,8527.0,87100,2009-08-07
22,8581.0,8581.0,8418.0,8527.0,265300,2009-08-10
23,8581.0,8690.0,8473.0,8527.0,248700,2009-08-11
24,8473.0,8799.0,8473.0,8799.0,731200,2009-08-12
25,9233.0,9396.0,8690.0,9016.0,280600,2009-08-13
26,8799.0,8799.0,8473.0,8581.0,114000,2009-08-14
27,8527.0,8962.0,8364.0,8473.0,147000,2009-08-17
28,8581.0,8962.0,8473.0,8853.0,594700,2009-08-18
29,8853.0,9179.0,8799.0,8962.0,362600,2009-08-19
30,8799.0,8962.0,8690.0,8744.0,183200,2009-08-20
31,8799.0,8907.0,8690.0,8799.0,211500,2009-08-21
32,8799.0,8799.0,8581.0,8690.0,267300,2009-08-24
33,8581.0,8636.0,8473.0,8527.0,306400,2009-08-25
34,8636.0,8690.0,8473.0,8581.0,179100,2009-08-26
35,8527.0,8581.0,8473.0,8527.0,164600,2009-08-27
36,8636.0,8688.0,8420.0,8527.0,373200,2009-08-28
37,8853.0,8962.0,8636.0,8744.0,414100,2009-08-31
38,8744.0,8799.0,8635.0,8744.0,161900,2009-09-01
39,8581.0,8690.0,8473.0,8581.0,180400,2009-09-03
40,8527.0,8636.0,8364.0,8473.0,272400,2009-09-04
41,8473.0,8473.0,8038.0,8201.0,221400,2009-09-07
42,8310.0,8418.0,8201.0,8310.0,187500,2009-09-08
43,8255.0,8473.0,8147.0,8310.0,242900,2009-09-09
44,8527.0,8527.0,8255.0,8418.0,175600,2009-09-10
45,8418.0,8636.0,8364.0,8473.0,180500,2009-09-11
46,8255.0,9016.0,8255.0,8907.0,1377300,2009-09-14
47,9505.0,9505.0,9070.0,9396.0,1187000,2009-09-15
48,9450.0,9668.0,8853.0,9124.0,354300,2009-09-16
49,9124.0,9179.0,8690.0,8799.0,394900,2009-09-17
50,8690.0,8853.0,8581.0,8744.0,358100,2009-09-18
51,8690.0,8853.0,8636.0,8744.0,556500,2009-09-21
52,8907.0,9070.0,8744.0,8853.0,448400,2009-09-22
53,9016.0,9016.0,8690.0,8799.0,512300,2009-09-23
54,8853.0,8853.0,8527.0,8636.0,527500,2009-09-24
55,8690.0,8690.0,8527.0,8636.0,437100,2009-09-25
56,8690.0,8799.0,8581.0,8744.0,905300,2009-09-28
57,8853.0,8962.0,8744.0,8799.0,397400,2009-09-29
58,8799.0,8907.0,8690.0,8799.0,590300,2009-09-30
59,8799.0,8962.0,8799.0,8853.0,705700,2009-10-01
60,8853.0,8962.0,8690.0,8799.0,560000,2009-10-02
61,8907.0,9016.0,8799.0,8962.0,476100,2009-10-05
62,8962.0,9450.0,8962.0,9179.0,669800,2009-10-06
63,9396.0,9776.0,9233.0,9722.0,1027700,2009-10-07
64,10374.0,10374.0,9885.0,10211.0,1472900,2009-10-08
