,Open,High,Low,Close,Volume,TradingDate
0,11168.0,20941.0,10470.0,13332.0,23700,2010-04-29
1,14240.0,14240.0,12425.0,12495.0,83900,2010-05-04
2,12495.0,12564.0,12215.0,12495.0,115500,2010-05-05
3,13367.0,13367.0,13367.0,13367.0,93400,2010-05-06
4,14275.0,14275.0,14135.0,14275.0,114200,2010-05-07
5,15252.0,15252.0,15252.0,15252.0,181500,2010-05-10
6,16299.0,16299.0,16299.0,16299.0,415900,2010-05-11
7,17416.0,17416.0,16229.0,16822.0,102900,2010-05-12
8,15740.0,16054.0,15671.0,15671.0,99600,2010-05-13
9,14589.0,16752.0,14589.0,14589.0,89800,2010-05-14
10,13576.0,15566.0,13576.0,13856.0,194700,2010-05-17
11,12948.0,12948.0,12913.0,12913.0,40600,2010-05-18
12,12041.0,12913.0,12041.0,12390.0,309200,2010-05-19
13,11587.0,13227.0,11552.0,11971.0,82300,2010-05-20
14,11133.0,11133.0,11133.0,11133.0,9100,2010-05-21
15,10505.0,11901.0,10366.0,11622.0,89900,2010-05-24
16,12425.0,12425.0,12250.0,12425.0,46200,2010-05-25
17,13262.0,13262.0,12913.0,13262.0,137800,2010-05-26
18,13891.0,13891.0,12390.0,13158.0,70300,2010-05-27
19,13262.0,14065.0,13088.0,13960.0,312600,2010-05-28
20,13960.0,13960.0,12983.0,13297.0,21500,2010-05-31
21,13297.0,13297.0,12390.0,12425.0,188400,2010-06-01
22,12041.0,13262.0,12041.0,12878.0,205500,2010-06-02
23,13751.0,13751.0,12564.0,13227.0,99200,2010-06-03
24,13227.0,13437.0,12739.0,13088.0,115000,2010-06-04
25,12739.0,12739.0,12180.0,12285.0,55700,2010-06-07
26,11448.0,13123.0,11448.0,12669.0,289800,2010-06-08
27,13542.0,13542.0,13437.0,13542.0,629600,2010-06-09
28,14135.0,14135.0,13227.0,13472.0,201500,2010-06-10
29,13786.0,13960.0,13088.0,13542.0,151800,2010-06-11
30,13262.0,13611.0,13088.0,13437.0,127800,2010-06-14
31,13262.0,14344.0,13088.0,13716.0,625500,2010-06-15
32,14275.0,14589.0,13716.0,14100.0,361300,2010-06-16
33,14170.0,14309.0,13262.0,13716.0,118700,2010-06-17
34,13681.0,13786.0,13507.0,13646.0,104800,2010-06-18
35,13681.0,13786.0,13437.0,13611.0,194600,2010-06-21
36,13681.0,14100.0,13437.0,13646.0,267900,2010-06-22
37,13611.0,13716.0,13367.0,13611.0,131900,2010-06-23
38,13786.0,14554.0,13786.0,14449.0,488500,2010-06-24
39,14135.0,14658.0,13751.0,14205.0,151500,2010-06-25
40,13891.0,13960.0,13332.0,13542.0,134000,2010-06-28
41,13262.0,13611.0,13262.0,13402.0,89200,2010-06-29
42,13262.0,13262.0,12564.0,12844.0,90300,2010-06-30
43,12739.0,13681.0,12739.0,13437.0,217400,2010-07-01
44,13507.0,13960.0,13262.0,13646.0,178500,2010-07-02
45,13786.0,14589.0,13786.0,14414.0,493700,2010-07-05
46,15391.0,15391.0,15356.0,15391.0,545300,2010-07-06
47,16438.0,16438.0,16020.0,16369.0,310700,2010-07-07
48,17485.0,17485.0,16752.0,17346.0,277100,2010-07-08
49,17311.0,17311.0,16159.0,16229.0,94800,2010-07-09
50,15112.0,15985.0,15112.0,15182.0,404800,2010-07-12
51,15705.0,16020.0,15252.0,15566.0,222600,2010-07-13
52,15705.0,15705.0,14658.0,14938.0,379500,2010-07-14
53,15322.0,15322.0,13925.0,14205.0,323900,2010-07-15
54,13960.0,14658.0,13891.0,14205.0,267300,2010-07-16
55,14205.0,15182.0,14205.0,15042.0,180000,2010-07-19
56,15077.0,15182.0,14065.0,14344.0,153000,2010-07-20
57,13716.0,13821.0,13367.0,13576.0,231300,2010-07-21
58,13611.0,14240.0,13576.0,13786.0,170400,2010-07-22
59,13960.0,14135.0,13472.0,13646.0,92800,2010-07-23
60,13611.0,13611.0,12983.0,13262.0,166700,2010-07-26
61,13158.0,13262.0,12774.0,12948.0,101400,2010-07-27
62,12774.0,12774.0,12215.0,12320.0,125600,2010-07-28
63,12215.0,12844.0,12215.0,12529.0,99200,2010-07-29
64,12669.0,13053.0,12564.0,12913.0,97600,2010-07-30
65,13088.0,13088.0,12460.0,12599.0,42900,2010-08-02
66,12704.0,12878.0,12146.0,12355.0,58900,2010-08-03
67,12041.0,12041.0,11622.0,11727.0,111400,2010-08-04
68,11936.0,12215.0,11622.0,11797.0,85600,2010-08-05
69,11866.0,11866.0,11029.0,11273.0,96200,2010-08-06
70,11099.0,11099.0,10505.0,10610.0,72100,2010-08-09
71,10296.0,10470.0,9877.0,9947.0,29100,2010-08-10
72,9423.0,10121.0,9319.0,9633.0,82300,2010-08-11
73,9249.0,9249.0,8970.0,9004.0,55800,2010-08-12
74,8376.0,9074.0,8376.0,8586.0,240700,2010-08-13
75,8132.0,9179.0,8132.0,9144.0,85900,2010-08-16
76,9249.0,9423.0,8725.0,9109.0,144500,2010-08-17
77,9353.0,9353.0,8935.0,9039.0,93600,2010-08-18
78,8970.0,9668.0,8970.0,9633.0,252900,2010-08-19
79,9772.0,9807.0,9144.0,9284.0,92200,2010-08-20
80,9074.0,9249.0,8900.0,9004.0,97300,2010-08-23
81,8760.0,8760.0,8376.0,8481.0,70600,2010-08-24
82,7923.0,8027.0,7888.0,7888.0,114400,2010-08-25
83,7364.0,8027.0,7364.0,7539.0,89200,2010-08-26
84,7190.0,7539.0,7015.0,7085.0,120400,2010-08-27
85,6980.0,7574.0,6980.0,7574.0,82300,2010-08-30
86,7888.0,8097.0,7678.0,8062.0,108500,2010-08-31
87,8376.0,8621.0,8062.0,8481.0,197900,2010-09-01
88,9074.0,9074.0,9074.0,9074.0,56700,2010-09-06
89,9668.0,9668.0,8690.0,8900.0,127600,2010-09-07
90,8306.0,8830.0,8306.0,8446.0,256400,2010-09-08
91,8690.0,9004.0,8690.0,8970.0,142000,2010-09-09
92,9493.0,9493.0,8411.0,8935.0,176100,2010-09-10
93,8376.0,8411.0,8341.0,8341.0,79600,2010-09-13
94,8551.0,8690.0,8272.0,8411.0,70900,2010-09-14
95,8586.0,8586.0,7853.0,8062.0,49300,2010-09-15
96,7678.0,8097.0,7678.0,7853.0,29500,2010-09-16
97,8306.0,8376.0,7992.0,8272.0,62300,2010-09-17
98,8795.0,8830.0,8272.0,8481.0,40000,2010-09-20
99,8376.0,8376.0,7992.0,8132.0,45000,2010-09-21
100,8306.0,8306.0,7853.0,7923.0,15400,2010-09-22
101,8027.0,8202.0,7504.0,7748.0,60200,2010-09-23
102,7818.0,8027.0,7748.0,7853.0,19700,2010-09-24
103,8167.0,8167.0,7783.0,7888.0,20200,2010-09-27
104,8202.0,8202.0,7888.0,7992.0,25300,2010-09-28
105,7713.0,7992.0,7574.0,7678.0,22900,2010-09-29
106,7539.0,7783.0,7434.0,7539.0,36400,2010-09-30
107,7853.0,7853.0,7364.0,7434.0,27400,2010-10-01
108,7155.0,7155.0,6945.0,7015.0,75000,2010-10-04
109,6980.0,7504.0,6980.0,7294.0,24400,2010-10-05
110,7678.0,7678.0,7329.0,7469.0,13200,2010-10-06
111,7678.0,7678.0,7085.0,7190.0,19900,2010-10-07
112,6980.0,7120.0,6806.0,6875.0,74400,2010-10-08
113,6980.0,7120.0,6841.0,6945.0,19900,2010-10-11
114,6806.0,6806.0,6596.0,6666.0,32500,2010-10-12
115,6736.0,6771.0,6492.0,6701.0,34700,2010-10-13
116,6806.0,6910.0,6631.0,6771.0,33200,2010-10-14
117,6771.0,6771.0,6492.0,6631.0,1400,2010-10-15
118,6841.0,6910.0,6631.0,6736.0,7700,2010-10-18
119,6631.0,6631.0,6282.0,6317.0,70000,2010-10-19
120,6038.0,6038.0,5898.0,5898.0,64500,2010-10-20
121,5514.0,5898.0,5514.0,5619.0,25400,2010-10-21
