,Open,High,Low,Close,Volume,TradingDate
0,18371.0,18371.0,14986.0,14986.0,11760,2010-10-20
1,14986.0,14986.0,14986.0,14986.0,1000,2010-10-21
2,15712.0,15712.0,15712.0,15712.0,2800,2010-10-22
3,16437.0,16437.0,15953.0,16437.0,1530,2010-10-25
4,15615.0,16824.0,15615.0,16437.0,130,2010-10-26
5,15615.0,15615.0,15615.0,15615.0,600,2010-10-27
6,14841.0,14841.0,14841.0,14841.0,670,2010-10-28
7,14116.0,14503.0,14116.0,14116.0,30,2010-10-29
8,14116.0,14503.0,14116.0,14503.0,3500,2010-11-01
9,14358.0,14503.0,14358.0,14358.0,3080,2010-11-02
10,14455.0,14455.0,14310.0,14358.0,1970,2010-11-03
11,14310.0,14310.0,14261.0,14310.0,940,2010-11-04
12,14310.0,14310.0,14068.0,14213.0,24090,2010-11-05
13,14213.0,14213.0,14213.0,14213.0,5120,2010-11-08
14,14696.0,14696.0,13778.0,14696.0,20100,2010-11-09
15,14648.0,14648.0,14020.0,14455.0,18800,2010-11-10
16,13778.0,14455.0,13778.0,13923.0,16960,2010-11-11
17,14020.0,14020.0,13971.0,13971.0,10520,2010-11-12
18,13971.0,13971.0,13875.0,13875.0,12850,2010-11-15
19,14551.0,14551.0,13778.0,13923.0,15050,2010-11-16
20,13923.0,14503.0,13923.0,14020.0,15360,2010-11-17
21,14503.0,14503.0,14020.0,14310.0,14290,2010-11-18
22,14938.0,14938.0,14358.0,14358.0,15110,2010-11-19
23,14358.0,14455.0,13730.0,13730.0,13750,2010-11-22
24,14406.0,14406.0,13053.0,14358.0,13540,2010-11-23
25,14793.0,14793.0,13681.0,14406.0,13460,2010-11-24
26,14841.0,14841.0,14406.0,14745.0,15800,2010-11-25
27,14793.0,14793.0,14600.0,14648.0,15470,2010-11-26
28,13923.0,14745.0,13923.0,14745.0,17990,2010-11-29
29,15470.0,15470.0,14745.0,14890.0,18060,2010-11-30
30,15228.0,15228.0,14938.0,14986.0,21430,2010-12-01
31,14986.0,14986.0,14261.0,14455.0,17970,2010-12-02
32,14455.0,14938.0,13778.0,13778.0,33260,2010-12-03
33,14406.0,14455.0,13778.0,14455.0,25760,2010-12-06
34,15083.0,15083.0,13826.0,13826.0,15810,2010-12-07
35,14455.0,14455.0,13826.0,14261.0,13410,2010-12-08
36,14261.0,14261.0,14116.0,14165.0,17480,2010-12-09
37,14213.0,14503.0,14165.0,14503.0,26170,2010-12-10
38,15131.0,15228.0,14986.0,14986.0,215640,2010-12-13
39,15228.0,15228.0,14503.0,15228.0,378200,2010-12-14
40,15905.0,15905.0,14503.0,15857.0,233660,2010-12-15
41,15180.0,15228.0,15083.0,15180.0,180230,2010-12-16
42,15470.0,15905.0,14503.0,15905.0,193870,2010-12-17
43,16533.0,16678.0,15373.0,16678.0,46740,2010-12-20
44,16002.0,17355.0,15857.0,16678.0,782710,2010-12-21
45,17404.0,17404.0,16050.0,16050.0,735540,2010-12-22
46,16727.0,16727.0,15953.0,16727.0,671190,2010-12-23
47,16727.0,17549.0,16727.0,17549.0,697760,2010-12-24
48,18419.0,18419.0,17887.0,18419.0,279600,2010-12-27
49,18854.0,18854.0,18225.0,18322.0,175180,2010-12-28
50,18322.0,18322.0,17790.0,17839.0,460870,2010-12-29
51,17935.0,18709.0,17645.0,18709.0,527740,2010-12-30
52,18806.0,18999.0,18661.0,18661.0,275770,2010-12-31
53,18371.0,19482.0,18371.0,18661.0,136800,2011-01-04
54,18854.0,18854.0,17887.0,17935.0,244260,2011-01-05
55,17935.0,17935.0,17500.0,17935.0,217830,2011-01-06
56,18129.0,18467.0,18129.0,18371.0,498170,2011-01-07
57,18419.0,18419.0,17887.0,17887.0,108810,2011-01-10
58,17597.0,18225.0,17549.0,17597.0,132160,2011-01-11
59,17790.0,18371.0,17790.0,18322.0,211750,2011-01-12
60,18322.0,18661.0,18129.0,18467.0,171340,2011-01-13
61,18612.0,19386.0,18564.0,19386.0,395150,2011-01-14
62,19821.0,20353.0,19821.0,20353.0,380430,2011-01-17
63,21126.0,21368.0,20449.0,21368.0,659870,2011-01-18
64,21368.0,21706.0,20788.0,21271.0,196730,2011-01-19
65,21900.0,22335.0,21755.0,22335.0,466340,2011-01-20
66,23060.0,23060.0,22141.0,22286.0,222060,2011-01-21
67,21755.0,22721.0,21319.0,21368.0,214960,2011-01-24
68,21271.0,21803.0,20691.0,21174.0,552090,2011-01-25
69,21174.0,22190.0,21174.0,22190.0,259260,2011-01-26
70,22866.0,23205.0,22286.0,23205.0,400780,2011-01-27
71,23302.0,23688.0,23205.0,23495.0,297140,2011-01-28
72,23930.0,23930.0,23253.0,23253.0,125360,2011-02-08
73,23640.0,23640.0,22335.0,22335.0,260680,2011-02-09
74,22335.0,22335.0,22045.0,22190.0,165880,2011-02-10
75,22190.0,23253.0,21996.0,23157.0,205130,2011-02-11
76,22721.0,22770.0,22480.0,22576.0,118680,2011-02-14
77,22576.0,22576.0,21513.0,21851.0,170640,2011-02-15
78,21996.0,22673.0,21851.0,21996.0,251260,2011-02-16
79,21996.0,22093.0,21561.0,21755.0,115860,2011-02-17
80,21513.0,21561.0,20691.0,20739.0,273270,2011-02-18
81,19917.0,19917.0,19724.0,19724.0,190710,2011-02-21
82,18757.0,20208.0,18757.0,19192.0,551750,2011-02-22
83,19192.0,19966.0,19192.0,19192.0,192060,2011-02-23
84,18371.0,19096.0,18274.0,18371.0,186910,2011-02-24
85,19241.0,19241.0,18612.0,19241.0,272840,2011-02-25
86,19337.0,20063.0,19096.0,19096.0,231860,2011-02-28
87,19434.0,19434.0,18757.0,19096.0,63980,2011-03-01
88,18516.0,18854.0,18177.0,18177.0,148850,2011-03-02
89,17887.0,18177.0,17355.0,17887.0,211300,2011-03-03
90,17887.0,17984.0,17839.0,17887.0,121540,2011-03-04
91,18322.0,18371.0,17887.0,17887.0,53550,2011-03-07
92,17887.0,18129.0,17597.0,17887.0,110560,2011-03-08
93,17162.0,17645.0,17162.0,17645.0,120820,2011-03-09
94,17210.0,18516.0,17210.0,18516.0,103730,2011-03-10
95,19241.0,19337.0,18806.0,19289.0,124530,2011-03-11
96,18371.0,19531.0,18371.0,18371.0,90210,2011-03-14
97,17645.0,18371.0,17645.0,18080.0,112760,2011-03-15
98,18080.0,18612.0,17887.0,18371.0,137350,2011-03-16
99,18661.0,19096.0,18371.0,18612.0,195920,2011-03-17
100,18951.0,19096.0,18612.0,19096.0,231840,2011-03-18
101,19821.0,19821.0,18612.0,19144.0,315730,2011-03-21
102,19144.0,19144.0,18419.0,18419.0,89530,2011-03-22
103,18371.0,18757.0,18371.0,18419.0,125640,2011-03-23
104,18225.0,18516.0,17984.0,18177.0,194020,2011-03-24
105,17887.0,18322.0,17887.0,18032.0,137420,2011-03-25
106,17887.0,18032.0,17887.0,18032.0,119180,2011-03-28
107,17935.0,18032.0,17549.0,17984.0,144050,2011-03-29
108,17162.0,17887.0,17162.0,17887.0,78200,2011-03-30
109,17887.0,17887.0,17645.0,17887.0,72000,2011-03-31
110,17452.0,18177.0,17404.0,18177.0,122060,2011-04-01
111,18467.0,18757.0,17839.0,17839.0,91780,2011-04-04
112,18225.0,18225.0,17549.0,17790.0,87230,2011-04-05
113,17839.0,18661.0,17790.0,18661.0,222660,2011-04-06
114,18661.0,19337.0,18419.0,18709.0,177140,2011-04-07
115,18709.0,18709.0,18371.0,18709.0,130130,2011-04-08
116,18612.0,18709.0,18371.0,18612.0,79700,2011-04-13
117,18225.0,18612.0,18225.0,18467.0,94280,2011-04-14
118,18371.0,18467.0,18129.0,18129.0,79850,2011-04-15
119,17887.0,18129.0,17887.0,17887.0,154880,2011-04-18
120,17887.0,17887.0,17645.0,17839.0,85170,2011-04-19
121,17839.0,17887.0,17790.0,17839.0,75060,2011-04-20
122,17887.0,17887.0,17645.0,17790.0,87050,2011-04-21
123,17887.0,17887.0,17645.0,17645.0,62590,2011-04-22
124,17790.0,18516.0,17790.0,18516.0,169670,2011-04-25
125,18032.0,18612.0,18032.0,18177.0,182250,2011-04-26
126,18177.0,18371.0,17887.0,18274.0,172260,2011-04-27
127,18274.0,18854.0,18274.0,18419.0,201870,2011-04-28
128,18661.0,19337.0,18371.0,19047.0,260560,2011-04-29
129,18419.0,18854.0,18419.0,18709.0,322430,2011-05-04
130,17887.0,18757.0,17887.0,18612.0,144710,2011-05-05
131,18661.0,18806.0,18419.0,18564.0,80000,2011-05-06
132,18854.0,18854.0,18612.0,18661.0,165870,2011-05-09
133,18661.0,18709.0,18371.0,18564.0,73170,2011-05-10
134,18564.0,18564.0,18371.0,18516.0,116600,2011-05-11
135,18371.0,18516.0,18274.0,18371.0,46500,2011-05-12
136,18322.0,18564.0,18080.0,18371.0,256630,2011-05-13
137,18177.0,18322.0,18129.0,18129.0,54290,2011-05-16
138,17887.0,18322.0,17887.0,18032.0,54000,2011-05-17
139,18032.0,18032.0,17597.0,17742.0,138720,2011-05-18
140,17887.0,17887.0,16920.0,16920.0,174750,2011-05-19
141,16920.0,17404.0,16775.0,16920.0,252360,2011-05-20
142,16098.0,16775.0,16098.0,16098.0,9410,2011-05-23
143,15325.0,15325.0,15325.0,15325.0,17270,2011-05-24
144,14600.0,14600.0,14600.0,14600.0,3260,2011-05-25
145,13875.0,13875.0,13875.0,13875.0,5610,2011-05-26
146,13198.0,13923.0,13198.0,13198.0,173810,2011-05-27
147,13198.0,13198.0,12569.0,12569.0,42300,2011-05-30
148,11941.0,12473.0,11941.0,12328.0,285490,2011-05-31
149,11844.0,12908.0,11844.0,12908.0,49500,2011-06-01
150,13439.0,13536.0,13294.0,13536.0,133380,2011-06-02
151,13536.0,13536.0,12859.0,12859.0,85520,2011-06-03
152,12231.0,12231.0,12231.0,12231.0,110020,2011-06-06
153,12231.0,12811.0,11941.0,12328.0,96450,2011-06-07
154,12328.0,12328.0,11941.0,11941.0,29720,2011-06-08
155,11602.0,12521.0,11602.0,12328.0,62420,2011-06-09
156,12328.0,12908.0,12328.0,12569.0,83190,2011-06-10
157,12714.0,13101.0,12569.0,13101.0,120440,2011-06-13
158,13053.0,13730.0,12811.0,12811.0,232960,2011-06-14
159,12376.0,13004.0,12376.0,12714.0,124800,2011-06-15
160,12328.0,13053.0,12328.0,12763.0,10860,2011-06-16
161,12376.0,12908.0,12376.0,12376.0,28910,2011-06-17
162,12086.0,12183.0,11989.0,11989.0,81850,2011-06-20
163,12086.0,12569.0,12086.0,12569.0,32040,2011-06-21
164,13053.0,13198.0,12569.0,12811.0,83220,2011-06-22
165,12569.0,13391.0,12569.0,12811.0,156700,2011-06-23
166,12763.0,12811.0,12714.0,12811.0,39750,2011-06-24
167,12811.0,13149.0,12569.0,12569.0,62920,2011-06-27
168,12811.0,12811.0,11941.0,11941.0,74790,2011-06-28
169,11941.0,11941.0,11361.0,11361.0,76100,2011-06-29
170,10829.0,10829.0,10829.0,10829.0,31350,2011-06-30
171,10297.0,10297.0,10297.0,10297.0,15240,2011-07-01
172,9814.0,9814.0,9814.0,9814.0,94640,2011-07-04
173,9330.0,9330.0,9330.0,9330.0,19670,2011-07-05
174,8895.0,8895.0,8895.0,8895.0,2490,2011-07-06
175,8460.0,8460.0,8460.0,8460.0,5690,2011-07-07
176,8073.0,8073.0,8073.0,8073.0,14130,2011-07-08
177,7687.0,7735.0,7687.0,7687.0,812550,2011-07-11
178,7348.0,7348.0,7348.0,7348.0,149280,2011-07-12
179,7010.0,7010.0,7010.0,7010.0,136500,2011-07-13
180,6671.0,7010.0,6671.0,6671.0,486130,2011-07-14
181,6430.0,6865.0,6381.0,6865.0,1707780,2011-07-15
182,6865.0,6865.0,6526.0,6720.0,368680,2011-07-18
183,6768.0,6768.0,6430.0,6575.0,350510,2011-07-19
184,6430.0,6575.0,6381.0,6526.0,367500,2011-07-20
185,6381.0,6381.0,6236.0,6333.0,1230170,2011-07-21
186,6285.0,6333.0,6043.0,6043.0,176340,2011-07-22
187,5850.0,5898.0,5753.0,5753.0,281640,2011-07-25
