,Open,High,Low,Close,Volume,TradingDate
0,27125.0,28933.0,25075.0,27125.0,355730,2007-12-21
1,25859.0,26522.0,25799.0,25799.0,34120,2007-12-24
2,26461.0,26461.0,24532.0,26461.0,49070,2007-12-25
3,25615.0,26217.0,25313.0,26217.0,46290,2007-12-26
4,25798.0,25800.0,25317.0,25317.0,28280,2007-12-27
5,24228.0,24711.0,24048.0,24711.0,72840,2007-12-28
6,25009.0,25252.0,24710.0,25011.0,49060,2008-01-02
7,24711.0,24711.0,24229.0,24711.0,24090,2008-01-03
8,24711.0,24713.0,24411.0,24411.0,15400,2008-01-04
9,23505.0,23747.0,23205.0,23205.0,40940,2008-01-07
10,22605.0,23509.0,22605.0,22605.0,32120,2008-01-08
11,22601.0,22603.0,21518.0,21699.0,45440,2008-01-09
12,21574.0,21576.0,20611.0,20611.0,71740,2008-01-10
13,20610.0,21093.0,20490.0,21093.0,34790,2008-01-11
14,20188.0,20248.0,20068.0,20068.0,38190,2008-01-14
15,20068.0,20070.0,19105.0,19105.0,40470,2008-01-15
16,20011.0,20011.0,18384.0,20011.0,62200,2008-01-16
17,20974.0,20976.0,20011.0,20011.0,30330,2008-01-17
18,20012.0,20494.0,19891.0,20193.0,12400,2008-01-18
19,19590.0,20012.0,19349.0,19349.0,12850,2008-01-21
20,18561.0,18561.0,18380.0,18380.0,45650,2008-01-22
21,17480.0,17541.0,17480.0,17480.0,24410,2008-01-23
22,16999.0,18325.0,16999.0,16999.0,3220,2008-01-24
23,17418.0,17478.0,16574.0,17418.0,4700,2008-01-25
24,17239.0,17362.0,17000.0,17362.0,14950,2008-01-28
25,17717.0,18080.0,17478.0,18080.0,21330,2008-01-29
26,18986.0,18986.0,18986.0,18986.0,7910,2008-01-30
27,19891.0,19893.0,18988.0,19893.0,100630,2008-01-31
28,20793.0,20855.0,20674.0,20855.0,44040,2008-02-01
29,21639.0,21700.0,21097.0,21399.0,35750,2008-02-12
30,20374.0,21399.0,20374.0,20374.0,27830,2008-02-13
31,21094.0,21095.0,20493.0,20493.0,27240,2008-02-14
32,21036.0,21038.0,19893.0,19893.0,14370,2008-02-15
33,18924.0,19286.0,18924.0,18924.0,28210,2008-02-18
34,18204.0,18928.0,18084.0,18686.0,42030,2008-02-19
35,18684.0,18684.0,17780.0,17780.0,17960,2008-02-20
36,16937.0,16937.0,16937.0,16937.0,31320,2008-02-21
37,16572.0,17719.0,16092.0,16574.0,62030,2008-02-22
38,17362.0,17362.0,17362.0,17362.0,85230,2008-02-25
39,18017.0,18018.0,16512.0,16512.0,93030,2008-02-26
40,16876.0,17299.0,16334.0,17118.0,96020,2008-02-27
41,17478.0,17479.0,16695.0,16937.0,42630,2008-02-28
42,17187.0,17499.0,16937.0,16937.0,26380,2008-02-29
43,16624.0,16624.0,16124.0,16124.0,40790,2008-03-03
44,15374.0,15374.0,15374.0,15374.0,43750,2008-03-04
45,14624.0,14624.0,14624.0,14624.0,32100,2008-03-05
46,15312.0,15312.0,15312.0,15312.0,18480,2008-03-06
47,16062.0,16062.0,16062.0,16062.0,24270,2008-03-07
48,16812.0,16812.0,16812.0,16812.0,74060,2008-03-10
49,16249.0,16562.0,15999.0,15999.0,71400,2008-03-11
50,15812.0,16749.0,15812.0,16562.0,54920,2008-03-12
51,16812.0,17187.0,16562.0,16562.0,24710,2008-03-13
52,15999.0,16562.0,15999.0,16124.0,25750,2008-03-14
53,15437.0,15562.0,15374.0,15374.0,47300,2008-03-17
54,14624.0,14624.0,14624.0,14624.0,17830,2008-03-18
55,14624.0,15578.0,14624.0,14624.0,37290,2008-03-19
56,14687.0,14687.0,14062.0,14187.0,15460,2008-03-20
57,14374.0,14374.0,13499.0,13499.0,39340,2008-03-21
58,12874.0,12874.0,12874.0,12874.0,43240,2008-03-24
59,12249.0,12249.0,12249.0,12249.0,40710,2008-03-25
60,12749.0,12812.0,12749.0,12812.0,26760,2008-03-26
61,12937.0,12937.0,12937.0,12937.0,10,2008-03-27
62,13062.0,13062.0,13062.0,13062.0,20,2008-03-28
63,13187.0,13187.0,13187.0,13187.0,120,2008-03-31
64,13312.0,13312.0,13312.0,13312.0,120,2008-04-01
65,13437.0,13437.0,13437.0,13437.0,20,2008-04-02
66,13562.0,13562.0,13562.0,13562.0,150,2008-04-03
67,13687.0,13687.0,13687.0,13687.0,200,2008-04-04
68,13937.0,13937.0,13937.0,13937.0,6000,2008-04-07
69,14187.0,14187.0,13749.0,14187.0,83080,2008-04-08
70,13937.0,14312.0,13937.0,13937.0,24390,2008-04-09
71,13687.0,13687.0,13687.0,13687.0,27350,2008-04-10
72,13437.0,13437.0,13437.0,13437.0,45360,2008-04-11
73,13124.0,13124.0,13124.0,13124.0,5850,2008-04-16
74,12874.0,13374.0,12874.0,13374.0,21540,2008-04-17
75,13562.0,13562.0,13124.0,13124.0,9580,2008-04-18
76,12874.0,13374.0,12874.0,13374.0,32680,2008-04-21
77,13624.0,13624.0,13499.0,13624.0,36660,2008-04-22
78,13874.0,13874.0,13624.0,13874.0,70260,2008-04-23
79,14124.0,14124.0,13874.0,14124.0,43610,2008-04-24
80,14124.0,14374.0,14124.0,14374.0,25640,2008-04-25
81,14624.0,14624.0,14624.0,14624.0,2520,2008-04-28
82,14874.0,14874.0,14874.0,14874.0,3130,2008-04-29
83,15124.0,15124.0,14874.0,15124.0,38090,2008-05-05
84,15374.0,15374.0,15124.0,15374.0,102350,2008-05-06
85,15124.0,15124.0,15124.0,15124.0,4730,2008-05-07
86,14874.0,14874.0,14874.0,14874.0,32600,2008-05-08
87,14874.0,14874.0,14624.0,14624.0,370,2008-05-09
88,14374.0,14374.0,14374.0,14374.0,30,2008-05-12
89,14124.0,14124.0,14124.0,14124.0,10,2008-05-13
90,13874.0,13874.0,13874.0,13874.0,30,2008-05-14
91,13624.0,13624.0,13624.0,13624.0,2720,2008-05-15
92,13874.0,13874.0,13374.0,13374.0,126050,2008-05-16
93,13124.0,13124.0,13124.0,13124.0,17750,2008-05-19
94,13124.0,13124.0,12874.0,12874.0,2770,2008-05-20
95,12624.0,12624.0,12624.0,12624.0,510,2008-05-21
96,12374.0,12374.0,12374.0,12374.0,230,2008-05-22
97,12187.0,12187.0,12187.0,12187.0,4450,2008-05-23
98,11999.0,11999.0,11999.0,11999.0,4830,2008-05-26
99,11999.0,11999.0,11999.0,11999.0,4980,2008-05-30
100,11624.0,11624.0,11624.0,11624.0,10,2008-06-02
101,11437.0,11437.0,11437.0,11437.0,100,2008-06-03
102,11249.0,11249.0,11249.0,11249.0,10,2008-06-04
103,11062.0,11062.0,11062.0,11062.0,1010,2008-06-05
104,10874.0,10874.0,10874.0,10874.0,1000,2008-06-06
105,10687.0,10687.0,10687.0,10687.0,1320,2008-06-09
106,10499.0,10499.0,10499.0,10499.0,4020,2008-06-10
107,10312.0,10687.0,10312.0,10687.0,43720,2008-06-11
108,10874.0,10874.0,10499.0,10874.0,40980,2008-06-12
109,10937.0,11062.0,10687.0,11062.0,42520,2008-06-13
110,11249.0,11249.0,11249.0,11249.0,41170,2008-06-16
111,11437.0,11437.0,11437.0,11437.0,2730,2008-06-17
112,11437.0,11437.0,11249.0,11249.0,29240,2008-06-18
113,10937.0,10937.0,10937.0,10937.0,1200,2008-06-19
114,10937.0,10937.0,10624.0,10624.0,2350,2008-06-20
115,10562.0,10937.0,10562.0,10749.0,33930,2008-06-23
116,11062.0,11062.0,10999.0,11062.0,11500,2008-06-24
117,11374.0,11374.0,11374.0,11374.0,21250,2008-06-25
118,11312.0,11312.0,11062.0,11187.0,36200,2008-06-26
119,10874.0,11499.0,10874.0,11249.0,21120,2008-06-27
120,10999.0,11437.0,10937.0,11249.0,24440,2008-06-30
121,11562.0,11562.0,11562.0,11562.0,21680,2008-07-01
122,11874.0,11874.0,11562.0,11874.0,46310,2008-07-02
123,12187.0,12187.0,12187.0,12187.0,16200,2008-07-03
124,12499.0,12499.0,12499.0,12499.0,49040,2008-07-04
125,12874.0,12874.0,12124.0,12124.0,89050,2008-07-07
126,11812.0,12374.0,11812.0,12374.0,19560,2008-07-08
127,12687.0,12687.0,12499.0,12687.0,32810,2008-07-09
128,13062.0,13062.0,13062.0,13062.0,1290,2008-07-10
129,13437.0,13437.0,13437.0,13437.0,27600,2008-07-11
130,13812.0,13812.0,13812.0,13812.0,4180,2008-07-14
131,14187.0,14187.0,14187.0,14187.0,5200,2008-07-15
132,14562.0,14562.0,13812.0,14562.0,117230,2008-07-16
133,14937.0,14937.0,14937.0,14937.0,6030,2008-07-17
134,14937.0,15374.0,14562.0,14624.0,93050,2008-07-18
135,14187.0,14187.0,14187.0,14187.0,39000,2008-07-21
136,13812.0,13812.0,13812.0,13812.0,10,2008-07-22
137,13437.0,13437.0,13437.0,13437.0,510,2008-07-23
138,13062.0,13812.0,13062.0,13062.0,161770,2008-07-24
139,13437.0,13437.0,12687.0,13124.0,50520,2008-07-25
140,13499.0,13499.0,13499.0,13499.0,14920,2008-07-28
141,13874.0,13874.0,13874.0,13874.0,10,2008-07-29
142,14249.0,14249.0,13874.0,14249.0,161390,2008-07-30
143,14562.0,14624.0,14187.0,14624.0,89110,2008-07-31
144,15062.0,15062.0,15062.0,15062.0,8300,2008-08-01
145,15499.0,15499.0,15062.0,15187.0,123720,2008-08-04
146,14749.0,14749.0,14749.0,14749.0,7090,2008-08-05
147,15187.0,15187.0,14499.0,15187.0,132430,2008-08-06
148,15312.0,15312.0,14749.0,14749.0,57680,2008-08-07
149,14374.0,14374.0,14312.0,14312.0,56990,2008-08-08
150,14687.0,14687.0,14624.0,14687.0,117480,2008-08-11
151,15124.0,15124.0,14687.0,15124.0,96400,2008-08-12
152,15437.0,15437.0,14749.0,15374.0,84020,2008-08-13
153,15374.0,15812.0,15312.0,15812.0,136530,2008-08-14
154,16249.0,16249.0,16249.0,16249.0,8670,2008-08-15
155,16874.0,16874.0,16187.0,16687.0,106870,2008-08-18
156,15874.0,15937.0,15874.0,15874.0,37230,2008-08-19
157,15124.0,15562.0,15124.0,15124.0,114320,2008-08-20
158,15124.0,15874.0,15124.0,15874.0,124800,2008-08-21
159,15874.0,15874.0,15124.0,15124.0,56640,2008-08-22
160,15624.0,15874.0,15562.0,15874.0,205850,2008-08-25
161,16624.0,16624.0,16624.0,16624.0,118840,2008-08-26
162,16812.0,17249.0,15937.0,15937.0,142580,2008-08-27
163,15312.0,15499.0,15249.0,15249.0,36710,2008-08-28
164,14499.0,15187.0,14499.0,15124.0,39480,2008-08-29
165,15874.0,15874.0,15812.0,15874.0,87850,2008-09-03
166,15874.0,15937.0,15624.0,15812.0,38830,2008-09-04
167,15812.0,15812.0,15312.0,15624.0,27010,2008-09-05
168,14874.0,15624.0,14874.0,14999.0,47500,2008-09-08
169,15374.0,15624.0,14999.0,15312.0,18660,2008-09-09
170,15312.0,15312.0,14562.0,14999.0,43400,2008-09-10
171,14562.0,15312.0,14437.0,14437.0,69840,2008-09-11
172,13749.0,13874.0,13749.0,13749.0,32630,2008-09-12
173,13249.0,14437.0,13249.0,14062.0,39740,2008-09-15
174,13374.0,14062.0,13374.0,13374.0,22410,2008-09-16
175,12749.0,12749.0,12749.0,12749.0,12250,2008-09-17
176,12124.0,12124.0,12124.0,12124.0,3920,2008-09-18
177,12687.0,12687.0,12624.0,12687.0,28400,2008-09-19
178,13312.0,13312.0,13312.0,13312.0,1100,2008-09-22
179,12687.0,13312.0,12687.0,13124.0,21340,2008-09-23
180,12499.0,13124.0,12499.0,12499.0,13880,2008-09-24
181,12499.0,12812.0,12499.0,12812.0,8060,2008-09-25
182,13437.0,13437.0,12812.0,12812.0,20930,2008-09-26
183,12812.0,12812.0,12312.0,12499.0,20310,2008-09-29
184,11874.0,11874.0,11874.0,11874.0,900,2008-09-30
185,12437.0,12437.0,11749.0,11874.0,16280,2008-10-01
186,12437.0,12437.0,11874.0,12374.0,16560,2008-10-02
187,12124.0,12499.0,12062.0,12499.0,11410,2008-10-03
188,11874.0,12124.0,11874.0,12124.0,6410,2008-10-06
189,11562.0,11562.0,11562.0,11562.0,12830,2008-10-07
190,10999.0,11437.0,10999.0,11437.0,11510,2008-10-08
191,11437.0,11749.0,11249.0,11249.0,3320,2008-10-09
192,10687.0,11249.0,10687.0,10687.0,8460,2008-10-10
193,10312.0,10562.0,10187.0,10562.0,4660,2008-10-13
194,11062.0,11062.0,11062.0,11062.0,1300,2008-10-14
195,11437.0,11437.0,11124.0,11124.0,35350,2008-10-15
196,10624.0,10937.0,10624.0,10624.0,9950,2008-10-16
197,10562.0,10624.0,10562.0,10562.0,21990,2008-10-17
198,10312.0,10374.0,10249.0,10312.0,15250,2008-10-20
199,10124.0,10624.0,10124.0,10374.0,15390,2008-10-21
200,9937.0,10374.0,9937.0,9999.0,7560,2008-10-22
201,9499.0,9562.0,9499.0,9499.0,16600,2008-10-23
202,9062.0,9374.0,9062.0,9062.0,28550,2008-10-24
203,8625.0,8625.0,8625.0,8625.0,17760,2008-10-27
204,8250.0,8250.0,8250.0,8250.0,18920,2008-10-28
205,8625.0,8625.0,8125.0,8562.0,30880,2008-10-29
206,8187.0,8437.0,8187.0,8437.0,33860,2008-10-30
207,8500.0,8750.0,8437.0,8500.0,28600,2008-10-31
208,8625.0,8625.0,8250.0,8437.0,14660,2008-11-03
209,8187.0,8812.0,8187.0,8750.0,20100,2008-11-04
210,9187.0,9187.0,8750.0,9125.0,27540,2008-11-05
211,9125.0,9125.0,8687.0,8687.0,40630,2008-11-06
212,8312.0,8375.0,8312.0,8312.0,12540,2008-11-07
213,8312.0,8312.0,8000.0,8000.0,16740,2008-11-10
214,8250.0,8250.0,7812.0,7875.0,7750,2008-11-11
215,7500.0,7750.0,7500.0,7562.0,8700,2008-11-12
216,7562.0,7812.0,7562.0,7750.0,12870,2008-11-13
217,7562.0,7937.0,7562.0,7937.0,7950,2008-11-14
218,7937.0,8000.0,7812.0,8000.0,9680,2008-11-17
219,7687.0,8000.0,7687.0,7937.0,6510,2008-11-18
220,8000.0,8000.0,7875.0,7875.0,30940,2008-11-19
221,7875.0,7875.0,7625.0,7625.0,11710,2008-11-20
222,7437.0,7812.0,7437.0,7625.0,15700,2008-11-21
223,7875.0,7875.0,7875.0,7875.0,100,2008-11-24
224,7875.0,7875.0,7812.0,7812.0,9250,2008-11-25
225,8187.0,8187.0,8187.0,8187.0,36070,2008-11-26
226,8500.0,8500.0,8187.0,8437.0,18710,2008-11-27
227,8437.0,8625.0,8437.0,8562.0,26370,2008-11-28
228,8625.0,8625.0,8437.0,8437.0,14000,2008-12-01
229,8437.0,8437.0,8125.0,8187.0,43630,2008-12-02
230,7975.0,8116.0,7975.0,8116.0,6600,2008-12-03
231,8328.0,8399.0,8258.0,8328.0,8300,2008-12-04
232,8046.0,8046.0,7975.0,7975.0,7300,2008-12-05
233,7693.0,7764.0,7622.0,7622.0,3740,2008-12-08
234,7622.0,7622.0,7622.0,7622.0,1600,2008-12-09
235,7411.0,7481.0,7340.0,7340.0,3240,2008-12-10
236,7270.0,7552.0,7270.0,7552.0,700,2008-12-11
237,7411.0,7905.0,7411.0,7764.0,9910,2008-12-12
238,7764.0,7764.0,7552.0,7693.0,8760,2008-12-15
239,7340.0,7622.0,7340.0,7340.0,910,2008-12-16
240,7340.0,7411.0,7270.0,7411.0,4130,2008-12-17
241,7411.0,7411.0,7199.0,7411.0,3280,2008-12-18
242,7411.0,7411.0,7199.0,7411.0,8300,2008-12-19
243,7622.0,7622.0,7411.0,7411.0,5510,2008-12-22
244,7411.0,7411.0,7340.0,7411.0,930,2008-12-23
245,7411.0,7764.0,7411.0,7764.0,40300,2008-12-24
246,7764.0,7905.0,7552.0,7764.0,42840,2008-12-25
247,7693.0,8046.0,7693.0,7975.0,50360,2008-12-26
248,8328.0,8328.0,8116.0,8328.0,32480,2008-12-29
249,8187.0,8681.0,8187.0,8681.0,30840,2008-12-30
250,8681.0,8752.0,8258.0,8258.0,27060,2008-12-31
251,8258.0,8328.0,8116.0,8328.0,3110,2009-01-02
252,8328.0,8681.0,8328.0,8681.0,22020,2009-01-05
253,8681.0,9105.0,8681.0,9105.0,24310,2009-01-06
254,9105.0,9528.0,9105.0,9528.0,29600,2009-01-07
255,9387.0,9457.0,9175.0,9387.0,3200,2009-01-08
256,9175.0,9457.0,9175.0,9457.0,4250,2009-01-09
257,9105.0,9528.0,9105.0,9457.0,2520,2009-01-12
258,9457.0,9457.0,9034.0,9387.0,720,2009-01-13
259,9387.0,9387.0,8963.0,9387.0,2230,2009-01-14
260,9034.0,9034.0,9034.0,9034.0,3000,2009-01-15
261,9175.0,9175.0,8681.0,8822.0,5920,2009-01-16
262,8822.0,8822.0,8822.0,8822.0,10580,2009-01-19
263,8822.0,8963.0,8469.0,8469.0,5020,2009-01-20
264,8822.0,8822.0,8469.0,8752.0,1090,2009-01-21
265,9105.0,9105.0,8963.0,8963.0,360,2009-01-22
266,9034.0,9034.0,8963.0,9034.0,310,2009-01-23
267,8610.0,8681.0,8610.0,8610.0,1000,2009-02-02
268,8187.0,8822.0,8187.0,8187.0,2890,2009-02-03
269,8187.0,8187.0,7834.0,8187.0,3720,2009-02-04
270,7834.0,7834.0,7834.0,7834.0,6090,2009-02-05
271,7622.0,8187.0,7622.0,7834.0,2280,2009-02-06
272,7764.0,7905.0,7764.0,7834.0,1500,2009-02-09
273,7481.0,7693.0,7481.0,7693.0,3430,2009-02-10
274,7411.0,7552.0,7411.0,7411.0,4770,2009-02-11
275,7270.0,7411.0,7199.0,7270.0,6030,2009-02-12
276,7270.0,7481.0,6917.0,7481.0,6830,2009-02-13
277,7481.0,7552.0,7481.0,7552.0,3790,2009-02-16
278,7481.0,7834.0,7411.0,7481.0,3040,2009-02-17
279,7481.0,7481.0,7270.0,7340.0,3570,2009-02-18
280,7340.0,7340.0,7199.0,7199.0,1300,2009-02-19
281,6917.0,6917.0,6917.0,6917.0,2930,2009-02-20
282,6775.0,6917.0,6775.0,6917.0,2050,2009-02-23
283,6634.0,6775.0,6634.0,6634.0,3270,2009-02-24
284,6846.0,6846.0,6846.0,6846.0,1900,2009-02-25
285,6987.0,6987.0,6987.0,6987.0,2180,2009-02-26
286,7058.0,7058.0,7058.0,7058.0,1060,2009-02-27
287,6775.0,7058.0,6775.0,6846.0,1620,2009-03-02
288,6564.0,6705.0,6564.0,6634.0,7100,2009-03-03
289,6634.0,6634.0,6352.0,6352.0,6650,2009-03-04
290,6352.0,6634.0,6352.0,6634.0,14850,2009-03-05
291,6846.0,6846.0,6705.0,6775.0,12060,2009-03-06
292,6705.0,6846.0,6705.0,6846.0,2310,2009-03-09
293,6705.0,7128.0,6705.0,7058.0,7450,2009-03-10
294,7411.0,7411.0,7411.0,7411.0,9740,2009-03-11
295,7058.0,7199.0,7058.0,7058.0,5240,2009-03-12
296,7411.0,7411.0,7340.0,7411.0,35190,2009-03-13
297,7764.0,7764.0,7764.0,7764.0,9880,2009-03-16
298,8116.0,8116.0,8116.0,8116.0,7410,2009-03-17
299,8469.0,8469.0,8469.0,8469.0,9830,2009-03-18
300,8752.0,8893.0,8469.0,8469.0,50770,2009-03-19
301,8187.0,8469.0,8046.0,8046.0,27300,2009-03-20
302,7975.0,8258.0,7975.0,8116.0,6970,2009-03-23
303,8469.0,8469.0,8399.0,8469.0,33060,2009-03-24
