,Open,High,Low,Close,Volume,TradingDate
0,23511.0,26870.0,23511.0,25401.0,989350,2007-11-13
1,25611.0,26030.0,25191.0,25611.0,323550,2007-11-14
2,25821.0,25821.0,25191.0,25401.0,110380,2007-11-15
3,24351.0,25191.0,24141.0,24351.0,69590,2007-11-16
4,23931.0,23931.0,23301.0,23301.0,128600,2007-11-19
5,22252.0,22252.0,22252.0,22252.0,124510,2007-11-20
6,21202.0,21202.0,21202.0,21202.0,66220,2007-11-21
7,20992.0,22042.0,20782.0,21202.0,307810,2007-11-22
8,21412.0,21412.0,20992.0,21202.0,117930,2007-11-23
9,21412.0,21622.0,21202.0,21202.0,131840,2007-11-26
10,22042.0,22252.0,21832.0,22252.0,173630,2007-11-27
11,22252.0,22252.0,21412.0,21832.0,129050,2007-11-28
12,22042.0,22042.0,21832.0,21832.0,32300,2007-11-29
13,21832.0,22042.0,21622.0,21832.0,146220,2007-11-30
14,21832.0,21832.0,21622.0,21622.0,115750,2007-12-03
15,21832.0,21832.0,21412.0,21622.0,101940,2007-12-04
16,21412.0,21622.0,21412.0,21622.0,80410,2007-12-05
17,21412.0,21412.0,20992.0,21202.0,86110,2007-12-06
18,20572.0,21202.0,20572.0,20782.0,102640,2007-12-07
19,20782.0,20782.0,20153.0,20153.0,81510,2007-12-10
20,20153.0,20153.0,19145.0,19145.0,111790,2007-12-11
21,19313.0,19733.0,19313.0,19523.0,94610,2007-12-12
22,19733.0,19733.0,19313.0,19355.0,31540,2007-12-13
23,18893.0,19355.0,18893.0,18893.0,59950,2007-12-14
24,19103.0,19187.0,18893.0,18893.0,102050,2007-12-17
25,18893.0,18977.0,18263.0,18473.0,156700,2007-12-18
26,18893.0,19397.0,18893.0,19397.0,35100,2007-12-19
27,19733.0,19985.0,19313.0,19313.0,100600,2007-12-20
28,19649.0,19649.0,19313.0,19649.0,24860,2007-12-21
29,19649.0,19817.0,19523.0,19733.0,45410,2007-12-24
30,19313.0,19817.0,19313.0,19523.0,56300,2007-12-25
31,19733.0,19733.0,19523.0,19523.0,19470,2007-12-26
32,19523.0,19733.0,19439.0,19439.0,35080,2007-12-27
33,19481.0,19691.0,19313.0,19439.0,34050,2007-12-28
34,19313.0,19481.0,19313.0,19313.0,20130,2008-01-02
35,18683.0,18893.0,18557.0,18599.0,38080,2008-01-03
36,18473.0,18599.0,18473.0,18473.0,29970,2008-01-04
37,17927.0,17927.0,17634.0,17634.0,38220,2008-01-07
38,17634.0,17843.0,17382.0,17382.0,41160,2008-01-08
39,17004.0,17004.0,16794.0,16794.0,45410,2008-01-09
40,15954.0,16038.0,15954.0,15954.0,58250,2008-01-10
41,15534.0,16668.0,15618.0,16584.0,36600,2008-01-11
42,16374.0,16374.0,15786.0,15786.0,30090,2008-01-14
43,15072.0,15114.0,15031.0,15031.0,58230,2008-01-15
44,15576.0,15744.0,15114.0,15744.0,86890,2008-01-16
45,16374.0,16500.0,15114.0,15114.0,85970,2008-01-17
46,15114.0,15660.0,14695.0,15660.0,46130,2008-01-18
47,15660.0,15660.0,15534.0,15534.0,40150,2008-01-21
48,15114.0,15324.0,15114.0,15114.0,24800,2008-01-22
49,14695.0,14695.0,14359.0,14359.0,55740,2008-01-23
50,14359.0,14695.0,14275.0,14359.0,44020,2008-01-24
51,14695.0,14695.0,14065.0,14485.0,30340,2008-01-25
52,14485.0,14695.0,14317.0,14485.0,23400,2008-01-28
53,14569.0,15198.0,14485.0,15198.0,54340,2008-01-29
54,15954.0,15954.0,15954.0,15954.0,9600,2008-01-30
55,16374.0,16584.0,15744.0,16248.0,119560,2008-01-31
56,17004.0,17046.0,16794.0,17046.0,55840,2008-02-01
57,17760.0,17760.0,17004.0,17004.0,67780,2008-02-12
58,16584.0,16584.0,16206.0,16206.0,25510,2008-02-13
59,16668.0,16794.0,16668.0,16668.0,32360,2008-02-14
60,16668.0,16668.0,15996.0,16164.0,23320,2008-02-15
61,15450.0,15744.0,15366.0,15450.0,72510,2008-02-18
62,15156.0,15576.0,15114.0,15576.0,23060,2008-02-19
63,15198.0,15534.0,14905.0,14905.0,46110,2008-02-20
64,14191.0,14191.0,14191.0,14191.0,20520,2008-02-21
65,13645.0,13645.0,13519.0,13645.0,131560,2008-02-22
66,14275.0,14317.0,14275.0,14317.0,17200,2008-02-25
67,15031.0,15031.0,13855.0,14065.0,63450,2008-02-26
68,14611.0,14611.0,14065.0,14317.0,28190,2008-02-27
69,14317.0,14317.0,14191.0,14191.0,12800,2008-02-28
70,13855.0,14275.0,13687.0,13687.0,32140,2008-02-29
71,13351.0,13351.0,13015.0,13015.0,50270,2008-03-03
72,12385.0,12385.0,12385.0,12385.0,16180,2008-03-04
73,11798.0,11798.0,11798.0,11798.0,24110,2008-03-05
74,12385.0,12385.0,12385.0,12385.0,16950,2008-03-06
75,12973.0,12973.0,12973.0,12973.0,68580,2008-03-07
76,13603.0,13603.0,13603.0,13603.0,74120,2008-03-10
77,13603.0,13855.0,12931.0,13057.0,142180,2008-03-11
78,13015.0,13687.0,12595.0,13435.0,54320,2008-03-12
79,13855.0,13855.0,13477.0,13729.0,37570,2008-03-13
80,13435.0,13645.0,13435.0,13519.0,47170,2008-03-14
81,12847.0,12931.0,12847.0,12847.0,59400,2008-03-17
82,12218.0,12218.0,12218.0,12218.0,51400,2008-03-18
83,11966.0,12176.0,11840.0,11840.0,31910,2008-03-19
84,11756.0,11966.0,11756.0,11756.0,81200,2008-03-20
85,11756.0,11756.0,11168.0,11168.0,61070,2008-03-21
86,10622.0,10622.0,10622.0,10622.0,25860,2008-03-24
87,10118.0,10118.0,10118.0,10118.0,11190,2008-03-25
88,9656.0,10622.0,9656.0,10286.0,37720,2008-03-26
89,10370.0,10370.0,10370.0,10370.0,4450,2008-03-27
90,10454.0,10454.0,10454.0,10454.0,2520,2008-03-28
91,10538.0,10538.0,10538.0,10538.0,6200,2008-03-31
92,10622.0,10622.0,10622.0,10622.0,109000,2008-04-01
93,10706.0,10706.0,10706.0,10706.0,3160,2008-04-02
94,10790.0,10790.0,10790.0,10790.0,35270,2008-04-03
95,10874.0,10874.0,10874.0,10874.0,7220,2008-04-04
96,11084.0,11084.0,11084.0,11084.0,1600,2008-04-07
97,11294.0,11294.0,11126.0,11294.0,207240,2008-04-08
98,11504.0,11504.0,11504.0,11504.0,86440,2008-04-09
99,11294.0,11294.0,11294.0,11294.0,104160,2008-04-10
100,11084.0,11084.0,11084.0,11084.0,10460,2008-04-11
