,Open,High,Low,Close,Volume,TradingDate
0,3010.0,3010.0,3010.0,3010.0,4000,2006-01-05
1,3047.0,3065.0,3047.0,3065.0,4210,2006-01-06
2,3010.0,3010.0,3010.0,3010.0,11320,2006-01-09
3,2992.0,2992.0,2992.0,2992.0,12090,2006-01-10
4,2974.0,2974.0,2886.0,2886.0,10830,2006-01-11
5,2833.0,2833.0,2798.0,2798.0,32920,2006-01-12
6,2834.0,2834.0,2834.0,2834.0,3050,2006-01-13
7,2834.0,2834.0,2834.0,2834.0,8190,2006-01-17
8,2834.0,2834.0,2834.0,2834.0,7050,2006-01-18
9,2815.0,2815.0,2780.0,2780.0,10850,2006-01-19
10,2779.0,2779.0,2762.0,2762.0,15660,2006-01-20
11,2727.0,2728.0,2710.0,2710.0,25090,2006-01-23
12,2798.0,2798.0,2798.0,2798.0,3200,2006-01-24
13,2800.0,2871.0,2800.0,2871.0,10,2006-01-25
14,2852.0,2852.0,2834.0,2834.0,950,2006-01-26
15,2851.0,2886.0,2851.0,2886.0,200,2006-01-27
16,2886.0,2886.0,2886.0,2886.0,5940,2006-02-06
17,2834.0,2834.0,2834.0,2834.0,4500,2006-02-07
18,2834.0,2834.0,2834.0,2834.0,7560,2006-02-08
19,2834.0,2834.0,2834.0,2834.0,13500,2006-02-09
20,2835.0,2853.0,2835.0,2853.0,7010,2006-02-10
21,2834.0,2834.0,2834.0,2834.0,4100,2006-02-13
22,2834.0,2834.0,2834.0,2834.0,1800,2006-02-14
23,2835.0,2853.0,2835.0,2853.0,6900,2006-02-15
24,2853.0,2853.0,2853.0,2853.0,10550,2006-02-16
25,2852.0,2852.0,2834.0,2834.0,26370,2006-02-17
26,2834.0,2834.0,2834.0,2834.0,3700,2006-02-20
27,2853.0,2853.0,2853.0,2853.0,28660,2006-02-21
28,2888.0,2888.0,2853.0,2853.0,9200,2006-02-22
29,2853.0,2871.0,2853.0,2871.0,15460,2006-02-23
30,2887.0,2940.0,2887.0,2940.0,16950,2006-02-24
31,3012.0,3065.0,3012.0,3065.0,30870,2006-02-27
32,3207.0,3207.0,3207.0,3207.0,23390,2006-02-28
33,3329.0,3365.0,3329.0,3365.0,52010,2006-03-01
34,3526.0,3526.0,3526.0,3526.0,23140,2006-03-02
35,3684.0,3685.0,3632.0,3632.0,147720,2006-03-03
36,3720.0,3720.0,3720.0,3720.0,56520,2006-03-06
37,3889.0,3889.0,3889.0,3889.0,28390,2006-03-07
38,4078.0,4078.0,3965.0,3965.0,22090,2006-03-08
39,3777.0,3777.0,3777.0,3777.0,12730,2006-03-09
40,3642.0,3643.0,3586.0,3586.0,26710,2006-03-10
41,3586.0,3756.0,3586.0,3756.0,16080,2006-03-13
42,3871.0,3871.0,3871.0,3871.0,20180,2006-03-14
43,3737.0,3756.0,3737.0,3756.0,20100,2006-03-15
44,3814.0,3815.0,3777.0,3777.0,11460,2006-03-16
45,3871.0,3871.0,3871.0,3871.0,38580,2006-03-17
46,4059.0,4059.0,4059.0,4059.0,31990,2006-03-20
47,4247.0,4247.0,4247.0,4247.0,27400,2006-03-21
48,4435.0,4436.0,4247.0,4247.0,37790,2006-03-22
49,4247.0,4247.0,4153.0,4153.0,19310,2006-03-23
50,3946.0,4059.0,3946.0,4059.0,18200,2006-03-24
51,3965.0,4059.0,3965.0,4059.0,11530,2006-03-27
52,4058.0,4247.0,4058.0,4247.0,30000,2006-03-28
53,4456.0,4456.0,4456.0,4456.0,26210,2006-03-29
54,4662.0,4662.0,4662.0,4662.0,30840,2006-03-30
55,4890.0,4890.0,4890.0,4890.0,50550,2006-03-31
56,4888.0,4889.0,4662.0,4662.0,49270,2006-04-03
57,4720.0,4720.0,4720.0,4720.0,37670,2006-04-04
58,4626.0,4626.0,4626.0,4626.0,30090,2006-04-05
59,4720.0,4814.0,4720.0,4814.0,38550,2006-04-06
60,4814.0,4814.0,4814.0,4814.0,21520,2006-04-07
61,4720.0,4720.0,4720.0,4720.0,28500,2006-04-10
62,4719.0,4719.0,4568.0,4568.0,13280,2006-04-11
63,4720.0,4720.0,4626.0,4626.0,21830,2006-04-12
64,4720.0,4814.0,4720.0,4814.0,72840,2006-04-13
65,5041.0,5041.0,5041.0,5041.0,106640,2006-04-14
66,5287.0,5287.0,5287.0,5287.0,59730,2006-04-17
67,5551.0,5551.0,5551.0,5551.0,8750,2006-04-18
68,5814.0,5814.0,5814.0,5814.0,14470,2006-04-19
69,6099.0,6099.0,6099.0,6099.0,31500,2006-04-20
70,6399.0,6399.0,6399.0,6399.0,32800,2006-04-21
71,6703.0,6703.0,6703.0,6703.0,41750,2006-04-24
72,7024.0,7024.0,7024.0,7024.0,7700,2006-04-25
73,7363.0,7363.0,7363.0,7363.0,11980,2006-04-26
74,7720.0,7721.0,7551.0,7551.0,175690,2006-04-27
75,7175.0,7175.0,7175.0,7175.0,154210,2006-04-28
76,7533.0,7533.0,7533.0,7533.0,73090,2006-05-03
77,7891.0,7891.0,7891.0,7891.0,52230,2006-05-04
78,7892.0,7893.0,7515.0,7515.0,88720,2006-05-05
79,7154.0,7154.0,7154.0,7154.0,16670,2006-05-08
80,6815.0,6815.0,6815.0,6815.0,2560,2006-05-09
81,6475.0,6475.0,6475.0,6475.0,640,2006-05-10
82,6154.0,6154.0,6154.0,6154.0,92080,2006-05-11
83,6457.0,6457.0,6457.0,6457.0,26470,2006-05-12
84,6778.0,6778.0,6778.0,6778.0,85820,2006-05-15
85,6457.0,6457.0,6457.0,6457.0,58770,2006-05-16
86,6515.0,6515.0,6421.0,6421.0,57650,2006-05-17
87,6229.0,6230.0,6136.0,6136.0,32440,2006-05-18
88,6136.0,6137.0,5948.0,5948.0,21410,2006-05-19
89,5663.0,5663.0,5663.0,5663.0,17640,2006-05-22
90,5381.0,5381.0,5381.0,5381.0,3770,2006-05-23
91,5361.0,5645.0,5361.0,5645.0,51230,2006-05-24
92,5645.0,5645.0,5381.0,5381.0,39720,2006-05-25
93,5287.0,5287.0,5287.0,5287.0,13950,2006-05-26
94,5284.0,5285.0,5247.0,5247.0,23720,2006-05-29
95,5077.0,5077.0,5002.0,5002.0,48000,2006-05-30
96,4759.0,4759.0,4759.0,4759.0,46370,2006-05-31
97,4758.0,4796.0,4758.0,4796.0,29120,2006-06-01
98,4985.0,5023.0,4985.0,5023.0,19390,2006-06-02
99,5269.0,5269.0,5269.0,5269.0,13650,2006-06-05
100,5513.0,5514.0,5363.0,5363.0,53810,2006-06-06
101,5174.0,5193.0,5174.0,5193.0,36030,2006-06-07
102,5288.0,5344.0,5288.0,5344.0,13140,2006-06-08
103,5381.0,5381.0,5381.0,5381.0,26480,2006-06-09
104,5474.0,5475.0,5399.0,5399.0,8340,2006-06-12
105,5381.0,5381.0,5381.0,5381.0,17340,2006-06-13
106,5305.0,5305.0,5305.0,5305.0,13410,2006-06-14
107,5193.0,5268.0,5193.0,5193.0,23460,2006-06-15
108,5097.0,5097.0,5021.0,4984.0,25550,2006-06-16
109,4908.0,5040.0,4908.0,4984.0,10420,2006-06-19
110,4908.0,4908.0,4738.0,4738.0,42980,2006-06-20
111,4588.0,4589.0,4532.0,4532.0,27070,2006-06-21
112,4740.0,4759.0,4740.0,4759.0,4800,2006-06-22
113,4910.0,4910.0,4778.0,4778.0,30590,2006-06-23
114,4777.0,4777.0,4720.0,4720.0,14470,2006-06-26
115,4722.0,4759.0,4722.0,4759.0,10010,2006-06-27
116,4757.0,4814.0,4757.0,4814.0,8150,2006-06-28
117,4813.0,4908.0,4813.0,4832.0,9590,2006-06-29
118,4909.0,4928.0,4872.0,4872.0,16750,2006-06-30
119,4853.0,4853.0,4853.0,4853.0,6760,2006-07-03
120,4851.0,4851.0,4738.0,4738.0,9960,2006-07-04
121,4719.0,4738.0,4719.0,4738.0,4910,2006-07-05
122,4738.0,4908.0,4738.0,4908.0,5910,2006-07-06
123,4908.0,4946.0,4908.0,4908.0,23230,2006-07-07
124,4908.0,4908.0,4814.0,4814.0,8200,2006-07-10
125,4851.0,4852.0,4814.0,4814.0,5350,2006-07-11
126,4796.0,4796.0,4796.0,4796.0,3540,2006-07-12
127,4816.0,4816.0,4759.0,4759.0,7310,2006-07-13
128,4759.0,4759.0,4759.0,4759.0,22160,2006-07-14
129,4758.0,4758.0,4720.0,4720.0,3740,2006-07-17
130,4683.0,4721.0,4608.0,4608.0,9810,2006-07-18
131,4625.0,4626.0,4380.0,4380.0,17220,2006-07-19
