,Open,High,Low,Close,Volume,TradingDate
0,7589.0,7589.0,5639.0,6060.0,134800,2011-03-18
1,6087.0,6350.0,6060.0,6350.0,93180,2011-03-21
2,6587.0,6666.0,6587.0,6666.0,60400,2011-03-22
3,6983.0,6983.0,6983.0,6983.0,55760,2011-03-23
4,7246.0,7246.0,6666.0,6772.0,99550,2011-03-24
5,6772.0,6956.0,6456.0,6456.0,82090,2011-03-25
6,6456.0,6587.0,6324.0,6324.0,21210,2011-03-28
7,6350.0,6350.0,6008.0,6008.0,53450,2011-03-29
8,5718.0,6060.0,5718.0,5797.0,34990,2011-03-30
9,5691.0,6008.0,5691.0,5771.0,26090,2011-03-31
10,5797.0,5929.0,5533.0,5560.0,27180,2011-04-01
11,5296.0,5402.0,5296.0,5296.0,58520,2011-04-04
12,5270.0,5270.0,5033.0,5033.0,39870,2011-04-05
13,5244.0,5244.0,4822.0,5059.0,62700,2011-04-06
14,4875.0,5217.0,4848.0,4875.0,15820,2011-04-07
15,4690.0,4875.0,4690.0,4875.0,3510,2011-04-08
16,4743.0,4901.0,4743.0,4743.0,2980,2011-04-13
17,4638.0,4743.0,4506.0,4506.0,20290,2011-04-14
18,4558.0,4558.0,4295.0,4295.0,20570,2011-04-15
19,4084.0,4137.0,4084.0,4084.0,20380,2011-04-18
20,3952.0,4031.0,3900.0,3900.0,52260,2011-04-19
21,3900.0,4084.0,3768.0,4058.0,17470,2011-04-20
22,4058.0,4058.0,3926.0,3926.0,13610,2011-04-21
23,3847.0,3952.0,3768.0,3768.0,7980,2011-04-22
24,3926.0,3926.0,3821.0,3926.0,13990,2011-04-25
25,3847.0,3926.0,3768.0,3926.0,3030,2011-04-26
26,3926.0,3926.0,3742.0,3873.0,3300,2011-04-27
27,3742.0,3768.0,3689.0,3742.0,9650,2011-04-28
28,3689.0,3794.0,3689.0,3715.0,9900,2011-04-29
29,3873.0,3900.0,3873.0,3900.0,18200,2011-05-04
30,3952.0,3952.0,3847.0,3873.0,7850,2011-05-05
31,3794.0,3979.0,3794.0,3979.0,20,2011-05-06
32,3952.0,3952.0,3821.0,3952.0,2810,2011-05-09
33,3952.0,3979.0,3821.0,3821.0,16370,2011-05-10
34,3952.0,3952.0,3715.0,3715.0,8390,2011-05-11
35,3873.0,3873.0,3873.0,3873.0,10,2011-05-12
36,3821.0,3821.0,3821.0,3821.0,2810,2011-05-13
37,3794.0,3794.0,3636.0,3689.0,10140,2011-05-16
38,3689.0,3689.0,3504.0,3504.0,10170,2011-05-17
39,3425.0,3584.0,3346.0,3346.0,38630,2011-05-18
40,3478.0,3504.0,3188.0,3504.0,9290,2011-05-19
41,3399.0,3636.0,3399.0,3504.0,9560,2011-05-20
42,3346.0,3346.0,3346.0,3346.0,11890,2011-05-23
43,3215.0,3215.0,3188.0,3188.0,8330,2011-05-24
44,3030.0,3030.0,3030.0,3030.0,4510,2011-05-25
45,2898.0,3136.0,2898.0,3109.0,23870,2011-05-26
46,3109.0,3109.0,2977.0,3109.0,15980,2011-05-27
47,3109.0,3109.0,2977.0,2977.0,12390,2011-05-30
48,2846.0,2977.0,2846.0,2898.0,7480,2011-05-31
49,2898.0,3030.0,2872.0,3030.0,6970,2011-06-01
50,3136.0,3162.0,3136.0,3162.0,19850,2011-06-02
51,3320.0,3320.0,3162.0,3267.0,22640,2011-06-03
52,3241.0,3241.0,3241.0,3241.0,0,2011-06-06
53,3425.0,3425.0,3294.0,3294.0,12620,2011-06-07
54,3241.0,3425.0,3188.0,3241.0,6120,2011-06-08
55,3346.0,3399.0,3320.0,3399.0,29210,2011-06-09
56,3531.0,3557.0,3452.0,3504.0,11740,2011-06-10
57,3636.0,3663.0,3557.0,3663.0,9280,2011-06-13
58,3715.0,3821.0,3689.0,3794.0,12420,2011-06-14
59,3689.0,3689.0,3610.0,3610.0,1560,2011-06-15
60,3504.0,3584.0,3452.0,3452.0,22690,2011-06-16
61,3320.0,3452.0,3320.0,3346.0,10180,2011-06-17
62,3241.0,3241.0,3188.0,3188.0,15160,2011-06-20
63,3083.0,3346.0,3083.0,3346.0,2510,2011-06-21
64,3373.0,3373.0,3188.0,3346.0,8100,2011-06-22
65,3399.0,3399.0,3215.0,3215.0,2630,2011-06-23
66,3346.0,3346.0,3346.0,3346.0,5300,2011-06-24
67,3346.0,3346.0,3188.0,3188.0,9770,2011-06-27
68,3294.0,3294.0,3109.0,3109.0,9330,2011-06-28
69,3162.0,3162.0,3162.0,3162.0,500,2011-06-29
70,3109.0,3109.0,3109.0,3109.0,2300,2011-06-30
71,3057.0,3057.0,2977.0,2977.0,8650,2011-07-01
72,3109.0,3109.0,3030.0,3057.0,820,2011-07-04
73,3162.0,3162.0,3109.0,3109.0,510,2011-07-05
74,3162.0,3162.0,3030.0,3030.0,1580,2011-07-06
75,3162.0,3162.0,3162.0,3162.0,170,2011-07-07
76,3162.0,3162.0,3030.0,3030.0,3300,2011-07-08
77,3030.0,3030.0,2977.0,2977.0,3160,2011-07-11
78,2898.0,2977.0,2846.0,2977.0,7070,2011-07-12
79,2977.0,3109.0,2977.0,3109.0,1910,2011-07-13
80,3136.0,3136.0,3083.0,3136.0,500,2011-07-14
81,3030.0,3030.0,3004.0,3004.0,4360,2011-07-15
82,3057.0,3083.0,3057.0,3083.0,3000,2011-07-18
83,3083.0,3083.0,2951.0,3083.0,1800,2011-07-19
84,3057.0,3083.0,3030.0,3083.0,1400,2011-07-20
85,3057.0,3057.0,2951.0,3057.0,2100,2011-07-21
86,2951.0,2977.0,2925.0,2977.0,2530,2011-07-22
87,2846.0,2846.0,2846.0,2846.0,20440,2011-07-25
88,2846.0,2951.0,2740.0,2951.0,1070,2011-07-26
89,2898.0,2898.0,2898.0,2898.0,2170,2011-07-27
90,2767.0,2951.0,2767.0,2951.0,10110,2011-07-28
91,2819.0,2819.0,2819.0,2819.0,6130,2011-07-29
92,2740.0,2872.0,2688.0,2872.0,23120,2011-08-01
93,2740.0,2740.0,2740.0,2740.0,6370,2011-08-02
94,2846.0,2846.0,2846.0,2846.0,100,2011-08-03
95,2740.0,2898.0,2714.0,2898.0,10320,2011-08-04
96,2898.0,2898.0,2898.0,2898.0,0,2011-08-05
97,2767.0,2793.0,2767.0,2767.0,3260,2011-08-08
98,2635.0,2819.0,2635.0,2819.0,12280,2011-08-09
99,2714.0,2898.0,2688.0,2898.0,720,2011-08-10
100,2872.0,2872.0,2872.0,2872.0,10,2011-08-11
101,2819.0,2819.0,2740.0,2740.0,8190,2011-08-12
102,2793.0,2793.0,2767.0,2767.0,160,2011-08-15
103,2661.0,2767.0,2661.0,2767.0,5300,2011-08-16
104,2661.0,2793.0,2661.0,2793.0,4300,2011-08-17
105,2898.0,2898.0,2767.0,2767.0,8970,2011-08-18
106,2819.0,2819.0,2661.0,2661.0,2300,2011-08-19
107,2793.0,2793.0,2793.0,2793.0,10,2011-08-22
108,2819.0,2819.0,2819.0,2819.0,2200,2011-08-23
109,2819.0,2898.0,2819.0,2898.0,4730,2011-08-24
110,2898.0,2898.0,2898.0,2898.0,0,2011-08-25
111,2898.0,2977.0,2872.0,2977.0,890,2011-08-26
112,3030.0,3083.0,3004.0,3083.0,1050,2011-08-29
113,3083.0,3162.0,3004.0,3083.0,11560,2011-08-30
114,2977.0,3136.0,2951.0,2977.0,11560,2011-08-31
115,2977.0,3109.0,2977.0,3109.0,17810,2011-09-01
116,3083.0,3162.0,3083.0,3109.0,5200,2011-09-05
117,3162.0,3162.0,3004.0,3136.0,15200,2011-09-06
