,Open,High,Low,Close,Volume,TradingDate
0,18171.0,18171.0,18171.0,18923.0,79800,2006-12-18
1,20803.0,20803.0,20803.0,20803.0,84500,2006-12-19
2,22870.0,22870.0,22870.0,22870.0,35100,2006-12-20
3,24938.0,24938.0,24938.0,24938.0,107600,2006-12-21
4,24437.0,24437.0,24437.0,24437.0,41500,2006-12-22
5,23372.0,23372.0,23372.0,23372.0,67600,2006-12-25
6,23497.0,23497.0,23497.0,23497.0,25400,2006-12-26
7,24061.0,24061.0,24061.0,24061.0,30100,2006-12-27
8,24061.0,24061.0,24061.0,24061.0,74400,2006-12-28
9,22557.0,22557.0,22557.0,22557.0,37100,2006-12-29
10,22557.0,22557.0,22557.0,22557.0,15300,2007-01-02
11,21304.0,21304.0,21304.0,21304.0,26800,2007-01-03
12,21868.0,21868.0,21868.0,21868.0,9100,2007-01-04
13,22494.0,22494.0,22494.0,22494.0,42800,2007-01-05
14,22432.0,22432.0,22432.0,22432.0,37400,2007-01-08
15,21993.0,21993.0,21993.0,21993.0,22700,2007-01-09
16,21241.0,21241.0,21241.0,21241.0,68700,2007-01-10
17,19988.0,19988.0,19988.0,19988.0,78000,2007-01-11
18,18234.0,18234.0,18234.0,18234.0,88300,2007-01-12
19,18672.0,18672.0,18672.0,18672.0,78500,2007-01-15
20,18547.0,18547.0,18547.0,18547.0,101400,2007-01-16
21,17544.0,17544.0,17544.0,17544.0,75600,2007-01-17
22,17106.0,17106.0,17106.0,17106.0,47900,2007-01-18
23,19048.0,19048.0,19048.0,19048.0,57800,2007-01-19
24,19048.0,19048.0,19048.0,19048.0,394000,2007-01-22
25,21241.0,21241.0,21241.0,21241.0,208400,2007-01-23
26,23246.0,23246.0,23246.0,23246.0,276100,2007-01-24
27,24186.0,24186.0,24186.0,24186.0,249200,2007-01-25
28,22306.0,22306.0,22306.0,22306.0,41100,2007-01-26
29,20239.0,20239.0,20239.0,20239.0,53800,2007-01-29
30,21617.0,21617.0,21617.0,21617.0,182000,2007-01-30
31,21617.0,21617.0,21617.0,21617.0,106400,2007-01-31
32,21053.0,21053.0,21053.0,21053.0,87700,2007-02-01
33,21304.0,21304.0,21304.0,21304.0,64800,2007-02-02
34,20615.0,20615.0,20615.0,20615.0,60600,2007-02-05
35,19988.0,19988.0,19988.0,19988.0,69100,2007-02-06
36,19424.0,19424.0,19424.0,19424.0,87900,2007-02-07
37,19988.0,19988.0,19988.0,19988.0,157300,2007-02-08
38,20051.0,20051.0,20051.0,20051.0,130600,2007-02-09
39,20239.0,20239.0,20239.0,20239.0,106500,2007-02-12
40,20677.0,20677.0,20677.0,20677.0,55500,2007-02-13
41,20677.0,20677.0,20677.0,20677.0,141000,2007-02-14
42,21304.0,21304.0,21304.0,21304.0,83700,2007-02-15
43,22870.0,22870.0,22870.0,22870.0,166900,2007-02-26
