,Open,High,Low,Close,Volume,TradingDate
0,7283.0,7283.0,5863.0,6373.0,1091600,2010-09-13
1,6627.0,6627.0,5936.0,6081.0,516000,2010-09-14
2,6154.0,6154.0,5681.0,5753.0,790000,2010-09-15
3,5753.0,6154.0,5717.0,6081.0,930900,2010-09-16
4,6482.0,6482.0,6263.0,6482.0,346800,2010-09-17
5,6919.0,6919.0,6627.0,6882.0,943300,2010-09-20
6,6773.0,6919.0,6445.0,6591.0,1269700,2010-09-21
7,6445.0,6992.0,6263.0,6809.0,1621400,2010-09-22
8,6809.0,6809.0,6373.0,6591.0,774500,2010-09-23
9,6591.0,6700.0,6518.0,6591.0,443200,2010-09-24
10,6627.0,6664.0,6445.0,6518.0,611100,2010-09-27
11,6591.0,6737.0,6482.0,6591.0,674300,2010-09-28
12,6373.0,6518.0,6154.0,6227.0,796100,2010-09-29
13,6227.0,6263.0,6045.0,6118.0,513200,2010-09-30
14,6227.0,6263.0,5863.0,5972.0,306400,2010-10-01
15,5936.0,5936.0,5571.0,5681.0,847100,2010-10-04
16,5535.0,5826.0,5426.0,5644.0,469500,2010-10-05
17,5826.0,6008.0,5717.0,5863.0,697500,2010-10-06
18,5863.0,6008.0,5681.0,5826.0,434700,2010-10-07
19,5644.0,5790.0,5571.0,5644.0,380700,2010-10-08
20,5608.0,5644.0,5426.0,5499.0,379100,2010-10-11
21,5462.0,5608.0,5317.0,5426.0,365000,2010-10-12
22,5499.0,5499.0,5280.0,5389.0,234200,2010-10-13
23,5499.0,5571.0,5353.0,5426.0,314600,2010-10-14
24,5571.0,5571.0,5098.0,5244.0,357600,2010-10-15
25,5207.0,5244.0,4989.0,5098.0,323900,2010-10-18
26,4989.0,5025.0,4770.0,4807.0,943900,2010-10-19
27,4807.0,4807.0,4479.0,4515.0,672300,2010-10-20
28,4625.0,4734.0,4260.0,4406.0,538200,2010-10-21
29,4443.0,4515.0,4260.0,4370.0,273500,2010-10-22
30,4406.0,4406.0,4115.0,4260.0,353300,2010-10-25
31,4443.0,4552.0,4443.0,4552.0,198900,2010-10-26
32,4843.0,4843.0,4479.0,4661.0,647700,2010-10-27
33,4552.0,4661.0,4406.0,4479.0,144600,2010-10-28
34,4370.0,4588.0,4370.0,4515.0,145600,2010-10-29
35,4588.0,4588.0,4333.0,4406.0,203800,2010-11-01
36,4661.0,4661.0,4224.0,4260.0,209700,2010-11-02
37,4260.0,4333.0,4078.0,4188.0,322700,2010-11-03
38,4188.0,4333.0,4188.0,4260.0,316300,2010-11-04
39,4552.0,4552.0,4370.0,4443.0,402700,2010-11-05
40,4515.0,4588.0,4188.0,4297.0,348500,2010-11-08
41,4297.0,4333.0,4006.0,4042.0,632600,2010-11-09
42,4042.0,4115.0,3969.0,4042.0,342100,2010-11-10
43,4115.0,4115.0,3787.0,3860.0,296300,2010-11-11
44,3787.0,3824.0,3605.0,3678.0,537100,2010-11-12
45,3714.0,3751.0,3532.0,3641.0,273000,2010-11-15
46,3569.0,3605.0,3423.0,3496.0,278100,2010-11-16
47,3423.0,3714.0,3423.0,3605.0,293800,2010-11-17
48,3641.0,3824.0,3641.0,3787.0,465600,2010-11-18
49,3933.0,3933.0,3605.0,3751.0,252700,2010-11-19
50,3532.0,3605.0,3496.0,3532.0,326500,2010-11-22
51,3641.0,3714.0,3532.0,3605.0,233200,2010-11-23
52,3641.0,3714.0,3532.0,3641.0,286200,2010-11-24
53,3714.0,3896.0,3714.0,3860.0,836100,2010-11-25
54,4115.0,4115.0,4042.0,4115.0,1320400,2010-11-26
55,4370.0,4370.0,4078.0,4333.0,1243700,2010-11-29
56,4625.0,4625.0,4625.0,4625.0,210100,2010-11-30
57,4916.0,4916.0,4625.0,4880.0,2892600,2010-12-01
58,4661.0,5207.0,4661.0,5098.0,2179300,2010-12-02
59,5389.0,5426.0,5353.0,5426.0,1173200,2010-12-03
60,5790.0,5790.0,5353.0,5644.0,1749000,2010-12-06
61,5426.0,5608.0,5280.0,5317.0,1674300,2010-12-07
62,5098.0,5171.0,4952.0,4989.0,1171300,2010-12-08
63,4807.0,5134.0,4661.0,4843.0,1812200,2010-12-09
64,5098.0,5171.0,5098.0,5171.0,892000,2010-12-10
65,5499.0,5499.0,5499.0,5499.0,214500,2010-12-13
66,5863.0,5863.0,5134.0,5499.0,2343600,2010-12-14
67,5462.0,5535.0,5134.0,5280.0,1154500,2010-12-15
68,5134.0,5134.0,4916.0,4952.0,966000,2010-12-16
69,5098.0,5280.0,4989.0,5207.0,1286200,2010-12-17
70,5280.0,5426.0,4952.0,5207.0,521600,2010-12-20
71,5098.0,5171.0,4843.0,4989.0,671800,2010-12-21
72,5098.0,5207.0,4880.0,5025.0,464400,2010-12-22
73,5025.0,5025.0,4697.0,4807.0,681200,2010-12-23
74,4734.0,4916.0,4697.0,4807.0,297100,2010-12-24
75,4916.0,4989.0,4770.0,4916.0,373200,2010-12-27
76,4916.0,5244.0,4916.0,5171.0,1209700,2010-12-28
77,5389.0,5389.0,5025.0,5171.0,433300,2010-12-29
78,4989.0,5171.0,4989.0,5062.0,314300,2010-12-30
79,5062.0,5280.0,5025.0,5171.0,644900,2010-12-31
80,5317.0,5389.0,5098.0,5207.0,485900,2011-01-04
81,5134.0,5134.0,4916.0,4989.0,499900,2011-01-05
82,4989.0,5062.0,4880.0,4952.0,267800,2011-01-06
83,5025.0,5025.0,4807.0,4916.0,498600,2011-01-07
84,4843.0,4880.0,4661.0,4734.0,581400,2011-01-10
85,4697.0,4734.0,4443.0,4515.0,572000,2011-01-11
86,4515.0,4661.0,4515.0,4588.0,491500,2011-01-12
87,4661.0,4807.0,4479.0,4661.0,372000,2011-01-13
88,4697.0,4770.0,4661.0,4734.0,423100,2011-01-14
89,4770.0,5025.0,4734.0,4880.0,635500,2011-01-17
90,4770.0,4952.0,4661.0,4770.0,391600,2011-01-18
91,4661.0,4807.0,4625.0,4697.0,423400,2011-01-19
92,4625.0,4807.0,4588.0,4697.0,318800,2011-01-20
93,4697.0,4807.0,4625.0,4697.0,375800,2011-01-21
94,4697.0,4697.0,4479.0,4552.0,507600,2011-01-24
95,4588.0,4588.0,4443.0,4479.0,336900,2011-01-25
96,4443.0,4552.0,4406.0,4479.0,213500,2011-01-26
97,4443.0,4588.0,4443.0,4515.0,279500,2011-01-27
98,4515.0,4588.0,4443.0,4515.0,363000,2011-01-28
99,4479.0,4479.0,4370.0,4406.0,160100,2011-02-08
100,4406.0,4552.0,4406.0,4479.0,384300,2011-02-09
101,4406.0,4479.0,4370.0,4406.0,146300,2011-02-10
102,4443.0,4443.0,4333.0,4370.0,152800,2011-02-11
103,4406.0,4479.0,4260.0,4333.0,251300,2011-02-14
104,4188.0,4260.0,4078.0,4151.0,289400,2011-02-15
105,4151.0,4188.0,4078.0,4115.0,197800,2011-02-16
106,4115.0,4115.0,3860.0,3896.0,830400,2011-02-17
107,3824.0,3860.0,3678.0,3751.0,392100,2011-02-18
108,3678.0,3678.0,3496.0,3496.0,1035600,2011-02-21
109,3423.0,3714.0,3423.0,3569.0,659600,2011-02-22
110,3641.0,3787.0,3350.0,3751.0,649000,2011-02-23
111,3824.0,3860.0,3532.0,3714.0,634600,2011-02-24
112,3787.0,3860.0,3678.0,3787.0,437200,2011-02-25
113,3787.0,3824.0,3641.0,3714.0,415000,2011-02-28
114,3641.0,3641.0,3496.0,3605.0,347500,2011-03-01
115,3496.0,3569.0,3387.0,3423.0,637100,2011-03-02
116,3277.0,3459.0,3277.0,3350.0,368100,2011-03-03
117,3204.0,3387.0,3168.0,3314.0,367800,2011-03-04
118,3277.0,3387.0,3168.0,3277.0,284600,2011-03-07
119,3059.0,3314.0,3059.0,3241.0,396300,2011-03-08
120,3132.0,3132.0,3022.0,3095.0,282100,2011-03-09
121,3168.0,3277.0,3168.0,3277.0,150000,2011-03-10
122,3496.0,3496.0,3496.0,3496.0,52400,2011-03-11
123,3714.0,3714.0,3314.0,3496.0,758900,2011-03-14
124,3350.0,3569.0,3277.0,3423.0,294900,2011-03-15
125,3459.0,3459.0,3277.0,3350.0,277900,2011-03-16
126,3423.0,3459.0,3314.0,3350.0,248200,2011-03-17
127,3423.0,3569.0,3387.0,3532.0,1385300,2011-03-18
128,3714.0,3751.0,3641.0,3751.0,1156900,2011-03-21
129,3824.0,3824.0,3532.0,3641.0,650200,2011-03-22
130,3569.0,3714.0,3532.0,3641.0,487800,2011-03-23
131,3714.0,3714.0,3459.0,3569.0,447300,2011-03-24
132,3496.0,3532.0,3423.0,3459.0,431800,2011-03-25
133,3423.0,3605.0,3350.0,3423.0,395800,2011-03-28
134,3423.0,3459.0,3314.0,3350.0,422900,2011-03-29
135,3277.0,3387.0,3204.0,3277.0,290600,2011-03-30
136,3387.0,3423.0,3277.0,3350.0,394900,2011-03-31
137,3314.0,3387.0,3277.0,3314.0,125800,2011-04-01
138,3277.0,3277.0,3241.0,3241.0,117500,2011-04-04
139,3277.0,3277.0,3241.0,3241.0,147000,2011-04-05
140,3277.0,3459.0,3277.0,3387.0,435900,2011-04-06
141,3423.0,3423.0,3314.0,3350.0,180300,2011-04-07
142,3314.0,3314.0,3241.0,3277.0,168400,2011-04-08
143,3277.0,3277.0,3204.0,3241.0,92200,2011-04-13
144,3204.0,3241.0,3204.0,3204.0,197500,2011-04-14
145,3204.0,3241.0,3132.0,3168.0,146900,2011-04-15
