,Open,High,Low,Close,Volume,TradingDate
0,25460.0,27847.0,25380.0,25380.0,115700,2010-10-27
1,25460.0,26256.0,25380.0,25380.0,56950,2010-10-28
2,25380.0,25460.0,24187.0,25460.0,104790,2010-10-29
3,25540.0,25858.0,24744.0,25380.0,62500,2010-11-01
4,25301.0,25301.0,24187.0,24187.0,78810,2010-11-02
5,22994.0,23789.0,22994.0,22994.0,31280,2010-11-03
6,21880.0,24107.0,21880.0,24107.0,75430,2010-11-04
7,24505.0,24505.0,22914.0,24107.0,44030,2010-11-05
8,22914.0,23789.0,22914.0,22914.0,19220,2010-11-08
9,21800.0,21800.0,21800.0,21800.0,2650,2010-11-09
10,20766.0,20766.0,20766.0,20766.0,30810,2010-11-10
11,19811.0,20766.0,19811.0,20766.0,14830,2010-11-11
12,20686.0,20686.0,19731.0,19811.0,53500,2010-11-12
13,19493.0,19970.0,19015.0,19891.0,36530,2010-11-15
14,19095.0,19891.0,18936.0,19891.0,65620,2010-11-16
15,20686.0,20686.0,19095.0,20288.0,41200,2010-11-17
16,21004.0,21243.0,19334.0,21084.0,28250,2010-11-18
17,21880.0,21880.0,20050.0,20050.0,51850,2010-11-19
18,20925.0,20925.0,19095.0,19891.0,84150,2010-11-22
19,19891.0,20209.0,19015.0,20129.0,34570,2010-11-23
20,20527.0,20527.0,19493.0,19493.0,23520,2010-11-24
21,19891.0,20129.0,19493.0,19891.0,50400,2010-11-25
22,19970.0,19970.0,19175.0,19970.0,68630,2010-11-26
23,20686.0,20686.0,19731.0,19970.0,46940,2010-11-29
24,20607.0,20925.0,20050.0,20925.0,102700,2010-11-30
25,20925.0,21482.0,20288.0,20925.0,49300,2010-12-01
26,20288.0,21959.0,20288.0,21959.0,67840,2010-12-02
27,21959.0,22994.0,21959.0,22994.0,71760,2010-12-03
28,23471.0,24107.0,22675.0,23948.0,87470,2010-12-06
29,24107.0,24107.0,22755.0,23630.0,73810,2010-12-07
30,23073.0,23550.0,22516.0,22516.0,81410,2010-12-08
31,21482.0,23630.0,21482.0,23471.0,101630,2010-12-09
32,23471.0,23869.0,23471.0,23710.0,85430,2010-12-10
33,24267.0,24823.0,23948.0,24585.0,125350,2010-12-13
34,24267.0,24267.0,23391.0,23789.0,91590,2010-12-14
35,22675.0,23471.0,22675.0,23471.0,89110,2010-12-15
36,23471.0,23471.0,22357.0,23391.0,101170,2010-12-16
37,23391.0,23391.0,22277.0,22277.0,110110,2010-12-17
38,23073.0,23073.0,22994.0,23073.0,17420,2010-12-20
39,23073.0,23153.0,22277.0,23153.0,35940,2010-12-21
40,23471.0,23471.0,22118.0,23073.0,19950,2010-12-22
41,23073.0,23073.0,21959.0,22277.0,11710,2010-12-23
42,23391.0,23391.0,21164.0,21323.0,13140,2010-12-24
43,22357.0,22357.0,20686.0,22277.0,11490,2010-12-27
44,23073.0,23073.0,22277.0,22994.0,12420,2010-12-28
45,21880.0,22675.0,21880.0,22675.0,10030,2010-12-29
46,21561.0,22675.0,21561.0,22675.0,210,2010-12-30
47,23471.0,23471.0,23073.0,23391.0,11010,2010-12-31
48,22675.0,23073.0,22277.0,22277.0,16620,2011-01-04
49,22198.0,22516.0,21482.0,22277.0,12890,2011-01-05
50,21721.0,22277.0,21243.0,21243.0,14030,2011-01-06
51,21164.0,22277.0,20288.0,21323.0,18010,2011-01-07
52,22277.0,22277.0,22277.0,22277.0,30,2011-01-10
