,Open,High,Low,Close,Volume,TradingDate
0,28570.0,28570.0,28570.0,28570.0,52300,2010-01-04
1,29998.0,29998.0,29998.0,29998.0,652700,2010-01-05
2,31427.0,31427.0,31427.0,31427.0,438000,2010-01-06
3,32855.0,32855.0,32855.0,32855.0,519500,2010-01-07
4,34045.0,34284.0,31427.0,31427.0,327690,2010-01-08
5,30474.0,31188.0,29998.0,29998.0,334040,2010-01-11
6,29998.0,29998.0,28570.0,28570.0,197670,2010-01-12
7,27617.0,28093.0,27141.0,27617.0,322170,2010-01-13
8,28808.0,28808.0,28808.0,28808.0,186990,2010-01-14
9,30236.0,30236.0,28808.0,29522.0,519800,2010-01-15
10,28332.0,28570.0,28093.0,28093.0,103680,2010-01-18
11,28093.0,28093.0,26903.0,26903.0,233360,2010-01-19
12,25713.0,26903.0,25713.0,25713.0,257130,2010-01-20
13,24522.0,24760.0,24522.0,24522.0,200010,2010-01-21
14,23332.0,23808.0,23332.0,23332.0,251380,2010-01-22
15,23332.0,24284.0,23332.0,24284.0,251570,2010-01-25
16,25475.0,25475.0,25475.0,25475.0,20210,2010-01-26
17,25713.0,26665.0,24284.0,24284.0,273040,2010-01-27
18,23189.0,24284.0,23094.0,23094.0,143380,2010-01-28
19,23094.0,23094.0,21951.0,22141.0,175500,2010-01-29
20,21427.0,22999.0,21427.0,22999.0,75760,2010-02-01
21,23189.0,23189.0,21903.0,21951.0,55740,2010-02-02
22,22332.0,22332.0,21237.0,21903.0,54480,2010-02-03
23,21903.0,22380.0,21665.0,22141.0,88100,2010-02-04
24,21570.0,21999.0,21094.0,21094.0,112680,2010-02-05
25,20380.0,20951.0,20237.0,20237.0,56150,2010-02-08
26,19761.0,19999.0,19237.0,19237.0,98410,2010-02-09
27,19665.0,19951.0,19237.0,19951.0,98490,2010-02-10
28,19475.0,20903.0,19475.0,20903.0,95080,2010-02-11
29,21427.0,21761.0,20951.0,21189.0,73300,2010-02-12
30,21427.0,21665.0,20475.0,21427.0,44140,2010-02-22
31,20475.0,21332.0,20380.0,20380.0,118540,2010-02-23
32,19570.0,20380.0,19523.0,20189.0,68130,2010-02-24
33,20713.0,20713.0,20189.0,20189.0,30460,2010-02-25
34,19999.0,20284.0,19618.0,20189.0,112670,2010-02-26
35,20189.0,21189.0,20189.0,21189.0,214920,2010-03-01
36,21903.0,22237.0,21427.0,21427.0,200590,2010-03-02
37,21475.0,21903.0,21142.0,21903.0,91840,2010-03-03
38,22999.0,22999.0,22903.0,22999.0,338700,2010-03-04
39,24046.0,24046.0,24046.0,24046.0,43190,2010-03-05
40,25236.0,25236.0,25236.0,25236.0,17600,2010-03-08
41,26189.0,26427.0,25475.0,26427.0,842910,2010-03-09
42,25951.0,27617.0,25236.0,26665.0,368980,2010-03-10
43,26665.0,26903.0,25713.0,26189.0,184230,2010-03-11
44,26427.0,26903.0,25236.0,26189.0,173330,2010-03-12
45,27379.0,27379.0,27379.0,27379.0,118770,2010-03-15
46,28570.0,28570.0,27617.0,28093.0,734500,2010-03-16
47,27617.0,29284.0,27617.0,27617.0,425280,2010-03-17
48,28093.0,28808.0,27379.0,28808.0,409100,2010-03-18
49,30236.0,30236.0,30236.0,30236.0,385410,2010-03-19
50,30474.0,31665.0,30474.0,31665.0,626320,2010-03-22
51,30236.0,31903.0,30236.0,30236.0,399740,2010-03-23
52,31427.0,31665.0,30474.0,31665.0,770290,2010-03-24
53,31903.0,33093.0,30950.0,33093.0,735050,2010-03-25
54,34284.0,34522.0,33807.0,34522.0,1103360,2010-03-26
55,36188.0,36188.0,36188.0,36188.0,235930,2010-03-29
56,37855.0,37855.0,37855.0,37855.0,41450,2010-03-30
57,39521.0,39521.0,38569.0,39521.0,643450,2010-03-31
58,39521.0,41426.0,39283.0,41426.0,1210480,2010-04-01
59,41426.0,41902.0,39521.0,39997.0,553970,2010-04-02
60,41902.0,41902.0,41188.0,41902.0,486970,2010-04-05
61,43807.0,43807.0,41902.0,41902.0,892850,2010-04-06
62,41902.0,42616.0,40236.0,40950.0,523760,2010-04-07
63,41426.0,42854.0,41426.0,42854.0,580550,2010-04-08
64,43807.0,44283.0,40712.0,40712.0,587260,2010-04-09
65,40950.0,41426.0,38807.0,39521.0,416540,2010-04-12
66,39521.0,39997.0,38569.0,38569.0,524170,2010-04-13
67,39521.0,40474.0,39045.0,40236.0,585200,2010-04-14
68,40950.0,40950.0,39521.0,39997.0,368420,2010-04-15
69,40950.0,41902.0,40236.0,41902.0,767930,2010-04-16
70,42616.0,43807.0,40950.0,43331.0,667370,2010-04-19
71,43331.0,43569.0,41664.0,41664.0,355020,2010-04-20
72,41902.0,41902.0,40474.0,40712.0,440990,2010-04-21
73,40950.0,41902.0,39521.0,39521.0,286530,2010-04-22
74,38807.0,40236.0,38807.0,39045.0,311010,2010-04-26
75,39521.0,40950.0,39283.0,40474.0,254320,2010-04-27
76,39521.0,40950.0,39521.0,39521.0,281370,2010-04-28
77,39521.0,40474.0,39521.0,39521.0,308590,2010-04-29
78,39521.0,41188.0,39045.0,39521.0,922520,2010-05-04
79,39521.0,39521.0,37617.0,38093.0,1518570,2010-05-05
80,39045.0,39045.0,37379.0,37379.0,457080,2010-05-06
81,36664.0,36902.0,35712.0,35712.0,588280,2010-05-07
82,36188.0,36188.0,34045.0,34760.0,542590,2010-05-10
83,35236.0,35236.0,34045.0,34045.0,723360,2010-05-11
84,33331.0,34045.0,32379.0,32379.0,536220,2010-05-12
85,33093.0,33807.0,31903.0,33807.0,570140,2010-05-13
