,Open,High,Low,Close,Volume,TradingDate
0,18641.0,18641.0,14390.0,16352.0,48640,2007-12-25
1,16515.0,16679.0,16352.0,16679.0,36490,2007-12-26
2,17498.0,17499.0,17172.0,17499.0,30550,2007-12-27
3,18316.0,18316.0,18316.0,18316.0,17400,2007-12-28
4,19132.0,19132.0,18969.0,19132.0,80150,2008-01-02
5,18316.0,19133.0,18316.0,18316.0,56420,2008-01-03
6,17499.0,17826.0,17499.0,17499.0,31940,2008-01-04
7,17496.0,17497.0,16679.0,16679.0,20920,2008-01-07
8,17171.0,17498.0,17008.0,17171.0,21910,2008-01-08
9,17171.0,17173.0,16518.0,16518.0,24200,2008-01-09
10,16059.0,16092.0,15699.0,16027.0,26370,2008-01-10
11,16679.0,16679.0,16516.0,16679.0,41090,2008-01-11
12,16027.0,17335.0,15896.0,15896.0,18060,2008-01-14
13,15436.0,15535.0,15110.0,15110.0,23120,2008-01-15
14,15863.0,15863.0,15863.0,15863.0,22590,2008-01-16
15,16515.0,16517.0,15699.0,15863.0,41980,2008-01-17
16,16354.0,16354.0,15406.0,16354.0,21720,2008-01-18
17,16352.0,16353.0,15863.0,15863.0,13750,2008-01-21
18,15535.0,15698.0,15371.0,15535.0,18720,2008-01-22
19,15045.0,15079.0,14785.0,14785.0,30630,2008-01-23
20,14065.0,15112.0,14065.0,14065.0,12390,2008-01-24
21,14064.0,14065.0,13738.0,13901.0,12870,2008-01-25
22,13571.0,13637.0,13212.0,13212.0,19180,2008-01-28
23,13410.0,13410.0,12690.0,13410.0,39900,2008-01-29
24,14065.0,14065.0,14065.0,14065.0,25070,2008-01-30
25,14358.0,14359.0,13738.0,14326.0,18680,2008-01-31
26,14717.0,15012.0,14456.0,14979.0,22000,2008-02-01
27,14293.0,14391.0,14260.0,14293.0,9910,2008-02-12
28,14292.0,14292.0,13638.0,13671.0,11960,2008-02-13
29,13901.0,14327.0,13901.0,13901.0,15850,2008-02-14
30,13574.0,13737.0,13410.0,13574.0,15800,2008-02-15
31,13081.0,13245.0,12918.0,13082.0,16350,2008-02-18
32,13082.0,13082.0,12755.0,13082.0,11150,2008-02-19
33,13410.0,13410.0,12429.0,12429.0,14780,2008-02-20
34,11807.0,11807.0,11807.0,11807.0,6510,2008-02-21
35,11218.0,11218.0,11218.0,11218.0,12680,2008-02-22
36,11773.0,11773.0,11152.0,11773.0,19770,2008-02-25
37,12103.0,11776.0,11187.0,11187.0,8640,2008-02-26
38,10629.0,11185.0,10629.0,10629.0,18830,2008-02-27
39,10206.0,10468.0,10141.0,10468.0,3990,2008-02-28
40,9943.0,9975.0,9943.0,9943.0,17180,2008-02-29
41,9944.0,10304.0,9454.0,9454.0,11560,2008-03-03
42,8995.0,8995.0,8995.0,8995.0,24590,2008-03-04
43,8570.0,8570.0,8570.0,8570.0,19350,2008-03-05
44,8995.0,8995.0,8995.0,8995.0,2100,2008-03-06
45,9420.0,9420.0,9420.0,9420.0,1090,2008-03-07
46,9879.0,9879.0,9879.0,9879.0,23470,2008-03-10
47,9812.0,9813.0,9388.0,9420.0,23240,2008-03-11
48,9648.0,9812.0,9059.0,9648.0,12630,2008-03-12
49,10107.0,10107.0,10008.0,10107.0,12090,2008-03-13
50,10341.0,10341.0,9671.0,9772.0,6710,2008-03-14
51,9303.0,9370.0,9303.0,9303.0,9170,2008-03-17
52,8868.0,8868.0,8868.0,8868.0,7960,2008-03-18
53,8467.0,9303.0,8467.0,8467.0,28020,2008-03-19
54,8467.0,8835.0,8366.0,8366.0,26000,2008-03-20
55,8032.0,8366.0,7965.0,7965.0,24180,2008-03-21
56,7697.0,7697.0,7597.0,7597.0,19000,2008-03-24
57,7229.0,7229.0,7229.0,7229.0,15350,2008-03-25
58,7229.0,7362.0,7195.0,7329.0,19140,2008-03-26
59,7396.0,7396.0,7396.0,7396.0,450,2008-03-27
60,7463.0,7463.0,7463.0,7463.0,10,2008-03-28
61,7530.0,7530.0,7530.0,7530.0,310,2008-03-31
62,7530.0,7597.0,7530.0,7597.0,310,2008-04-01
63,7664.0,7664.0,7664.0,7664.0,300,2008-04-02
64,7730.0,7730.0,7730.0,7730.0,100,2008-04-03
65,7797.0,7797.0,7797.0,7797.0,10,2008-04-04
66,7931.0,7931.0,7931.0,7931.0,10,2008-04-07
67,8065.0,8065.0,7797.0,8065.0,24880,2008-04-08
68,8065.0,8065.0,8032.0,8065.0,7770,2008-04-09
69,7931.0,7931.0,7931.0,7931.0,4320,2008-04-10
70,7797.0,7797.0,7797.0,7797.0,5020,2008-04-11
71,7664.0,7664.0,7664.0,7664.0,3610,2008-04-16
72,7530.0,7797.0,7530.0,7797.0,14070,2008-04-17
73,7898.0,7898.0,7664.0,7864.0,4800,2008-04-18
74,7730.0,7730.0,7730.0,7730.0,6500,2008-04-21
75,7730.0,7730.0,7597.0,7730.0,4630,2008-04-22
76,7597.0,7597.0,7597.0,7597.0,660,2008-04-23
77,7463.0,7463.0,7463.0,7463.0,4050,2008-04-24
78,7329.0,7329.0,7329.0,7329.0,5500,2008-04-25
79,7195.0,7195.0,7195.0,7195.0,370,2008-04-28
80,7061.0,7061.0,7061.0,7061.0,7580,2008-04-29
81,7162.0,7162.0,6927.0,7162.0,4600,2008-05-05
82,7028.0,7028.0,7028.0,7028.0,200,2008-05-06
83,6894.0,6894.0,6894.0,6894.0,5240,2008-05-07
84,6760.0,6760.0,6760.0,6760.0,120,2008-05-08
85,6626.0,6626.0,6626.0,6626.0,5030,2008-05-09
86,6526.0,6526.0,6526.0,6526.0,20,2008-05-12
87,6425.0,6425.0,6425.0,6425.0,5010,2008-05-13
88,6325.0,6325.0,6325.0,6325.0,5050,2008-05-14
89,6225.0,6225.0,6225.0,6225.0,70,2008-05-15
90,6124.0,6124.0,6124.0,6124.0,5110,2008-05-16
91,6024.0,6024.0,6024.0,6024.0,310,2008-05-19
92,5923.0,5923.0,5923.0,5923.0,1020,2008-05-20
93,5823.0,5823.0,5823.0,5823.0,5010,2008-05-21
94,5723.0,5723.0,5723.0,5723.0,5010,2008-05-22
95,5622.0,5622.0,5622.0,5622.0,6010,2008-05-23
96,5522.0,5522.0,5522.0,5522.0,5010,2008-05-26
97,5522.0,5522.0,5522.0,5522.0,10,2008-05-30
98,5321.0,5321.0,5321.0,5321.0,5010,2008-06-02
99,5221.0,5221.0,5221.0,5221.0,5020,2008-06-03
100,5120.0,5120.0,5120.0,5120.0,30,2008-06-04
101,5020.0,5020.0,5020.0,5020.0,30,2008-06-05
102,4919.0,4919.0,4919.0,4919.0,10,2008-06-06
103,4852.0,4852.0,4852.0,4852.0,1000,2008-06-09
104,4786.0,4786.0,4786.0,4786.0,10,2008-06-10
105,4719.0,4719.0,4719.0,4719.0,2450,2008-06-11
106,4652.0,4652.0,4652.0,4652.0,4700,2008-06-12
107,4585.0,4652.0,4585.0,4585.0,32900,2008-06-13
108,4618.0,4652.0,4585.0,4585.0,19070,2008-06-16
109,4618.0,4652.0,4618.0,4652.0,5010,2008-06-17
110,4719.0,4719.0,4585.0,4585.0,8430,2008-06-18
111,4451.0,4451.0,4451.0,4451.0,6980,2008-06-19
112,4350.0,4350.0,4350.0,4350.0,3630,2008-06-20
113,4250.0,4350.0,4250.0,4250.0,13460,2008-06-23
114,4150.0,4150.0,4150.0,4150.0,10220,2008-06-24
115,4083.0,4250.0,4083.0,4250.0,15760,2008-06-25
116,4350.0,4350.0,4150.0,4183.0,14880,2008-06-26
117,4183.0,4183.0,4116.0,4183.0,2530,2008-06-27
118,4183.0,4183.0,4116.0,4183.0,6120,2008-06-30
119,4116.0,4284.0,4116.0,4284.0,13090,2008-07-01
120,4384.0,4384.0,4317.0,4384.0,13770,2008-07-02
121,4484.0,4484.0,4484.0,4484.0,1400,2008-07-03
122,4618.0,4618.0,4618.0,4618.0,12000,2008-07-04
123,4752.0,4752.0,4484.0,4484.0,21530,2008-07-07
124,4384.0,4384.0,4350.0,4384.0,4390,2008-07-08
125,4417.0,4417.0,4284.0,4284.0,29960,2008-07-09
126,4350.0,4384.0,4217.0,4384.0,6620,2008-07-10
127,4484.0,4484.0,4417.0,4484.0,15670,2008-07-11
128,4618.0,4618.0,4551.0,4618.0,16730,2008-07-14
129,4752.0,4752.0,4752.0,4752.0,9510,2008-07-15
130,4886.0,4886.0,4752.0,4886.0,30990,2008-07-16
131,5020.0,5020.0,5020.0,5020.0,14390,2008-07-17
132,5020.0,5020.0,4886.0,4886.0,8510,2008-07-18
133,4752.0,4752.0,4752.0,4752.0,670,2008-07-21
