,Open,High,Low,Close,Volume,TradingDate
0,18343.0,18343.0,8975.0,9761.0,28100,2008-06-11
1,9827.0,9827.0,9827.0,9827.0,10900,2008-06-12
2,9565.0,10089.0,9565.0,10089.0,20500,2008-06-13
3,9958.0,9958.0,9958.0,9958.0,3100,2008-06-16
4,10220.0,10220.0,10220.0,10220.0,1100,2008-06-17
5,10482.0,10482.0,9958.0,9958.0,7100,2008-06-18
6,10023.0,10023.0,10023.0,10023.0,400,2008-06-19
7,9630.0,9630.0,9630.0,9630.0,100,2008-06-20
8,9303.0,9303.0,9303.0,9303.0,6800,2008-06-23
9,8975.0,9368.0,8975.0,9368.0,17000,2008-06-24
10,8647.0,9172.0,8647.0,9040.0,14200,2008-06-25
11,9172.0,9172.0,8647.0,8647.0,3200,2008-06-26
12,8516.0,9040.0,8385.0,8844.0,5600,2008-06-27
13,8909.0,8975.0,8909.0,8909.0,4200,2008-06-30
14,9237.0,9237.0,8909.0,9237.0,19600,2008-07-01
15,9434.0,9434.0,9434.0,9434.0,8900,2008-07-02
16,9761.0,9761.0,9761.0,9761.0,100,2008-07-03
17,10089.0,10089.0,10089.0,10089.0,3300,2008-07-04
18,10482.0,10482.0,9827.0,9827.0,31200,2008-07-07
19,10023.0,10809.0,10023.0,10678.0,25500,2008-07-08
20,10809.0,11006.0,10613.0,11006.0,10400,2008-07-09
21,11137.0,11268.0,11137.0,11268.0,17000,2008-07-10
22,11661.0,11661.0,11661.0,11661.0,5100,2008-07-11
23,12119.0,12119.0,11464.0,12119.0,13600,2008-07-14
24,12578.0,12578.0,12119.0,12578.0,23500,2008-07-15
25,13037.0,13037.0,12971.0,13037.0,33300,2008-07-16
26,13495.0,13495.0,13495.0,13495.0,2200,2008-07-17
27,14019.0,14019.0,12971.0,12971.0,14500,2008-07-18
28,12971.0,12971.0,12971.0,12971.0,100,2008-07-21
29,12971.0,12971.0,12971.0,12971.0,0,2008-07-22
30,12513.0,12513.0,12513.0,12513.0,100,2008-07-23
31,12054.0,12054.0,12054.0,12054.0,800,2008-07-24
32,11595.0,11595.0,11595.0,11595.0,200,2008-07-25
33,11137.0,11137.0,11137.0,11137.0,5700,2008-07-28
34,10744.0,11530.0,10744.0,10809.0,26300,2008-07-29
35,10547.0,10547.0,10547.0,10547.0,500,2008-07-30
36,10154.0,10154.0,10154.0,10154.0,1600,2008-07-31
37,9761.0,9761.0,9761.0,9761.0,1900,2008-08-01
38,9434.0,10089.0,9434.0,10089.0,27800,2008-08-04
39,10154.0,10416.0,9630.0,9630.0,13100,2008-08-05
40,9434.0,10089.0,9434.0,10089.0,14100,2008-08-06
41,10416.0,10416.0,10220.0,10416.0,8300,2008-08-07
