,Open,High,Low,Close,Volume,TradingDate
0,13200.0,13200.0,7392.0,8712.0,46400,2009-12-21
1,8712.0,8712.0,8131.0,8290.0,9800,2009-12-22
2,7762.0,7814.0,7762.0,7762.0,51200,2009-12-23
3,8290.0,8290.0,7814.0,8078.0,21300,2009-12-24
4,8448.0,8606.0,8448.0,8554.0,26200,2009-12-25
5,8606.0,8606.0,8290.0,8395.0,7700,2009-12-28
6,8342.0,8554.0,7867.0,8184.0,20200,2009-12-29
7,8184.0,8448.0,8184.0,8342.0,600,2009-12-30
8,8342.0,8448.0,7867.0,8078.0,20800,2009-12-31
9,8290.0,8606.0,8290.0,8501.0,108600,2010-01-04
10,8976.0,9082.0,8923.0,9082.0,107500,2010-01-05
11,9134.0,9451.0,8976.0,9187.0,61700,2010-01-06
12,9557.0,9557.0,9398.0,9504.0,36200,2010-01-07
13,9874.0,10138.0,8976.0,10032.0,131600,2010-01-08
14,10560.0,10560.0,9346.0,9610.0,25700,2010-01-11
15,9504.0,9504.0,8976.0,9082.0,33700,2010-01-12
16,9082.0,9662.0,8923.0,9187.0,20900,2010-01-13
17,9715.0,9821.0,8976.0,9187.0,34500,2010-01-14
18,9504.0,9504.0,8976.0,9029.0,9600,2010-01-15
19,8976.0,8976.0,8448.0,8501.0,9100,2010-01-18
20,8923.0,8923.0,7920.0,8078.0,14000,2010-01-19
21,8606.0,8606.0,7867.0,7920.0,19900,2010-01-20
22,8448.0,8448.0,8131.0,8237.0,12700,2010-01-21
23,8712.0,8712.0,7920.0,8184.0,14000,2010-01-22
24,8501.0,8501.0,8237.0,8395.0,11300,2010-01-25
25,8870.0,8870.0,8448.0,8659.0,39900,2010-01-26
26,8765.0,8765.0,8131.0,8606.0,14600,2010-01-27
27,8923.0,8923.0,8026.0,8184.0,3900,2010-01-28
28,8659.0,8659.0,8342.0,8554.0,15000,2010-01-29
29,8184.0,8290.0,7973.0,8184.0,30900,2010-02-01
30,8554.0,8554.0,7656.0,8184.0,22900,2010-02-02
31,8448.0,8448.0,8395.0,8448.0,200,2010-02-03
32,8554.0,8554.0,7920.0,8395.0,31600,2010-02-04
33,8448.0,8448.0,7867.0,7973.0,6900,2010-02-05
34,8237.0,8237.0,8078.0,8237.0,29300,2010-02-08
35,7920.0,7920.0,7920.0,7920.0,300,2010-02-09
36,8237.0,8395.0,7920.0,8237.0,31300,2010-02-10
37,8237.0,8395.0,7867.0,7973.0,4500,2010-02-11
38,8342.0,8342.0,7973.0,8026.0,4500,2010-02-12
39,8290.0,8342.0,7656.0,8026.0,2100,2010-02-22
40,8026.0,8026.0,7498.0,7656.0,5700,2010-02-23
41,7920.0,7920.0,7656.0,7762.0,11600,2010-02-24
42,8237.0,8237.0,7867.0,7920.0,26400,2010-02-25
43,8078.0,8078.0,7392.0,7814.0,35400,2010-02-26
44,7920.0,7920.0,7814.0,7867.0,1900,2010-03-01
45,7867.0,7920.0,7762.0,7867.0,15000,2010-03-02
46,7920.0,7920.0,7867.0,7920.0,6100,2010-03-03
47,7920.0,8237.0,7920.0,8026.0,39400,2010-03-04
48,7709.0,8078.0,7709.0,7920.0,41200,2010-03-05
49,8184.0,8448.0,8184.0,8448.0,53600,2010-03-08
50,8976.0,9029.0,8870.0,8976.0,99500,2010-03-09
51,9504.0,9557.0,8976.0,9293.0,105400,2010-03-10
52,9240.0,9821.0,9240.0,9504.0,81100,2010-03-11
53,9398.0,9768.0,9240.0,9346.0,46400,2010-03-12
54,9398.0,9979.0,9398.0,9662.0,227500,2010-03-15
55,10296.0,10296.0,9979.0,10243.0,284300,2010-03-16
56,10243.0,10243.0,9557.0,9715.0,47300,2010-03-17
57,10138.0,10138.0,9082.0,9240.0,51200,2010-03-18
58,9293.0,9715.0,9240.0,9451.0,48900,2010-03-19
59,9451.0,9557.0,8976.0,9240.0,64800,2010-03-22
60,8976.0,8976.0,8606.0,8765.0,58800,2010-03-23
61,8976.0,9346.0,8976.0,9346.0,62600,2010-03-24
62,9979.0,9979.0,8976.0,9504.0,62100,2010-03-25
63,9715.0,9768.0,9240.0,9504.0,24400,2010-03-26
64,9504.0,9504.0,9240.0,9346.0,28200,2010-03-29
65,9346.0,9346.0,8765.0,9082.0,41100,2010-03-30
66,8765.0,9029.0,8448.0,8765.0,49000,2010-03-31
67,9082.0,9082.0,8554.0,8818.0,27200,2010-04-01
68,9082.0,9398.0,8976.0,9398.0,87200,2010-04-02
69,9979.0,9979.0,9504.0,9662.0,85500,2010-04-05
70,9768.0,10296.0,9768.0,10296.0,383100,2010-04-06
71,10930.0,10982.0,10560.0,10982.0,185200,2010-04-07
72,11722.0,11722.0,11616.0,11722.0,181700,2010-04-08
73,12514.0,12514.0,10930.0,11880.0,224800,2010-04-09
74,11141.0,11352.0,11088.0,11088.0,67400,2010-04-12
75,10560.0,11088.0,10349.0,10402.0,183100,2010-04-13
76,10507.0,11088.0,10402.0,11035.0,196600,2010-04-14
77,11722.0,11774.0,11141.0,11669.0,174100,2010-04-15
78,12302.0,12461.0,11722.0,12197.0,136900,2010-04-16
