,Open,High,Low,Close,Volume,TradingDate
0,2526.0,3761.0,2526.0,3093.0,141100,2010-01-13
1,3307.0,3307.0,3307.0,3307.0,30500,2010-01-14
2,3537.0,3537.0,3537.0,3537.0,126400,2010-01-15
3,3784.0,3784.0,3537.0,3728.0,28000,2010-01-18
4,3469.0,3537.0,3469.0,3497.0,144700,2010-01-19
5,3582.0,3582.0,3256.0,3351.0,38100,2010-01-20
6,3121.0,3250.0,3121.0,3149.0,59700,2010-01-21
7,3357.0,3368.0,3144.0,3335.0,73400,2010-01-22
8,3525.0,3525.0,3312.0,3380.0,10200,2010-01-25
9,3452.0,3548.0,3452.0,3520.0,57500,2010-01-26
10,3520.0,3520.0,3278.0,3385.0,16900,2010-01-27
11,3155.0,3155.0,3149.0,3149.0,38200,2010-01-28
12,3031.0,3088.0,2930.0,2975.0,21800,2010-01-29
13,3177.0,3177.0,3060.0,3065.0,2700,2010-02-01
14,3189.0,3189.0,3144.0,3155.0,700,2010-02-02
15,3144.0,3144.0,3088.0,3104.0,3400,2010-02-03
16,3144.0,3144.0,3003.0,3037.0,17100,2010-02-04
17,2987.0,2987.0,2835.0,2908.0,38400,2010-02-05
18,2863.0,2863.0,2807.0,2835.0,8400,2010-02-08
19,3026.0,3026.0,2638.0,2661.0,12100,2010-02-09
20,2846.0,2846.0,2841.0,2841.0,3000,2010-02-10
21,3015.0,3015.0,2841.0,2885.0,400,2010-02-11
22,2919.0,3031.0,2919.0,2998.0,18700,2010-02-12
23,3065.0,3065.0,2919.0,2998.0,12500,2010-02-22
24,2874.0,2891.0,2874.0,2885.0,6600,2010-02-23
25,2863.0,2874.0,2863.0,2874.0,106300,2010-02-24
26,2987.0,3026.0,2891.0,2925.0,45200,2010-02-25
27,2891.0,2914.0,2807.0,2857.0,17200,2010-02-26
28,2863.0,2947.0,2863.0,2902.0,25200,2010-03-01
29,2891.0,2891.0,2779.0,2807.0,7000,2010-03-02
30,2807.0,2885.0,2751.0,2796.0,11000,2010-03-03
31,2908.0,2914.0,2796.0,2841.0,42400,2010-03-04
32,2813.0,2908.0,2807.0,2841.0,46600,2010-03-05
33,2919.0,2998.0,2919.0,2958.0,63300,2010-03-08
34,3060.0,3076.0,2930.0,2975.0,24700,2010-03-09
35,3031.0,3031.0,2835.0,2953.0,27100,2010-03-10
36,2930.0,2936.0,2891.0,2908.0,22900,2010-03-11
37,2762.0,2942.0,2762.0,2874.0,34100,2010-03-12
38,3031.0,3071.0,3031.0,3065.0,186000,2010-03-15
39,3278.0,3278.0,2863.0,3026.0,53100,2010-03-16
40,2975.0,2975.0,2891.0,2919.0,14600,2010-03-17
41,3020.0,3082.0,2863.0,2975.0,38800,2010-03-18
42,2947.0,2975.0,2874.0,2930.0,49000,2010-03-19
43,2874.0,2947.0,2846.0,2908.0,26300,2010-03-22
44,3110.0,3110.0,2936.0,3003.0,49700,2010-03-23
45,2975.0,3003.0,2863.0,2919.0,22400,2010-03-24
46,2919.0,3110.0,2807.0,2914.0,76500,2010-03-25
47,2998.0,3116.0,2953.0,3082.0,226600,2010-03-26
48,3295.0,3295.0,3295.0,3295.0,55300,2010-03-29
49,3525.0,3525.0,3312.0,3492.0,172700,2010-03-30
50,3256.0,3368.0,3250.0,3262.0,124700,2010-03-31
51,3368.0,3481.0,3116.0,3318.0,175100,2010-04-01
52,3531.0,3548.0,3497.0,3542.0,130800,2010-04-02
53,3548.0,3761.0,3537.0,3660.0,144000,2010-04-05
54,3660.0,3660.0,3408.0,3464.0,151000,2010-04-06
55,3509.0,3621.0,3424.0,3475.0,81400,2010-04-07
56,3716.0,3716.0,3374.0,3475.0,89600,2010-04-08
57,3503.0,3565.0,3475.0,3514.0,126100,2010-04-09
58,3492.0,3548.0,3323.0,3374.0,62600,2010-04-12
59,3340.0,3340.0,3205.0,3262.0,62500,2010-04-13
60,3368.0,3368.0,3256.0,3267.0,20000,2010-04-14
61,3267.0,3312.0,3267.0,3278.0,21000,2010-04-15
62,3312.0,3312.0,3228.0,3267.0,34800,2010-04-16
63,3284.0,3284.0,3116.0,3189.0,67100,2010-04-19
64,3256.0,3408.0,3256.0,3374.0,86300,2010-04-20
65,3610.0,3610.0,3481.0,3598.0,160100,2010-04-21
66,3761.0,3761.0,3351.0,3385.0,52500,2010-04-22
67,3396.0,3396.0,3295.0,3335.0,58900,2010-04-26
68,3408.0,3554.0,3368.0,3458.0,72500,2010-04-27
69,3481.0,3649.0,3481.0,3615.0,149000,2010-04-28
70,3649.0,3761.0,3514.0,3587.0,77700,2010-04-29
71,3598.0,3598.0,3525.0,3570.0,73100,2010-05-04
72,3430.0,3481.0,3380.0,3419.0,41600,2010-05-05
73,3335.0,3419.0,3335.0,3391.0,48900,2010-05-06
74,3391.0,3391.0,3290.0,3335.0,54700,2010-05-07
75,3335.0,3335.0,3222.0,3245.0,60300,2010-05-10
76,3312.0,3312.0,3200.0,3250.0,27100,2010-05-11
77,3228.0,3245.0,3149.0,3194.0,28400,2010-05-12
78,3256.0,3256.0,3155.0,3177.0,14100,2010-05-13
79,3228.0,3228.0,3144.0,3166.0,19000,2010-05-14
80,3155.0,3155.0,2975.0,3071.0,27100,2010-05-17
81,3031.0,3031.0,2908.0,2942.0,23500,2010-05-18
82,2914.0,2914.0,2740.0,2818.0,73900,2010-05-19
83,2695.0,2942.0,2638.0,2796.0,50100,2010-05-20
84,2807.0,2813.0,2638.0,2745.0,79300,2010-05-21
85,2807.0,2813.0,2751.0,2779.0,37200,2010-05-24
86,2807.0,2807.0,2779.0,2801.0,28100,2010-05-25
87,2863.0,2919.0,2807.0,2869.0,20000,2010-05-26
88,2807.0,2919.0,2784.0,2863.0,16700,2010-05-27
89,2947.0,3060.0,2947.0,3020.0,11400,2010-05-28
90,3177.0,3177.0,2975.0,3093.0,1300,2010-05-31
91,3116.0,3116.0,2947.0,2987.0,8600,2010-06-01
92,2975.0,2992.0,2964.0,2975.0,4500,2010-06-02
93,3144.0,3144.0,2807.0,2874.0,7500,2010-06-03
94,2919.0,2919.0,2863.0,2897.0,8200,2010-06-04
95,2835.0,2835.0,2784.0,2801.0,11400,2010-06-07
96,2762.0,2829.0,2723.0,2751.0,11200,2010-06-08
97,2807.0,2807.0,2779.0,2784.0,26900,2010-06-09
98,2745.0,2863.0,2745.0,2813.0,5400,2010-06-10
99,2824.0,2947.0,2824.0,2914.0,8200,2010-06-11
100,2919.0,2942.0,2863.0,2925.0,9600,2010-06-14
101,2863.0,2919.0,2863.0,2908.0,12800,2010-06-15
102,3003.0,3088.0,2919.0,3037.0,11600,2010-06-16
103,3003.0,3031.0,2964.0,3009.0,9600,2010-06-17
104,3060.0,3060.0,2964.0,3048.0,18400,2010-06-18
105,3031.0,3031.0,2953.0,2992.0,15100,2010-06-21
106,2981.0,2981.0,2891.0,2919.0,10700,2010-06-22
107,2874.0,2874.0,2841.0,2863.0,8900,2010-06-23
