,Open,High,Low,Close,Volume,TradingDate
0,13199.0,13199.0,13199.0,13200.0,100,2021-04-08
1,15161.0,15161.0,15161.0,15200.0,48500,2021-04-09
2,17390.0,17390.0,15161.0,17200.0,87600,2021-04-12
3,19174.0,19709.0,17390.0,19100.0,55000,2021-04-13
4,21938.0,21938.0,21760.0,21900.0,84100,2021-04-14
5,21849.0,24435.0,18639.0,19300.0,61500,2021-04-15
6,17836.0,17836.0,16498.0,16600.0,4200,2021-04-16
7,14180.0,16052.0,14180.0,14300.0,81000,2021-04-19
8,14180.0,14180.0,12128.0,12700.0,35900,2021-04-20
9,11593.0,14536.0,11593.0,13200.0,24700,2021-04-22
10,15161.0,15161.0,13199.0,14800.0,15800,2021-04-23
11,14804.0,15607.0,14269.0,14900.0,25600,2021-04-26
12,14982.0,16409.0,12931.0,15100.0,32500,2021-04-27
13,16052.0,17301.0,16052.0,17100.0,35900,2021-04-28
14,19620.0,19620.0,17836.0,19400.0,58000,2021-04-29
15,22295.0,22295.0,22295.0,22300.0,5600,2021-05-04
16,25595.0,25595.0,25595.0,25600.0,48400,2021-05-05
17,29429.0,29429.0,21760.0,26800.0,116800,2021-05-06
18,30767.0,30856.0,22830.0,25700.0,162500,2021-05-07
19,21938.0,26576.0,21938.0,22400.0,39800,2021-05-10
20,19174.0,19174.0,19174.0,19200.0,6500,2021-05-11
21,16320.0,16320.0,16320.0,16300.0,10700,2021-05-12
22,13912.0,18549.0,13912.0,14300.0,547300,2021-05-13
23,15874.0,16052.0,12128.0,12600.0,378230,2021-05-14
24,12128.0,14180.0,10791.0,11200.0,299721,2021-05-17
25,10791.0,11148.0,9631.0,9900.0,264600,2021-05-18
26,10702.0,11326.0,9899.0,11300.0,191831,2021-05-19
27,12931.0,13020.0,12039.0,12900.0,150400,2021-05-20
28,12931.0,12931.0,11148.0,12300.0,125900,2021-05-21
29,12307.0,13734.0,12039.0,12900.0,187010,2021-05-24
30,12307.0,12307.0,11415.0,11600.0,171139,2021-05-25
31,11415.0,11415.0,10345.0,10900.0,37210,2021-05-26
32,10880.0,10880.0,9899.0,10200.0,126300,2021-05-27
33,10167.0,11415.0,10077.0,10800.0,90400,2021-05-28
34,10167.0,11326.0,10167.0,10700.0,78900,2021-05-31
35,10345.0,10612.0,10256.0,10400.0,64700,2021-06-01
36,10167.0,10702.0,10077.0,10200.0,77400,2021-06-02
37,10345.0,10880.0,10345.0,10700.0,78200,2021-06-03
38,10612.0,10791.0,9364.0,10400.0,91000,2021-06-04
39,9988.0,10969.0,9988.0,10600.0,35700,2021-06-07
40,10702.0,10791.0,10434.0,10700.0,115700,2021-06-08
41,10702.0,10880.0,10434.0,10700.0,53900,2021-06-09
42,10523.0,10702.0,10523.0,10700.0,53110,2021-06-10
43,10702.0,10880.0,9186.0,10100.0,128910,2021-06-11
44,10702.0,10880.0,10434.0,10700.0,38200,2021-06-14
45,10345.0,11058.0,10345.0,10700.0,34900,2021-06-15
46,10702.0,10880.0,10702.0,10700.0,31800,2021-06-16
47,10791.0,12307.0,10791.0,11800.0,203510,2021-06-17
48,12931.0,13555.0,12664.0,13200.0,269120,2021-06-18
49,12753.0,12753.0,11593.0,12000.0,59600,2021-06-21
50,11593.0,11861.0,10612.0,10800.0,181100,2021-06-22
51,10702.0,11504.0,10523.0,10700.0,110700,2021-06-23
52,10612.0,10969.0,10523.0,10600.0,29200,2021-06-24
53,10612.0,10612.0,10345.0,10500.0,69500,2021-06-25
54,10434.0,10702.0,10434.0,10500.0,16400,2021-06-28
55,10523.0,10702.0,10523.0,10600.0,17800,2021-06-29
56,10612.0,10880.0,9453.0,10000.0,82500,2021-06-30
57,10612.0,10612.0,10434.0,10500.0,13500,2021-07-01
58,10612.0,10612.0,10434.0,10500.0,19100,2021-07-02
59,10434.0,10612.0,10345.0,10400.0,22600,2021-07-05
60,10523.0,10523.0,10167.0,10300.0,87700,2021-07-06
61,11148.0,11504.0,9542.0,11200.0,61920,2021-07-07
62,9899.0,10880.0,9899.0,10200.0,15600,2021-07-08
63,10167.0,10345.0,9810.0,10200.0,17100,2021-07-09
64,9899.0,10167.0,9186.0,9400.0,95010,2021-07-12
65,10167.0,10167.0,9453.0,9500.0,22500,2021-07-13
66,9453.0,10167.0,9453.0,9700.0,28600,2021-07-14
67,9631.0,10077.0,9631.0,9800.0,8900,2021-07-15
68,10077.0,10791.0,9810.0,10600.0,115200,2021-07-16
69,10612.0,10612.0,9542.0,9600.0,28100,2021-07-19
70,8740.0,9810.0,8472.0,9200.0,50000,2021-07-20
71,9186.0,9721.0,8650.0,9000.0,27900,2021-07-21
72,8561.0,9721.0,8561.0,9300.0,33410,2021-07-22
73,9721.0,9721.0,9631.0,9700.0,7100,2021-07-23
74,9007.0,9275.0,9007.0,9000.0,6000,2021-07-26
75,9275.0,10167.0,8740.0,9500.0,54800,2021-07-27
76,10077.0,10791.0,10077.0,10600.0,152100,2021-07-28
77,10702.0,10702.0,9453.0,10000.0,7900,2021-07-29
78,9721.0,10077.0,9721.0,9800.0,7000,2021-07-30
79,10077.0,10077.0,9810.0,9900.0,1500,2021-08-02
80,9810.0,9988.0,9007.0,9400.0,20900,2021-08-03
81,10077.0,10077.0,9542.0,9700.0,31000,2021-08-04
82,9988.0,10077.0,9810.0,10000.0,4200,2021-08-05
83,9810.0,9988.0,9721.0,9800.0,10900,2021-08-06
84,9899.0,10077.0,9453.0,9800.0,14800,2021-08-09
85,9810.0,10167.0,9810.0,10100.0,16500,2021-08-10
86,9810.0,10167.0,9810.0,10100.0,20610,2021-08-11
87,10077.0,10167.0,9988.0,10100.0,6200,2021-08-12
88,10167.0,10612.0,10077.0,10300.0,38500,2021-08-13
89,10256.0,10523.0,9899.0,10200.0,24901,2021-08-16
90,10256.0,10434.0,10256.0,10300.0,11700,2021-08-17
91,10345.0,10523.0,10345.0,10400.0,9600,2021-08-18
92,10523.0,10702.0,10345.0,10600.0,51900,2021-08-19
93,10523.0,10702.0,9542.0,10500.0,90800,2021-08-20
94,9988.0,10702.0,9988.0,10500.0,35100,2021-08-23
95,10702.0,10969.0,10702.0,10800.0,30800,2021-08-24
96,10791.0,12396.0,10791.0,11600.0,50400,2021-08-25
97,12931.0,13288.0,12574.0,13100.0,339060,2021-08-26
98,14804.0,14804.0,12664.0,12700.0,116708,2021-08-27
99,14269.0,14358.0,11950.0,12500.0,77300,2021-08-30
100,12396.0,12396.0,10702.0,10900.0,104410,2021-08-31
101,10702.0,11415.0,10612.0,10700.0,69923,2021-09-01
102,10702.0,11326.0,10702.0,10800.0,28208,2021-09-06
103,11148.0,11326.0,10612.0,10700.0,34608,2021-09-07
104,10612.0,10702.0,10167.0,10400.0,15400,2021-09-08
105,10167.0,10434.0,10167.0,10200.0,54300,2021-09-09
106,9899.0,10969.0,9810.0,9900.0,74708,2021-09-10
107,10256.0,10612.0,10077.0,10500.0,5400,2021-09-13
108,11148.0,11148.0,10167.0,10400.0,9900,2021-09-14
109,10523.0,10612.0,10167.0,10300.0,39200,2021-09-15
110,10523.0,10612.0,10256.0,10400.0,15100,2021-09-16
111,10612.0,10612.0,10256.0,10400.0,46100,2021-09-17
112,10612.0,11148.0,10523.0,10800.0,79600,2021-09-20
113,11058.0,11148.0,10612.0,10800.0,20501,2021-09-21
114,11058.0,12396.0,10791.0,11900.0,212408,2021-09-22
115,12485.0,12485.0,11415.0,11800.0,70227,2021-09-23
116,11415.0,11593.0,10612.0,10900.0,66022,2021-09-24
117,10702.0,10791.0,9988.0,10600.0,58800,2021-09-27
118,9899.0,10612.0,9899.0,10300.0,45400,2021-09-28
119,10345.0,10702.0,10345.0,10400.0,17700,2021-09-29
