,Open,High,Low,Close,Volume,TradingDate
0,12398.0,13561.0,11662.0,12708.0,5800,2010-04-26
1,12786.0,13173.0,12011.0,12398.0,6500,2010-04-27
2,12204.0,12398.0,11817.0,11972.0,4900,2010-04-28
3,12204.0,12204.0,12011.0,12088.0,12200,2010-04-29
4,12127.0,12127.0,11623.0,11933.0,1800,2010-05-04
5,11933.0,12398.0,11933.0,12282.0,8900,2010-05-05
6,12398.0,12398.0,12398.0,12398.0,12000,2010-05-06
7,11623.0,12398.0,11623.0,12127.0,1600,2010-05-07
8,11817.0,12166.0,11817.0,12050.0,5400,2010-05-10
9,12127.0,12127.0,11623.0,11740.0,18200,2010-05-11
10,11817.0,11895.0,11817.0,11856.0,24100,2010-05-12
11,11430.0,11430.0,11430.0,11430.0,200,2010-05-13
12,11817.0,12204.0,11778.0,11972.0,10100,2010-05-14
13,11468.0,11856.0,11468.0,11662.0,400,2010-05-17
14,11701.0,11701.0,11701.0,11701.0,100,2010-05-18
15,11701.0,11701.0,10887.0,11081.0,2500,2010-05-19
16,10848.0,11817.0,10848.0,11081.0,10700,2010-05-20
17,11042.0,11042.0,10306.0,10655.0,12100,2010-05-21
18,10074.0,10074.0,9919.0,9919.0,2400,2010-05-24
19,9802.0,9802.0,9260.0,9260.0,30400,2010-05-25
20,9880.0,9880.0,9725.0,9802.0,6000,2010-05-26
21,10267.0,10461.0,9299.0,10151.0,4400,2010-05-27
22,10810.0,10848.0,10810.0,10848.0,3900,2010-05-28
23,10538.0,10577.0,10538.0,10538.0,1300,2010-05-31
24,10848.0,10848.0,10771.0,10810.0,300,2010-06-01
25,10810.0,10810.0,10500.0,10577.0,2400,2010-06-02
26,11158.0,11158.0,11158.0,11158.0,100,2010-06-03
27,10500.0,10500.0,10500.0,10500.0,1000,2010-06-04
28,9841.0,10500.0,9802.0,9841.0,4700,2010-06-07
29,10035.0,10500.0,10035.0,10151.0,2000,2010-06-08
30,10461.0,10461.0,10461.0,10461.0,100,2010-06-09
31,10422.0,10422.0,10422.0,10422.0,1000,2010-06-10
32,9764.0,9764.0,9764.0,9764.0,100,2010-06-11
33,10074.0,10422.0,10074.0,10345.0,1300,2010-06-14
34,11042.0,11042.0,10461.0,10810.0,1200,2010-06-15
35,10074.0,10422.0,10074.0,10074.0,18700,2010-06-16
36,10693.0,10693.0,10074.0,10345.0,4900,2010-06-17
37,10074.0,10074.0,10074.0,10074.0,200,2010-06-18
38,10112.0,10112.0,10074.0,10074.0,800,2010-06-21
39,10074.0,10461.0,9686.0,10112.0,1300,2010-06-22
40,9880.0,10422.0,9880.0,9957.0,2700,2010-06-23
41,9919.0,9919.0,9841.0,9841.0,9200,2010-06-24
42,9686.0,9686.0,9686.0,9686.0,600,2010-06-25
43,10345.0,10345.0,9686.0,9841.0,1100,2010-06-28
44,10267.0,10267.0,10074.0,10074.0,1200,2010-06-29
45,9686.0,9686.0,9492.0,9570.0,2300,2010-06-30
46,9686.0,9686.0,9415.0,9454.0,4000,2010-07-01
47,9492.0,9647.0,9376.0,9454.0,4300,2010-07-02
48,9996.0,10112.0,9415.0,9570.0,2200,2010-07-05
49,9570.0,9570.0,9299.0,9492.0,4300,2010-07-06
50,10074.0,10074.0,10074.0,10074.0,100,2010-07-07
51,9376.0,9376.0,9376.0,9376.0,13000,2010-07-08
52,9686.0,9686.0,9686.0,9686.0,100,2010-07-09
53,10112.0,10112.0,9299.0,9376.0,6200,2010-07-12
54,9996.0,9996.0,9376.0,9415.0,4800,2010-07-13
55,9686.0,9686.0,9299.0,9376.0,6100,2010-07-14
56,9570.0,9570.0,9299.0,9376.0,300,2010-07-15
57,9686.0,9686.0,9686.0,9686.0,100,2010-07-16
58,9376.0,9376.0,9299.0,9337.0,3200,2010-07-19
59,9337.0,9492.0,9299.0,9376.0,5200,2010-07-20
60,9647.0,9647.0,9376.0,9454.0,1400,2010-07-21
61,9454.0,9454.0,9299.0,9376.0,4000,2010-07-22
62,9686.0,9686.0,9686.0,9686.0,100,2010-07-23
63,9105.0,9260.0,9105.0,9182.0,2200,2010-07-26
64,9492.0,9492.0,8601.0,8640.0,3100,2010-07-27
65,8717.0,8795.0,8601.0,8601.0,69900,2010-07-28
66,9182.0,9182.0,9105.0,9182.0,17500,2010-07-29
67,9802.0,9802.0,9299.0,9531.0,2300,2010-07-30
68,9764.0,9764.0,9531.0,9570.0,1200,2010-08-02
69,8989.0,9299.0,8911.0,8989.0,6900,2010-08-03
70,8640.0,8911.0,8369.0,8408.0,5000,2010-08-04
71,8989.0,8989.0,8989.0,8989.0,100,2010-08-05
72,9299.0,9299.0,9299.0,9299.0,100,2010-08-06
73,9337.0,9337.0,8679.0,8756.0,9200,2010-08-09
74,8175.0,8175.0,8175.0,8175.0,4700,2010-08-10
75,8485.0,8485.0,8485.0,8485.0,100,2010-08-11
76,8485.0,8485.0,8485.0,8485.0,0,2010-08-12
77,8485.0,8485.0,8485.0,8485.0,2000,2010-08-13
78,9066.0,9066.0,9066.0,9066.0,1500,2010-08-16
79,9492.0,9492.0,9415.0,9415.0,10600,2010-08-17
80,8756.0,8756.0,8756.0,8756.0,3200,2010-08-18
81,8911.0,8989.0,8756.0,8911.0,28500,2010-08-19
82,8911.0,8989.0,8989.0,8911.0,0,2010-08-20
83,8717.0,8717.0,8717.0,8717.0,2500,2010-08-23
84,8175.0,8911.0,8175.0,8640.0,2900,2010-08-24
85,8640.0,8841.0,8640.0,8721.0,7000,2010-08-25
86,8841.0,8841.0,8841.0,8841.0,2000,2010-08-26
87,8841.0,9042.0,8238.0,8881.0,9900,2010-08-27
88,8881.0,8922.0,8881.0,8881.0,5500,2010-08-30
89,8841.0,8841.0,8841.0,8841.0,2200,2010-08-31
90,8841.0,8922.0,8841.0,8881.0,7600,2010-09-01
91,9404.0,9444.0,9404.0,9404.0,1700,2010-09-06
92,9645.0,10007.0,9444.0,9645.0,5700,2010-09-07
93,9645.0,9645.0,9645.0,9645.0,6500,2010-09-08
94,10007.0,10007.0,9846.0,9846.0,5800,2010-09-09
95,9846.0,9846.0,9846.0,9846.0,5000,2010-09-10
96,10047.0,10047.0,9886.0,9966.0,800,2010-09-13
97,10047.0,10047.0,10047.0,10047.0,3000,2010-09-14
98,10047.0,10047.0,10047.0,10047.0,0,2010-09-15
99,10047.0,10047.0,10047.0,10047.0,0,2010-09-16
100,10047.0,10047.0,10047.0,10047.0,800,2010-09-17
101,10047.0,10127.0,10047.0,10047.0,2400,2010-09-20
102,10047.0,10047.0,10047.0,10047.0,6000,2010-09-21
103,10449.0,10449.0,9846.0,10007.0,12900,2010-09-22
104,10047.0,10047.0,10047.0,10047.0,10000,2010-09-23
105,10047.0,10047.0,10047.0,10047.0,8000,2010-09-24
106,10047.0,10047.0,10047.0,10047.0,2000,2010-09-27
107,10047.0,10087.0,10047.0,10087.0,12000,2010-09-28
108,10087.0,10087.0,10087.0,10087.0,0,2010-09-29
109,9846.0,9846.0,9645.0,9685.0,10000,2010-09-30
110,10047.0,10047.0,10047.0,10047.0,100,2010-10-01
111,10047.0,10047.0,10047.0,10047.0,1200,2010-10-04
112,10047.0,10047.0,10047.0,10047.0,0,2010-10-05
113,10047.0,10047.0,10047.0,10047.0,0,2010-10-06
114,9645.0,9846.0,9645.0,9806.0,2100,2010-10-07
115,9765.0,9765.0,9765.0,9765.0,6000,2010-10-08
116,9765.0,9765.0,9645.0,9645.0,5900,2010-10-11
117,9765.0,9765.0,9645.0,9645.0,3900,2010-10-12
118,9645.0,9645.0,9645.0,9645.0,0,2010-10-13
119,9645.0,9645.0,9645.0,9645.0,2000,2010-10-14
120,9846.0,9846.0,9846.0,9846.0,100,2010-10-15
121,9645.0,9645.0,9645.0,9645.0,5000,2010-10-18
122,9645.0,9645.0,9645.0,9645.0,400,2010-10-19
123,9645.0,9645.0,9645.0,9645.0,0,2010-10-20
124,9645.0,9645.0,9645.0,9645.0,1000,2010-10-21
125,9645.0,9645.0,9645.0,9645.0,0,2010-10-22
126,9645.0,9645.0,9645.0,9645.0,0,2010-10-25
127,9645.0,10288.0,9645.0,10167.0,12100,2010-10-26
128,9645.0,9645.0,9645.0,9645.0,5000,2010-10-27
129,9645.0,9645.0,9645.0,9645.0,1000,2010-10-28
130,10007.0,10007.0,9645.0,9765.0,3000,2010-10-29
131,9765.0,9645.0,9645.0,9765.0,0,2010-11-01
132,9765.0,9645.0,9645.0,9765.0,0,2010-11-02
133,9765.0,9645.0,9645.0,9765.0,0,2010-11-03
134,10449.0,10449.0,10047.0,10208.0,11000,2010-11-04
135,10047.0,10047.0,10047.0,10047.0,5000,2010-11-05
136,10047.0,10047.0,10047.0,10047.0,0,2010-11-08
137,9645.0,9645.0,9645.0,9645.0,4000,2010-11-09
138,9645.0,9645.0,9645.0,9645.0,0,2010-11-10
139,9645.0,9645.0,9444.0,9645.0,4100,2010-11-11
140,9966.0,9966.0,9966.0,9966.0,100,2010-11-12
141,9966.0,9966.0,9966.0,9966.0,0,2010-11-15
142,10047.0,10047.0,10007.0,10047.0,13000,2010-11-16
143,10047.0,10007.0,10007.0,10047.0,0,2010-11-17
144,10047.0,10047.0,10047.0,10047.0,21000,2010-11-18
145,10087.0,10127.0,10087.0,10127.0,16000,2010-11-19
146,10007.0,10007.0,10007.0,10007.0,18000,2010-11-22
147,10007.0,10007.0,10007.0,10007.0,0,2010-11-23
148,9966.0,9966.0,9645.0,9926.0,34000,2010-11-24
149,9966.0,9966.0,9966.0,9966.0,21000,2010-11-25
150,10007.0,10007.0,10007.0,10007.0,20000,2010-11-26
151,10047.0,10047.0,10047.0,10047.0,17000,2010-11-29
152,10047.0,10047.0,10047.0,10047.0,1000,2010-11-30
153,9645.0,9645.0,9645.0,9645.0,2000,2010-12-01
154,9645.0,9645.0,9645.0,9645.0,200,2010-12-02
155,9645.0,9645.0,9645.0,9645.0,0,2010-12-03
156,9002.0,9042.0,9002.0,9002.0,700,2010-12-06
157,9605.0,9605.0,9605.0,9605.0,100,2010-12-07
158,9605.0,9605.0,9605.0,9605.0,0,2010-12-08
159,9605.0,9605.0,9605.0,9605.0,0,2010-12-09
160,9605.0,9605.0,9605.0,9605.0,0,2010-12-10
161,9645.0,9645.0,9645.0,9645.0,200,2010-12-13
162,9846.0,9846.0,9846.0,9846.0,3000,2010-12-14
163,9846.0,9846.0,9846.0,9846.0,0,2010-12-15
164,9846.0,9846.0,9846.0,9846.0,0,2010-12-16
165,9846.0,9846.0,9846.0,9846.0,0,2010-12-17
166,9846.0,9846.0,9846.0,9846.0,0,2010-12-20
167,9846.0,9846.0,9846.0,9846.0,0,2010-12-21
168,9765.0,9765.0,9765.0,9765.0,2000,2010-12-22
169,9806.0,9806.0,9645.0,9725.0,2000,2010-12-23
170,10007.0,10007.0,10007.0,10007.0,500,2010-12-24
171,10007.0,10007.0,10007.0,10007.0,0,2010-12-27
172,10007.0,10007.0,10007.0,10007.0,0,2010-12-28
173,10007.0,10007.0,10007.0,10007.0,0,2010-12-29
174,10408.0,10408.0,10408.0,10408.0,100,2010-12-30
175,10408.0,10408.0,10408.0,10408.0,0,2010-12-31
176,9685.0,10047.0,9685.0,10047.0,22000,2011-01-04
177,10047.0,10047.0,10047.0,10047.0,0,2011-01-05
178,10047.0,10047.0,10047.0,10047.0,0,2011-01-06
179,10047.0,10047.0,10047.0,10047.0,0,2011-01-07
180,10047.0,10047.0,10047.0,10047.0,0,2011-01-10
181,10047.0,10047.0,10047.0,10047.0,0,2011-01-11
182,10007.0,10007.0,10007.0,10007.0,48000,2011-01-12
183,10007.0,10007.0,10007.0,10007.0,0,2011-01-13
184,10007.0,10007.0,10007.0,10007.0,20000,2011-01-14
185,10007.0,10007.0,10007.0,10007.0,0,2011-01-17
186,9966.0,9966.0,9966.0,9966.0,24000,2011-01-18
187,9966.0,9966.0,9966.0,9966.0,0,2011-01-19
188,9966.0,9966.0,9966.0,9966.0,3000,2011-01-20
189,9926.0,9926.0,9645.0,9765.0,5600,2011-01-21
190,9765.0,9645.0,9645.0,9765.0,0,2011-01-24
191,9765.0,9645.0,9645.0,9765.0,0,2011-01-25
192,9765.0,9645.0,9645.0,9765.0,0,2011-01-26
193,9243.0,9243.0,9243.0,9243.0,2000,2011-01-27
194,9243.0,9243.0,9243.0,9243.0,0,2011-01-28
195,9846.0,9846.0,9846.0,9846.0,100,2011-02-08
196,9846.0,9846.0,9846.0,9846.0,0,2011-02-09
197,9846.0,9846.0,9846.0,9846.0,0,2011-02-10
198,9846.0,9846.0,9846.0,9846.0,0,2011-02-11
199,9846.0,9846.0,9846.0,9846.0,0,2011-02-14
200,9846.0,9846.0,9846.0,9846.0,0,2011-02-15
201,9846.0,9846.0,9846.0,9846.0,0,2011-02-16
202,9886.0,9886.0,9886.0,9886.0,800,2011-02-17
203,9886.0,9886.0,9886.0,9886.0,0,2011-02-18
204,9886.0,9886.0,9886.0,9886.0,0,2011-02-21
205,9886.0,9886.0,9886.0,9886.0,0,2011-02-22
206,9886.0,9886.0,9886.0,9886.0,0,2011-02-23
207,9886.0,9886.0,9886.0,9886.0,0,2011-02-24
208,9886.0,9886.0,9886.0,9886.0,0,2011-02-25
209,9846.0,9846.0,9846.0,9846.0,4400,2011-02-28
210,9846.0,9846.0,9846.0,9846.0,0,2011-03-01
211,9846.0,10265.0,10265.0,9846.0,0,2011-03-02
212,9636.0,9636.0,9636.0,9636.0,100,2011-03-03
213,9636.0,9636.0,9636.0,9636.0,0,2011-03-04
214,9636.0,9636.0,9636.0,9636.0,0,2011-03-07
215,9636.0,9636.0,9636.0,9636.0,0,2011-03-08
216,8966.0,8966.0,8966.0,8966.0,3000,2011-03-09
217,8966.0,8966.0,8966.0,8966.0,0,2011-03-10
218,9008.0,9008.0,9008.0,9008.0,1000,2011-03-11
219,9008.0,9008.0,9008.0,9008.0,0,2011-03-14
220,9217.0,9217.0,9217.0,9217.0,100,2011-03-15
221,9217.0,9217.0,9217.0,9217.0,0,2011-03-16
222,9217.0,9217.0,9217.0,9217.0,0,2011-03-17
223,8589.0,8631.0,8589.0,8589.0,5200,2011-03-18
224,8589.0,8589.0,8589.0,8589.0,0,2011-03-21
225,8589.0,8589.0,8589.0,8589.0,0,2011-03-22
226,8589.0,8589.0,8589.0,8589.0,0,2011-03-23
227,8379.0,8379.0,8379.0,8379.0,100,2011-03-24
228,8379.0,8379.0,8379.0,8379.0,0,2011-03-25
229,8379.0,8379.0,8379.0,8379.0,0,2011-03-28
230,8379.0,8379.0,8379.0,8379.0,0,2011-03-29
231,8379.0,8379.0,8379.0,8379.0,0,2011-03-30
232,8379.0,8379.0,8379.0,8379.0,0,2011-03-31
233,8379.0,8379.0,8379.0,8379.0,0,2011-04-01
234,8379.0,8379.0,8379.0,8379.0,0,2011-04-04
235,8379.0,8379.0,8379.0,8379.0,0,2011-04-05
236,8379.0,8379.0,8379.0,8379.0,0,2011-04-06
237,8379.0,8379.0,8379.0,8379.0,0,2011-04-07
238,8379.0,8379.0,8379.0,8379.0,0,2011-04-08
239,8379.0,8379.0,8379.0,8379.0,0,2011-04-13
240,8379.0,8379.0,8379.0,8379.0,0,2011-04-14
241,8379.0,8379.0,8379.0,8379.0,0,2011-04-15
242,8379.0,8379.0,8379.0,8379.0,0,2011-04-18
243,8379.0,8379.0,8379.0,8379.0,0,2011-04-19
244,8379.0,8379.0,8379.0,8379.0,0,2011-04-20
245,8379.0,8379.0,8379.0,8379.0,0,2011-04-21
246,8379.0,8379.0,8379.0,8379.0,0,2011-04-22
247,8379.0,8379.0,8379.0,8379.0,0,2011-04-25
248,8379.0,8379.0,8379.0,8379.0,0,2011-04-26
249,8379.0,8379.0,8379.0,8379.0,0,2011-04-27
250,8379.0,8379.0,8379.0,8379.0,0,2011-04-28
251,8379.0,8379.0,8379.0,8379.0,0,2011-04-29
252,8379.0,8379.0,8379.0,8379.0,0,2011-05-04
253,8379.0,8379.0,8379.0,8379.0,0,2011-05-05
254,8379.0,8379.0,8379.0,8379.0,0,2011-05-06
255,8379.0,8379.0,8379.0,8379.0,0,2011-05-09
256,8379.0,8379.0,8379.0,8379.0,0,2011-05-10
257,8379.0,8379.0,8379.0,8379.0,0,2011-05-11
258,8379.0,8379.0,8379.0,8379.0,0,2011-05-12
259,8379.0,8379.0,8379.0,8379.0,0,2011-05-13
260,8379.0,8379.0,8379.0,8379.0,0,2011-05-16
261,8379.0,8379.0,8379.0,8379.0,0,2011-05-17
262,8379.0,8379.0,8379.0,8379.0,0,2011-05-18
263,8379.0,8379.0,8379.0,8379.0,0,2011-05-19
264,8379.0,8379.0,8379.0,8379.0,0,2011-05-20
265,8379.0,8379.0,8379.0,8379.0,0,2011-05-23
266,8379.0,8379.0,8379.0,8379.0,0,2011-05-24
267,8379.0,8379.0,8379.0,8379.0,0,2011-05-25
268,8379.0,8379.0,8379.0,8379.0,0,2011-05-26
269,8379.0,8379.0,8379.0,8379.0,0,2011-05-27
270,8379.0,8379.0,8379.0,8379.0,0,2011-05-30
271,8379.0,8379.0,8379.0,8379.0,0,2011-05-31
272,8379.0,8379.0,8379.0,8379.0,0,2011-06-01
273,8379.0,8379.0,8379.0,8379.0,0,2011-06-02
274,7793.0,7960.0,7793.0,7877.0,400,2011-06-03
275,7877.0,7835.0,7835.0,7877.0,0,2011-06-06
276,7877.0,7877.0,7877.0,7877.0,200,2011-06-07
277,7877.0,7877.0,7877.0,7877.0,100,2011-06-08
278,7751.0,7751.0,7499.0,7625.0,1600,2011-06-09
279,8086.0,8086.0,7248.0,7541.0,500,2011-06-10
280,7709.0,7709.0,7709.0,7709.0,200,2011-06-13
281,8212.0,8212.0,7751.0,8002.0,1700,2011-06-14
282,8170.0,8170.0,8170.0,8170.0,300,2011-06-15
283,8631.0,8631.0,8631.0,8631.0,100,2011-06-16
284,9175.0,9175.0,9175.0,9175.0,100,2011-06-17
285,9175.0,9175.0,9175.0,9175.0,200,2011-06-20
286,9217.0,9217.0,8631.0,9008.0,300,2011-06-21
287,9008.0,9594.0,8798.0,9259.0,400,2011-06-22
288,9259.0,8798.0,8798.0,9259.0,0,2011-06-23
289,9259.0,8798.0,8798.0,9259.0,0,2011-06-24
290,9259.0,8798.0,8798.0,9259.0,0,2011-06-27
291,9259.0,8798.0,8798.0,9259.0,0,2011-06-28
292,9259.0,8798.0,8798.0,9259.0,0,2011-06-29
293,9259.0,8798.0,8798.0,9259.0,0,2011-06-30
294,9259.0,8798.0,8798.0,9259.0,0,2011-07-01
295,8631.0,8631.0,8631.0,8631.0,100,2011-07-04
296,8044.0,8044.0,8044.0,8044.0,100,2011-07-05
297,7499.0,7499.0,7499.0,7499.0,100,2011-07-06
298,6997.0,6997.0,6997.0,6997.0,100,2011-07-07
299,6536.0,6536.0,6536.0,6536.0,400,2011-07-08
300,6117.0,6117.0,6117.0,6117.0,100,2011-07-11
301,5698.0,5698.0,5698.0,5698.0,9400,2011-07-12
302,5321.0,5321.0,5321.0,5321.0,23100,2011-07-13
303,4986.0,4986.0,4986.0,4986.0,12400,2011-07-14
304,4986.0,4986.0,4651.0,4692.0,20900,2011-07-15
305,4986.0,4986.0,4986.0,4986.0,400,2011-07-18
306,5321.0,5321.0,5321.0,5321.0,1600,2011-07-19
307,5530.0,5656.0,5530.0,5656.0,600,2011-07-20
308,6033.0,6033.0,5991.0,6033.0,4500,2011-07-21
