,Open,High,Low,Close,Volume,TradingDate
0,4237.0,9110.0,9110.0,9110.0,10000,2006-12-14
1,4661.0,10000.0,10000.0,10000.0,100,2006-12-15
2,5085.0,10975.0,10594.0,10000.0,1100,2006-12-18
3,5509.0,11737.0,11611.0,10000.0,500,2006-12-19
4,5932.0,12797.0,12712.0,12755.0,1100,2006-12-20
5,6356.0,14068.0,14068.0,14068.0,400,2006-12-21
6,5932.0,13560.0,13560.0,13560.0,700,2006-12-22
7,5932.0,13560.0,13560.0,13560.0,0,2006-12-25
8,5932.0,13560.0,13560.0,13560.0,0,2006-12-26
9,5932.0,6025.0,5932.0,5932.0,2000,2006-12-27
10,5932.0,13772.0,13560.0,5932.0,2000,2006-12-28
11,6356.0,5932.0,5932.0,5932.0,0,2006-12-29
12,6356.0,5932.0,5932.0,5932.0,0,2007-01-02
13,6356.0,5932.0,5932.0,5932.0,0,2007-01-03
14,6356.0,5932.0,5932.0,5932.0,0,2007-01-04
15,6356.0,5932.0,5932.0,5932.0,0,2007-01-05
16,6356.0,5932.0,5932.0,5932.0,0,2007-01-08
17,6356.0,5932.0,5932.0,5932.0,0,2007-01-09
18,6356.0,5932.0,5932.0,5932.0,0,2007-01-10
19,5509.0,12331.0,12331.0,12331.0,100,2007-01-11
20,5509.0,12331.0,12331.0,12331.0,0,2007-01-12
21,5509.0,12331.0,12331.0,12331.0,0,2007-01-15
22,5509.0,12331.0,12331.0,12331.0,0,2007-01-16
23,5509.0,12331.0,12331.0,12331.0,0,2007-01-17
24,5085.0,11102.0,11102.0,11102.0,100,2007-01-18
25,5085.0,11102.0,11102.0,11102.0,0,2007-01-19
26,5085.0,11102.0,11102.0,11102.0,500,2007-01-22
27,5085.0,11102.0,11102.0,11102.0,0,2007-01-23
28,5085.0,11102.0,11102.0,11102.0,0,2007-01-24
29,4661.0,10170.0,10170.0,10170.0,300,2007-01-25
30,4237.0,10173.0,9483.0,10000.0,1900,2007-01-26
31,4661.0,9958.0,9534.0,9534.0,2200,2007-01-29
32,4661.0,10466.0,10466.0,10466.0,500,2007-01-30
33,5085.0,11483.0,11483.0,11483.0,900,2007-01-31
34,5085.0,11483.0,11483.0,11483.0,0,2007-02-01
35,5509.0,12413.0,12080.0,12288.0,2000,2007-02-02
36,6356.0,13729.0,13729.0,13729.0,500,2007-02-05
37,6356.0,14281.0,14067.0,14195.0,800,2007-02-06
38,6780.0,14831.0,14831.0,14831.0,500,2007-02-07
39,7204.0,17114.0,14225.0,16314.0,4100,2007-02-08
40,7627.0,16773.0,15934.0,16102.0,2300,2007-02-09
41,6780.0,15255.0,15255.0,15255.0,200,2007-02-12
42,7204.0,15678.0,15678.0,15678.0,300,2007-02-13
43,7204.0,15678.0,15678.0,15678.0,0,2007-02-14
44,7204.0,16356.0,16356.0,16356.0,500,2007-02-15
45,7204.0,18734.0,17173.0,17797.0,4900,2007-02-26
46,8475.0,18560.0,18433.0,18560.0,5000,2007-02-27
47,9322.0,20382.0,20382.0,20382.0,2100,2007-02-28
48,10170.0,22416.0,22416.0,22416.0,2000,2007-03-01
49,10170.0,22416.0,22416.0,22416.0,0,2007-03-02
50,11017.0,24619.0,24619.0,24619.0,200,2007-03-05
51,12288.0,27077.0,27077.0,27077.0,500,2007-03-06
52,13560.0,29747.0,29747.0,29747.0,2100,2007-03-07
53,14831.0,32713.0,32713.0,32713.0,700,2007-03-08
54,16102.0,35678.0,35300.0,35594.0,2900,2007-03-09
55,17797.0,39110.0,37808.0,38984.0,6400,2007-03-12
56,17797.0,39989.0,36874.0,38137.0,7700,2007-03-13
57,17373.0,35401.0,31553.0,38137.0,9300,2007-03-14
58,15678.0,34450.0,34450.0,34450.0,1000,2007-03-15
59,13983.0,31018.0,31018.0,31018.0,4500,2007-03-16
60,15255.0,34111.0,34111.0,34111.0,1300,2007-03-19
61,15255.0,38636.0,34925.0,37501.0,1300,2007-03-20
62,16526.0,36226.0,35384.0,35594.0,1200,2007-03-21
63,15255.0,33899.0,33899.0,33899.0,500,2007-03-22
64,13983.0,30509.0,30509.0,30509.0,100,2007-03-23
65,14407.0,30521.0,26335.0,30509.0,2400,2007-03-26
66,11865.0,26696.0,26696.0,30509.0,200,2007-03-27
67,11017.0,28947.0,26052.0,26696.0,1400,2007-03-28
68,11865.0,26781.0,26356.0,26696.0,1400,2007-03-29
69,13136.0,29238.0,29238.0,26696.0,3000,2007-03-30
70,14407.0,30022.0,28021.0,29662.0,1400,2007-04-02
71,14407.0,30728.0,25261.0,28391.0,2000,2007-04-03
72,13983.0,31823.0,31399.0,31781.0,2000,2007-04-04
73,14407.0,31781.0,31781.0,31781.0,500,2007-04-05
74,14407.0,31781.0,31781.0,31781.0,0,2007-04-06
75,14407.0,31781.0,31781.0,31781.0,0,2007-04-09
76,14407.0,31781.0,31781.0,31781.0,0,2007-04-10
77,14407.0,31823.0,31611.0,31781.0,500,2007-04-11
78,14407.0,31781.0,31781.0,31781.0,1000,2007-04-12
79,13983.0,31143.0,30723.0,30933.0,1600,2007-04-13
80,13983.0,30933.0,30933.0,30933.0,0,2007-04-16
81,12712.0,28052.0,28052.0,28052.0,300,2007-04-17
82,11441.0,27102.0,26053.0,26272.0,2600,2007-04-18
83,11865.0,26484.0,26484.0,26484.0,2000,2007-04-19
84,13136.0,27513.0,24830.0,26272.0,1700,2007-04-20
85,12712.0,26792.0,24792.0,26272.0,1200,2007-04-23
86,12712.0,27960.0,27126.0,27543.0,200,2007-04-24
87,12288.0,27543.0,27543.0,27543.0,200,2007-04-25
88,12288.0,27283.0,26444.0,26696.0,500,2007-05-02
89,12288.0,26689.0,25855.0,26272.0,400,2007-05-03
90,11441.0,25043.0,24619.0,25001.0,1700,2007-05-04
91,12288.0,27331.0,27331.0,27331.0,500,2007-05-07
92,13136.0,29577.0,29365.0,29450.0,2500,2007-05-08
93,13560.0,31558.0,29454.0,30086.0,1200,2007-05-09
94,13560.0,31781.0,30086.0,30848.0,5900,2007-05-10
95,14407.0,31823.0,31356.0,31781.0,1900,2007-05-11
96,13983.0,31357.0,31357.0,31357.0,100,2007-05-14
97,13983.0,30976.0,30848.0,30848.0,700,2007-05-15
98,13983.0,30806.0,30594.0,30721.0,400,2007-05-16
99,13560.0,30509.0,29662.0,29874.0,2200,2007-05-17
100,13136.0,29238.0,29238.0,29238.0,300,2007-05-18
101,13136.0,31516.0,29765.0,30509.0,2600,2007-05-21
102,14831.0,32458.0,32204.0,32416.0,4100,2007-05-22
103,15678.0,35080.0,33787.0,34747.0,6100,2007-05-23
104,16102.0,35594.0,33052.0,34238.0,1100,2007-05-24
105,14831.0,35794.0,34048.0,34747.0,5300,2007-05-25
106,16102.0,35076.0,33799.0,34747.0,3800,2007-05-28
107,16526.0,36479.0,33647.0,34323.0,4800,2007-05-29
108,15255.0,33899.0,33899.0,33899.0,700,2007-05-30
109,15255.0,34068.0,33857.0,33899.0,2500,2007-05-31
110,15678.0,34365.0,34323.0,34365.0,1200,2007-06-01
111,15678.0,34408.0,34153.0,34323.0,3000,2007-06-04
112,14831.0,32882.0,29634.0,30933.0,1700,2007-06-05
113,15255.0,33899.0,33899.0,33899.0,900,2007-06-06
114,15678.0,34660.0,33815.0,33899.0,2200,2007-06-07
115,15678.0,34445.0,33605.0,33899.0,4900,2007-06-08
116,15678.0,33784.0,31749.0,33052.0,4600,2007-06-11
117,15678.0,34747.0,34747.0,34747.0,1300,2007-06-12
118,15678.0,34279.0,33773.0,33984.0,3100,2007-06-13
119,16950.0,36434.0,32317.0,33264.0,4100,2007-06-14
120,15255.0,33856.0,33221.0,33264.0,1500,2007-06-15
121,14831.0,33513.0,32675.0,33052.0,2500,2007-06-18
122,14831.0,32628.0,32628.0,32628.0,700,2007-06-19
123,13983.0,31060.0,30975.0,31018.0,400,2007-06-20
124,14407.0,32204.0,32204.0,32204.0,1700,2007-06-21
125,14407.0,32204.0,32204.0,32204.0,0,2007-06-22
126,14831.0,33351.0,32923.0,33052.0,1400,2007-06-25
127,14831.0,33179.0,33094.0,33136.0,700,2007-06-26
128,14831.0,14831.0,14831.0,32628.0,1300,2007-06-27
129,14831.0,26696.0,26696.0,32416.0,100,2007-06-28
130,14831.0,14831.0,14831.0,32416.0,0,2007-06-29
131,14831.0,14831.0,14831.0,32416.0,1600,2007-07-02
132,14831.0,14831.0,14831.0,32628.0,0,2007-07-03
133,14831.0,14831.0,14407.0,32628.0,4200,2007-07-04
134,13560.0,13560.0,13560.0,29662.0,1000,2007-07-05
135,13136.0,13136.0,13136.0,29450.0,500,2007-07-06
136,13983.0,13983.0,13983.0,30509.0,100,2007-07-09
137,13983.0,13983.0,13560.0,29662.0,1500,2007-07-10
138,13560.0,14407.0,13560.0,32077.0,2100,2007-07-11
139,14407.0,14407.0,13560.0,29662.0,3500,2007-07-12
140,13560.0,13560.0,13560.0,30086.0,400,2007-07-13
141,13983.0,13983.0,13983.0,31357.0,100,2007-07-16
142,13983.0,13983.0,13560.0,29662.0,2200,2007-07-17
143,13983.0,14407.0,13560.0,29662.0,4300,2007-07-18
144,13983.0,13983.0,13560.0,29662.0,4200,2007-07-19
145,13560.0,13560.0,12712.0,28814.0,4200,2007-07-20
146,13136.0,13560.0,13136.0,13560.0,3700,2007-07-23
147,13983.0,14831.0,13983.0,14407.0,3600,2007-07-24
148,14407.0,14407.0,13983.0,14068.0,2500,2007-07-25
149,13983.0,13983.0,13560.0,13560.0,1200,2007-07-26
150,13136.0,13136.0,13136.0,13136.0,200,2007-07-27
151,13136.0,13136.0,13136.0,13136.0,200,2007-07-30
152,12712.0,12712.0,12712.0,12712.0,1000,2007-07-31
153,13136.0,13136.0,13136.0,13136.0,2000,2007-08-01
154,13136.0,13136.0,13136.0,13305.0,1200,2007-08-02
155,13136.0,13560.0,13136.0,13560.0,3000,2007-08-03
156,12712.0,12712.0,12712.0,12712.0,200,2007-08-06
157,13136.0,13136.0,13136.0,12966.0,500,2007-08-07
158,13560.0,13560.0,13136.0,12924.0,400,2007-08-08
159,13983.0,13983.0,12712.0,12500.0,2000,2007-08-09
160,12712.0,12712.0,12712.0,12543.0,1200,2007-08-10
161,12288.0,13560.0,12288.0,12077.0,1700,2007-08-13
162,11865.0,11865.0,11865.0,11865.0,1000,2007-08-14
163,11865.0,11865.0,11441.0,11483.0,1000,2007-08-15
164,11441.0,11441.0,11441.0,11441.0,1400,2007-08-16
165,11441.0,11441.0,11441.0,11526.0,1600,2007-08-17
166,11441.0,11441.0,11441.0,11441.0,500,2007-08-20
167,11017.0,11017.0,11017.0,11017.0,100,2007-08-21
168,12288.0,12288.0,10594.0,11017.0,1100,2007-08-22
169,11865.0,11865.0,10594.0,10594.0,800,2007-08-23
170,12288.0,12288.0,11865.0,11865.0,1300,2007-08-24
171,11865.0,12288.0,11441.0,11441.0,1900,2007-08-27
172,12712.0,12712.0,11017.0,11017.0,1900,2007-08-28
173,13136.0,13136.0,11865.0,11865.0,1100,2007-08-29
174,12712.0,13983.0,12288.0,12288.0,1400,2007-08-30
175,13560.0,13560.0,11865.0,12077.0,2600,2007-08-31
176,13136.0,13560.0,11865.0,11780.0,4900,2007-09-04
177,12288.0,12712.0,12288.0,12500.0,1100,2007-09-05
178,13560.0,13560.0,12288.0,12288.0,2100,2007-09-06
179,12712.0,14407.0,12288.0,12119.0,1400,2007-09-07
180,12712.0,12839.0,12712.0,12755.0,6700,2007-09-10
181,12712.0,12712.0,12288.0,12627.0,1800,2007-09-11
182,12712.0,12924.0,12288.0,12712.0,8800,2007-09-12
183,13136.0,13593.0,12377.0,12712.0,6700,2007-09-13
184,13136.0,13136.0,12288.0,12712.0,3800,2007-09-14
185,12288.0,12201.0,11787.0,12077.0,2800,2007-09-17
186,12712.0,12843.0,12500.0,12500.0,2200,2007-09-18
187,12712.0,12669.0,12417.0,12585.0,3700,2007-09-19
188,12712.0,12584.0,12374.0,12500.0,3900,2007-09-20
189,12712.0,12627.0,12500.0,12585.0,3000,2007-09-21
190,12712.0,12500.0,12288.0,12500.0,1000,2007-09-24
191,13136.0,13006.0,12502.0,12712.0,4500,2007-09-25
192,13136.0,12878.0,12463.0,12712.0,4400,2007-09-26
193,13136.0,12712.0,12463.0,12712.0,1400,2007-09-27
194,12712.0,13690.0,12834.0,13390.0,7800,2007-09-28
195,14534.0,14577.0,14407.0,14534.0,3700,2007-10-01
196,15975.0,15975.0,15975.0,15975.0,13500,2007-10-02
197,17543.0,17543.0,17543.0,17543.0,8200,2007-10-03
198,19280.0,19280.0,19280.0,19280.0,4700,2007-10-04
199,21187.0,21187.0,21187.0,21187.0,12600,2007-10-05
200,23306.0,23306.0,23306.0,23306.0,10300,2007-10-08
201,24662.0,25636.0,23306.0,24662.0,29700,2007-10-09
202,24111.0,23851.0,22216.0,23306.0,11200,2007-10-10
203,23729.0,24577.0,23729.0,24153.0,14900,2007-10-11
204,24577.0,25001.0,24153.0,24577.0,5500,2007-10-12
205,25170.0,26272.0,24492.0,25170.0,26600,2007-10-15
206,27543.0,27670.0,27119.0,27670.0,13800,2007-10-16
207,29662.0,29954.0,27993.0,29662.0,17500,2007-10-17
208,27924.0,29662.0,27119.0,27924.0,2800,2007-10-18
209,25424.0,31108.0,26288.0,29662.0,12700,2007-10-19
210,30086.0,30611.0,28543.0,29577.0,14600,2007-10-22
211,30509.0,29734.0,28495.0,29238.0,7500,2007-10-23
212,27967.0,29194.0,27925.0,28391.0,6500,2007-10-24
213,29662.0,31442.0,29823.0,31272.0,33800,2007-10-25
214,34196.0,34196.0,34196.0,34196.0,21200,2007-10-26
215,37586.0,37586.0,37289.0,37586.0,10800,2007-10-29
216,37586.0,37747.0,31404.0,34323.0,5400,2007-10-30
217,35170.0,35082.0,33560.0,33645.0,4100,2007-10-31
218,30509.0,37920.0,31203.0,36230.0,25300,2007-11-01
219,36442.0,34181.0,30008.0,32035.0,5800,2007-11-02
220,30764.0,31145.0,30764.0,30933.0,3300,2007-11-05
221,30509.0,31934.0,29776.0,30467.0,13100,2007-11-06
222,30467.0,31956.0,30635.0,30933.0,11200,2007-11-07
223,33687.0,33045.0,30063.0,30933.0,7000,2007-11-08
224,29238.0,30509.0,28814.0,29238.0,2900,2007-11-09
225,32162.0,31924.0,26918.0,28391.0,2600,2007-11-12
226,25848.0,25848.0,25763.0,25763.0,1700,2007-11-13
227,23221.0,29637.0,24313.0,28306.0,5100,2007-11-14
228,27035.0,27500.0,26865.0,27035.0,2100,2007-11-15
229,24577.0,25676.0,24413.0,25213.0,2000,2007-11-16
230,27755.0,28022.0,26311.0,26696.0,3700,2007-11-19
231,25001.0,25588.0,24749.0,25001.0,7900,2007-11-20
232,23729.0,26223.0,24475.0,24789.0,8000,2007-11-21
233,23094.0,23706.0,22619.0,22967.0,46000,2007-11-22
234,21568.0,22034.0,21187.0,21611.0,23700,2007-11-23
235,21611.0,22326.0,21062.0,21441.0,30400,2007-11-26
236,22034.0,22157.0,21530.0,21823.0,27000,2007-11-27
237,22882.0,23139.0,22711.0,22882.0,24700,2007-11-28
238,23263.0,24968.0,23246.0,24365.0,28300,2007-11-29
239,25001.0,25977.0,24699.0,25636.0,36100,2007-11-30
240,26653.0,28438.0,27021.0,28052.0,35700,2007-12-03
241,29662.0,29877.0,28596.0,29450.0,59300,2007-12-04
242,29662.0,30209.0,26972.0,28094.0,35100,2007-12-05
243,28179.0,27957.0,26275.0,26696.0,46300,2007-12-06
244,26272.0,27712.0,26231.0,27119.0,37900,2007-12-07
245,27543.0,27631.0,26356.0,26696.0,21700,2007-12-10
246,26484.0,27163.0,24903.0,25424.0,33400,2007-12-11
247,25213.0,26776.0,24457.0,25848.0,41500,2007-12-12
248,25848.0,26109.0,24611.0,25424.0,29100,2007-12-13
249,25001.0,24958.0,24323.0,24789.0,20100,2007-12-14
250,24365.0,24104.0,23266.0,23518.0,11800,2007-12-17
251,23518.0,25312.0,23595.0,24153.0,22600,2007-12-18
252,24958.0,25499.0,24461.0,25001.0,31100,2007-12-19
253,25848.0,25848.0,23306.0,24153.0,15900,2007-12-20
