,Open,High,Low,Close,Volume,TradingDate
0,11565.0,11584.0,11352.0,11565.0,440400,2016-01-15
1,12490.0,12340.0,11426.0,11719.0,325200,2016-01-18
2,11719.0,12001.0,11767.0,11873.0,259300,2016-01-19
3,11873.0,11850.0,11311.0,11488.0,382100,2016-01-20
4,11488.0,11492.0,11186.0,11333.0,307100,2016-01-21
5,11333.0,11430.0,11198.0,11333.0,176500,2016-01-22
6,11333.0,11249.0,10343.0,10794.0,556000,2016-01-25
7,10717.0,10724.0,10415.0,10562.0,285500,2016-01-26
8,10562.0,10686.0,10296.0,10485.0,599000,2016-01-27
9,10485.0,10580.0,10348.0,10485.0,213300,2016-01-28
10,10485.0,10814.0,10503.0,10640.0,211900,2016-01-29
11,10640.0,10737.0,10430.0,10640.0,280600,2016-02-01
12,10640.0,10733.0,10501.0,10640.0,205300,2016-02-02
13,10640.0,10751.0,10519.0,10640.0,226200,2016-02-03
14,10640.0,11351.0,10647.0,10948.0,416100,2016-02-04
15,10948.0,11012.0,10781.0,10871.0,177700,2016-02-05
16,10871.0,10921.0,10690.0,10794.0,189900,2016-02-15
17,10794.0,11022.0,10714.0,10871.0,230900,2016-02-16
18,10871.0,10961.0,10807.0,10871.0,195400,2016-02-17
19,10871.0,12456.0,11251.0,11950.0,895700,2016-02-18
20,12027.0,12573.0,12105.0,12336.0,628000,2016-02-19
21,12336.0,13024.0,12327.0,12721.0,565900,2016-02-22
22,12721.0,12789.0,12095.0,12336.0,460900,2016-02-23
23,12259.0,12336.0,12027.0,12181.0,264900,2016-02-24
24,12181.0,12390.0,12082.0,12259.0,307300,2016-02-25
25,12259.0,12400.0,12245.0,12336.0,227200,2016-02-26
26,12336.0,12420.0,12188.0,12336.0,246200,2016-02-29
27,12336.0,12533.0,12301.0,12413.0,299100,2016-03-01
28,12413.0,12645.0,12335.0,12490.0,259700,2016-03-02
29,12490.0,12503.0,12272.0,12413.0,259300,2016-03-03
30,12413.0,12503.0,12272.0,12413.0,304800,2016-03-04
31,12413.0,12622.0,12390.0,12490.0,243700,2016-03-07
32,12490.0,12520.0,12290.0,12413.0,272700,2016-03-08
33,12413.0,12552.0,12321.0,12413.0,255200,2016-03-09
34,12413.0,12523.0,12293.0,12413.0,234400,2016-03-10
35,12413.0,12502.0,12270.0,12413.0,202600,2016-03-11
36,12413.0,12418.0,12188.0,12336.0,141200,2016-03-14
37,12336.0,12492.0,12184.0,12336.0,242400,2016-03-15
38,12413.0,13412.0,12544.0,12952.0,873100,2016-03-16
39,12952.0,13140.0,12834.0,12952.0,363800,2016-03-17
40,12952.0,13070.0,12762.0,12875.0,267900,2016-03-18
41,12875.0,13087.0,12698.0,12875.0,348900,2016-03-21
42,12952.0,13953.0,13160.0,13569.0,799000,2016-03-22
43,13569.0,14261.0,13713.0,14032.0,567800,2016-03-23
44,14032.0,15113.0,14168.0,14649.0,777000,2016-03-24
45,14572.0,14681.0,14220.0,14340.0,329100,2016-03-25
46,14417.0,14583.0,14275.0,14417.0,251900,2016-03-28
47,14417.0,14817.0,14354.0,14649.0,388400,2016-03-29
48,14649.0,14752.0,14522.0,14649.0,285900,2016-03-30
49,14649.0,14669.0,14360.0,14494.0,258800,2016-03-31
50,14494.0,14680.0,14371.0,14494.0,226500,2016-04-01
51,14494.0,14586.0,14355.0,14494.0,180100,2016-04-04
52,14494.0,14609.0,14378.0,14494.0,164100,2016-04-05
53,14494.0,14501.0,14348.0,14494.0,156300,2016-04-06
54,14494.0,16556.0,15029.0,15882.0,1451200,2016-04-07
55,15882.0,17184.0,15778.0,16499.0,896300,2016-04-08
56,16422.0,15794.0,14112.0,14880.0,394800,2016-04-11
57,13415.0,13415.0,13415.0,13415.0,143200,2016-04-12
58,12104.0,12104.0,12104.0,12104.0,101300,2016-04-13
59,10948.0,12294.0,11485.0,11565.0,1301700,2016-04-14
60,11565.0,12821.0,11779.0,12259.0,535900,2016-04-15
