,Open,High,Low,Close,Volume,TradingDate
0,24620.0,25567.0,24620.0,25567.0,365510,2018-11-28
1,27319.0,27319.0,26514.0,26514.0,96040,2018-11-29
2,26609.0,26609.0,25946.0,25993.0,141060,2018-11-30
3,25899.0,25899.0,24241.0,24857.0,233640,2018-12-03
4,25094.0,25141.0,24810.0,24904.0,135900,2018-12-04
5,24904.0,24952.0,23176.0,23815.0,266020,2018-12-05
6,23815.0,23815.0,23200.0,23673.0,107370,2018-12-06
7,24147.0,24147.0,23673.0,23815.0,44440,2018-12-07
8,23815.0,23910.0,23152.0,23768.0,94800,2018-12-10
9,24952.0,24952.0,22637.0,23203.0,47340,2018-12-11
10,22740.0,23666.0,21608.0,22019.0,134820,2018-12-12
11,22019.0,22122.0,21350.0,21608.0,182210,2018-12-13
12,21170.0,21608.0,20167.0,20476.0,97990,2018-12-14
13,20476.0,21248.0,20064.0,20682.0,29230,2018-12-17
14,20167.0,21865.0,20167.0,21839.0,33710,2018-12-18
15,21865.0,21865.0,21582.0,21608.0,18460,2018-12-19
16,21042.0,21556.0,20733.0,21325.0,53070,2018-12-20
17,21428.0,21608.0,20193.0,21531.0,30740,2018-12-21
18,20887.0,21865.0,20887.0,21350.0,19500,2018-12-24
19,21093.0,21093.0,20373.0,20579.0,36630,2018-12-25
20,20579.0,21093.0,20579.0,21093.0,18260,2018-12-26
21,21350.0,21350.0,20733.0,21093.0,30790,2018-12-27
22,21093.0,21325.0,20630.0,21093.0,26780,2018-12-28
23,21093.0,21273.0,21042.0,21093.0,19350,2019-01-02
24,21145.0,21248.0,20579.0,21093.0,46390,2019-01-03
25,20733.0,21273.0,20733.0,21093.0,30470,2019-01-04
26,21093.0,21093.0,20836.0,20990.0,10200,2019-01-07
27,21273.0,21273.0,21093.0,21093.0,22560,2019-01-08
28,21093.0,21093.0,20939.0,21016.0,42850,2019-01-09
29,21093.0,21093.0,20990.0,20990.0,14810,2019-01-10
30,20990.0,20990.0,20836.0,20939.0,18390,2019-01-11
31,21016.0,22328.0,20990.0,22122.0,98700,2019-01-14
32,21659.0,23666.0,21659.0,23563.0,117520,2019-01-15
33,23666.0,24437.0,23408.0,23666.0,36510,2019-01-16
34,23666.0,23666.0,23048.0,23048.0,33940,2019-01-17
35,22945.0,22945.0,22174.0,22791.0,18750,2019-01-18
36,22894.0,23305.0,22740.0,23305.0,16110,2019-01-21
37,22637.0,23588.0,22637.0,23408.0,118490,2019-01-22
38,23563.0,23563.0,23151.0,23383.0,48220,2019-01-23
39,23383.0,23408.0,22842.0,23151.0,31970,2019-01-24
40,23177.0,23177.0,22997.0,23151.0,38220,2019-01-25
41,23048.0,24154.0,23048.0,24129.0,92430,2019-01-28
42,23820.0,25363.0,23717.0,24746.0,75160,2019-01-29
43,24695.0,25209.0,24643.0,24695.0,52900,2019-01-30
44,24695.0,24746.0,24437.0,24695.0,26410,2019-01-31
45,24746.0,25466.0,24746.0,25080.0,24390,2019-02-01
46,25209.0,25672.0,24797.0,25466.0,20300,2019-02-11
47,25466.0,26032.0,25466.0,25775.0,87140,2019-02-12
48,25826.0,26752.0,25775.0,26547.0,47830,2019-02-13
49,26444.0,26907.0,26238.0,26341.0,35200,2019-02-14
50,26341.0,26495.0,26135.0,26135.0,74280,2019-02-15
51,26238.0,27627.0,26135.0,27627.0,138180,2019-02-18
52,27627.0,27936.0,27370.0,27576.0,42270,2019-02-19
53,27576.0,27627.0,27267.0,27473.0,23830,2019-02-20
54,27473.0,27524.0,27061.0,27267.0,78340,2019-02-21
55,27164.0,27215.0,26752.0,27061.0,52280,2019-02-22
56,27010.0,27267.0,26598.0,27267.0,210950,2019-02-25
57,27370.0,27936.0,27318.0,27936.0,146270,2019-02-26
