,Open,High,Low,Close,Volume,TradingDate
0,9348.0,10906.0,8179.0,9433.0,2700,2010-09-15
1,8779.0,8779.0,8779.0,8779.0,2100,2010-09-16
2,9192.0,9192.0,8171.0,8826.0,9700,2010-09-17
3,8210.0,8693.0,8210.0,8374.0,300,2010-09-20
4,7790.0,7790.0,7790.0,7790.0,800,2010-09-21
5,7244.0,7244.0,7244.0,7244.0,300,2010-09-22
6,6738.0,6738.0,6738.0,6738.0,100,2010-09-23
7,6271.0,7011.0,6271.0,6279.0,18300,2010-09-24
8,6715.0,6715.0,6286.0,6481.0,31900,2010-09-27
9,6543.0,6847.0,6388.0,6590.0,17200,2010-09-28
10,6933.0,6933.0,6349.0,6645.0,20600,2010-09-29
11,6349.0,6466.0,6185.0,6247.0,14400,2010-09-30
12,6232.0,6247.0,6193.0,6208.0,17200,2010-10-01
13,6154.0,6154.0,6006.0,6068.0,14500,2010-10-04
14,6068.0,6068.0,5936.0,5959.0,10800,2010-10-05
15,5998.0,6154.0,5998.0,6037.0,400,2010-10-06
16,6115.0,6115.0,6037.0,6068.0,1600,2010-10-07
17,6068.0,6068.0,5998.0,5998.0,2500,2010-10-08
18,5959.0,5959.0,5858.0,5928.0,8100,2010-10-11
19,5920.0,6232.0,5920.0,5936.0,1700,2010-10-12
20,5998.0,6146.0,5998.0,6053.0,500,2010-10-13
21,6193.0,6193.0,6037.0,6115.0,200,2010-10-14
22,6115.0,6115.0,6076.0,6099.0,200,2010-10-15
23,6076.0,6076.0,6076.0,6076.0,200,2010-10-18
24,6037.0,6076.0,5998.0,5998.0,7800,2010-10-19
25,5998.0,5998.0,5998.0,5998.0,4500,2010-10-20
26,6006.0,6006.0,5998.0,5998.0,600,2010-10-21
27,6037.0,6037.0,5998.0,6006.0,12500,2010-10-22
28,6006.0,5998.0,5998.0,6006.0,0,2010-10-25
29,6014.0,6232.0,6014.0,6162.0,3800,2010-10-26
30,6193.0,6310.0,6193.0,6216.0,15200,2010-10-27
31,6232.0,6232.0,5998.0,6185.0,13500,2010-10-28
32,6193.0,6232.0,6193.0,6201.0,28800,2010-10-29
33,6201.0,6201.0,6193.0,6193.0,18000,2010-11-01
34,6201.0,6201.0,6193.0,6193.0,19700,2010-11-02
35,6208.0,6216.0,6201.0,6208.0,4700,2010-11-03
36,6201.0,6201.0,6201.0,6201.0,5100,2010-11-04
37,6232.0,6380.0,6232.0,6325.0,9800,2010-11-05
38,6380.0,6380.0,6310.0,6356.0,6000,2010-11-08
39,6372.0,6403.0,6364.0,6388.0,8000,2010-11-09
40,6388.0,6419.0,6356.0,6380.0,18400,2010-11-10
41,6240.0,6388.0,6240.0,6318.0,12000,2010-11-11
42,6240.0,6349.0,6240.0,6271.0,9200,2010-11-12
43,6271.0,6310.0,6271.0,6279.0,8100,2010-11-15
44,6232.0,6232.0,6169.0,6208.0,12400,2010-11-16
45,6154.0,6247.0,6092.0,6208.0,13000,2010-11-17
46,6279.0,6349.0,6279.0,6310.0,13500,2010-11-18
47,6310.0,6318.0,6310.0,6310.0,14500,2010-11-19
48,6255.0,6255.0,6255.0,6255.0,3400,2010-11-22
49,6255.0,6263.0,6255.0,6255.0,21700,2010-11-23
50,6255.0,6255.0,6247.0,6255.0,18900,2010-11-24
51,6271.0,6271.0,6255.0,6255.0,19000,2010-11-25
52,6232.0,6232.0,6154.0,6162.0,5400,2010-11-26
53,6154.0,6154.0,6053.0,6092.0,3900,2010-11-29
54,6310.0,6310.0,6310.0,6310.0,100,2010-11-30
55,6341.0,6341.0,6154.0,6154.0,7100,2010-12-01
56,6232.0,6232.0,6232.0,6232.0,500,2010-12-02
57,6388.0,6388.0,6232.0,6341.0,1400,2010-12-03
58,6240.0,6310.0,6162.0,6216.0,4000,2010-12-06
59,6076.0,6076.0,6021.0,6021.0,2500,2010-12-07
60,6251.0,6251.0,6251.0,6251.0,100,2010-12-08
61,6156.0,6251.0,6156.0,6180.0,1500,2010-12-09
62,6322.0,6322.0,6156.0,6164.0,4200,2010-12-10
63,6393.0,6591.0,6393.0,6536.0,9800,2010-12-13
64,6449.0,6567.0,6330.0,6512.0,11800,2010-12-14
65,6409.0,6441.0,6330.0,6385.0,14800,2010-12-15
66,6314.0,6488.0,6314.0,6385.0,12300,2010-12-16
67,6409.0,6559.0,6409.0,6496.0,13500,2010-12-17
68,6496.0,6528.0,6528.0,6496.0,0,2010-12-20
69,6496.0,6528.0,6528.0,6496.0,0,2010-12-21
70,6496.0,6528.0,6528.0,6496.0,0,2010-12-22
71,6496.0,6528.0,6528.0,6496.0,0,2010-12-23
72,6290.0,6290.0,6180.0,6251.0,1700,2010-12-24
73,6251.0,6180.0,6180.0,6251.0,0,2010-12-27
74,6251.0,6180.0,6180.0,6251.0,0,2010-12-28
75,6188.0,6330.0,6188.0,6306.0,600,2010-12-29
76,6306.0,6330.0,6330.0,6306.0,0,2010-12-30
77,6306.0,6330.0,6330.0,6306.0,0,2010-12-31
78,6290.0,6330.0,6251.0,6298.0,13000,2011-01-04
79,6330.0,6409.0,6330.0,6346.0,14500,2011-01-05
80,6369.0,6409.0,6369.0,6393.0,10100,2011-01-06
81,6409.0,6409.0,6401.0,6409.0,10000,2011-01-07
82,6409.0,6528.0,6369.0,6433.0,12500,2011-01-10
83,6472.0,6488.0,6472.0,6488.0,12500,2011-01-11
84,6488.0,6528.0,6488.0,6488.0,9500,2011-01-12
85,6488.0,6528.0,6488.0,6496.0,13200,2011-01-13
86,6504.0,6646.0,6504.0,6551.0,13100,2011-01-14
87,6607.0,6607.0,6607.0,6607.0,100,2011-01-17
88,6646.0,6646.0,6646.0,6646.0,100,2011-01-18
89,6726.0,6805.0,6726.0,6805.0,2200,2011-01-19
90,6805.0,6805.0,6805.0,6805.0,0,2011-01-20
91,6805.0,6805.0,6805.0,6805.0,0,2011-01-21
92,6726.0,6726.0,6726.0,6726.0,11800,2011-01-24
93,6726.0,6805.0,6726.0,6765.0,11400,2011-01-25
94,6765.0,6805.0,6805.0,6765.0,0,2011-01-26
95,7232.0,7232.0,6765.0,6805.0,4200,2011-01-27
96,6805.0,6805.0,6805.0,6805.0,10000,2011-01-28
97,6884.0,6963.0,6884.0,6947.0,6200,2011-02-08
98,6963.0,6963.0,6963.0,6963.0,1100,2011-02-09
99,6963.0,7002.0,6963.0,6995.0,600,2011-02-10
100,7042.0,7082.0,7042.0,7042.0,3300,2011-02-11
101,7121.0,7121.0,7066.0,7082.0,5400,2011-02-14
102,7121.0,7438.0,7121.0,7200.0,22300,2011-02-15
