,Open,High,Low,Close,Volume,TradingDate
0,5050.0,5550.0,5050.0,5283.0,48900,2010-07-13
1,5439.0,5550.0,4917.0,5428.0,6800,2010-07-14
2,5073.0,5073.0,5050.0,5050.0,5100,2010-07-15
3,5106.0,5383.0,5106.0,5261.0,4700,2010-07-16
4,5217.0,5217.0,4895.0,4928.0,6900,2010-07-19
5,4617.0,4662.0,4584.0,4617.0,3600,2010-07-20
6,4440.0,4939.0,4318.0,4584.0,9900,2010-07-21
7,4717.0,4895.0,4662.0,4728.0,6100,2010-07-22
8,4773.0,4773.0,4551.0,4651.0,1700,2010-07-23
9,4606.0,4606.0,4440.0,4462.0,3500,2010-07-26
10,4240.0,4240.0,4218.0,4218.0,600,2010-07-27
11,3929.0,3951.0,3929.0,3929.0,7000,2010-07-28
12,3718.0,3996.0,3663.0,3674.0,11000,2010-07-29
13,3663.0,3929.0,3663.0,3907.0,13200,2010-07-30
14,4018.0,4173.0,3996.0,4085.0,10700,2010-08-02
15,4229.0,4362.0,4162.0,4284.0,22000,2010-08-03
16,4329.0,4551.0,3996.0,4196.0,7800,2010-08-04
17,3918.0,3918.0,3907.0,3907.0,2600,2010-08-05
18,3674.0,3674.0,3641.0,3663.0,8800,2010-08-06
19,3774.0,3918.0,3441.0,3774.0,18600,2010-08-09
20,3774.0,3829.0,3774.0,3796.0,500,2010-08-10
21,3996.0,3996.0,3996.0,3996.0,100,2010-08-11
22,3718.0,3718.0,3718.0,3718.0,1100,2010-08-12
23,3474.0,3474.0,3463.0,3474.0,2000,2010-08-13
24,3663.0,3696.0,3241.0,3341.0,24900,2010-08-16
25,3274.0,3274.0,3219.0,3252.0,5000,2010-08-17
26,3441.0,3474.0,3219.0,3352.0,1200,2010-08-18
27,3163.0,3163.0,3119.0,3119.0,4500,2010-08-19
28,3119.0,3119.0,3041.0,3119.0,1700,2010-08-20
29,2908.0,2908.0,2908.0,2908.0,1400,2010-08-23
30,2775.0,2775.0,2708.0,2753.0,5800,2010-08-24
31,2564.0,2575.0,2564.0,2564.0,5600,2010-08-25
32,2564.0,2742.0,2564.0,2686.0,4700,2010-08-26
33,2553.0,2553.0,2553.0,2553.0,1500,2010-08-27
34,2730.0,2730.0,2719.0,2730.0,7500,2010-08-30
35,2553.0,2919.0,2553.0,2841.0,4200,2010-08-31
36,3030.0,3030.0,2897.0,2997.0,7100,2010-09-01
37,3197.0,3197.0,3197.0,3197.0,1300,2010-09-06
38,3219.0,3419.0,3163.0,3363.0,14300,2010-09-07
39,3552.0,3552.0,3552.0,3552.0,100,2010-09-08
40,3552.0,3607.0,3330.0,3485.0,3500,2010-09-09
41,3385.0,3385.0,3263.0,3319.0,2700,2010-09-10
