,Open,High,Low,Close,Volume,TradingDate
0,12621.0,12621.0,12621.0,12621.0,1800,2018-04-05
1,13869.0,13869.0,13869.0,13869.0,19800,2018-04-06
2,15256.0,15256.0,15256.0,15256.0,29800,2018-04-09
3,16781.0,16781.0,16781.0,16781.0,57300,2018-04-10
4,18215.0,18451.0,18220.0,18446.0,45100,2018-04-11
5,20156.0,20271.0,20132.0,20249.0,59900,2018-04-12
6,20803.0,21987.0,19299.0,20249.0,53800,2018-04-13
7,18954.0,20670.0,18880.0,20249.0,33700,2018-04-16
8,19879.0,20320.0,18902.0,19648.0,34400,2018-04-17
9,18631.0,19748.0,18901.0,19185.0,33000,2018-04-18
10,19139.0,19780.0,19067.0,19232.0,36900,2018-04-19
11,18723.0,19796.0,19042.0,19370.0,41500,2018-04-20
12,19648.0,19296.0,18434.0,18769.0,32127,2018-04-23
13,18769.0,18927.0,18648.0,18815.0,28400,2018-04-24
14,18631.0,20953.0,18801.0,18908.0,48902,2018-04-26
15,18492.0,21720.0,19350.0,20757.0,41950,2018-04-27
16,19185.0,23921.0,21121.0,21728.0,44108,2018-05-02
17,19879.0,23959.0,21068.0,22606.0,47308,2018-05-03
18,22606.0,24035.0,22645.0,23577.0,64715,2018-05-04
19,23577.0,24041.0,23198.0,23716.0,13119,2018-05-07
20,23577.0,24440.0,22941.0,23577.0,21000,2018-05-08
21,23577.0,23729.0,22799.0,23577.0,16100,2018-05-09
22,24039.0,24102.0,23685.0,23901.0,22900,2018-05-10
23,23254.0,24147.0,23488.0,23716.0,4710,2018-05-11
24,23207.0,23635.0,23037.0,23161.0,27000,2018-05-14
25,22745.0,22997.0,21127.0,22190.0,36602,2018-05-15
26,21728.0,21878.0,21646.0,21728.0,8300,2018-05-16
27,21312.0,21803.0,21250.0,21682.0,15400,2018-05-17
28,21728.0,21728.0,21728.0,21728.0,9500,2018-05-18
29,21820.0,21934.0,21704.0,21820.0,12900,2018-05-21
30,21728.0,21098.0,20070.0,20757.0,20900,2018-05-22
31,20803.0,21460.0,20994.0,21266.0,24200,2018-05-23
32,22653.0,22867.0,22405.0,22560.0,16035,2018-05-24
33,23069.0,23038.0,21746.0,22560.0,18100,2018-05-25
34,22884.0,22363.0,21459.0,21959.0,17550,2018-05-28
35,22190.0,23628.0,22446.0,23069.0,29511,2018-05-29
36,21959.0,23377.0,22253.0,23069.0,13100,2018-05-30
37,23069.0,23753.0,23331.0,23438.0,16500,2018-05-31
38,22421.0,23650.0,22624.0,23392.0,21200,2018-06-01
39,23392.0,23442.0,22932.0,23069.0,8000,2018-06-04
40,23069.0,23072.0,22333.0,22606.0,17001,2018-06-05
41,22606.0,22938.0,22002.0,22606.0,13301,2018-06-06
42,22190.0,23058.0,22490.0,22514.0,3700,2018-06-07
43,22329.0,22648.0,22415.0,22514.0,16611,2018-06-08
44,22236.0,22669.0,22206.0,22421.0,17800,2018-06-11
45,21820.0,23927.0,21470.0,21959.0,194800,2018-06-12
46,21959.0,22499.0,21894.0,22098.0,25100,2018-06-13
47,22190.0,22282.0,21818.0,22005.0,10900,2018-06-14
48,21913.0,21913.0,21682.0,21820.0,10200,2018-06-15
49,22098.0,21899.0,21304.0,21543.0,9100,2018-06-18
50,21728.0,21415.0,20823.0,21219.0,6400,2018-06-19
51,21451.0,22611.0,20906.0,21035.0,42500,2018-06-20
52,20896.0,20965.0,20873.0,20896.0,1700,2018-06-21
53,20803.0,20808.0,20762.0,20803.0,2400,2018-06-22
54,20988.0,20908.0,20816.0,20896.0,4200,2018-06-25
55,20803.0,21006.0,20821.0,20942.0,5900,2018-06-26
56,20988.0,20391.0,18459.0,20064.0,3000,2018-06-27
57,19833.0,19833.0,19833.0,19833.0,11000,2018-06-28
58,19601.0,21533.0,19157.0,20110.0,24300,2018-06-29
59,20757.0,20757.0,20757.0,20757.0,6800,2018-07-02
60,21219.0,20757.0,20305.0,20757.0,9400,2018-07-03
61,20341.0,18758.0,17149.0,18723.0,14600,2018-07-04
62,18677.0,18055.0,16312.0,16874.0,8600,2018-07-05
63,15210.0,16439.0,14617.0,15256.0,14100,2018-07-06
