,Open,High,Low,Close,Volume,TradingDate
0,16200.0,16200.0,8800.0,11500.0,62100,2017-07-31
1,10400.0,10400.0,10400.0,10400.0,23200,2017-08-01
2,10000.0,10300.0,9800.0,10200.0,115000,2017-08-02
3,10200.0,10500.0,10000.0,10500.0,124200,2017-08-03
4,10200.0,10400.0,10000.0,10400.0,112800,2017-08-04
5,10200.0,10200.0,9800.0,10000.0,62600,2017-08-07
6,10100.0,10100.0,9800.0,9900.0,100500,2017-08-08
7,10000.0,10000.0,9800.0,9800.0,103300,2017-08-09
8,9800.0,9800.0,9100.0,9300.0,52600,2017-08-10
9,9500.0,9500.0,8500.0,9300.0,119800,2017-08-11
10,9300.0,9400.0,8400.0,8500.0,91800,2017-08-14
11,9000.0,9000.0,9000.0,9000.0,400,2017-08-15
12,8900.0,9500.0,8900.0,9500.0,17000,2017-08-16
13,9500.0,9500.0,8600.0,8600.0,2000,2017-08-17
14,8000.0,8000.0,8000.0,8000.0,200,2017-08-18
15,8800.0,8800.0,8200.0,8200.0,110600,2017-08-21
16,8200.0,9000.0,8200.0,8900.0,83000,2017-08-22
17,9000.0,9000.0,8900.0,8900.0,30600,2017-08-23
18,8900.0,9400.0,8900.0,9300.0,102300,2017-08-24
19,9300.0,9400.0,9100.0,9300.0,107500,2017-08-25
20,9000.0,9300.0,8400.0,9300.0,133300,2017-08-28
21,9000.0,9100.0,8700.0,9000.0,91800,2017-08-29
22,8900.0,8900.0,8500.0,8800.0,12600,2017-08-30
23,8900.0,8900.0,8300.0,8800.0,149700,2017-08-31
24,8900.0,8900.0,8700.0,8700.0,97700,2017-09-01
25,8700.0,8800.0,8600.0,8600.0,156500,2017-09-05
26,8900.0,8900.0,8400.0,8700.0,153200,2017-09-06
27,8800.0,8800.0,8500.0,8800.0,140300,2017-09-07
28,8500.0,8800.0,8500.0,8800.0,91400,2017-09-08
29,9200.0,9200.0,8200.0,8900.0,173900,2017-09-11
30,8800.0,8800.0,8100.0,8100.0,216200,2017-09-12
31,8500.0,8800.0,8500.0,8600.0,152200,2017-09-13
32,8400.0,8400.0,7800.0,7800.0,187900,2017-09-14
33,8000.0,8000.0,7800.0,7800.0,9000,2017-09-15
34,7800.0,8100.0,7500.0,7500.0,171100,2017-09-18
35,7400.0,7900.0,7000.0,7700.0,159300,2017-09-19
36,7800.0,7800.0,7000.0,7000.0,158400,2017-09-20
37,7300.0,7500.0,7100.0,7300.0,217500,2017-09-21
38,7800.0,7800.0,7400.0,7400.0,1400,2017-09-22
39,7400.0,7400.0,7000.0,7100.0,152500,2017-09-25
40,7000.0,7200.0,7000.0,7100.0,187700,2017-09-26
41,7300.0,7800.0,7300.0,7800.0,45800,2017-09-27
42,8000.0,8000.0,7400.0,7400.0,167300,2017-09-28
43,7600.0,8000.0,7000.0,7100.0,183100,2017-09-29
44,7200.0,7400.0,7200.0,7300.0,200400,2017-10-02
45,7300.0,7700.0,7300.0,7700.0,219400,2017-10-03
46,7600.0,7700.0,7300.0,7700.0,249100,2017-10-04
47,7300.0,7800.0,7200.0,7300.0,256300,2017-10-05
48,7500.0,7700.0,7400.0,7700.0,156300,2017-10-06
49,7500.0,7700.0,7200.0,7700.0,207300,2017-10-09
50,7400.0,7700.0,7300.0,7600.0,208500,2017-10-10
51,7400.0,7800.0,7400.0,7400.0,278300,2017-10-11
52,7700.0,8000.0,7300.0,7500.0,164100,2017-10-12
53,7900.0,8100.0,7500.0,7700.0,270700,2017-10-13
54,7800.0,7800.0,7600.0,7600.0,311200,2017-10-16
55,7800.0,8000.0,7700.0,8000.0,295400,2017-10-17
56,7900.0,8700.0,7900.0,8700.0,287900,2017-10-18
57,8500.0,8600.0,7900.0,8100.0,372000,2017-10-19
58,7800.0,8200.0,7800.0,8100.0,217300,2017-10-20
59,7800.0,7900.0,7800.0,7800.0,232200,2017-10-23
60,7800.0,8400.0,7700.0,8400.0,220100,2017-10-24
61,8300.0,8300.0,7700.0,7700.0,119500,2017-10-25
62,7800.0,7800.0,7200.0,7700.0,72440,2017-10-26
63,7700.0,8400.0,7400.0,8400.0,398600,2017-10-27
64,8400.0,9200.0,8400.0,9200.0,463350,2017-10-30
65,9000.0,9400.0,8500.0,9300.0,346340,2017-10-31
66,8800.0,9400.0,8500.0,8800.0,357000,2017-11-01
67,8600.0,8800.0,8600.0,8800.0,262300,2017-11-02
68,8700.0,8800.0,8700.0,8800.0,209300,2017-11-03
69,8700.0,9200.0,8700.0,9100.0,347500,2017-11-06
70,9000.0,9100.0,9000.0,9000.0,237600,2017-11-07
71,8900.0,9000.0,8800.0,8900.0,295800,2017-11-08
72,8700.0,9000.0,8600.0,9000.0,310200,2017-11-09
73,8800.0,9300.0,8800.0,9200.0,437200,2017-11-10
74,8900.0,9400.0,8900.0,9400.0,385600,2017-11-13
75,9200.0,9500.0,9000.0,9400.0,321000,2017-11-14
76,9000.0,9400.0,8900.0,9400.0,283800,2017-11-15
77,9000.0,9400.0,9000.0,9000.0,291400,2017-11-16
78,9000.0,9500.0,9000.0,9500.0,240900,2017-11-17
79,9000.0,9500.0,9000.0,9400.0,203700,2017-11-20
80,9000.0,9500.0,9000.0,9000.0,453100,2017-11-21
81,8700.0,9000.0,8700.0,8800.0,353400,2017-11-22
82,8800.0,9000.0,8800.0,9000.0,305360,2017-11-23
83,9000.0,9000.0,8800.0,9000.0,263400,2017-11-24
84,8900.0,9100.0,8900.0,9000.0,251400,2017-11-27
85,8900.0,9000.0,8900.0,9000.0,219700,2017-11-28
86,8900.0,9900.0,8800.0,9900.0,709000,2017-11-29
87,10000.0,10800.0,10000.0,10500.0,502680,2017-11-30
88,10600.0,10600.0,10000.0,10500.0,460310,2017-12-01
89,10300.0,10700.0,9900.0,10100.0,368900,2017-12-04
90,9800.0,10100.0,9600.0,10100.0,239020,2017-12-05
91,9700.0,10800.0,9500.0,10800.0,160360,2017-12-06
92,10300.0,10400.0,10100.0,10300.0,139300,2017-12-07
93,10100.0,10400.0,10100.0,10400.0,89500,2017-12-08
94,10000.0,10400.0,10000.0,10400.0,100450,2017-12-11
95,10100.0,10200.0,10000.0,10100.0,113400,2017-12-12
96,9900.0,10000.0,9800.0,10000.0,16800,2017-12-13
97,9900.0,10000.0,9900.0,10000.0,33000,2017-12-14
98,9900.0,10000.0,9900.0,10000.0,4100,2017-12-15
99,9900.0,10000.0,9700.0,10000.0,60500,2017-12-18
100,9900.0,10000.0,9700.0,10000.0,57400,2017-12-19
101,9900.0,10000.0,9800.0,10000.0,25900,2017-12-20
102,9900.0,10000.0,9900.0,10000.0,30100,2017-12-21
103,9900.0,10000.0,9800.0,10000.0,21900,2017-12-22
104,9900.0,10000.0,9900.0,10000.0,35400,2017-12-25
105,9900.0,10000.0,9800.0,10000.0,143919,2017-12-26
106,9900.0,9900.0,9700.0,9800.0,19200,2017-12-27
107,9700.0,9800.0,9700.0,9800.0,16900,2017-12-28
108,9800.0,9800.0,9600.0,9800.0,23600,2017-12-29
109,9800.0,9900.0,9800.0,9900.0,212300,2018-01-02
110,9800.0,10000.0,9700.0,9900.0,221210,2018-01-03
111,9800.0,9900.0,9800.0,9900.0,141000,2018-01-04
112,9800.0,10000.0,9800.0,9900.0,120000,2018-01-05
113,9800.0,9900.0,9800.0,9900.0,179900,2018-01-08
114,9900.0,9900.0,9700.0,9900.0,130929,2018-01-09
115,9800.0,9900.0,9800.0,9900.0,120000,2018-01-10
116,9800.0,9900.0,9800.0,9900.0,44300,2018-01-11
117,9800.0,9900.0,9800.0,9900.0,50500,2018-01-12
118,9800.0,9900.0,9700.0,9900.0,128210,2018-01-15
119,9800.0,9900.0,9800.0,9900.0,130400,2018-01-16
120,9800.0,9900.0,9800.0,9800.0,42900,2018-01-17
121,9800.0,9800.0,9700.0,9800.0,124500,2018-01-18
122,9800.0,9900.0,9700.0,9700.0,134200,2018-01-19
123,9700.0,9800.0,9600.0,9700.0,133000,2018-01-22
124,9700.0,9700.0,9000.0,9700.0,200500,2018-01-23
125,9700.0,9700.0,9600.0,9700.0,112600,2018-01-24
126,9700.0,9700.0,9000.0,9700.0,95600,2018-01-25
127,9600.0,9700.0,9600.0,9700.0,101600,2018-01-26
128,9700.0,9700.0,9000.0,9500.0,95100,2018-01-29
129,9400.0,9500.0,9000.0,9500.0,26500,2018-01-30
130,9400.0,9500.0,8800.0,9400.0,31700,2018-01-31
131,9300.0,10300.0,9100.0,10300.0,233100,2018-02-01
132,10300.0,10300.0,9400.0,9400.0,156700,2018-02-02
133,9400.0,10100.0,9000.0,10100.0,155400,2018-02-05
134,10100.0,10200.0,9100.0,10200.0,127100,2018-02-06
135,10000.0,10000.0,9300.0,9400.0,160500,2018-02-07
136,9400.0,9800.0,8900.0,9700.0,194900,2018-02-08
137,9600.0,9600.0,8800.0,9500.0,126100,2018-02-09
138,9500.0,9900.0,9500.0,9900.0,61800,2018-02-12
139,9900.0,10000.0,9500.0,9500.0,60200,2018-02-13
140,9500.0,9900.0,8800.0,9900.0,70400,2018-02-21
141,9700.0,9700.0,9300.0,9500.0,72700,2018-02-22
142,9500.0,9600.0,9500.0,9500.0,70200,2018-02-23
143,9500.0,9600.0,9000.0,9300.0,73000,2018-02-26
144,9300.0,9400.0,9300.0,9300.0,60900,2018-02-27
145,9300.0,9400.0,9200.0,9400.0,60700,2018-02-28
146,9300.0,9300.0,9200.0,9300.0,61500,2018-03-01
147,9300.0,9300.0,9300.0,9300.0,3100,2018-03-02
148,9200.0,9300.0,9200.0,9300.0,400,2018-03-05
149,9200.0,9200.0,9000.0,9200.0,192200,2018-03-06
150,9200.0,9500.0,9000.0,9400.0,257400,2018-03-07
151,9200.0,9400.0,9100.0,9400.0,259100,2018-03-08
152,9200.0,9400.0,9100.0,9400.0,117500,2018-03-09
153,9400.0,9400.0,9200.0,9400.0,353900,2018-03-12
154,9300.0,9400.0,9200.0,9400.0,375900,2018-03-13
155,9400.0,9900.0,9300.0,9500.0,384700,2018-03-14
156,9400.0,10400.0,9400.0,10400.0,350900,2018-03-15
157,10600.0,11400.0,10600.0,11400.0,413300,2018-03-16
158,12500.0,12500.0,11300.0,11300.0,508610,2018-03-19
159,11000.0,11900.0,11000.0,11600.0,310600,2018-03-20
160,11600.0,11600.0,11000.0,11500.0,251500,2018-03-21
161,11500.0,11500.0,10400.0,10400.0,51200,2018-03-22
162,10000.0,10300.0,9700.0,10200.0,266200,2018-03-23
163,9800.0,10400.0,9700.0,10400.0,288600,2018-03-26
164,10400.0,10400.0,9700.0,10400.0,282500,2018-03-27
165,9700.0,10600.0,9700.0,10600.0,280100,2018-03-28
166,10000.0,10600.0,9800.0,10500.0,275310,2018-03-29
167,9800.0,10500.0,9700.0,10500.0,273100,2018-03-30
168,9900.0,10600.0,9900.0,10600.0,335700,2018-04-02
169,10200.0,10700.0,9800.0,10600.0,270300,2018-04-03
170,10500.0,10700.0,9900.0,10600.0,283900,2018-04-04
171,10600.0,10800.0,10100.0,10700.0,321739,2018-04-05
172,10700.0,11300.0,10300.0,11000.0,279400,2018-04-06
173,11200.0,11200.0,10200.0,11000.0,608900,2018-04-09
174,10500.0,11300.0,10400.0,11300.0,374200,2018-04-10
175,11300.0,11300.0,10700.0,11100.0,524619,2018-04-11
176,11000.0,11300.0,10800.0,11100.0,621000,2018-04-12
177,10400.0,11300.0,10300.0,11000.0,519300,2018-04-13
178,10200.0,11200.0,10200.0,11200.0,282800,2018-04-16
179,10900.0,11400.0,10600.0,11400.0,572700,2018-04-17
180,11300.0,12500.0,11300.0,12500.0,562510,2018-04-18
181,12600.0,12700.0,11800.0,12300.0,394100,2018-04-19
182,12000.0,12300.0,11800.0,12300.0,552900,2018-04-20
183,12000.0,12300.0,11700.0,12200.0,616900,2018-04-23
184,12200.0,12200.0,11600.0,12200.0,571500,2018-04-24
185,12000.0,12400.0,11300.0,12100.0,1012700,2018-04-26
186,12100.0,12800.0,11600.0,12100.0,990400,2018-04-27
187,11800.0,12300.0,11300.0,12300.0,944200,2018-05-02
188,12200.0,13000.0,11400.0,12400.0,1000700,2018-05-03
189,12200.0,12200.0,11700.0,12000.0,988600,2018-05-04
190,12000.0,12500.0,11900.0,12500.0,1025200,2018-05-07
191,12600.0,13400.0,11900.0,12300.0,1025200,2018-05-08
192,12300.0,12300.0,11800.0,11800.0,1076600,2018-05-09
193,11700.0,11900.0,11000.0,11900.0,1034800,2018-05-10
194,11800.0,12100.0,11500.0,12100.0,961960,2018-05-11
195,12300.0,12400.0,11100.0,12100.0,1076000,2018-05-14
196,12100.0,12100.0,11800.0,12000.0,984400,2018-05-15
197,11800.0,12000.0,11500.0,11900.0,952800,2018-05-16
198,11900.0,11900.0,11100.0,11700.0,1027310,2018-05-17
199,11600.0,11600.0,11200.0,11200.0,1081500,2018-05-18
200,10400.0,11500.0,10400.0,11500.0,1044200,2018-05-21
201,11100.0,11100.0,10500.0,10500.0,1197900,2018-05-22
202,10500.0,11100.0,9800.0,11100.0,1247712,2018-05-23
203,11000.0,11200.0,10500.0,11100.0,1206200,2018-05-24
204,11100.0,11500.0,10700.0,11500.0,1152900,2018-05-25
205,11600.0,11600.0,10700.0,10900.0,1194408,2018-05-28
206,10200.0,11400.0,10200.0,11400.0,1063600,2018-05-29
207,11400.0,11900.0,10500.0,10500.0,794000,2018-05-30
208,10500.0,11500.0,9700.0,11300.0,1274808,2018-05-31
209,11900.0,11900.0,10700.0,10900.0,982300,2018-06-01
210,10900.0,11000.0,10200.0,10800.0,1086500,2018-06-04
211,10800.0,11000.0,10000.0,10900.0,1159300,2018-06-05
212,10700.0,10700.0,10300.0,10700.0,969040,2018-06-06
213,10500.0,10600.0,10400.0,10500.0,938200,2018-06-07
214,10500.0,10600.0,9800.0,10600.0,927500,2018-06-08
215,10400.0,10500.0,10400.0,10500.0,832600,2018-06-11
216,10300.0,10500.0,10300.0,10500.0,972539,2018-06-12
217,10500.0,10500.0,10300.0,10500.0,981400,2018-06-13
218,10500.0,10800.0,9800.0,10400.0,1210700,2018-06-14
219,10300.0,10400.0,9800.0,10400.0,1139400,2018-06-15
220,10400.0,10600.0,10200.0,10400.0,1062800,2018-06-18
221,10300.0,10600.0,9700.0,10400.0,1039300,2018-06-19
222,10300.0,10400.0,10200.0,10400.0,1370600,2018-06-20
223,10400.0,10800.0,9700.0,10400.0,1373100,2018-06-21
224,10400.0,10600.0,10200.0,10300.0,1302300,2018-06-22
225,10100.0,10500.0,9600.0,10300.0,1203600,2018-06-25
226,10300.0,10700.0,10000.0,10200.0,1222100,2018-06-26
227,10200.0,10300.0,10000.0,10200.0,1266800,2018-06-27
228,10100.0,10400.0,10000.0,10400.0,1179800,2018-06-28
229,10400.0,10500.0,9700.0,10400.0,1023700,2018-06-29
230,10400.0,10800.0,10000.0,10200.0,1140925,2018-07-02
231,10200.0,10200.0,9500.0,10200.0,1275200,2018-07-03
232,10100.0,10200.0,9900.0,10200.0,1251900,2018-07-04
233,10200.0,10200.0,9900.0,10200.0,1099900,2018-07-05
234,10000.0,10300.0,9500.0,10300.0,1202500,2018-07-06
235,10300.0,10800.0,9600.0,10500.0,1135400,2018-07-09
236,10500.0,10500.0,10100.0,10400.0,1122050,2018-07-10
237,10200.0,10200.0,10000.0,10200.0,997300,2018-07-11
238,10100.0,10800.0,9600.0,10500.0,1083900,2018-07-12
239,10300.0,11200.0,10200.0,10500.0,1048600,2018-07-13
240,10400.0,10400.0,10000.0,10200.0,965900,2018-07-16
241,10100.0,10500.0,9500.0,10500.0,1100500,2018-07-17
