,Open,High,Low,Close,Volume,TradingDate
0,5438.0,,,5400.0,0,2010-01-26
1,5244.0,5438.0,5438.0,5200.0,0,2010-01-27
2,5050.0,5050.0,5050.0,5000.0,0,2010-02-05
3,3651.0,3651.0,3651.0,3700.0,0,2010-03-01
4,3651.0,3651.0,3651.0,3700.0,0,2010-03-02
5,3651.0,3651.0,3651.0,3700.0,0,2010-03-03
6,3302.0,3302.0,3302.0,3300.0,400,2010-03-04
7,3612.0,3733.0,3612.0,3600.0,1150,2010-03-05
8,3612.0,3496.0,3496.0,3600.0,0,2010-03-08
9,3612.0,3496.0,3496.0,3600.0,0,2010-03-09
10,3185.0,3185.0,3146.0,3200.0,1020,2010-03-10
11,2874.0,2913.0,2836.0,2900.0,1200,2010-03-11
12,2913.0,2913.0,2913.0,2900.0,500,2010-03-12
13,2913.0,3143.0,2875.0,2900.0,1200,2010-03-15
14,3224.0,3224.0,3224.0,3200.0,200,2010-03-16
15,3224.0,3224.0,3224.0,3200.0,0,2010-03-17
16,3302.0,3535.0,3302.0,3300.0,5320,2010-03-18
17,3107.0,3568.0,3069.0,3100.0,1600,2010-03-19
18,3457.0,3496.0,3339.0,3500.0,3000,2010-03-22
19,3729.0,3729.0,3729.0,3700.0,120,2010-03-23
20,3729.0,3729.0,3729.0,3700.0,0,2010-03-24
21,3379.0,3418.0,3418.0,3400.0,0,2010-03-26
22,3729.0,3729.0,3729.0,3700.0,4000,2010-03-29
23,3379.0,3379.0,3379.0,3400.0,0,2010-03-30
24,3379.0,3379.0,3379.0,3400.0,10,2010-03-31
25,3690.0,3690.0,3690.0,3700.0,2010,2010-04-01
26,3341.0,3341.0,3341.0,3300.0,10,2010-04-02
27,3496.0,3496.0,3496.0,3500.0,20,2010-04-05
28,3846.0,3846.0,3690.0,3800.0,2050,2010-04-06
29,3496.0,3496.0,3496.0,3500.0,10,2010-04-07
30,3146.0,3146.0,3146.0,3100.0,20,2010-04-08
31,3146.0,3146.0,3146.0,3100.0,0,2010-04-09
32,3146.0,3146.0,3146.0,3100.0,0,2010-04-12
33,2874.0,3120.0,2594.0,2900.0,20,2010-04-13
