,Open,High,Low,Close,Volume,TradingDate
0,38006.0,38006.0,33300.0,33481.0,634390,2010-05-17
1,31852.0,32576.0,31852.0,31852.0,555920,2010-05-18
2,30314.0,30314.0,30314.0,30314.0,288140,2010-05-19
3,28866.0,28866.0,28866.0,28866.0,614900,2010-05-20
4,27509.0,27509.0,27509.0,27509.0,11100,2010-05-21
5,26152.0,28052.0,26152.0,27237.0,1366080,2010-05-24
6,27599.0,27599.0,25971.0,25971.0,562350,2010-05-25
7,26695.0,27237.0,25971.0,27237.0,1031040,2010-05-26
8,28595.0,28595.0,28504.0,28595.0,744230,2010-05-27
9,29952.0,29952.0,29952.0,29952.0,63580,2010-05-28
10,31400.0,31400.0,30314.0,30767.0,2562970,2010-05-31
11,29500.0,31219.0,29500.0,30224.0,722620,2010-06-01
12,29681.0,30314.0,29228.0,30224.0,592510,2010-06-02
13,29771.0,30676.0,29590.0,29771.0,593700,2010-06-03
14,29409.0,29862.0,28776.0,28776.0,541500,2010-06-04
15,27599.0,27961.0,27418.0,27418.0,924280,2010-06-07
16,27418.0,27780.0,26695.0,27418.0,451590,2010-06-08
17,26966.0,27690.0,26966.0,26966.0,326570,2010-06-09
18,26695.0,28233.0,26604.0,28233.0,1303930,2010-06-10
19,29147.0,29147.0,28414.0,28414.0,545310,2010-06-11
20,28052.0,28685.0,28052.0,28052.0,626550,2010-06-14
21,28052.0,28052.0,27599.0,27961.0,308670,2010-06-15
22,28052.0,29319.0,27871.0,29319.0,3068110,2010-06-16
23,28957.0,30405.0,28957.0,29681.0,1224710,2010-06-17
24,29138.0,29862.0,28685.0,28685.0,390290,2010-06-18
25,28685.0,28957.0,28504.0,28504.0,487530,2010-06-21
26,28233.0,28414.0,27599.0,27599.0,979630,2010-06-22
27,27147.0,28052.0,27147.0,27599.0,606650,2010-06-23
28,27871.0,27871.0,26966.0,27147.0,737460,2010-06-24
29,27057.0,27147.0,26152.0,26242.0,604220,2010-06-25
30,26514.0,27147.0,26423.0,26695.0,305060,2010-06-28
31,26333.0,27057.0,26242.0,26333.0,467660,2010-06-29
