,Open,High,Low,Close,Volume,TradingDate
0,25485.0,25485.0,25485.0,25485.0,7232660,2016-12-28
1,25698.0,26165.0,24593.0,25528.0,3217540,2016-12-29
2,25485.0,25528.0,24806.0,25528.0,2391160,2016-12-30
3,25485.0,25485.0,25061.0,25061.0,520260,2017-01-03
4,25061.0,25273.0,25061.0,25230.0,1056370,2017-01-04
5,25188.0,25230.0,25061.0,25103.0,637040,2017-01-05
6,25061.0,25146.0,24976.0,25146.0,787010,2017-01-06
7,25103.0,25188.0,24933.0,25188.0,1110630,2017-01-09
8,25146.0,25146.0,25018.0,25061.0,802560,2017-01-10
9,25018.0,25103.0,24933.0,25103.0,1077670,2017-01-11
10,25061.0,25103.0,24933.0,24976.0,904360,2017-01-12
11,24976.0,25061.0,24848.0,25061.0,967870,2017-01-13
12,25018.0,25146.0,24933.0,25146.0,1332640,2017-01-16
13,25103.0,25146.0,24976.0,24976.0,1127570,2017-01-17
14,24933.0,25061.0,24933.0,25018.0,1179580,2017-01-18
15,24976.0,25061.0,24636.0,24678.0,1368300,2017-01-19
16,24678.0,24848.0,24593.0,24721.0,975810,2017-01-20
17,24721.0,24806.0,24551.0,24551.0,1087390,2017-01-23
18,24551.0,24721.0,24466.0,24593.0,1201640,2017-01-24
19,24636.0,25740.0,24636.0,25740.0,1636490,2017-01-25
20,25783.0,25868.0,25655.0,25868.0,1363250,2017-02-02
21,25825.0,25868.0,25613.0,25868.0,1185700,2017-02-03
22,25825.0,25825.0,25443.0,25443.0,1119780,2017-02-06
23,25358.0,25400.0,25146.0,25273.0,1226190,2017-02-07
24,25273.0,25485.0,25103.0,25103.0,1262530,2017-02-08
25,25103.0,25358.0,24976.0,24976.0,1679120,2017-02-09
26,25061.0,25315.0,24976.0,24976.0,1606250,2017-02-10
27,25018.0,25273.0,25018.0,25146.0,1257830,2017-02-13
28,25146.0,25315.0,25146.0,25146.0,1291960,2017-02-14
29,25146.0,25485.0,25146.0,25273.0,1404110,2017-02-15
30,25400.0,25740.0,25315.0,25613.0,1493510,2017-02-16
31,25613.0,26080.0,25613.0,25825.0,1384350,2017-02-17
32,25910.0,26972.0,25910.0,26802.0,1026640,2017-02-20
33,26972.0,28459.0,26802.0,28034.0,876160,2017-02-21
34,28076.0,28883.0,28034.0,28119.0,866880,2017-02-22
35,28076.0,28289.0,27567.0,27991.0,1538930,2017-02-23
36,27991.0,27991.0,27397.0,27737.0,1235090,2017-02-24
37,27652.0,28416.0,27652.0,28246.0,1041880,2017-02-27
38,28246.0,29521.0,28246.0,28459.0,1508740,2017-02-28
39,28459.0,29223.0,28459.0,29223.0,1218430,2017-03-01
40,29223.0,29521.0,29181.0,29223.0,1299640,2017-03-02
41,29223.0,29308.0,28798.0,29266.0,1150650,2017-03-03
42,29223.0,29308.0,29011.0,29266.0,929730,2017-03-06
43,29223.0,29733.0,29011.0,29138.0,910580,2017-03-07
44,29138.0,29138.0,28246.0,28883.0,1049060,2017-03-08
45,28883.0,28926.0,28671.0,28883.0,1011710,2017-03-09
46,28883.0,29181.0,28841.0,28883.0,1068090,2017-03-10
47,30880.0,30880.0,29733.0,30880.0,3354340,2017-03-13
48,30880.0,32069.0,30837.0,32069.0,845370,2017-03-14
49,32196.0,32706.0,31050.0,31135.0,938030,2017-03-15
50,31007.0,31135.0,30837.0,30837.0,1000630,2017-03-16
51,30455.0,30582.0,28713.0,28713.0,2375730,2017-03-17
52,28798.0,29733.0,28798.0,29223.0,1155350,2017-03-20
53,29223.0,29351.0,29096.0,29181.0,690130,2017-03-21
54,29138.0,29138.0,28713.0,28713.0,637610,2017-03-22
55,28713.0,28798.0,28204.0,28374.0,563610,2017-03-23
56,28374.0,29436.0,28374.0,29308.0,1446360,2017-03-24
57,29308.0,29436.0,29181.0,29351.0,532530,2017-03-27
58,29351.0,29436.0,29011.0,29096.0,406850,2017-03-28
59,29096.0,29308.0,28968.0,29096.0,517550,2017-03-29
60,29096.0,29266.0,29053.0,29181.0,560350,2017-03-30
61,29223.0,29521.0,29181.0,29393.0,793980,2017-03-31
62,29393.0,29733.0,29266.0,29521.0,755190,2017-04-03
63,29521.0,30030.0,29521.0,29903.0,427440,2017-04-04
64,30030.0,30158.0,29733.0,29903.0,303140,2017-04-05
65,29903.0,29945.0,29648.0,29903.0,172000,2017-04-07
66,29945.0,30115.0,29860.0,29945.0,499710,2017-04-10
67,29945.0,30115.0,29945.0,30030.0,491060,2017-04-11
68,30073.0,30115.0,29860.0,30030.0,485270,2017-04-12
69,30030.0,30073.0,29903.0,29945.0,302580,2017-04-13
70,29988.0,29988.0,29605.0,29733.0,407240,2017-04-14
71,29733.0,29775.0,29605.0,29605.0,212430,2017-04-17
72,29648.0,29648.0,29266.0,29563.0,376040,2017-04-18
73,29605.0,29945.0,29521.0,29818.0,316870,2017-04-19
74,29818.0,30158.0,29775.0,30073.0,531930,2017-04-20
75,30115.0,31007.0,30073.0,30795.0,294460,2017-04-21
76,30922.0,31644.0,30837.0,31050.0,293990,2017-04-24
77,31007.0,31135.0,30880.0,31007.0,265790,2017-04-25
78,31007.0,31220.0,30922.0,30922.0,457960,2017-04-26
79,30965.0,31135.0,30328.0,30795.0,600290,2017-04-27
80,30795.0,30795.0,29818.0,30030.0,577350,2017-04-28
81,30030.0,30158.0,29775.0,29775.0,633660,2017-05-03
82,29775.0,29775.0,29436.0,29521.0,447240,2017-05-04
83,29563.0,29690.0,29478.0,29521.0,358060,2017-05-05
84,29521.0,29563.0,28926.0,28926.0,338780,2017-05-08
85,28926.0,29308.0,28756.0,29138.0,418830,2017-05-09
86,29138.0,29393.0,28968.0,29308.0,503660,2017-05-10
87,29308.0,29351.0,29181.0,29351.0,536880,2017-05-11
88,29308.0,29351.0,29096.0,29308.0,1218300,2017-05-12
89,29053.0,29096.0,28671.0,28798.0,931490,2017-05-15
90,28756.0,28841.0,28544.0,28713.0,533430,2017-05-16
91,28713.0,28968.0,28629.0,28798.0,820250,2017-05-17
92,28798.0,28841.0,28586.0,28671.0,606820,2017-05-18
93,28671.0,28926.0,28629.0,28926.0,266530,2017-05-19
94,28883.0,29223.0,28883.0,29223.0,274610,2017-05-22
95,29181.0,29181.0,29053.0,29138.0,129260,2017-05-23
96,29138.0,29138.0,28798.0,28798.0,408530,2017-05-24
97,28798.0,28798.0,28459.0,28544.0,444160,2017-05-25
98,28586.0,28671.0,28459.0,28501.0,688640,2017-05-26
99,28501.0,28671.0,28459.0,28459.0,148310,2017-05-29
100,28459.0,28459.0,27906.0,27991.0,556900,2017-05-30
101,27991.0,28459.0,27906.0,28459.0,825980,2017-05-31
102,28459.0,28968.0,28416.0,28629.0,343890,2017-06-01
103,28629.0,28883.0,28459.0,28883.0,385120,2017-06-02
104,28968.0,29308.0,28968.0,29308.0,999300,2017-06-05
105,29308.0,29478.0,29266.0,29478.0,633010,2017-06-06
106,29478.0,29605.0,29393.0,29605.0,511210,2017-06-07
107,29521.0,29521.0,29181.0,29351.0,964850,2017-06-08
108,29351.0,29351.0,28671.0,28671.0,595670,2017-06-09
109,28671.0,28756.0,28586.0,28713.0,1078500,2017-06-12
110,28713.0,28713.0,28586.0,28713.0,866110,2017-06-13
111,28713.0,28713.0,28459.0,28586.0,464390,2017-06-14
112,28586.0,28586.0,28289.0,28459.0,400300,2017-06-15
113,28459.0,28883.0,28331.0,28883.0,5000990,2017-06-16
114,28883.0,29308.0,28671.0,29053.0,960650,2017-06-19
115,29053.0,29053.0,28671.0,28883.0,1091890,2017-06-20
116,28841.0,28883.0,28586.0,28629.0,1091110,2017-06-21
117,28629.0,28841.0,28629.0,28713.0,1452530,2017-06-22
118,28713.0,29096.0,28629.0,29096.0,1642110,2017-06-23
119,29096.0,29181.0,28968.0,29096.0,768560,2017-06-26
120,29096.0,29096.0,28926.0,29096.0,676280,2017-06-27
121,29096.0,29138.0,28841.0,29138.0,584180,2017-06-28
122,29138.0,29138.0,28629.0,28883.0,928290,2017-06-29
123,28883.0,28883.0,28713.0,28883.0,976890,2017-06-30
124,28883.0,29053.0,28841.0,28883.0,990540,2017-07-03
125,28883.0,28883.0,28713.0,28883.0,1133680,2017-07-04
126,28883.0,28926.0,28756.0,28926.0,1097780,2017-07-05
127,28926.0,28926.0,28671.0,28713.0,1124180,2017-07-06
128,28713.0,28713.0,28416.0,28629.0,1130420,2017-07-07
129,28629.0,28629.0,28289.0,28544.0,429740,2017-07-10
130,28544.0,28629.0,28374.0,28629.0,727830,2017-07-11
131,28629.0,28671.0,28374.0,28629.0,2234130,2017-07-12
132,28629.0,28671.0,28459.0,28671.0,2237040,2017-07-13
133,28671.0,28968.0,28586.0,28968.0,786460,2017-07-14
134,28968.0,29266.0,28544.0,28883.0,1131670,2017-07-17
135,28883.0,28883.0,28501.0,28798.0,1519340,2017-07-18
136,28756.0,28841.0,28629.0,28629.0,1152100,2017-07-19
137,28629.0,28629.0,28374.0,28586.0,754380,2017-07-20
138,28586.0,28883.0,28501.0,28883.0,1395280,2017-07-21
139,28883.0,28883.0,28671.0,28883.0,1293080,2017-07-24
140,28883.0,28926.0,28671.0,28883.0,1518970,2017-07-25
141,28883.0,28883.0,28756.0,28841.0,1162490,2017-07-26
142,28841.0,28841.0,28629.0,28671.0,1624760,2017-07-27
143,28671.0,28671.0,28246.0,28289.0,1620480,2017-07-28
144,28289.0,28671.0,27991.0,28671.0,1850840,2017-07-31
145,28629.0,28671.0,28459.0,28671.0,1632380,2017-08-01
146,28629.0,28629.0,28416.0,28544.0,1723920,2017-08-02
147,28544.0,28544.0,28416.0,28544.0,1550450,2017-08-03
148,28459.0,28586.0,28374.0,28586.0,1917370,2017-08-04
149,28586.0,28586.0,28119.0,28331.0,1841370,2017-08-07
150,28289.0,28289.0,27864.0,27949.0,1296740,2017-08-08
151,27949.0,27949.0,27779.0,27821.0,1844830,2017-08-09
152,27737.0,27737.0,27184.0,27312.0,1631360,2017-08-10
153,27312.0,27312.0,26547.0,26760.0,1638060,2017-08-11
154,26547.0,26547.0,25825.0,26122.0,1278550,2017-08-14
155,26122.0,26462.0,25910.0,26335.0,1932420,2017-08-15
156,26335.0,26377.0,25910.0,26377.0,1814100,2017-08-16
157,26377.0,26377.0,26250.0,26292.0,1951410,2017-08-17
158,26292.0,26335.0,26207.0,26335.0,1842460,2017-08-18
159,26335.0,26335.0,25953.0,25995.0,1770200,2017-08-21
160,25995.0,26080.0,25868.0,25995.0,1530980,2017-08-22
161,26038.0,26675.0,25995.0,26675.0,1808320,2017-08-23
162,26675.0,26845.0,26505.0,26590.0,1755350,2017-08-24
163,26590.0,26590.0,25953.0,26292.0,1882130,2017-08-25
164,26292.0,26292.0,25783.0,25953.0,1935460,2017-08-28
165,25953.0,25953.0,25273.0,25528.0,1764370,2017-08-29
166,25528.0,25528.0,25018.0,25528.0,1801580,2017-08-30
167,25528.0,25655.0,24976.0,25570.0,2004400,2017-08-31
168,25570.0,25613.0,25315.0,25613.0,1962880,2017-09-01
169,25613.0,25613.0,24806.0,25570.0,2253620,2017-09-05
170,25528.0,25570.0,24933.0,25570.0,2194100,2017-09-06
171,25570.0,25570.0,25061.0,25485.0,2046020,2017-09-07
172,25443.0,25485.0,25061.0,25485.0,1761420,2017-09-08
173,25400.0,25485.0,25146.0,25485.0,1670770,2017-09-11
174,25443.0,26250.0,25273.0,25825.0,2009460,2017-09-12
175,25825.0,25825.0,25358.0,25485.0,2057550,2017-09-13
176,25485.0,25613.0,25230.0,25613.0,1853780,2017-09-14
177,25613.0,27142.0,25443.0,27142.0,2624870,2017-09-15
178,26972.0,26972.0,26250.0,26377.0,1919620,2017-09-18
179,26335.0,26462.0,26292.0,26292.0,1938300,2017-09-19
180,26292.0,26377.0,26038.0,26250.0,1923410,2017-09-20
181,26250.0,26335.0,26080.0,26207.0,1966440,2017-09-21
182,26207.0,26250.0,25995.0,26165.0,1873610,2017-09-22
