,Open,High,Low,Close,Volume,TradingDate
0,50400.0,50400.0,50400.0,50400.0,100,2022-01-10
1,57900.0,57900.0,57900.0,57900.0,500,2022-01-11
2,66500.0,66500.0,66500.0,66500.0,1800,2022-01-12
3,76400.0,76400.0,76400.0,76400.0,79900,2022-01-13
4,87800.0,87800.0,76400.0,83000.0,122700,2022-01-14
5,76800.0,79500.0,72500.0,75900.0,70700,2022-01-17
6,72800.0,72800.0,65500.0,68600.0,80600,2022-01-18
7,60000.0,65000.0,58400.0,59800.0,96400,2022-01-19
8,59900.0,62800.0,59200.0,60300.0,66600,2022-01-20
9,60400.0,64100.0,60400.0,63000.0,100600,2022-01-21
10,62900.0,63300.0,59200.0,61200.0,76000,2022-01-24
11,60000.0,60600.0,58800.0,59700.0,55400,2022-01-25
12,60000.0,62500.0,60000.0,61000.0,47000,2022-01-26
13,60500.0,60500.0,59100.0,59800.0,65800,2022-01-27
14,60300.0,60300.0,58700.0,59400.0,35800,2022-01-28
15,59800.0,60800.0,59800.0,60300.0,70700,2022-02-07
16,59900.0,62000.0,59900.0,61100.0,55200,2022-02-08
17,60500.0,65000.0,60500.0,63600.0,106000,2022-02-09
18,63600.0,65900.0,63600.0,65300.0,71000,2022-02-10
19,65300.0,65500.0,62800.0,64800.0,60000,2022-02-11
20,64800.0,64800.0,61000.0,63500.0,97000,2022-02-14
21,60500.0,61000.0,59100.0,60000.0,80500,2022-02-15
22,60200.0,60500.0,57000.0,58800.0,99700,2022-02-16
23,58300.0,59100.0,57100.0,58700.0,67300,2022-02-17
24,57500.0,58000.0,57400.0,57700.0,51400,2022-02-18
25,57800.0,62500.0,57300.0,60400.0,133900,2022-02-21
26,59800.0,60300.0,58600.0,59400.0,60200,2022-02-22
27,58800.0,58900.0,57500.0,58200.0,48400,2022-02-23
28,58000.0,58200.0,56000.0,57300.0,80900,2022-02-24
29,56200.0,57600.0,55500.0,57000.0,93700,2022-02-25
30,56300.0,56500.0,55800.0,56100.0,70500,2022-02-28
31,56100.0,56100.0,55200.0,55500.0,60300,2022-03-01
32,56000.0,57500.0,55300.0,55900.0,152000,2022-03-02
33,55800.0,61000.0,55800.0,58700.0,105300,2022-03-03
34,58700.0,58700.0,57000.0,57900.0,53500,2022-03-04
35,57600.0,60600.0,57300.0,58700.0,86600,2022-03-07
36,57900.0,57900.0,56500.0,57400.0,111000,2022-03-08
37,57400.0,58000.0,56900.0,57400.0,73000,2022-03-09
38,57400.0,59200.0,57400.0,58400.0,90000,2022-03-10
39,58000.0,59200.0,58000.0,58700.0,101000,2022-03-11
40,58400.0,58400.0,56800.0,57600.0,77200,2022-03-14
41,57500.0,57500.0,57000.0,57400.0,68000,2022-03-15
42,57800.0,60100.0,57800.0,59100.0,85600,2022-03-16
43,59100.0,60100.0,59000.0,59400.0,104200,2022-03-17
44,59400.0,59400.0,57500.0,58500.0,81700,2022-03-18
45,57800.0,58500.0,57100.0,57800.0,58500,2022-03-21
46,57600.0,57800.0,56800.0,57200.0,125200,2022-03-22
47,57800.0,58500.0,56200.0,57200.0,108300,2022-03-23
48,57200.0,57200.0,56600.0,57000.0,60400,2022-03-24
