,Open,High,Low,Close,Volume,TradingDate
0,5083.0,5083.0,5083.0,5083.0,600,2008-10-30
1,4839.0,4839.0,4839.0,4839.0,250,2008-10-31
2,4636.0,4636.0,4636.0,4636.0,360,2008-11-03
3,4433.0,4433.0,4433.0,4433.0,900,2008-11-04
4,4229.0,4229.0,4229.0,4229.0,2000,2008-11-05
5,4018.0,4018.0,4018.0,4018.0,110,2008-11-06
6,3823.0,3823.0,3823.0,3823.0,160,2008-11-07
7,3636.0,3636.0,3636.0,3636.0,210,2008-11-10
8,3457.0,3457.0,3457.0,3457.0,1360,2008-11-11
9,3286.0,3286.0,3286.0,3286.0,40,2008-11-12
10,3123.0,3123.0,3123.0,3123.0,60,2008-11-13
11,2969.0,3172.0,2969.0,2969.0,81310,2008-11-14
12,2822.0,2830.0,2822.0,2822.0,25150,2008-11-17
13,2684.0,2684.0,2684.0,2684.0,2230,2008-11-18
14,2554.0,2554.0,2554.0,2554.0,17200,2008-11-19
15,2432.0,2432.0,2432.0,2432.0,5550,2008-11-20
16,2326.0,2326.0,2318.0,2318.0,2430,2008-11-21
17,2204.0,2204.0,2204.0,2204.0,2300,2008-11-24
18,2098.0,2098.0,2098.0,2098.0,1910,2008-11-25
19,2001.0,2196.0,2001.0,2107.0,142180,2008-11-26
20,2180.0,2180.0,2017.0,2098.0,28420,2008-11-27
21,2180.0,2180.0,2115.0,2115.0,35720,2008-11-28
22,2115.0,2115.0,2009.0,2033.0,46090,2008-12-01
23,1944.0,1952.0,1936.0,1936.0,41810,2008-12-02
24,1936.0,1936.0,1846.0,1846.0,65560,2008-12-03
25,1763.0,1871.0,1763.0,1805.0,32360,2008-12-04
26,1754.0,1754.0,1721.0,1729.0,67760,2008-12-05
27,1671.0,1729.0,1646.0,1671.0,13590,2008-12-08
28,1738.0,1754.0,1738.0,1754.0,4810,2008-12-09
29,1838.0,1838.0,1838.0,1838.0,3810,2008-12-10
30,1930.0,1930.0,1880.0,1930.0,154440,2008-12-11
31,2022.0,2022.0,2022.0,2022.0,2390,2008-12-12
32,2122.0,2122.0,2122.0,2122.0,19000,2008-12-15
33,2222.0,2222.0,2155.0,2222.0,233980,2008-12-16
34,2139.0,2297.0,2139.0,2222.0,85360,2008-12-17
35,2222.0,2247.0,2172.0,2180.0,14520,2008-12-18
36,2164.0,2214.0,2155.0,2214.0,35930,2008-12-19
37,2306.0,2306.0,2214.0,2289.0,74180,2008-12-22
38,2222.0,2239.0,2189.0,2206.0,42110,2008-12-23
39,2130.0,2206.0,2130.0,2197.0,28110,2008-12-24
40,2256.0,2256.0,2197.0,2214.0,5190,2008-12-25
41,2172.0,2231.0,2172.0,2222.0,26570,2008-12-26
42,2180.0,2256.0,2180.0,2256.0,27610,2008-12-29
43,2264.0,2297.0,2256.0,2289.0,40230,2008-12-30
44,2289.0,2322.0,2222.0,2281.0,17060,2008-12-31
45,2281.0,2281.0,2239.0,2247.0,5500,2009-01-02
46,2256.0,2264.0,2214.0,2264.0,25000,2009-01-05
47,2322.0,2322.0,2264.0,2281.0,35710,2009-01-06
48,2281.0,2314.0,2281.0,2289.0,48800,2009-01-07
49,2239.0,2297.0,2239.0,2256.0,13720,2009-01-08
50,2289.0,2289.0,2281.0,2281.0,2900,2009-01-09
51,2256.0,2264.0,2247.0,2264.0,13950,2009-01-12
52,2264.0,2272.0,2222.0,2256.0,10310,2009-01-13
53,2256.0,2264.0,2222.0,2222.0,23760,2009-01-14
54,2222.0,2247.0,2214.0,2214.0,2620,2009-01-15
55,2322.0,2322.0,2214.0,2256.0,18410,2009-01-16
56,2297.0,2297.0,2256.0,2272.0,4800,2009-01-19
57,2289.0,2289.0,2256.0,2281.0,2560,2009-01-20
58,2281.0,2281.0,2256.0,2264.0,12530,2009-01-21
59,2264.0,2281.0,2264.0,2281.0,6260,2009-01-22
60,2272.0,2297.0,2272.0,2272.0,670,2009-01-23
61,2222.0,2272.0,2222.0,2222.0,390,2009-02-02
62,2155.0,2172.0,2130.0,2139.0,34190,2009-02-03
63,2139.0,2155.0,2139.0,2147.0,2600,2009-02-04
64,2172.0,2172.0,2097.0,2122.0,15210,2009-02-05
65,2130.0,2222.0,2130.0,2222.0,34560,2009-02-06
66,2264.0,2264.0,2239.0,2247.0,7970,2009-02-09
67,2247.0,2247.0,2164.0,2189.0,12620,2009-02-10
68,2180.0,2206.0,2130.0,2197.0,8440,2009-02-11
69,2197.0,2214.0,2197.0,2197.0,10040,2009-02-12
70,2256.0,2256.0,2197.0,2197.0,2530,2009-02-13
71,2147.0,2206.0,2147.0,2164.0,1690,2009-02-16
72,2130.0,2130.0,2089.0,2097.0,22360,2009-02-17
73,2089.0,2089.0,2072.0,2072.0,7310,2009-02-18
74,2105.0,2164.0,2105.0,2114.0,6450,2009-02-19
75,2122.0,2130.0,2080.0,2080.0,17200,2009-02-20
76,2089.0,2089.0,2030.0,2030.0,16770,2009-02-23
77,1963.0,1980.0,1963.0,1980.0,4790,2009-02-24
78,2072.0,2072.0,2072.0,2072.0,20200,2009-02-25
79,2114.0,2114.0,2072.0,2089.0,6470,2009-02-26
80,2089.0,2130.0,2089.0,2089.0,21420,2009-02-27
81,2097.0,2130.0,2097.0,2097.0,5100,2009-03-02
82,2063.0,2063.0,2063.0,2063.0,1810,2009-03-03
83,2080.0,2130.0,2080.0,2114.0,10550,2009-03-04
84,2130.0,2155.0,2122.0,2139.0,21810,2009-03-05
85,2139.0,2155.0,2139.0,2155.0,29770,2009-03-06
86,2164.0,2256.0,2155.0,2256.0,17610,2009-03-09
87,2256.0,2256.0,2214.0,2247.0,6750,2009-03-10
88,2256.0,2264.0,2180.0,2180.0,9860,2009-03-11
89,2130.0,2139.0,2122.0,2130.0,17800,2009-03-12
90,2214.0,2214.0,2147.0,2172.0,1560,2009-03-13
91,2172.0,2172.0,2147.0,2147.0,3210,2009-03-16
92,2214.0,2214.0,2172.0,2180.0,5060,2009-03-17
93,2239.0,2281.0,2222.0,2281.0,20060,2009-03-18
94,2281.0,2281.0,2214.0,2214.0,7640,2009-03-19
95,2214.0,2214.0,2214.0,2214.0,6680,2009-03-20
96,2180.0,2214.0,2172.0,2180.0,9790,2009-03-23
97,2272.0,2272.0,2256.0,2256.0,10620,2009-03-24
98,2214.0,2272.0,2214.0,2256.0,10320,2009-03-25
99,2256.0,2256.0,2222.0,2256.0,9010,2009-03-26
100,2239.0,2247.0,2222.0,2231.0,6630,2009-03-27
101,2147.0,2180.0,2147.0,2155.0,10660,2009-03-30
102,2114.0,2130.0,2114.0,2130.0,3670,2009-03-31
103,2222.0,2222.0,2155.0,2222.0,3390,2009-04-01
104,2239.0,2239.0,2172.0,2214.0,33030,2009-04-02
105,2272.0,2314.0,2272.0,2289.0,25400,2009-04-03
106,2239.0,2314.0,2239.0,2297.0,66060,2009-04-07
107,2197.0,2297.0,2197.0,2222.0,33830,2009-04-08
108,2222.0,2239.0,2222.0,2231.0,34390,2009-04-09
109,2339.0,2339.0,2322.0,2331.0,160050,2009-04-10
110,2439.0,2439.0,2423.0,2439.0,162500,2009-04-13
111,2556.0,2556.0,2556.0,2556.0,26800,2009-04-14
112,2682.0,2682.0,2682.0,2682.0,17990,2009-04-15
113,2815.0,2815.0,2815.0,2815.0,29530,2009-04-16
114,2949.0,2949.0,2682.0,2924.0,299710,2009-04-17
115,2782.0,2782.0,2782.0,2782.0,6650,2009-04-20
116,2648.0,2648.0,2648.0,2648.0,10650,2009-04-21
117,2673.0,2673.0,2523.0,2590.0,77590,2009-04-22
118,2506.0,2540.0,2464.0,2464.0,98120,2009-04-23
119,2381.0,2423.0,2348.0,2381.0,53310,2009-04-24
120,2498.0,2498.0,2498.0,2498.0,57650,2009-04-27
121,2615.0,2615.0,2607.0,2615.0,113530,2009-04-28
122,2715.0,2723.0,2665.0,2723.0,116360,2009-04-29
123,2859.0,2859.0,2859.0,2859.0,27010,2009-05-04
124,2994.0,2994.0,2994.0,2994.0,28230,2009-05-05
125,2943.0,3138.0,2943.0,3045.0,376240,2009-05-06
126,3197.0,3197.0,3180.0,3197.0,128470,2009-05-07
127,3214.0,3256.0,3079.0,3079.0,119500,2009-05-08
128,3087.0,3163.0,3087.0,3129.0,115660,2009-05-11
129,3045.0,3163.0,3045.0,3155.0,91200,2009-05-12
130,3189.0,3214.0,3121.0,3163.0,87210,2009-05-13
131,3113.0,3129.0,3087.0,3129.0,35350,2009-05-14
132,3087.0,3214.0,3087.0,3214.0,87000,2009-05-15
133,3197.0,3248.0,3189.0,3248.0,67870,2009-05-18
134,3332.0,3332.0,3248.0,3256.0,27290,2009-05-19
135,3146.0,3265.0,3146.0,3256.0,74790,2009-05-20
136,3214.0,3222.0,3180.0,3197.0,36680,2009-05-21
137,3206.0,3214.0,3129.0,3197.0,60430,2009-05-22
138,3197.0,3349.0,3197.0,3349.0,68790,2009-05-25
139,3485.0,3485.0,3358.0,3468.0,53460,2009-05-26
140,3552.0,3552.0,3468.0,3476.0,36030,2009-05-27
141,3324.0,3383.0,3307.0,3332.0,44680,2009-05-28
142,3299.0,3468.0,3273.0,3468.0,33020,2009-05-29
143,3544.0,3552.0,3468.0,3552.0,83550,2009-06-01
144,3730.0,3730.0,3679.0,3730.0,89370,2009-06-02
145,3722.0,3916.0,3552.0,3916.0,86710,2009-06-03
146,4111.0,4111.0,4111.0,4111.0,26760,2009-06-04
147,4314.0,4314.0,4314.0,4314.0,50870,2009-06-05
148,4525.0,4525.0,4525.0,4525.0,59190,2009-06-08
149,4525.0,4567.0,4314.0,4736.0,131080,2009-06-09
150,4525.0,4525.0,4525.0,4736.0,95900,2009-06-10
151,4906.0,4906.0,4906.0,4948.0,123220,2009-06-11
152,5117.0,5117.0,4906.0,4990.0,79940,2009-06-12
153,4779.0,5075.0,4779.0,4779.0,74480,2009-06-15
154,4567.0,4567.0,4567.0,4567.0,1550,2009-06-16
155,4356.0,4356.0,4356.0,4356.0,6270,2009-06-17
156,4356.0,4525.0,4144.0,4229.0,105610,2009-06-18
157,4119.0,4440.0,4119.0,4440.0,90710,2009-06-19
158,4440.0,4440.0,4221.0,4221.0,27320,2009-06-22
159,4018.0,4136.0,4018.0,4018.0,55140,2009-06-23
160,4212.0,4212.0,4195.0,4212.0,44920,2009-06-24
161,4212.0,4229.0,4009.0,4009.0,46990,2009-06-25
162,4060.0,4204.0,3891.0,4204.0,34570,2009-06-26
163,4043.0,4314.0,4043.0,4229.0,7930,2009-06-29
164,4229.0,4356.0,4018.0,4356.0,54410,2009-06-30
165,4144.0,4144.0,4144.0,4144.0,37480,2009-07-01
166,4221.0,4221.0,4221.0,4221.0,550,2009-07-02
167,4018.0,4187.0,4018.0,4018.0,15020,2009-07-03
168,4195.0,4212.0,4195.0,4212.0,16560,2009-07-06
169,4068.0,4229.0,4068.0,4094.0,3860,2009-07-07
170,4043.0,4178.0,4043.0,4178.0,9730,2009-07-08
171,4144.0,4178.0,4077.0,4077.0,23300,2009-07-09
172,4144.0,4144.0,3975.0,4018.0,4100,2009-07-10
173,3865.0,3908.0,3848.0,3848.0,25850,2009-07-13
174,4018.0,4018.0,3806.0,3933.0,5500,2009-07-14
175,3933.0,4018.0,3764.0,3764.0,23030,2009-07-15
176,3933.0,3933.0,3823.0,3823.0,17550,2009-07-16
177,3848.0,3848.0,3789.0,3789.0,1320,2009-07-17
178,3654.0,3789.0,3603.0,3789.0,21950,2009-07-20
179,3722.0,3806.0,3722.0,3806.0,5450,2009-07-21
180,3772.0,3891.0,3772.0,3806.0,9610,2009-07-22
181,3891.0,3933.0,3730.0,3933.0,16090,2009-07-23
182,4127.0,4127.0,4060.0,4127.0,42550,2009-07-24
183,4229.0,4229.0,4102.0,4229.0,19520,2009-07-27
184,4229.0,4229.0,4060.0,4229.0,18460,2009-07-28
185,4144.0,4144.0,4034.0,4144.0,23980,2009-07-29
186,3967.0,4144.0,3950.0,4144.0,40080,2009-07-30
187,4144.0,4271.0,4144.0,4271.0,49480,2009-07-31
188,4144.0,4229.0,4144.0,4229.0,18510,2009-08-03
189,4229.0,4271.0,4229.0,4229.0,28420,2009-08-04
190,4221.0,4271.0,4221.0,4271.0,11780,2009-08-05
191,4314.0,4314.0,4229.0,4229.0,7240,2009-08-06
192,4229.0,4229.0,4229.0,4229.0,10450,2009-08-07
