,Open,High,Low,Close,Volume,TradingDate
0,8476.0,8703.0,7736.0,8005.0,59400,2015-07-23
1,8005.0,8237.0,8002.0,8005.0,8700,2015-07-24
2,7958.0,7788.0,7559.0,7769.0,15000,2015-07-27
3,7534.0,7640.0,7408.0,7534.0,33400,2015-07-28
4,7534.0,7375.0,7057.0,7298.0,29300,2015-07-29
5,7346.0,7449.0,7354.0,7393.0,16000,2015-07-30
6,7393.0,7346.0,7299.0,7346.0,11200,2015-07-31
7,7016.0,7479.0,7098.0,7346.0,26600,2015-08-03
8,7110.0,7370.0,7133.0,7157.0,18600,2015-08-04
9,7298.0,7534.0,7242.0,7298.0,17200,2015-08-05
10,7298.0,7298.0,7298.0,7298.0,0,2015-08-06
11,7016.0,7016.0,7016.0,7016.0,500,2015-08-07
12,6969.0,6688.0,6417.0,6686.0,22600,2015-08-10
13,6733.0,6733.0,6733.0,6733.0,1900,2015-08-11
14,6875.0,7008.0,6817.0,6828.0,15600,2015-08-12
15,6828.0,6828.0,6828.0,6828.0,0,2015-08-13
16,6828.0,6828.0,6828.0,6828.0,0,2015-08-14
17,6922.0,6842.0,6749.0,6828.0,1300,2015-08-17
18,6828.0,6828.0,6828.0,6828.0,500,2015-08-18
19,6733.0,6895.0,6800.0,6828.0,1700,2015-08-19
20,6733.0,6811.0,6764.0,6781.0,5700,2015-08-20
21,6733.0,6826.0,6778.0,6781.0,2100,2015-08-21
22,6686.0,6686.0,6686.0,6686.0,1000,2015-08-24
23,6686.0,6686.0,6686.0,6686.0,0,2015-08-25
24,6686.0,6686.0,6686.0,6686.0,0,2015-08-26
25,6686.0,6686.0,6686.0,6686.0,0,2015-08-27
26,6828.0,6828.0,6828.0,6828.0,1000,2015-08-28
27,6686.0,6777.0,6729.0,6733.0,7900,2015-08-31
28,6733.0,6733.0,6733.0,6733.0,0,2015-09-01
29,6733.0,6733.0,6733.0,6733.0,0,2015-09-03
30,6733.0,6733.0,6733.0,6733.0,0,2015-09-04
31,6639.0,7108.0,6818.0,6922.0,700,2015-09-07
32,6922.0,6922.0,6922.0,6922.0,0,2015-09-08
33,6875.0,6875.0,6875.0,6875.0,100,2015-09-09
34,6875.0,6875.0,6875.0,6875.0,0,2015-09-10
35,6875.0,6875.0,6875.0,6875.0,0,2015-09-11
36,6969.0,6969.0,6969.0,6969.0,400,2015-09-14
37,6969.0,6969.0,6969.0,6969.0,0,2015-09-15
38,6733.0,6733.0,6733.0,6733.0,200,2015-09-16
39,6969.0,6969.0,6969.0,6969.0,100,2015-09-17
40,6969.0,6969.0,6969.0,6969.0,0,2015-09-18
41,6639.0,6639.0,6639.0,6639.0,100,2015-09-21
42,6969.0,7048.0,7000.0,7016.0,300,2015-09-22
43,6969.0,6969.0,6969.0,6969.0,500,2015-09-23
44,7016.0,7016.0,7016.0,7016.0,1100,2015-09-24
45,7016.0,6981.0,6934.0,6969.0,1900,2015-09-25
46,6969.0,6969.0,6969.0,6969.0,0,2015-09-28
47,6875.0,7178.0,6986.0,7063.0,2500,2015-09-29
48,7063.0,7063.0,7063.0,7063.0,0,2015-09-30
49,7063.0,7063.0,7063.0,7063.0,0,2015-10-01
50,6733.0,6733.0,6733.0,6733.0,3000,2015-10-02
51,6733.0,6733.0,6733.0,6733.0,1000,2015-10-05
52,6733.0,6733.0,6733.0,6733.0,0,2015-10-06
53,7157.0,7157.0,7157.0,7157.0,100,2015-10-07
54,6733.0,6733.0,6733.0,6733.0,100,2015-10-08
55,6733.0,6733.0,6733.0,6733.0,0,2015-10-09
56,7063.0,7063.0,7063.0,7063.0,100,2015-10-12
57,7063.0,7063.0,7063.0,7063.0,0,2015-10-13
58,7063.0,7063.0,7063.0,7063.0,0,2015-10-14
59,7063.0,7063.0,7063.0,7063.0,0,2015-10-15
60,7063.0,7205.0,7110.0,7157.0,2000,2015-10-16
61,7157.0,7157.0,7157.0,7157.0,0,2015-10-19
62,7157.0,7157.0,7157.0,7157.0,0,2015-10-20
63,7157.0,7157.0,7157.0,7157.0,0,2015-10-21
64,6922.0,6922.0,6922.0,6922.0,700,2015-10-22
65,6922.0,6922.0,6922.0,6922.0,0,2015-10-23
66,6875.0,6875.0,6875.0,6875.0,2700,2015-10-26
67,6875.0,6875.0,6875.0,6875.0,0,2015-10-27
68,7063.0,7063.0,7063.0,7063.0,300,2015-10-28
69,7063.0,6959.0,6774.0,6875.0,2200,2015-10-29
70,6875.0,6875.0,6875.0,6875.0,10000,2015-10-30
71,7063.0,7044.0,6856.0,6875.0,7000,2015-11-02
72,6875.0,6860.0,6813.0,6828.0,18000,2015-11-03
73,6828.0,6828.0,6828.0,6828.0,5000,2015-11-04
74,6733.0,6733.0,6733.0,6733.0,7000,2015-11-05
75,6733.0,6733.0,6733.0,6733.0,0,2015-11-06
76,6733.0,6733.0,6733.0,6733.0,0,2015-11-09
77,6733.0,6733.0,6733.0,6733.0,0,2015-11-10
78,6828.0,6828.0,6828.0,6828.0,700,2015-11-11
79,6592.0,6592.0,6592.0,6592.0,7000,2015-11-12
80,6498.0,6498.0,6498.0,6498.0,14000,2015-11-13
81,6498.0,6498.0,6498.0,6498.0,0,2015-11-16
82,6498.0,6498.0,6498.0,6498.0,0,2015-11-17
83,6498.0,6498.0,6498.0,6498.0,0,2015-11-18
84,6498.0,6498.0,6498.0,6498.0,0,2015-11-19
85,6498.0,6498.0,6498.0,6498.0,0,2015-11-20
86,6498.0,6498.0,6498.0,6498.0,0,2015-11-23
87,6451.0,6451.0,6451.0,6451.0,3900,2015-11-24
88,6451.0,6451.0,6451.0,6451.0,0,2015-11-25
89,6828.0,6828.0,6828.0,6828.0,100,2015-11-26
90,6828.0,6828.0,6828.0,6828.0,0,2015-11-27
91,6168.0,6848.0,6186.0,6639.0,4400,2015-11-30
92,5980.0,5980.0,5980.0,5980.0,100,2015-12-01
93,5980.0,5980.0,5980.0,5980.0,0,2015-12-02
94,6215.0,6215.0,6215.0,6215.0,100,2015-12-03
95,6215.0,6215.0,6215.0,6215.0,0,2015-12-04
96,6498.0,6498.0,6498.0,6498.0,100,2015-12-07
97,6498.0,6498.0,6498.0,6498.0,0,2015-12-08
98,6498.0,6498.0,6498.0,6498.0,0,2015-12-09
99,6498.0,6498.0,6498.0,6498.0,0,2015-12-10
100,6498.0,6498.0,6498.0,6498.0,0,2015-12-11
101,6498.0,6498.0,6498.0,6498.0,0,2015-12-14
102,6498.0,6498.0,6498.0,6498.0,0,2015-12-15
103,6498.0,6498.0,6498.0,6498.0,0,2015-12-16
104,6498.0,6498.0,6498.0,6498.0,0,2015-12-17
105,7110.0,7110.0,7110.0,7110.0,100,2015-12-18
106,6404.0,6404.0,6404.0,6404.0,100,2015-12-21
107,6404.0,6404.0,6404.0,6404.0,0,2015-12-22
108,7016.0,7016.0,7016.0,7016.0,100,2015-12-23
109,6357.0,6357.0,6357.0,6357.0,100,2015-12-24
110,6686.0,6686.0,6686.0,6686.0,200,2015-12-25
111,6027.0,6027.0,6027.0,6027.0,100,2015-12-28
112,6357.0,6357.0,6357.0,6357.0,200,2015-12-29
113,6357.0,6357.0,6357.0,6357.0,0,2015-12-30
114,6498.0,6853.0,6614.0,6733.0,200,2015-12-31
115,6074.0,6074.0,6074.0,6074.0,100,2016-01-04
116,6074.0,6074.0,6074.0,6074.0,0,2016-01-05
117,6074.0,6074.0,6074.0,6074.0,0,2016-01-06
118,6074.0,6074.0,6074.0,6074.0,0,2016-01-07
119,6121.0,6121.0,6121.0,6121.0,100,2016-01-08
120,6121.0,6121.0,6121.0,6121.0,0,2016-01-11
121,6404.0,6404.0,6404.0,6404.0,200,2016-01-12
122,6121.0,6121.0,6121.0,6121.0,600,2016-01-13
123,6310.0,6310.0,6310.0,6310.0,100,2016-01-14
124,6310.0,6310.0,6310.0,6310.0,200,2016-01-15
125,6074.0,6074.0,6074.0,6074.0,1700,2016-01-18
126,6027.0,6027.0,6027.0,6027.0,1000,2016-01-19
127,6027.0,6027.0,6027.0,6027.0,0,2016-01-20
128,6121.0,6121.0,6121.0,6121.0,200,2016-01-21
129,6121.0,6121.0,6121.0,6121.0,0,2016-01-22
130,6639.0,6556.0,6091.0,6168.0,1200,2016-01-25
131,5980.0,5980.0,5980.0,5980.0,7800,2016-01-26
132,6357.0,6357.0,6357.0,6357.0,100,2016-01-27
133,5745.0,6500.0,5788.0,6215.0,500,2016-01-28
134,6215.0,6215.0,6215.0,6215.0,0,2016-01-29
135,5603.0,6163.0,5432.0,5980.0,1500,2016-02-01
136,5980.0,5980.0,5980.0,5980.0,0,2016-02-02
137,5980.0,5980.0,5980.0,5980.0,0,2016-02-03
138,5980.0,5980.0,5980.0,5980.0,0,2016-02-04
139,5980.0,5980.0,5980.0,5980.0,0,2016-02-05
140,6121.0,6121.0,6121.0,6121.0,300,2016-02-15
141,6121.0,6121.0,6121.0,6121.0,300,2016-02-16
142,6121.0,6121.0,6121.0,6121.0,2200,2016-02-17
143,6733.0,6733.0,6733.0,6733.0,100,2016-02-18
144,6074.0,6074.0,6074.0,6074.0,100,2016-02-19
145,6074.0,6074.0,6074.0,6074.0,0,2016-02-22
146,6074.0,6074.0,6074.0,6074.0,0,2016-02-23
147,6121.0,6121.0,6121.0,6121.0,200,2016-02-24
148,6121.0,6121.0,6121.0,6121.0,0,2016-02-25
149,6686.0,6686.0,6686.0,6686.0,100,2016-02-26
150,6686.0,6686.0,6686.0,6686.0,0,2016-02-29
151,6357.0,6357.0,6357.0,6357.0,1900,2016-03-01
152,6357.0,6357.0,6357.0,6357.0,3100,2016-03-02
