,Open,High,Low,Close,Volume,TradingDate
0,4541.0,7855.0,7855.0,7855.0,173790,2007-09-12
1,4346.0,7517.0,7517.0,7517.0,132500,2007-09-13
2,4150.0,7855.0,7178.0,7584.0,553000,2007-09-14
3,4385.0,7923.0,7449.0,7923.0,240970,2007-09-17
4,4777.0,8261.0,8261.0,8261.0,98150,2007-09-18
5,5011.0,8668.0,8668.0,8668.0,105430,2007-09-19
6,5247.0,9074.0,8261.0,9074.0,528880,2007-09-20
7,5481.0,9480.0,9142.0,9345.0,527340,2007-09-21
8,5638.0,9751.0,9751.0,9751.0,174860,2007-09-24
9,5912.0,10225.0,10225.0,10225.0,37000,2007-09-25
10,6185.0,10699.0,10699.0,10699.0,69310,2007-09-26
11,6460.0,11173.0,10767.0,11173.0,501310,2007-09-27
12,6773.0,11715.0,11647.0,11715.0,388840,2007-09-28
13,7086.0,12257.0,12257.0,12257.0,65030,2007-10-01
14,7438.0,12866.0,12866.0,12866.0,135070,2007-10-02
15,7792.0,13476.0,13408.0,13476.0,546350,2007-10-03
16,8144.0,14085.0,13543.0,14085.0,533540,2007-10-04
17,7831.0,13679.0,13408.0,13408.0,509350,2007-10-05
18,12799.0,12799.0,12799.0,12799.0,214570,2007-10-08
19,12189.0,12189.0,12189.0,12189.0,212720,2007-10-09
20,12799.0,12799.0,12799.0,12799.0,574780,2007-10-10
21,13408.0,13408.0,13273.0,13408.0,612830,2007-10-11
22,13273.0,13476.0,13069.0,13273.0,400250,2007-10-12
23,13273.0,13273.0,13069.0,13137.0,269350,2007-10-15
24,13069.0,13069.0,12799.0,12799.0,277150,2007-10-16
25,13137.0,13137.0,12799.0,13002.0,212740,2007-10-17
26,13137.0,13137.0,12866.0,13002.0,259550,2007-10-18
27,13002.0,13002.0,12866.0,12934.0,193120,2007-10-19
28,12866.0,12934.0,12731.0,12866.0,236790,2007-10-22
29,12866.0,12866.0,12731.0,12866.0,247940,2007-10-23
30,13408.0,13408.0,12934.0,13408.0,415990,2007-10-24
31,13002.0,13408.0,13002.0,13002.0,293220,2007-10-25
32,13002.0,13002.0,12866.0,13002.0,453200,2007-10-26
33,13587.0,13587.0,13587.0,13587.0,125580,2007-10-29
34,14172.0,14172.0,14172.0,14172.0,60430,2007-10-30
35,14875.0,14875.0,14875.0,14875.0,43830,2007-10-31
36,15578.0,15578.0,15578.0,15578.0,108260,2007-11-01
37,16281.0,16281.0,15578.0,15695.0,1058540,2007-11-02
38,14992.0,14992.0,14992.0,14992.0,220840,2007-11-05
39,14289.0,14289.0,14289.0,14289.0,264220,2007-11-06
40,14992.0,14992.0,14524.0,14758.0,277120,2007-11-07
41,14875.0,14875.0,14407.0,14407.0,147460,2007-11-08
42,14524.0,14524.0,14289.0,14407.0,200910,2007-11-09
43,14407.0,14407.0,14289.0,14289.0,178940,2007-11-12
