,Open,High,Low,Close,Volume,TradingDate
0,22261.0,22261.0,17124.0,19600.0,31000,2018-03-21
1,17210.0,17210.0,16696.0,16900.0,7800,2018-03-22
2,16268.0,16268.0,14556.0,14900.0,9500,2018-03-23
3,15412.0,15412.0,13014.0,14100.0,7500,2018-03-26
4,14127.0,14556.0,14127.0,14300.0,4900,2018-03-27
5,14213.0,14213.0,13271.0,14100.0,4600,2018-03-28
6,14127.0,14641.0,14127.0,14300.0,57500,2018-03-29
7,14127.0,14127.0,13956.0,14100.0,24500,2018-03-30
8,13442.0,13699.0,13442.0,13600.0,9600,2018-04-02
9,13699.0,13699.0,13442.0,13700.0,5400,2018-04-03
10,13871.0,13871.0,13785.0,13800.0,11000,2018-04-04
11,14470.0,14470.0,13528.0,13800.0,3400,2018-04-05
12,13699.0,14042.0,13699.0,14000.0,20300,2018-04-06
13,13956.0,13956.0,13956.0,14000.0,0,2018-04-09
14,13956.0,14127.0,13956.0,14000.0,2400,2018-04-10
15,14042.0,14042.0,14042.0,14000.0,0,2018-04-11
16,14042.0,14042.0,14042.0,14000.0,0,2018-04-12
17,13956.0,13956.0,13956.0,14000.0,700,2018-04-13
18,13871.0,13956.0,13871.0,13900.0,400,2018-04-16
19,13699.0,13699.0,13699.0,13700.0,1500,2018-04-17
20,13528.0,13528.0,13442.0,13500.0,200,2018-04-18
21,13528.0,13528.0,13528.0,13500.0,0,2018-04-19
22,12843.0,12843.0,12843.0,12800.0,200,2018-04-20
23,12843.0,12843.0,12843.0,12800.0,0,2018-04-23
24,12843.0,12843.0,12843.0,12800.0,500,2018-04-24
25,14727.0,14727.0,14127.0,14600.0,2000,2018-04-26
26,12501.0,12501.0,12501.0,12500.0,400,2018-04-27
27,12501.0,12501.0,11987.0,12400.0,2900,2018-05-02
28,10788.0,10788.0,10703.0,10700.0,500,2018-05-03
29,12244.0,12244.0,10788.0,11200.0,2100,2018-05-04
30,11302.0,11302.0,10788.0,11000.0,2300,2018-05-07
31,12586.0,12586.0,11559.0,12100.0,200,2018-05-08
32,11987.0,12586.0,11987.0,12200.0,600,2018-05-09
33,12158.0,12415.0,12158.0,12300.0,400,2018-05-10
34,12757.0,12757.0,12757.0,12800.0,100,2018-05-11
35,12672.0,12757.0,12672.0,12700.0,200,2018-05-14
36,11302.0,11302.0,11302.0,11300.0,1100,2018-05-15
37,12843.0,12843.0,11302.0,11500.0,1300,2018-05-16
38,12672.0,12672.0,11559.0,12400.0,5300,2018-05-17
39,12501.0,12501.0,11559.0,11700.0,1200,2018-05-18
40,12415.0,12415.0,11987.0,12000.0,2400,2018-05-21
