,Open,High,Low,Close,Volume,TradingDate
0,12758.0,15234.0,10664.0,12800.0,13700,2010-07-22
1,12336.0,14763.0,12235.0,12300.0,10400,2010-07-23
2,9717.0,11224.0,9633.0,9700.0,17900,2010-07-26
3,10646.0,11564.0,10187.0,10600.0,25100,2010-07-27
4,9294.0,9294.0,9294.0,9300.0,12000,2010-07-28
5,9801.0,10336.0,9445.0,9800.0,1200,2010-07-29
6,10139.0,11061.0,10139.0,10100.0,7100,2010-07-30
7,10139.0,10139.0,10139.0,10100.0,0,2010-08-02
8,9717.0,9717.0,9717.0,9700.0,0,2010-08-04
9,8449.0,8373.0,8373.0,8400.0,5000,2010-08-05
10,8449.0,8872.0,8449.0,8400.0,20000,2010-08-06
11,8449.0,8449.0,8449.0,8400.0,8000,2010-08-09
12,8449.0,9388.0,8449.0,8400.0,52200,2010-08-10
13,6844.0,6928.0,6844.0,6800.0,18000,2010-08-11
14,6844.0,6844.0,6337.0,6800.0,6100,2010-08-12
15,6844.0,6844.0,6844.0,6800.0,0,2010-08-13
16,7520.0,8366.0,7520.0,7500.0,2100,2010-08-16
17,7520.0,7520.0,7520.0,7500.0,0,2010-08-17
18,7520.0,7520.0,7520.0,7500.0,0,2010-08-18
19,6759.0,6759.0,6759.0,6800.0,100,2010-08-19
20,7435.0,7435.0,7351.0,7400.0,13100,2010-08-20
21,6844.0,6844.0,6679.0,6800.0,2800,2010-08-23
22,7013.0,7761.0,6545.0,7000.0,10200,2010-08-25
23,6337.0,6337.0,6337.0,6300.0,3200,2010-08-26
24,6928.0,6928.0,6928.0,6900.0,1000,2010-08-27
25,6759.0,6995.0,6288.0,6800.0,7200,2010-08-30
26,6590.0,6590.0,6590.0,6600.0,5000,2010-08-31
27,6590.0,6590.0,6590.0,6600.0,0,2010-09-01
28,6590.0,6590.0,6590.0,6600.0,0,2010-09-06
29,6759.0,7115.0,6493.0,6800.0,11300,2010-09-07
30,6506.0,6506.0,6506.0,6500.0,4000,2010-09-08
31,6675.0,6755.0,6675.0,6700.0,7100,2010-09-09
32,6759.0,6926.0,6676.0,6800.0,20000,2010-09-10
33,7013.0,7013.0,6826.0,7000.0,5300,2010-09-13
34,7097.0,7097.0,7097.0,7100.0,0,2010-09-14
35,7182.0,7182.0,7182.0,7200.0,100,2010-09-15
36,7182.0,7182.0,7182.0,7200.0,200,2010-09-16
37,7266.0,7266.0,7182.0,7300.0,2700,2010-09-17
38,7942.0,7942.0,7942.0,7900.0,200,2010-09-20
39,8449.0,8449.0,8449.0,8400.0,300,2010-09-21
40,8449.0,8449.0,8449.0,8400.0,0,2010-09-22
41,8449.0,8449.0,8449.0,8400.0,0,2010-09-23
42,7604.0,8365.0,7604.0,8000.0,200,2010-09-24
43,8027.0,8027.0,8027.0,8000.0,0,2010-09-27
44,8449.0,8449.0,7266.0,7400.0,3200,2010-09-28
45,8027.0,8027.0,8027.0,8000.0,100,2010-09-29
46,8027.0,8027.0,8027.0,8000.0,0,2010-09-30
47,8027.0,8027.0,8027.0,8000.0,0,2010-10-01
48,7266.0,7266.0,7266.0,7300.0,1000,2010-10-04
49,7942.0,7942.0,6759.0,6800.0,1100,2010-10-05
50,7520.0,7520.0,7520.0,7500.0,100,2010-10-06
51,7520.0,7520.0,7520.0,7500.0,0,2010-10-07
52,6928.0,6928.0,6928.0,6900.0,2000,2010-10-08
53,7435.0,7435.0,6421.0,6900.0,200,2010-10-11
54,6337.0,6337.0,6252.0,6300.0,5900,2010-10-12
55,6252.0,6252.0,6252.0,6300.0,1000,2010-10-13
56,6083.0,6083.0,6083.0,6100.0,600,2010-10-14
57,5661.0,5661.0,5661.0,5700.0,100,2010-10-15
58,5661.0,5661.0,5661.0,5700.0,0,2010-10-18
59,6168.0,6168.0,6168.0,6200.0,400,2010-10-19
60,6168.0,6168.0,6168.0,6200.0,0,2010-10-20
61,6168.0,6168.0,6168.0,6200.0,0,2010-10-21
62,6168.0,6168.0,6168.0,6200.0,0,2010-10-22
63,5576.0,6759.0,5576.0,6700.0,28000,2010-10-25
64,6168.0,6168.0,6168.0,6200.0,100,2010-10-26
65,6168.0,6168.0,6168.0,6200.0,0,2010-10-27
66,5745.0,5745.0,5745.0,5700.0,100,2010-10-28
67,5492.0,5492.0,5492.0,5500.0,100,2010-10-29
68,5492.0,5492.0,5492.0,5500.0,0,2010-11-01
69,5070.0,5070.0,5070.0,5100.0,100,2010-11-02
70,4816.0,4816.0,4816.0,4800.0,100,2010-11-03
71,4647.0,4647.0,4647.0,4600.0,200,2010-11-04
72,4647.0,4647.0,4647.0,4600.0,0,2010-11-05
73,5070.0,5070.0,5070.0,5100.0,100,2010-11-08
74,5492.0,5576.0,5492.0,5600.0,9000,2010-11-09
75,5999.0,5999.0,5999.0,6000.0,100,2010-11-10
76,5999.0,5999.0,5999.0,6000.0,0,2010-11-11
77,5999.0,5999.0,5999.0,6000.0,0,2010-11-12
78,6506.0,6506.0,5407.0,5700.0,300,2010-11-15
79,5745.0,5745.0,5745.0,5700.0,0,2010-11-16
80,5323.0,5323.0,5323.0,5300.0,100,2010-11-17
81,5830.0,5830.0,5830.0,5800.0,200,2010-11-18
82,6168.0,6168.0,5323.0,5600.0,300,2010-11-19
83,5576.0,5576.0,5576.0,5600.0,0,2010-11-22
84,5576.0,5576.0,5576.0,5600.0,0,2010-11-23
85,5576.0,5576.0,5576.0,5600.0,0,2010-11-24
86,5070.0,5070.0,5070.0,5100.0,100,2010-11-25
87,4647.0,4647.0,4647.0,4600.0,100,2010-11-26
88,5070.0,5070.0,4309.0,4600.0,200,2010-11-29
89,5154.0,5154.0,4309.0,4800.0,2300,2010-11-30
90,4563.0,4563.0,4563.0,4600.0,200,2010-12-01
91,4225.0,4225.0,4225.0,4200.0,7000,2010-12-02
92,4647.0,4647.0,4647.0,4600.0,1800,2010-12-03
93,5070.0,5070.0,5070.0,5100.0,1300,2010-12-06
94,5323.0,5323.0,5323.0,5300.0,100,2010-12-07
95,5323.0,5323.0,5323.0,5300.0,0,2010-12-08
96,5323.0,5323.0,5323.0,5300.0,0,2010-12-09
97,5323.0,5323.0,5323.0,5300.0,1000,2010-12-10
98,4901.0,5323.0,4901.0,5000.0,1700,2010-12-13
99,5323.0,5323.0,5323.0,5300.0,100,2010-12-14
100,5323.0,5323.0,5323.0,5300.0,0,2010-12-15
101,5323.0,5323.0,5323.0,5300.0,0,2010-12-16
102,5661.0,5661.0,5661.0,5700.0,100,2010-12-17
103,5661.0,5661.0,5661.0,5700.0,0,2010-12-20
104,5661.0,5661.0,5661.0,5700.0,0,2010-12-21
105,6083.0,6083.0,6083.0,6100.0,100,2010-12-22
106,5492.0,5492.0,5492.0,5500.0,3200,2010-12-23
107,4985.0,5070.0,4985.0,5100.0,200,2010-12-24
108,4647.0,4647.0,4647.0,4600.0,300,2010-12-27
109,4647.0,4647.0,4647.0,4600.0,8300,2010-12-28
110,4732.0,4732.0,4732.0,4700.0,14900,2010-12-29
111,5070.0,5070.0,5070.0,5100.0,100,2010-12-30
