,Open,High,Low,Close,Volume,TradingDate
0,36383.0,40426.0,34651.0,35690.0,8600,2006-12-20
1,31763.0,34305.0,31324.0,32168.0,7000,2006-12-21
2,26566.0,29742.0,29742.0,29742.0,6900,2006-12-22
3,24256.0,26912.0,26854.0,26854.0,24000,2006-12-25
4,22523.0,29453.0,25122.0,28183.0,53400,2006-12-26
5,27721.0,31071.0,30724.0,30781.0,43500,2006-12-27
6,28876.0,31443.0,29789.0,30781.0,46800,2006-12-28
7,29453.0,31323.0,29125.0,30608.0,33400,2006-12-29
8,28876.0,31592.0,30335.0,30608.0,22900,2007-01-02
9,28298.0,31763.0,29107.0,30377.0,17500,2007-01-03
10,27143.0,32473.0,29816.0,31706.0,20000,2007-01-04
11,31821.0,32572.0,30897.0,31821.0,8700,2007-01-05
12,29453.0,31474.0,30319.0,30897.0,8600,2007-01-08
13,29453.0,30479.0,28770.0,29453.0,55600,2007-01-09
14,27721.0,29279.0,28822.0,29164.0,44700,2007-01-10
15,27721.0,29971.0,28530.0,28876.0,30100,2007-01-11
16,24256.0,30923.0,26820.0,30031.0,43000,2007-01-12
17,30031.0,32671.0,29433.0,30493.0,41100,2007-01-15
18,30608.0,31922.0,28612.0,29453.0,51600,2007-01-16
19,28298.0,29905.0,28481.0,29164.0,40600,2007-01-17
20,27143.0,29863.0,29219.0,29453.0,42300,2007-01-18
21,27143.0,29743.0,29046.0,29569.0,56200,2007-01-19
22,27143.0,29921.0,29041.0,29569.0,42900,2007-01-22
23,27143.0,30036.0,26479.0,29453.0,90700,2007-01-23
24,27721.0,33564.0,30540.0,32052.0,143300,2007-01-24
25,31186.0,32654.0,29686.0,31590.0,94400,2007-01-25
26,28876.0,32465.0,31003.0,31763.0,22500,2007-01-26
27,28876.0,32110.0,31416.0,31879.0,38600,2007-01-29
28,30004.0,32683.0,31815.0,32162.0,44800,2007-01-30
29,32918.0,35344.0,33551.0,35286.0,95500,2007-01-31
30,35806.0,38751.0,37538.0,38578.0,165300,2007-02-01
31,40715.0,41895.0,39535.0,40715.0,156800,2007-02-02
32,41581.0,42764.0,39440.0,41581.0,144700,2007-02-05
33,39271.0,42079.0,39058.0,40426.0,55800,2007-02-06
34,36961.0,41062.0,39385.0,40715.0,170300,2007-02-07
35,36961.0,44700.0,39271.0,39848.0,30600,2007-02-08
36,34651.0,39667.0,37368.0,37885.0,21300,2007-02-09
37,34651.0,38463.0,36728.0,37827.0,47300,2007-02-12
38,38693.0,42196.0,38733.0,39848.0,25400,2007-02-13
39,37538.0,40600.0,39440.0,40426.0,31200,2007-02-14
40,37538.0,43314.0,40657.0,42678.0,67400,2007-02-15
41,43314.0,47010.0,43999.0,46894.0,79200,2007-02-26
42,47934.0,51576.0,48624.0,49666.0,90900,2007-02-27
43,46779.0,50551.0,47427.0,48222.0,61300,2007-02-28
44,43314.0,48610.0,44804.0,45624.0,16800,2007-03-01
45,41003.0,47080.0,42711.0,45624.0,54300,2007-03-02
46,43891.0,48109.0,45375.0,47760.0,53500,2007-03-05
47,46201.0,51186.0,47615.0,49089.0,105800,2007-03-06
48,47934.0,51762.0,46528.0,49377.0,53400,2007-03-07
49,43314.0,49770.0,46051.0,48511.0,54600,2007-03-08
50,45624.0,49204.0,48626.0,49089.0,80500,2007-03-09
51,45624.0,51733.0,48744.0,49089.0,86800,2007-03-12
52,46201.0,50016.0,49027.0,49551.0,69600,2007-03-13
53,46201.0,51331.0,47474.0,49551.0,43500,2007-03-14
54,42736.0,45322.0,43056.0,44075.0,27100,2007-03-15
55,45046.0,49261.0,44824.0,48224.0,66600,2007-03-16
56,48511.0,53006.0,43442.0,48569.0,114300,2007-03-19
57,45046.0,51854.0,47820.0,48800.0,33800,2007-03-20
58,46201.0,48541.0,45719.0,47356.0,20100,2007-03-21
59,42736.0,47177.0,44300.0,45624.0,24900,2007-03-22
60,42159.0,46150.0,44229.0,45335.0,39700,2007-03-23
61,42736.0,49011.0,43497.0,45335.0,17000,2007-03-26
62,37538.0,47436.0,45132.0,45335.0,14600,2007-03-27
63,34651.0,46660.0,38280.0,41581.0,33400,2007-03-28
64,38693.0,42466.0,38632.0,41581.0,145600,2007-03-29
65,41003.0,42682.0,39653.0,41581.0,52700,2007-03-30
66,40426.0,43727.0,39383.0,40426.0,23600,2007-04-02
67,36961.0,40203.0,37873.0,39271.0,14100,2007-04-03
68,36383.0,43211.0,39761.0,42159.0,31800,2007-04-04
69,39271.0,42278.0,39382.0,40888.0,29300,2007-04-05
70,37538.0,40484.0,39905.0,40426.0,15600,2007-04-06
71,37538.0,42058.0,37969.0,40715.0,12500,2007-04-09
72,39848.0,42615.0,40139.0,40599.0,11600,2007-04-10
73,36383.0,41062.0,39442.0,40715.0,14000,2007-04-11
74,37538.0,40367.0,39502.0,39848.0,13400,2007-04-12
75,37538.0,39779.0,38062.0,38462.0,17000,2007-04-13
76,34651.0,37109.0,34540.0,34940.0,25600,2007-04-16
77,30031.0,33566.0,32447.0,32918.0,28100,2007-04-17
78,31763.0,35633.0,32500.0,35459.0,28100,2007-04-18
79,35806.0,38066.0,34611.0,35517.0,64900,2007-04-19
80,34651.0,35678.0,34251.0,34651.0,15600,2007-04-20
81,31763.0,34658.0,33314.0,34073.0,20900,2007-04-23
82,29453.0,34132.0,31818.0,33496.0,29900,2007-04-24
83,31763.0,34704.0,33270.0,34073.0,26100,2007-04-25
84,32918.0,35161.0,31496.0,34073.0,18600,2007-05-02
