,Open,High,Low,Close,Volume,TradingDate
0,7812.0,7812.0,6869.0,7300.0,8500,2006-12-01
1,7273.0,7463.0,7191.0,7300.0,7900,2006-12-04
2,7004.0,7004.0,7004.0,7004.0,100,2006-12-05
3,6734.0,6734.0,6734.0,6734.0,500,2006-12-06
4,6465.0,6761.0,6734.0,6734.0,3400,2006-12-07
5,6734.0,6869.0,6680.0,6734.0,4200,2006-12-08
6,6465.0,7004.0,6707.0,6869.0,5400,2006-12-11
7,6734.0,6842.0,6842.0,6842.0,1300,2006-12-12
8,7004.0,7273.0,6842.0,7031.0,3500,2006-12-13
9,6734.0,6977.0,6842.0,6896.0,2000,2006-12-14
10,6734.0,7004.0,6734.0,6977.0,12300,2006-12-15
11,7004.0,7031.0,6760.0,6977.0,400,2006-12-18
12,6734.0,7005.0,6949.0,6977.0,3200,2006-12-19
13,6734.0,6951.0,6869.0,6869.0,6500,2006-12-20
14,6734.0,6788.0,6680.0,6734.0,4500,2006-12-21
15,6734.0,6734.0,6734.0,6734.0,2500,2006-12-22
16,6734.0,6734.0,6734.0,6734.0,600,2006-12-25
17,6465.0,6465.0,6465.0,6465.0,2500,2006-12-26
18,6465.0,6654.0,6518.0,6600.0,1200,2006-12-27
19,6465.0,6600.0,6600.0,6600.0,700,2006-12-28
20,6465.0,6872.0,6075.0,6734.0,9100,2006-12-29
21,6465.0,6762.0,6707.0,6734.0,700,2007-01-02
22,6465.0,6627.0,6627.0,6627.0,1700,2007-01-03
23,6465.0,6488.0,6198.0,6330.0,15400,2007-01-04
24,6196.0,6600.0,6330.0,6519.0,11100,2007-01-05
25,6465.0,6573.0,6061.0,6411.0,1900,2007-01-08
26,6465.0,6465.0,6465.0,6465.0,4000,2007-01-09
27,6465.0,6761.0,6491.0,6734.0,4800,2007-01-10
28,6734.0,6896.0,6761.0,6869.0,7000,2007-01-11
29,6734.0,7141.0,6976.0,7004.0,4900,2007-01-12
30,7542.0,7597.0,7461.0,7542.0,18400,2007-01-15
31,8081.0,8216.0,8135.0,8216.0,24500,2007-01-16
32,8889.0,8765.0,7980.0,8216.0,31000,2007-01-17
33,8081.0,8161.0,8028.0,8081.0,6900,2007-01-18
34,7812.0,8163.0,7972.0,8081.0,7100,2007-01-19
35,7946.0,8164.0,7834.0,8081.0,4800,2007-01-22
36,7866.0,8003.0,7811.0,7866.0,2200,2007-01-23
37,7812.0,7730.0,7463.0,7596.0,4400,2007-01-24
38,7677.0,7516.0,7516.0,7596.0,0,2007-01-25
39,7542.0,7542.0,7542.0,7542.0,4000,2007-01-26
40,7542.0,7597.0,7325.0,7542.0,5100,2007-01-29
41,7542.0,7596.0,7542.0,7542.0,4300,2007-01-30
42,7542.0,7675.0,7410.0,7542.0,11500,2007-01-31
43,7542.0,7893.0,7569.0,7650.0,5700,2007-02-01
44,7542.0,7650.0,7247.0,7542.0,7900,2007-02-02
45,7004.0,7989.0,7288.0,7596.0,7300,2007-02-05
46,7542.0,7677.0,7273.0,7542.0,14500,2007-02-06
47,7542.0,7812.0,7542.0,7677.0,9800,2007-02-07
48,8081.0,8108.0,7784.0,8027.0,23700,2007-02-08
49,8081.0,9205.0,8189.0,8782.0,46500,2007-02-09
50,9213.0,9213.0,9213.0,9213.0,3900,2007-02-12
51,9967.0,10128.0,10128.0,10128.0,17500,2007-02-13
52,11044.0,11235.0,10337.0,11044.0,37500,2007-02-14
