,Open,High,Low,Close,Volume,TradingDate
0,7505.0,7505.0,4646.0,5100.0,1500,2016-12-20
1,4360.0,4360.0,4360.0,4400.0,500,2016-12-21
2,3717.0,3717.0,3717.0,3700.0,24500,2016-12-22
3,4217.0,4217.0,3503.0,4100.0,1500,2016-12-23
4,3574.0,4217.0,3503.0,3600.0,10500,2016-12-26
5,3646.0,4146.0,3646.0,4000.0,11800,2016-12-27
6,4432.0,4432.0,3717.0,4000.0,1800,2016-12-28
7,4217.0,4289.0,3646.0,3800.0,47200,2016-12-29
8,3431.0,4432.0,3431.0,3800.0,18800,2016-12-30
9,3288.0,4217.0,3288.0,3600.0,300,2017-01-03
10,3788.0,4146.0,3788.0,3800.0,2600,2017-01-04
11,3646.0,3931.0,3646.0,3800.0,5100,2017-01-05
12,3788.0,3860.0,3788.0,3800.0,5000,2017-01-06
13,3817.0,3817.0,3817.0,3800.0,0,2017-01-09
14,4146.0,4146.0,4146.0,4100.0,100,2017-01-10
15,3860.0,3860.0,3788.0,3800.0,31700,2017-01-11
16,4146.0,4146.0,3860.0,4000.0,16900,2017-01-12
17,3931.0,3931.0,3931.0,3900.0,8000,2017-01-13
18,3860.0,3931.0,3860.0,3900.0,23900,2017-01-16
19,3931.0,3931.0,3931.0,3900.0,15500,2017-01-17
20,3931.0,4074.0,3931.0,3900.0,40700,2017-01-18
21,3931.0,3931.0,3860.0,3900.0,10300,2017-01-19
22,3931.0,4003.0,3860.0,3900.0,39900,2017-01-20
23,3931.0,3931.0,3931.0,3900.0,25000,2017-01-23
24,3931.0,3931.0,3931.0,3900.0,32000,2017-01-24
25,3931.0,3931.0,3931.0,3900.0,1000,2017-01-25
26,3931.0,3931.0,3931.0,3900.0,15000,2017-02-02
27,3931.0,3931.0,3931.0,3900.0,1200,2017-02-03
28,3931.0,4074.0,3931.0,3900.0,16700,2017-02-06
29,4074.0,4074.0,4003.0,4000.0,8000,2017-02-07
30,4003.0,4003.0,4003.0,4000.0,10000,2017-02-08
31,3503.0,4003.0,3503.0,3900.0,2700,2017-02-09
32,4003.0,4003.0,4003.0,4000.0,4700,2017-02-10
33,4003.0,4003.0,4003.0,4000.0,600,2017-02-13
34,3503.0,4074.0,3503.0,3900.0,2400,2017-02-14
35,4074.0,4074.0,4003.0,4000.0,5400,2017-02-15
36,3931.0,4146.0,3931.0,4000.0,2300,2017-02-16
37,3931.0,4146.0,3931.0,4100.0,400,2017-02-17
38,4003.0,4003.0,4003.0,4000.0,700,2017-02-20
39,4074.0,4074.0,4074.0,4100.0,4000,2017-02-21
40,4003.0,4003.0,4003.0,4000.0,6200,2017-02-22
41,3931.0,4074.0,3931.0,4000.0,168000,2017-02-23
42,3931.0,4074.0,3931.0,4000.0,55200,2017-02-24
43,4003.0,4003.0,3931.0,4000.0,14300,2017-02-27
44,4003.0,4003.0,3931.0,4000.0,98600,2017-02-28
45,3931.0,3931.0,3931.0,3900.0,21700,2017-03-01
46,3788.0,4074.0,3788.0,4000.0,800,2017-03-02
47,3646.0,4003.0,3646.0,3900.0,21600,2017-03-03
48,4003.0,4003.0,3931.0,3900.0,1100,2017-03-06
49,3646.0,3931.0,3646.0,3900.0,5800,2017-03-07
50,4003.0,4003.0,3931.0,4000.0,34900,2017-03-08
51,3717.0,3717.0,3717.0,3700.0,500,2017-03-09
52,3931.0,3931.0,3717.0,3900.0,12500,2017-03-10
53,3646.0,3788.0,3646.0,3800.0,800,2017-03-13
54,3931.0,4003.0,3717.0,3900.0,6800,2017-03-14
55,3929.0,3929.0,3929.0,3900.0,0,2017-03-15
56,3931.0,4003.0,3931.0,4000.0,300,2017-03-16
57,3503.0,4003.0,3503.0,4000.0,165200,2017-03-17
58,4003.0,4074.0,3931.0,4000.0,18700,2017-03-20
59,4003.0,4003.0,3931.0,4000.0,41800,2017-03-21
60,3931.0,4003.0,3931.0,4000.0,14700,2017-03-22
61,3931.0,4003.0,3931.0,3900.0,41100,2017-03-23
62,4003.0,4003.0,4003.0,4000.0,3600,2017-03-24
63,4003.0,4003.0,4003.0,4000.0,0,2017-03-27
64,4003.0,4003.0,3931.0,3900.0,12200,2017-03-28
65,4003.0,4003.0,4003.0,4000.0,7800,2017-03-29
66,4003.0,4003.0,3931.0,4000.0,27300,2017-03-30
67,3931.0,4003.0,3931.0,3900.0,45200,2017-03-31
68,3931.0,3931.0,3931.0,3900.0,27000,2017-04-03
69,3860.0,3860.0,3646.0,3900.0,17100,2017-04-04
70,3860.0,4360.0,3860.0,4100.0,220000,2017-04-05
71,4289.0,4646.0,4146.0,4400.0,114500,2017-04-07
72,5004.0,5004.0,4074.0,4600.0,27100,2017-04-10
73,4432.0,4932.0,4003.0,4600.0,91500,2017-04-11
74,4503.0,4646.0,4503.0,4600.0,20600,2017-04-12
75,4360.0,4646.0,4289.0,4400.0,17600,2017-04-13
76,4217.0,4360.0,4217.0,4300.0,2300,2017-04-14
77,4003.0,4360.0,4003.0,4200.0,23900,2017-04-17
78,4146.0,4146.0,4003.0,4100.0,68000,2017-04-18
79,4074.0,4146.0,4074.0,4100.0,6200,2017-04-19
80,4146.0,4146.0,4146.0,4100.0,25800,2017-04-20
81,4146.0,4289.0,4146.0,4200.0,7300,2017-04-21
82,4289.0,4289.0,4146.0,4200.0,4600,2017-04-24
83,4074.0,4074.0,4074.0,4100.0,3600,2017-04-25
84,4217.0,4217.0,4217.0,4200.0,100,2017-04-26
85,4146.0,4146.0,4146.0,4100.0,100,2017-04-27
86,4146.0,4289.0,4146.0,4200.0,8000,2017-04-28
87,4074.0,4146.0,4003.0,4100.0,24000,2017-05-03
88,4074.0,4074.0,4074.0,4100.0,24800,2017-05-04
89,4074.0,4146.0,4074.0,4100.0,26100,2017-05-05
90,4074.0,4289.0,4003.0,4100.0,141500,2017-05-08
91,4146.0,4146.0,4074.0,4100.0,20700,2017-05-09
92,4074.0,4146.0,4074.0,4100.0,18800,2017-05-10
93,4146.0,4217.0,4146.0,4100.0,327400,2017-05-11
94,4146.0,4217.0,4146.0,4200.0,10600,2017-05-12
95,4146.0,4289.0,4146.0,4200.0,154800,2017-05-15
96,4217.0,4217.0,4146.0,4100.0,22900,2017-05-16
97,4074.0,4146.0,4074.0,4100.0,21700,2017-05-17
98,4217.0,4217.0,4074.0,4200.0,12300,2017-05-18
99,4074.0,4217.0,4074.0,4100.0,8300,2017-05-19
100,4146.0,4217.0,4146.0,4200.0,36000,2017-05-22
101,4146.0,4146.0,4146.0,4100.0,10200,2017-05-23
102,4217.0,4217.0,4146.0,4100.0,65400,2017-05-24
103,4217.0,4432.0,4217.0,4300.0,65400,2017-05-25
104,4718.0,4718.0,4718.0,4700.0,100,2017-05-26
105,4217.0,4432.0,4217.0,4300.0,40100,2017-05-29
106,4646.0,4646.0,4217.0,4300.0,5100,2017-05-30
107,4360.0,4432.0,4217.0,4400.0,48200,2017-05-31
108,4289.0,4289.0,4217.0,4300.0,3200,2017-06-01
109,4289.0,4289.0,4289.0,4300.0,9500,2017-06-02
110,4289.0,4360.0,4217.0,4300.0,44300,2017-06-05
111,4360.0,4503.0,4360.0,4400.0,54500,2017-06-06
112,4360.0,4432.0,4360.0,4400.0,3900,2017-06-07
113,4432.0,4432.0,4360.0,4400.0,33400,2017-06-08
114,4360.0,4432.0,4360.0,4400.0,45200,2017-06-09
115,4360.0,4432.0,4360.0,4400.0,56200,2017-06-12
116,4432.0,4503.0,4432.0,4500.0,45300,2017-06-13
117,4503.0,4718.0,4503.0,4700.0,179300,2017-06-14
118,5218.0,5290.0,4789.0,5100.0,100600,2017-06-15
119,5004.0,5075.0,5004.0,5000.0,9100,2017-06-16
120,4932.0,5004.0,4575.0,4900.0,21900,2017-06-19
121,4861.0,5147.0,4789.0,5000.0,1982400,2017-06-20
122,5147.0,5718.0,5075.0,5300.0,101500,2017-06-21
123,5575.0,5861.0,5361.0,5600.0,35900,2017-06-22
124,5504.0,6076.0,5218.0,5700.0,138300,2017-06-23
125,5933.0,6576.0,5718.0,6400.0,173100,2017-06-26
126,7291.0,7291.0,6791.0,7200.0,355900,2017-06-27
127,7863.0,7863.0,7148.0,7300.0,1014300,2017-06-28
128,7148.0,7362.0,7077.0,7300.0,1720200,2017-06-29
129,7077.0,7077.0,7005.0,7000.0,140800,2017-06-30
130,6433.0,6576.0,6076.0,6400.0,468300,2017-07-03
131,6290.0,6648.0,6290.0,6500.0,29200,2017-07-04
132,6576.0,6576.0,6290.0,6300.0,257300,2017-07-05
133,6433.0,6505.0,6290.0,6400.0,25700,2017-07-06
134,6433.0,6433.0,6362.0,6400.0,5700,2017-07-07
135,6433.0,6433.0,6076.0,6300.0,8100,2017-07-10
136,6076.0,6147.0,6004.0,6100.0,56000,2017-07-11
137,6219.0,6219.0,6219.0,6200.0,200,2017-07-12
138,6219.0,6219.0,6219.0,6200.0,4000,2017-07-13
139,6219.0,6219.0,6219.0,6200.0,0,2017-07-14
140,6219.0,6290.0,6219.0,6200.0,7200,2017-07-17
141,6290.0,6290.0,6219.0,6200.0,8000,2017-07-18
142,6445.0,6673.0,6369.0,6600.0,58300,2017-07-19
143,6597.0,6597.0,6445.0,6600.0,8200,2017-07-20
144,6597.0,6824.0,6369.0,6500.0,43600,2017-07-21
145,6673.0,6673.0,6673.0,6700.0,1300,2017-07-24
146,6294.0,6597.0,6294.0,6300.0,101000,2017-07-25
147,6294.0,6445.0,6294.0,6300.0,2500,2017-07-26
148,6142.0,6294.0,6066.0,6100.0,102000,2017-07-27
149,6294.0,6294.0,6142.0,6200.0,7000,2017-07-28
150,6218.0,6294.0,6142.0,6200.0,71700,2017-07-31
151,6218.0,6521.0,6218.0,6400.0,68600,2017-08-01
152,6521.0,6976.0,6521.0,6900.0,18200,2017-08-02
153,6673.0,6824.0,6294.0,6700.0,6200,2017-08-03
154,6673.0,6673.0,6597.0,6700.0,3700,2017-08-04
155,6597.0,6673.0,6445.0,6600.0,1100,2017-08-07
156,6218.0,6369.0,6218.0,6300.0,12000,2017-08-08
157,6142.0,6218.0,5990.0,6000.0,59500,2017-08-09
158,5914.0,6748.0,5914.0,6400.0,39400,2017-08-10
159,6066.0,6824.0,6066.0,6400.0,31100,2017-08-11
160,6066.0,6521.0,6066.0,6300.0,5000,2017-08-14
161,6142.0,6445.0,6142.0,6400.0,5100,2017-08-15
162,6369.0,6445.0,6369.0,6400.0,5400,2017-08-16
163,6142.0,6445.0,6142.0,6300.0,1500,2017-08-17
164,6142.0,6824.0,6142.0,6400.0,17600,2017-08-18
165,6142.0,6824.0,6142.0,6400.0,17600,2017-08-21
166,6445.0,6445.0,6445.0,6400.0,0,2017-08-22
167,6445.0,6445.0,6445.0,6400.0,0,2017-08-23
168,6445.0,6445.0,6445.0,6400.0,0,2017-08-24
169,6142.0,6445.0,6142.0,6200.0,16300,2017-08-25
170,6142.0,6445.0,6142.0,6400.0,22100,2017-08-28
171,6445.0,6445.0,6218.0,6400.0,5600,2017-08-29
172,6445.0,6445.0,6294.0,6400.0,22100,2017-08-30
173,6673.0,6673.0,6445.0,6700.0,52000,2017-08-31
174,6369.0,6521.0,6369.0,6400.0,11100,2017-09-01
175,6673.0,7203.0,6445.0,6700.0,182700,2017-09-05
176,6824.0,6824.0,6824.0,6700.0,1000,2017-09-06
177,7810.0,7810.0,7583.0,7700.0,39600,2017-09-07
178,7810.0,7810.0,6976.0,7500.0,17700,2017-09-08
179,6824.0,8341.0,6824.0,8100.0,68800,2017-09-11
180,7355.0,7962.0,7203.0,7200.0,60900,2017-09-12
181,8113.0,8113.0,8113.0,8100.0,100,2017-09-13
182,7203.0,7658.0,7203.0,7200.0,53300,2017-09-14
183,8113.0,8113.0,7203.0,7300.0,15800,2017-09-15
184,7279.0,7583.0,7279.0,7400.0,33500,2017-09-18
185,7355.0,7583.0,7279.0,7400.0,277900,2017-09-19
186,7583.0,7962.0,7355.0,7400.0,194400,2017-09-20
187,7355.0,7583.0,7355.0,7500.0,30500,2017-09-21
188,7583.0,7658.0,7583.0,7600.0,45700,2017-09-22
189,7734.0,7734.0,7583.0,7600.0,35300,2017-09-25
190,7734.0,7734.0,7507.0,7500.0,22600,2017-09-26
191,7734.0,7734.0,7431.0,7500.0,12000,2017-09-27
192,7583.0,7583.0,7507.0,7600.0,23100,2017-09-28
193,7507.0,7507.0,7431.0,7500.0,62100,2017-09-29
194,7507.0,7583.0,7507.0,7500.0,10100,2017-10-02
195,7507.0,7734.0,7507.0,7600.0,31500,2017-10-03
196,7583.0,7658.0,7507.0,7600.0,18200,2017-10-04
197,7583.0,7583.0,7507.0,7500.0,32000,2017-10-05
198,7507.0,7583.0,7507.0,7500.0,111100,2017-10-06
199,7507.0,7507.0,7507.0,7500.0,65300,2017-10-09
200,7507.0,7583.0,7507.0,7500.0,4700,2017-10-10
201,7507.0,7583.0,7507.0,7500.0,26400,2017-10-11
202,7507.0,7583.0,7507.0,7500.0,66200,2017-10-12
203,7507.0,7583.0,7507.0,7500.0,50200,2017-10-13
204,7507.0,7507.0,7507.0,7500.0,57600,2017-10-16
205,7507.0,7507.0,7507.0,7500.0,3000,2017-10-17
206,7507.0,7507.0,7507.0,7500.0,9100,2017-10-18
207,7583.0,7583.0,7507.0,7500.0,15300,2017-10-19
208,7583.0,7583.0,7507.0,7500.0,7400,2017-10-20
209,7583.0,7583.0,7507.0,7500.0,13400,2017-10-23
210,8417.0,8417.0,7507.0,7500.0,7100,2017-10-24
211,7507.0,7507.0,7507.0,7500.0,2000,2017-10-25
212,7507.0,7507.0,7507.0,7500.0,8400,2017-10-26
213,7507.0,7810.0,7507.0,7500.0,7200,2017-10-27
214,7507.0,7583.0,7507.0,7600.0,18000,2017-10-30
215,7583.0,7734.0,7507.0,7500.0,183300,2017-10-31
216,7583.0,7583.0,7583.0,7600.0,3000,2017-11-01
