,Open,High,Low,Close,Volume,TradingDate
0,24127.0,28313.0,22628.0,24320.0,314000,2007-09-20
1,24899.0,24935.0,23976.0,24513.0,163700,2007-09-21
2,25092.0,25152.0,24378.0,24513.0,147400,2007-09-24
3,24513.0,24862.0,24376.0,24706.0,227300,2007-09-25
4,24706.0,24821.0,24359.0,24513.0,252500,2007-09-26
5,24706.0,25036.0,24899.0,24899.0,270700,2007-09-27
6,25092.0,27549.0,25098.0,27215.0,128200,2007-09-28
7,29454.0,29454.0,29454.0,29454.0,52900,2007-10-01
8,32388.0,29631.0,27724.0,29454.0,695200,2007-10-02
9,35322.0,34904.0,31471.0,32195.0,459800,2007-10-03
10,33411.0,33778.0,32813.0,33411.0,363000,2007-10-04
11,32832.0,36750.0,31269.0,32832.0,191800,2007-10-05
12,32022.0,33971.0,31269.0,32022.0,212500,2007-10-08
13,30941.0,31481.0,30690.0,30941.0,296400,2007-10-09
14,30941.0,31424.0,29901.0,30941.0,302800,2007-10-10
15,32813.0,32555.0,31891.0,32157.0,167200,2007-10-11
16,32263.0,32813.0,31713.0,32263.0,134000,2007-10-12
17,32272.0,32813.0,31829.0,32272.0,285100,2007-10-15
18,32427.0,32620.0,31944.0,32446.0,520600,2007-10-16
19,32987.0,33778.0,31848.0,32485.0,326800,2007-10-17
20,31365.0,32234.0,31095.0,31365.0,196100,2007-10-18
21,31076.0,32234.0,31076.0,31829.0,275500,2007-10-19
22,32137.0,32137.0,31385.0,31597.0,194800,2007-10-22
23,31655.0,31809.0,30883.0,31095.0,263000,2007-10-23
24,31616.0,31616.0,30497.0,30786.0,341300,2007-10-24
25,31076.0,31269.0,30883.0,31037.0,418200,2007-10-25
26,31443.0,34125.0,30786.0,31134.0,294600,2007-10-26
27,31500.0,31500.0,29146.0,30670.0,151000,2007-10-29
28,28953.0,30014.0,28953.0,29705.0,227300,2007-10-30
29,29570.0,29705.0,28277.0,28817.0,193400,2007-10-31
30,28856.0,30883.0,28393.0,29551.0,213600,2007-11-01
31,32041.0,32195.0,29628.0,30400.0,196500,2007-11-02
32,29725.0,29918.0,28663.0,29068.0,213100,2007-11-05
33,28953.0,29146.0,28470.0,28644.0,179600,2007-11-06
34,28953.0,29532.0,28663.0,29010.0,150500,2007-11-07
35,28953.0,28953.0,27756.0,28431.0,163700,2007-11-08
36,27331.0,28374.0,26829.0,27331.0,215400,2007-11-09
37,27022.0,27987.0,26636.0,26868.0,123100,2007-11-12
38,26810.0,26810.0,24320.0,24938.0,191900,2007-11-13
39,25131.0,27428.0,25131.0,27100.0,121800,2007-11-14
40,29802.0,29802.0,27698.0,28335.0,368000,2007-11-15
