,Open,High,Low,Close,Volume,TradingDate
0,13078.0,13078.0,13078.0,13078.0,78230,2010-12-09
1,12442.0,12442.0,12442.0,12442.0,32220,2010-12-10
2,11897.0,12987.0,11897.0,12806.0,4464610,2010-12-13
3,12806.0,12806.0,12170.0,12170.0,906120,2010-12-14
4,12170.0,12261.0,11625.0,11625.0,646950,2010-12-15
5,11171.0,11534.0,11080.0,11080.0,424750,2010-12-16
6,11080.0,11353.0,10626.0,11080.0,776270,2010-12-17
7,11080.0,11171.0,10535.0,10535.0,831690,2010-12-20
8,10444.0,10535.0,10081.0,10172.0,717620,2010-12-21
9,10444.0,10626.0,10263.0,10626.0,873460,2010-12-22
10,10808.0,10808.0,10172.0,10263.0,383530,2010-12-23
11,10263.0,10444.0,10081.0,10172.0,253750,2010-12-24
12,10353.0,10353.0,9809.0,9809.0,597920,2010-12-27
13,9990.0,10172.0,9718.0,9990.0,428930,2010-12-28
14,9990.0,9990.0,9627.0,9627.0,420800,2010-12-29
15,9627.0,9990.0,9627.0,9718.0,423170,2010-12-30
16,9718.0,9899.0,9627.0,9718.0,195130,2010-12-31
17,9809.0,9899.0,9718.0,9718.0,155960,2011-01-04
18,9718.0,9809.0,9354.0,9445.0,303060,2011-01-05
19,9445.0,9445.0,9173.0,9264.0,313480,2011-01-06
20,9354.0,9354.0,9173.0,9173.0,277540,2011-01-07
21,9082.0,9082.0,8810.0,8810.0,449560,2011-01-10
22,8446.0,8810.0,8446.0,8446.0,606120,2011-01-11
23,8446.0,8628.0,8446.0,8537.0,291210,2011-01-12
24,8628.0,8810.0,8446.0,8628.0,322310,2011-01-13
25,8719.0,8719.0,8446.0,8537.0,336450,2011-01-14
26,8628.0,8900.0,8537.0,8810.0,539800,2011-01-17
27,8810.0,8991.0,8628.0,8628.0,285100,2011-01-18
28,8628.0,8900.0,8537.0,8628.0,229720,2011-01-19
29,8719.0,8719.0,8446.0,8537.0,132590,2011-01-20
30,8537.0,8628.0,8446.0,8446.0,330760,2011-01-21
31,8446.0,8537.0,8174.0,8174.0,348200,2011-01-24
32,8083.0,8083.0,7901.0,7901.0,235800,2011-01-25
33,7901.0,8265.0,7901.0,8174.0,116940,2011-01-26
34,8265.0,8355.0,8174.0,8174.0,103060,2011-01-27
35,8265.0,8355.0,8174.0,8174.0,159630,2011-01-28
36,8174.0,8355.0,8083.0,8083.0,88770,2011-02-08
37,8174.0,8265.0,7992.0,7992.0,213710,2011-02-09
38,7992.0,8083.0,7811.0,7901.0,144340,2011-02-10
39,7901.0,7901.0,7720.0,7811.0,123330,2011-02-11
40,7901.0,7901.0,7720.0,7811.0,142860,2011-02-14
41,7811.0,7811.0,7629.0,7720.0,170270,2011-02-15
42,7720.0,7720.0,7447.0,7447.0,248090,2011-02-16
43,7447.0,7447.0,7084.0,7266.0,333600,2011-02-17
44,7356.0,7356.0,7084.0,7084.0,328290,2011-02-18
45,6993.0,6993.0,6812.0,6812.0,353270,2011-02-21
46,6539.0,6721.0,6539.0,6539.0,261350,2011-02-22
47,6630.0,6630.0,6357.0,6539.0,290020,2011-02-23
48,6539.0,6539.0,6267.0,6267.0,367480,2011-02-24
49,6539.0,6539.0,6267.0,6539.0,272280,2011-02-25
50,6630.0,6812.0,6630.0,6721.0,446200,2011-02-28
51,6721.0,6721.0,6539.0,6630.0,118910,2011-03-01
52,6448.0,6539.0,6357.0,6357.0,428520,2011-03-02
53,6267.0,6448.0,6176.0,6267.0,132730,2011-03-03
54,6176.0,6267.0,6085.0,6267.0,216960,2011-03-04
55,6267.0,6448.0,6267.0,6267.0,141190,2011-03-07
56,6267.0,6357.0,6176.0,6176.0,164180,2011-03-08
57,6176.0,6176.0,5903.0,5994.0,209800,2011-03-09
58,5903.0,6267.0,5903.0,6267.0,269020,2011-03-10
59,6448.0,6539.0,6448.0,6539.0,247050,2011-03-11
60,6267.0,6539.0,6267.0,6267.0,266220,2011-03-14
61,6267.0,6357.0,6085.0,6085.0,233200,2011-03-15
62,6085.0,6267.0,5994.0,6176.0,109440,2011-03-16
63,6176.0,6267.0,6085.0,6176.0,109670,2011-03-17
64,6085.0,6357.0,6085.0,6357.0,352270,2011-03-18
65,6357.0,6448.0,6176.0,6267.0,189600,2011-03-21
66,6267.0,6357.0,6176.0,6267.0,173120,2011-03-22
67,6176.0,6267.0,6176.0,6176.0,142270,2011-03-23
68,6176.0,6267.0,6176.0,6176.0,114540,2011-03-24
69,6176.0,6267.0,6085.0,6176.0,62020,2011-03-25
70,6267.0,6267.0,6085.0,6085.0,83300,2011-03-28
71,6085.0,6085.0,5903.0,6085.0,187320,2011-03-29
72,5903.0,5994.0,5903.0,5903.0,127900,2011-03-30
73,5903.0,5994.0,5903.0,5903.0,92540,2011-03-31
74,5903.0,5903.0,5812.0,5812.0,145100,2011-04-01
75,5812.0,5812.0,5631.0,5631.0,77190,2011-04-04
