,Open,High,Low,Close,Volume,TradingDate
0,7904.0,7904.0,7904.0,7904.0,61040,2010-06-02
1,7533.0,8274.0,7533.0,8274.0,1312280,2010-06-03
2,8274.0,8274.0,7904.0,8027.0,136280,2010-06-04
3,7626.0,7687.0,7626.0,7626.0,108550,2010-06-07
4,7255.0,7317.0,7255.0,7286.0,123920,2010-06-08
5,6946.0,7286.0,6946.0,6946.0,268310,2010-06-09
6,6638.0,6885.0,6638.0,6638.0,235910,2010-06-10
7,6946.0,6946.0,6792.0,6946.0,294660,2010-06-11
8,7286.0,7286.0,7255.0,7255.0,455630,2010-06-14
9,7163.0,7193.0,6946.0,7101.0,203160,2010-06-15
10,7224.0,7255.0,7070.0,7070.0,177150,2010-06-16
11,7039.0,7070.0,6916.0,7008.0,187510,2010-06-17
12,7008.0,7101.0,6946.0,6946.0,201580,2010-06-18
13,7101.0,7101.0,6885.0,6885.0,104610,2010-06-21
14,6823.0,6946.0,6730.0,6730.0,193210,2010-06-22
15,6730.0,7039.0,6730.0,7039.0,515940,2010-06-23
16,7348.0,7348.0,7039.0,7101.0,348690,2010-06-24
17,6792.0,7008.0,6792.0,6823.0,123090,2010-06-25
18,7132.0,7132.0,6885.0,7039.0,308930,2010-06-28
19,6823.0,7070.0,6823.0,6823.0,237760,2010-06-29
20,6638.0,6669.0,6514.0,6576.0,211810,2010-06-30
21,6576.0,6669.0,6453.0,6576.0,97740,2010-07-01
22,6576.0,6792.0,6545.0,6792.0,175660,2010-07-02
23,6792.0,6823.0,6761.0,6761.0,117370,2010-07-05
24,6761.0,6761.0,6483.0,6607.0,107120,2010-07-06
25,6607.0,6730.0,6545.0,6576.0,130130,2010-07-07
26,6298.0,6669.0,6298.0,6298.0,224990,2010-07-08
27,6298.0,6483.0,6267.0,6329.0,261090,2010-07-09
28,6514.0,6514.0,6360.0,6422.0,131650,2010-07-12
29,6607.0,6730.0,6514.0,6730.0,247540,2010-07-13
30,6761.0,7008.0,6669.0,6761.0,220270,2010-07-14
31,6699.0,6730.0,6607.0,6669.0,134110,2010-07-15
32,6638.0,6669.0,6483.0,6483.0,145680,2010-07-16
33,6391.0,6483.0,6391.0,6391.0,87720,2010-07-19
