,Open,High,Low,Close,Volume,TradingDate
0,29897.0,29897.0,27219.0,28340.0,300820,2010-08-09
1,27095.0,28340.0,26970.0,26970.0,134610,2010-08-10
2,25662.0,26908.0,25662.0,26098.0,369860,2010-08-11
3,26472.0,26472.0,24852.0,24852.0,87280,2010-08-12
4,24105.0,25101.0,24043.0,24915.0,731660,2010-08-13
5,25787.0,26036.0,24977.0,25911.0,583730,2010-08-16
6,25911.0,25911.0,24977.0,25351.0,291860,2010-08-17
7,24915.0,25101.0,24105.0,24105.0,712220,2010-08-18
8,24354.0,24479.0,23980.0,24105.0,429820,2010-08-19
9,24105.0,24105.0,23233.0,23482.0,574310,2010-08-20
10,23233.0,23233.0,22423.0,22423.0,224980,2010-08-23
11,23304.0,23304.0,21369.0,21369.0,599070,2010-08-24
12,20577.0,21984.0,20577.0,21457.0,224490,2010-08-25
13,22424.0,22512.0,21984.0,22512.0,242060,2010-08-26
14,22688.0,23567.0,22688.0,23567.0,355310,2010-08-27
15,24711.0,24711.0,24623.0,24711.0,1066050,2010-08-30
16,24535.0,25502.0,24535.0,25502.0,941330,2010-08-31
17,25326.0,25502.0,24359.0,25326.0,463320,2010-09-01
18,25942.0,26030.0,24711.0,25414.0,1102110,2010-09-06
19,24623.0,24798.0,24271.0,24271.0,672000,2010-09-07
20,23304.0,23831.0,23216.0,23743.0,346870,2010-09-08
21,24183.0,24535.0,23655.0,24095.0,452530,2010-09-09
22,23743.0,24095.0,23479.0,23479.0,530950,2010-09-10
23,23304.0,23479.0,22424.0,22688.0,327220,2010-09-13
24,22864.0,23128.0,22424.0,22952.0,259960,2010-09-14
25,22952.0,23304.0,22688.0,23040.0,263990,2010-09-15
26,23040.0,24183.0,23040.0,24183.0,619470,2010-09-16
27,24183.0,25150.0,24183.0,24974.0,541740,2010-09-17
28,25062.0,25414.0,24623.0,25062.0,824820,2010-09-20
29,25062.0,26293.0,25062.0,26293.0,1339530,2010-09-21
