,Open,High,Low,Close,Volume,TradingDate
0,12985.0,12985.0,12985.0,13000.0,14900,2017-03-16
1,14864.0,14864.0,12332.0,13000.0,3000,2017-03-17
2,12963.0,12963.0,12963.0,13000.0,0,2017-03-20
3,11842.0,11842.0,11107.0,11800.0,9451,2017-03-21
4,10127.0,10127.0,10127.0,10100.0,2300,2017-03-22
5,8657.0,8657.0,8657.0,8700.0,3300,2017-03-23
6,7432.0,7432.0,7432.0,7400.0,2100,2017-03-24
7,6942.0,6942.0,6942.0,6900.0,14250,2017-03-27
8,7840.0,7840.0,7759.0,7800.0,311,2017-03-28
9,8657.0,8657.0,8657.0,8700.0,120,2017-03-29
10,8657.0,8657.0,8657.0,8700.0,10,2017-03-30
11,9474.0,9474.0,8575.0,9000.0,220,2017-03-31
12,9065.0,9025.0,9025.0,9000.0,0,2017-04-03
13,7759.0,7759.0,7759.0,7800.0,210,2017-04-04
14,6615.0,6697.0,6615.0,6600.0,4700,2017-04-05
15,7595.0,7595.0,7595.0,7600.0,200,2017-04-07
16,8167.0,8167.0,8167.0,8200.0,100,2017-04-10
17,6942.0,6942.0,6942.0,6900.0,100,2017-04-11
18,6942.0,6942.0,6370.0,6600.0,500,2017-04-12
19,6207.0,6207.0,6207.0,6200.0,100,2017-04-13
20,6207.0,6207.0,5717.0,5900.0,15000,2017-04-14
21,5880.0,5880.0,5717.0,5700.0,3200,2017-04-17
22,5554.0,5554.0,5064.0,5400.0,10200,2017-04-18
23,4900.0,5390.0,4900.0,5100.0,7400,2017-04-19
24,5064.0,5145.0,5064.0,5100.0,2500,2017-04-20
25,5064.0,5064.0,5064.0,5100.0,0,2017-04-21
26,5064.0,5064.0,5064.0,5100.0,0,2017-04-24
27,5390.0,5390.0,5390.0,5400.0,100,2017-04-25
28,6125.0,6125.0,6125.0,6100.0,100,2017-04-26
29,5962.0,6044.0,5962.0,6000.0,3400,2017-04-27
30,5962.0,5962.0,5962.0,6000.0,103,2017-04-28
31,5962.0,5962.0,5962.0,6000.0,101,2017-05-03
32,6534.0,6779.0,5962.0,6400.0,3407,2017-05-04
33,5962.0,6370.0,5962.0,6300.0,16830,2017-05-05
34,6207.0,6207.0,6207.0,6200.0,2000,2017-05-08
35,6207.0,6289.0,6207.0,6200.0,17000,2017-05-09
36,6289.0,6534.0,6289.0,6300.0,8100,2017-05-10
37,7187.0,7187.0,7187.0,7200.0,100,2017-05-11
38,7187.0,7187.0,7187.0,7200.0,100,2017-05-12
39,7187.0,7187.0,7187.0,7200.0,61,2017-05-15
40,6452.0,6534.0,6370.0,6500.0,14000,2017-05-16
41,6452.0,6452.0,5962.0,6300.0,4900,2017-05-17
42,6615.0,6942.0,6534.0,6700.0,2350,2017-05-18
43,6860.0,6860.0,6125.0,6500.0,6000,2017-05-19
44,6534.0,6534.0,6534.0,6500.0,1611,2017-05-22
45,6534.0,6615.0,6534.0,6600.0,3700,2017-05-23
46,6534.0,6534.0,6534.0,6500.0,4500,2017-05-24
47,6534.0,6697.0,6534.0,6700.0,4500,2017-05-25
