,Open,High,Low,Close,Volume,TradingDate
0,22114.0,22114.0,22114.0,22114.0,421800,2017-05-16
1,23635.0,23635.0,22114.0,23496.0,45330,2017-05-17
2,23496.0,23496.0,22114.0,23266.0,9120,2017-05-18
3,21654.0,21884.0,21654.0,21654.0,129870,2017-05-19
4,20271.0,20732.0,20156.0,20156.0,99560,2017-05-22
5,18935.0,18935.0,18751.0,18751.0,230970,2017-05-23
6,18198.0,20041.0,18198.0,20041.0,23270,2017-05-24
7,21377.0,21377.0,20133.0,20133.0,28490,2017-05-25
8,19811.0,20133.0,19120.0,19166.0,47220,2017-05-26
9,19166.0,19350.0,18429.0,19166.0,50040,2017-05-29
10,18521.0,19166.0,18475.0,19074.0,15360,2017-05-30
11,19120.0,19304.0,19120.0,19258.0,17350,2017-05-31
12,19120.0,19212.0,18935.0,18981.0,16340,2017-06-01
13,19765.0,19765.0,18935.0,18981.0,13830,2017-06-02
14,18935.0,19028.0,18429.0,18889.0,7770,2017-06-05
15,18521.0,18751.0,18429.0,18751.0,35700,2017-06-06
16,18797.0,18797.0,18475.0,18797.0,24920,2017-06-07
17,18475.0,18659.0,18475.0,18475.0,7550,2017-06-08
18,18889.0,18889.0,18429.0,18613.0,6330,2017-06-09
19,18613.0,18613.0,18429.0,18429.0,14610,2017-06-12
20,18843.0,18843.0,18429.0,18659.0,27010,2017-06-13
21,18429.0,19811.0,18429.0,19396.0,33130,2017-06-14
22,19765.0,19765.0,19258.0,19673.0,30530,2017-06-15
23,19580.0,20271.0,19488.0,19949.0,31930,2017-06-16
24,19949.0,20502.0,19949.0,20502.0,49890,2017-06-19
25,20732.0,21423.0,20732.0,21147.0,15370,2017-06-20
26,21193.0,21193.0,20640.0,20640.0,14860,2017-06-21
27,20963.0,20963.0,20640.0,20732.0,34930,2017-06-22
28,20732.0,21193.0,20387.0,20456.0,36590,2017-06-23
29,20410.0,20870.0,20410.0,20732.0,33950,2017-06-26
30,20548.0,20870.0,20502.0,20686.0,30210,2017-06-27
31,20456.0,20732.0,20271.0,20686.0,43400,2017-06-28
32,19857.0,20778.0,19857.0,20225.0,23440,2017-06-29
33,20318.0,20318.0,20087.0,20271.0,30990,2017-06-30
34,21101.0,21101.0,20364.0,20732.0,54760,2017-07-03
35,21454.0,21647.0,20972.0,21454.0,30310,2017-07-04
36,21695.0,21695.0,20779.0,21165.0,30120,2017-07-05
37,21165.0,21454.0,21165.0,21454.0,31140,2017-07-06
38,21213.0,21503.0,21213.0,21503.0,1110,2017-07-07
39,21406.0,21454.0,20972.0,21020.0,28590,2017-07-10
40,21117.0,21117.0,20779.0,20924.0,20470,2017-07-11
41,20924.0,21020.0,20731.0,20828.0,26490,2017-07-12
42,20828.0,20876.0,20008.0,20707.0,20620,2017-07-13
43,20972.0,20972.0,20153.0,20707.0,19180,2017-07-14
44,20683.0,20707.0,20490.0,20707.0,24010,2017-07-17
45,20707.0,20707.0,20201.0,20587.0,22010,2017-07-18
46,20587.0,20731.0,19285.0,20466.0,20050,2017-07-19
47,20466.0,20466.0,19188.0,20008.0,21140,2017-07-20
48,20008.0,20731.0,19574.0,20731.0,26940,2017-07-21
49,20635.0,20635.0,19767.0,19936.0,19990,2017-07-24
50,20490.0,20490.0,20104.0,20249.0,25250,2017-07-25
51,20249.0,20587.0,19912.0,20249.0,31030,2017-07-26
52,20008.0,20249.0,20008.0,20008.0,29650,2017-07-27
53,20008.0,20346.0,20008.0,20346.0,33950,2017-07-28
54,20297.0,20442.0,20032.0,20346.0,19950,2017-07-31
55,20442.0,20490.0,20249.0,20249.0,48950,2017-08-01
56,20249.0,20346.0,20153.0,20249.0,55060,2017-08-02
57,20249.0,20249.0,20201.0,20201.0,21600,2017-08-03
58,20346.0,20346.0,20056.0,20153.0,98450,2017-08-04
59,20129.0,20153.0,18851.0,18851.0,41840,2017-08-07
60,19526.0,20008.0,19526.0,19719.0,19250,2017-08-08
61,19695.0,19695.0,19285.0,19695.0,19920,2017-08-09
62,19695.0,19695.0,19285.0,19671.0,21340,2017-08-10
63,19671.0,19671.0,19285.0,19429.0,25560,2017-08-11
64,19767.0,20201.0,19429.0,19767.0,25620,2017-08-14
65,20201.0,20201.0,19671.0,20080.0,29540,2017-08-15
66,20201.0,20201.0,20080.0,20080.0,29550,2017-08-16
67,20080.0,20104.0,19863.0,19936.0,22580,2017-08-17
68,19936.0,19960.0,19887.0,19887.0,21690,2017-08-18
69,20201.0,20201.0,19815.0,20008.0,30570,2017-08-21
70,20201.0,20249.0,19984.0,20056.0,37020,2017-08-22
71,20201.0,20201.0,20008.0,20104.0,38880,2017-08-23
72,20177.0,20177.0,20104.0,20177.0,35190,2017-08-24
73,20225.0,20249.0,19767.0,20153.0,26190,2017-08-25
74,20249.0,20249.0,20056.0,20201.0,38810,2017-08-28
75,20104.0,20731.0,20056.0,20731.0,156560,2017-08-29
76,21189.0,21189.0,20731.0,20731.0,31260,2017-08-30
77,21045.0,21165.0,20948.0,20972.0,32370,2017-08-31
78,21262.0,21262.0,20587.0,21020.0,30120,2017-09-01
79,20249.0,20924.0,20201.0,20659.0,29750,2017-09-05
80,20731.0,20731.0,20249.0,20490.0,29040,2017-09-06
81,20297.0,20659.0,20297.0,20562.0,51000,2017-09-07
82,20635.0,20683.0,20587.0,20659.0,50500,2017-09-08
83,20659.0,20659.0,20249.0,20249.0,32690,2017-09-11
84,20297.0,20635.0,20249.0,20635.0,40910,2017-09-12
85,20635.0,20635.0,20394.0,20635.0,38850,2017-09-13
86,20562.0,21165.0,20562.0,21069.0,48990,2017-09-14
87,21117.0,22539.0,21117.0,22539.0,55840,2017-09-15
88,22660.0,22660.0,22370.0,22611.0,30570,2017-09-18
89,22611.0,22804.0,22419.0,22660.0,39740,2017-09-19
90,22467.0,22660.0,22178.0,22178.0,39380,2017-09-20
91,21840.0,22322.0,21551.0,22033.0,35980,2017-09-21
92,22178.0,22587.0,21936.0,21936.0,31150,2017-09-22
93,22057.0,22563.0,21454.0,22467.0,31520,2017-09-25
94,21840.0,22563.0,21840.0,22370.0,33640,2017-09-26
95,22636.0,22636.0,21840.0,22346.0,30170,2017-09-27
96,22081.0,22346.0,21985.0,22153.0,30190,2017-09-28
97,22033.0,22419.0,21503.0,22419.0,32460,2017-09-29
98,22081.0,22467.0,21936.0,22274.0,30260,2017-10-02
99,22274.0,22419.0,22178.0,22178.0,30810,2017-10-03
100,22226.0,22660.0,21695.0,22563.0,60120,2017-10-04
101,22563.0,22611.0,22515.0,22515.0,36980,2017-10-05
102,22515.0,23913.0,22515.0,23720.0,130940,2017-10-06
103,23720.0,23865.0,22901.0,23503.0,56540,2017-10-09
104,22901.0,23865.0,22901.0,23720.0,57790,2017-10-10
105,23720.0,23720.0,23238.0,23431.0,50290,2017-10-11
106,23383.0,23576.0,23190.0,23479.0,49740,2017-10-12
107,23286.0,23624.0,23286.0,23431.0,49770,2017-10-13
108,23238.0,23431.0,23094.0,23094.0,49380,2017-10-16
109,23142.0,23383.0,23142.0,23286.0,50740,2017-10-17
110,23238.0,23527.0,23142.0,23431.0,66380,2017-10-18
111,23286.0,23576.0,23286.0,23552.0,45090,2017-10-19
112,23383.0,23624.0,23383.0,23576.0,47830,2017-10-20
113,23431.0,23552.0,23045.0,23142.0,46890,2017-10-23
114,23045.0,23166.0,22901.0,23094.0,48460,2017-10-24
115,23142.0,23238.0,22997.0,23094.0,49370,2017-10-25
116,23045.0,23094.0,22901.0,22997.0,46530,2017-10-26
117,22997.0,23142.0,22997.0,23118.0,44990,2017-10-27
118,23118.0,23118.0,22515.0,22660.0,59970,2017-10-30
119,22853.0,22853.0,21985.0,22081.0,51210,2017-10-31
120,22129.0,22226.0,22081.0,22178.0,42490,2017-11-01
121,22178.0,22274.0,22033.0,22178.0,42130,2017-11-02
122,22081.0,22153.0,21695.0,21888.0,40830,2017-11-03
123,21888.0,21888.0,21551.0,21695.0,43730,2017-11-06
124,21647.0,21792.0,21551.0,21744.0,54070,2017-11-07
125,21647.0,22370.0,21647.0,22202.0,40030,2017-11-08
126,22202.0,22611.0,22202.0,22419.0,52690,2017-11-09
127,22274.0,22467.0,22226.0,22467.0,40360,2017-11-10
128,21985.0,22611.0,21985.0,22274.0,46370,2017-11-13
129,22226.0,22370.0,22153.0,22178.0,47950,2017-11-14
130,22178.0,22274.0,21985.0,22274.0,50170,2017-11-15
