,Open,High,Low,Close,Volume,TradingDate
0,5820.0,6775.0,4775.0,5820.0,93900,2008-06-25
1,5529.0,5529.0,5488.0,5529.0,43000,2008-06-26
2,5737.0,5737.0,5696.0,5696.0,5000,2008-06-27
3,5904.0,5946.0,5736.0,5904.0,16300,2008-06-30
4,5654.0,6070.0,5654.0,6070.0,26500,2008-07-01
5,6278.0,6320.0,5901.0,6278.0,56000,2008-07-02
6,6486.0,6486.0,6486.0,6486.0,4500,2008-07-03
7,6735.0,6735.0,6735.0,6735.0,29300,2008-07-04
8,6985.0,6770.0,6287.0,6569.0,48300,2008-07-07
9,6527.0,7205.0,6815.0,6901.0,26700,2008-07-08
10,6860.0,6860.0,6735.0,6860.0,36400,2008-07-09
11,7109.0,7109.0,6985.0,7109.0,17200,2008-07-10
12,7359.0,7359.0,7359.0,7359.0,12800,2008-07-11
13,7650.0,7650.0,7650.0,7650.0,3000,2008-07-14
14,7941.0,7941.0,7941.0,7941.0,22600,2008-07-15
15,8232.0,8274.0,7689.0,8232.0,60000,2008-07-16
16,8481.0,8481.0,8481.0,8481.0,26200,2008-07-17
17,8814.0,8305.0,7679.0,8149.0,59400,2008-07-18
18,8731.0,8684.0,8192.0,8315.0,1400,2008-07-21
19,8440.0,8440.0,8440.0,8440.0,0,2008-07-22
20,8107.0,8107.0,8107.0,8107.0,400,2008-07-23
21,7816.0,7816.0,7816.0,7816.0,3300,2008-07-24
22,7525.0,7525.0,7525.0,7525.0,2000,2008-07-25
23,7234.0,7234.0,7234.0,7234.0,2300,2008-07-28
24,6985.0,7109.0,6985.0,6985.0,89600,2008-07-29
25,6735.0,6735.0,6735.0,6735.0,8800,2008-07-30
26,6486.0,6486.0,6486.0,6486.0,100,2008-07-31
27,6236.0,6236.0,6236.0,6236.0,1200,2008-08-01
28,5987.0,5987.0,5987.0,5987.0,200,2008-08-04
29,5779.0,5779.0,5779.0,5779.0,100,2008-08-05
30,5571.0,5779.0,5571.0,5571.0,32000,2008-08-06
31,5779.0,5734.0,5322.0,5363.0,17400,2008-08-07
32,5197.0,5571.0,5197.0,5405.0,24000,2008-08-08
33,5613.0,5613.0,5613.0,5613.0,600,2008-08-11
34,5820.0,5862.0,5653.0,5820.0,33700,2008-08-12
35,5904.0,5987.0,5904.0,5987.0,24200,2008-08-13
36,6028.0,6195.0,6028.0,6195.0,48000,2008-08-14
37,6403.0,6403.0,6403.0,6403.0,12400,2008-08-15
38,6818.0,6860.0,6693.0,6818.0,35200,2008-08-18
39,7068.0,6932.0,6327.0,6569.0,19400,2008-08-19
40,6319.0,6319.0,6319.0,6319.0,17500,2008-08-20
41,5904.0,6994.0,6131.0,6735.0,74500,2008-08-21
42,6901.0,6943.0,6818.0,6901.0,62300,2008-08-22
43,7276.0,7317.0,7276.0,7317.0,21800,2008-08-25
44,7816.0,7816.0,7816.0,7816.0,20700,2008-08-26
45,8357.0,8357.0,8315.0,8357.0,49900,2008-08-27
46,8315.0,8459.0,7533.0,7775.0,50700,2008-08-28
47,7483.0,8379.0,7856.0,7899.0,58500,2008-08-29
48,8024.0,8024.0,8024.0,8024.0,3500,2008-09-03
49,8564.0,8606.0,8356.0,8564.0,75700,2008-09-04
50,8731.0,9147.0,8562.0,9105.0,99500,2008-09-05
51,9687.0,9920.0,8643.0,8855.0,47900,2008-09-08
52,8731.0,9271.0,8687.0,9230.0,82900,2008-09-09
53,9812.0,9152.0,7988.0,8648.0,77800,2008-09-10
54,8731.0,8731.0,8648.0,8648.0,6600,2008-09-11
55,8066.0,8066.0,8066.0,8066.0,8700,2008-09-12
56,7525.0,8744.0,7646.0,7899.0,99800,2008-09-15
57,7276.0,7525.0,7234.0,7234.0,21400,2008-09-16
58,6735.0,6735.0,6735.0,6735.0,10600,2008-09-17
59,6278.0,6278.0,6278.0,6278.0,5900,2008-09-18
60,5862.0,7184.0,6292.0,6694.0,24600,2008-09-19
61,6652.0,6652.0,6652.0,6652.0,6500,2008-09-22
62,7068.0,7157.0,6273.0,6652.0,60400,2008-09-23
63,6195.0,6435.0,5952.0,6153.0,39700,2008-09-24
64,6361.0,6904.0,6480.0,6777.0,41800,2008-09-25
65,7109.0,6771.0,6335.0,6652.0,15800,2008-09-26
