,Open,High,Low,Close,Volume,TradingDate
0,1714.0,1806.0,1674.0,1782.0,15400,2009-01-14
1,1714.0,1794.0,1794.0,1782.0,0,2009-01-15
2,1849.0,1849.0,1825.0,1837.0,7000,2009-01-16
3,1714.0,1714.0,1714.0,1714.0,10900,2009-01-19
4,1714.0,1714.0,1714.0,1714.0,0,2009-01-20
5,1714.0,1714.0,1714.0,1714.0,600,2009-01-21
6,1714.0,1721.0,1708.0,1721.0,10800,2009-01-22
7,1714.0,1757.0,1721.0,1733.0,3300,2009-01-23
8,1714.0,1714.0,1714.0,1714.0,500,2009-02-02
9,1714.0,1714.0,1714.0,1714.0,4300,2009-02-03
10,1714.0,1714.0,1714.0,1714.0,0,2009-02-04
11,1714.0,1714.0,1714.0,1714.0,0,2009-02-05
12,1788.0,1869.0,1689.0,1702.0,16500,2009-02-06
13,1653.0,1765.0,1665.0,1678.0,2800,2009-02-09
14,1531.0,1568.0,1543.0,1543.0,15200,2009-02-10
15,1629.0,1629.0,1629.0,1629.0,100,2009-02-11
16,1519.0,1617.0,1543.0,1555.0,8100,2009-02-12
17,1531.0,1519.0,1494.0,1519.0,7500,2009-02-13
18,1616.0,1616.0,1616.0,1616.0,100,2009-02-16
19,1531.0,1574.0,1537.0,1549.0,7000,2009-02-17
20,1555.0,1555.0,1555.0,1555.0,100,2009-02-18
21,1543.0,1549.0,1537.0,1537.0,6000,2009-02-19
22,1506.0,1537.0,1500.0,1525.0,6900,2009-02-20
23,1531.0,1531.0,1506.0,1519.0,6500,2009-02-23
24,1519.0,1519.0,1494.0,1506.0,9000,2009-02-24
25,1506.0,1506.0,1506.0,1506.0,3000,2009-02-25
26,1506.0,1543.0,1519.0,1519.0,4800,2009-02-26
27,1543.0,1543.0,1543.0,1543.0,4100,2009-02-27
28,1543.0,1561.0,1549.0,1549.0,7000,2009-03-02
29,1543.0,1543.0,1543.0,1543.0,1800,2009-03-03
30,1555.0,1555.0,1531.0,1543.0,6500,2009-03-04
31,1543.0,1543.0,1543.0,1543.0,3000,2009-03-05
32,1616.0,1610.0,1549.0,1586.0,3500,2009-03-06
33,1616.0,1610.0,1574.0,1598.0,1800,2009-03-09
