,Open,High,Low,Close,Volume,TradingDate
0,7059.0,7059.0,7059.0,7059.0,2680,2014-07-08
1,7545.0,7545.0,7545.0,7545.0,100,2014-07-09
2,8073.0,8073.0,8073.0,8073.0,2640,2014-07-10
3,8620.0,8620.0,8620.0,8620.0,21660,2014-07-11
4,9209.0,9209.0,8052.0,8134.0,6870,2014-07-14
5,8701.0,8701.0,8681.0,8701.0,8860,2014-07-15
6,9310.0,9310.0,9209.0,9290.0,17270,2014-07-16
7,9330.0,9330.0,9087.0,9330.0,2360,2014-07-17
8,9939.0,9939.0,9330.0,9736.0,4950,2014-07-18
9,9188.0,10142.0,9188.0,10000.0,13880,2014-07-21
10,10121.0,10121.0,9635.0,9898.0,2340,2014-07-22
11,9939.0,9939.0,9736.0,9898.0,2380,2014-07-23
12,9777.0,9939.0,9290.0,9290.0,10370,2014-07-24
13,9533.0,9533.0,8823.0,9269.0,5270,2014-07-25
14,9188.0,9330.0,8641.0,9269.0,3280,2014-07-28
15,9330.0,9330.0,8722.0,9290.0,5180,2014-07-29
16,9330.0,9330.0,9127.0,9330.0,3190,2014-07-30
17,9330.0,9472.0,9168.0,9269.0,3910,2014-07-31
18,9290.0,9330.0,9127.0,9330.0,2270,2014-08-01
19,9310.0,9574.0,9310.0,9574.0,9860,2014-08-04
20,9472.0,9939.0,9472.0,9898.0,15420,2014-08-05
21,9898.0,9898.0,9533.0,9635.0,3250,2014-08-06
22,9695.0,9695.0,9695.0,9695.0,760,2014-08-07
23,9452.0,9736.0,9432.0,9614.0,1790,2014-08-08
24,9716.0,9797.0,9452.0,9797.0,8400,2014-08-11
25,9553.0,9736.0,9330.0,9736.0,3550,2014-08-12
26,9736.0,9736.0,9330.0,9655.0,3320,2014-08-13
27,9635.0,9655.0,9553.0,9655.0,1140,2014-08-14
28,9330.0,9635.0,9330.0,9330.0,860,2014-08-15
29,9330.0,9594.0,9330.0,9533.0,4770,2014-08-18
30,9452.0,9452.0,9452.0,9452.0,200,2014-08-19
31,9249.0,9269.0,9046.0,9046.0,10570,2014-08-20
32,9209.0,9229.0,9087.0,9229.0,1550,2014-08-21
33,9290.0,9310.0,9026.0,9229.0,12400,2014-08-22
34,9229.0,9229.0,9026.0,9087.0,8370,2014-08-25
35,9269.0,9371.0,8925.0,9107.0,11220,2014-08-26
36,8925.0,9006.0,8722.0,8965.0,12060,2014-08-27
37,8985.0,9107.0,8925.0,9107.0,2190,2014-08-28
38,8965.0,9107.0,8843.0,9107.0,4600,2014-08-29
39,9107.0,9107.0,9067.0,9067.0,7870,2014-09-03
40,9391.0,9635.0,9087.0,9269.0,32700,2014-09-04
41,9411.0,9411.0,9127.0,9249.0,13480,2014-09-05
42,9452.0,9493.0,9290.0,9493.0,10300,2014-09-08
43,9330.0,9330.0,9269.0,9290.0,15060,2014-09-09
44,9127.0,9290.0,9127.0,9290.0,32290,2014-09-10
45,9290.0,9411.0,9290.0,9391.0,3440,2014-09-11
46,9391.0,9837.0,9391.0,9533.0,36320,2014-09-12
47,9736.0,9756.0,9574.0,9736.0,19740,2014-09-15
48,9721.0,10219.0,9721.0,10219.0,20230,2014-09-16
49,10242.0,10432.0,9958.0,10195.0,4350,2014-09-17
50,10171.0,10171.0,9721.0,9934.0,9910,2014-09-18
51,9555.0,9863.0,9555.0,9863.0,2530,2014-09-19
52,9721.0,10029.0,9721.0,10029.0,3230,2014-09-22
53,9863.0,10005.0,9721.0,9721.0,4140,2014-09-23
54,9721.0,9958.0,9721.0,9744.0,2760,2014-09-24
55,9744.0,9839.0,9721.0,9744.0,8710,2014-09-25
56,9934.0,9934.0,9721.0,9934.0,3100,2014-09-26
57,9887.0,9910.0,9863.0,9910.0,1630,2014-09-29
58,9839.0,9958.0,9839.0,9958.0,490,2014-09-30
59,9958.0,10574.0,9958.0,10432.0,44420,2014-10-01
60,10551.0,10551.0,10076.0,10551.0,4070,2014-10-02
61,10100.0,10432.0,10100.0,10195.0,6690,2014-10-03
62,9982.0,10906.0,9982.0,10456.0,5030,2014-10-06
63,10551.0,10906.0,10551.0,10906.0,610,2014-10-07
64,10906.0,10906.0,10337.0,10622.0,5760,2014-10-08
65,10622.0,10622.0,10313.0,10479.0,4210,2014-10-09
66,10242.0,10432.0,10242.0,10337.0,3170,2014-10-10
67,10432.0,10859.0,10337.0,10432.0,3110,2014-10-13
68,10337.0,10574.0,10219.0,10574.0,6870,2014-10-14
69,10432.0,10432.0,10195.0,10337.0,27770,2014-10-15
70,10432.0,10859.0,9958.0,10005.0,10580,2014-10-16
71,10669.0,10669.0,10408.0,10622.0,1970,2014-10-17
72,10622.0,11143.0,10432.0,11072.0,121670,2014-10-20
73,11143.0,11665.0,11143.0,11594.0,134480,2014-10-21
74,11594.0,11807.0,11214.0,11404.0,30760,2014-10-22
75,11404.0,11665.0,10906.0,11309.0,27300,2014-10-23
76,10906.0,11309.0,10811.0,10930.0,25370,2014-10-24
77,11120.0,11120.0,10574.0,10740.0,16540,2014-10-27
78,11143.0,11143.0,10527.0,10551.0,10210,2014-10-28
79,10551.0,10859.0,10551.0,10811.0,12920,2014-10-29
80,11120.0,11120.0,10669.0,10883.0,1790,2014-10-30
81,10574.0,10883.0,10574.0,10859.0,25630,2014-10-31
82,10811.0,10954.0,10598.0,10598.0,19740,2014-11-03
83,10764.0,10764.0,10432.0,10456.0,18270,2014-11-04
84,10788.0,10788.0,10432.0,10574.0,11660,2014-11-05
85,10551.0,10906.0,10551.0,10574.0,17080,2014-11-06
86,10574.0,10883.0,10551.0,10811.0,7060,2014-11-07
87,10883.0,10906.0,10693.0,10906.0,11880,2014-11-10
88,10906.0,10906.0,10669.0,10883.0,22340,2014-11-11
89,10669.0,10859.0,10432.0,10669.0,55470,2014-11-12
90,10669.0,10788.0,10622.0,10740.0,3830,2014-11-13
91,10740.0,10788.0,10645.0,10669.0,20880,2014-11-14
92,10835.0,10835.0,10479.0,10503.0,61580,2014-11-17
93,10669.0,10835.0,10432.0,10645.0,42410,2014-11-18
94,10645.0,10669.0,10598.0,10669.0,3740,2014-11-19
95,10622.0,10717.0,10503.0,10669.0,17410,2014-11-20
96,10669.0,10669.0,10385.0,10385.0,72300,2014-11-21
97,10432.0,10669.0,10195.0,10195.0,12230,2014-11-24
98,10195.0,10645.0,10195.0,10242.0,59680,2014-11-25
99,10645.0,10645.0,10195.0,10313.0,40190,2014-11-26
100,10432.0,10527.0,10195.0,10313.0,26640,2014-11-27
101,10432.0,10551.0,10195.0,10527.0,37820,2014-11-28
102,10432.0,10479.0,10313.0,10313.0,11740,2014-12-01
103,10313.0,10313.0,10076.0,10076.0,62900,2014-12-02
104,10100.0,10313.0,10100.0,10242.0,30110,2014-12-03
105,10195.0,10337.0,10195.0,10242.0,35930,2014-12-04
106,10242.0,10432.0,10242.0,10432.0,12250,2014-12-05
107,10432.0,10432.0,10148.0,10148.0,25510,2014-12-08
108,10337.0,10408.0,9460.0,9484.0,76620,2014-12-09
109,9721.0,10076.0,9484.0,10076.0,31200,2014-12-10
110,10076.0,10313.0,9910.0,9958.0,45270,2014-12-11
111,9958.0,10029.0,9958.0,10029.0,10720,2014-12-12
112,10195.0,10195.0,9958.0,9958.0,10730,2014-12-15
113,9958.0,9958.0,9602.0,9626.0,47350,2014-12-16
114,9934.0,9958.0,9365.0,9721.0,24780,2014-12-17
115,9934.0,9934.0,9816.0,9816.0,37730,2014-12-18
116,9721.0,9816.0,9484.0,9816.0,3520,2014-12-19
117,9792.0,9958.0,9792.0,9934.0,26430,2014-12-22
118,9958.0,9958.0,9934.0,9958.0,35720,2014-12-23
119,9958.0,10432.0,9958.0,10313.0,75160,2014-12-24
120,10503.0,10527.0,10195.0,10242.0,31890,2014-12-25
121,10076.0,10385.0,10076.0,10219.0,24750,2014-12-26
122,10313.0,10313.0,10124.0,10195.0,16150,2014-12-29
123,10219.0,10313.0,9958.0,10313.0,16630,2014-12-30
124,10290.0,10788.0,10290.0,10432.0,7800,2014-12-31
125,10313.0,10669.0,10313.0,10527.0,23000,2015-01-05
126,10432.0,10669.0,10432.0,10551.0,14960,2015-01-06
127,10645.0,11238.0,10551.0,10906.0,65870,2015-01-07
128,11096.0,11499.0,11025.0,11475.0,116650,2015-01-08
129,11546.0,11546.0,11380.0,11499.0,11450,2015-01-09
130,11499.0,11499.0,11262.0,11404.0,53050,2015-01-12
131,11357.0,11452.0,11262.0,11452.0,28260,2015-01-13
132,11380.0,11380.0,11262.0,11380.0,30440,2015-01-14
133,11262.0,11380.0,11262.0,11357.0,8260,2015-01-15
134,11357.0,11380.0,11262.0,11380.0,32580,2015-01-16
135,11380.0,11452.0,11262.0,11404.0,44990,2015-01-19
136,11286.0,11380.0,11262.0,11380.0,15840,2015-01-20
137,11333.0,11333.0,11262.0,11262.0,17360,2015-01-21
138,11357.0,11357.0,11143.0,11262.0,7760,2015-01-22
139,11262.0,11262.0,10859.0,11214.0,34770,2015-01-23
140,11120.0,11214.0,11025.0,11096.0,51110,2015-01-26
141,11143.0,11143.0,10930.0,11120.0,59120,2015-01-27
142,11143.0,11214.0,11120.0,11143.0,61830,2015-01-28
143,11143.0,11167.0,11120.0,11120.0,5390,2015-01-29
144,11025.0,11120.0,11025.0,11120.0,17240,2015-01-30
145,11191.0,11191.0,10788.0,10835.0,11850,2015-02-02
146,11001.0,11001.0,10622.0,10645.0,15470,2015-02-03
147,10456.0,10669.0,10195.0,10645.0,30630,2015-02-04
148,10337.0,10645.0,10313.0,10622.0,3890,2015-02-05
149,10479.0,10622.0,10432.0,10432.0,23100,2015-02-06
150,10551.0,10717.0,10432.0,10645.0,16460,2015-02-09
151,10645.0,10645.0,10503.0,10503.0,9750,2015-02-10
152,10811.0,10811.0,10574.0,10764.0,12430,2015-02-11
153,10906.0,10906.0,10764.0,10764.0,10160,2015-02-12
154,10764.0,10859.0,10764.0,10835.0,7040,2015-02-13
155,10906.0,11025.0,10835.0,11025.0,5590,2015-02-24
156,11025.0,11025.0,10740.0,10954.0,7260,2015-02-25
157,10906.0,10954.0,10693.0,10693.0,15920,2015-02-26
158,10717.0,10906.0,10669.0,10669.0,31810,2015-02-27
159,10693.0,10788.0,10622.0,10645.0,13640,2015-03-02
160,10645.0,10788.0,10645.0,10788.0,4100,2015-03-03
161,10764.0,10883.0,10764.0,10835.0,10120,2015-03-04
162,10906.0,10906.0,10811.0,10811.0,3120,2015-03-05
163,10859.0,10883.0,10788.0,10811.0,2230,2015-03-06
164,10883.0,10906.0,10811.0,10811.0,4340,2015-03-09
165,10811.0,10835.0,10788.0,10835.0,1840,2015-03-10
166,10883.0,11025.0,10788.0,10788.0,4790,2015-03-11
167,10788.0,10788.0,10693.0,10788.0,6760,2015-03-12
168,10788.0,10788.0,10669.0,10788.0,6170,2015-03-13
169,10693.0,10835.0,10622.0,10717.0,26480,2015-03-16
170,10669.0,10788.0,10645.0,10740.0,730,2015-03-17
171,10693.0,10693.0,10622.0,10645.0,14020,2015-03-18
172,10764.0,10764.0,10598.0,10598.0,7640,2015-03-19
173,10598.0,10669.0,10551.0,10669.0,9190,2015-03-20
174,10669.0,10669.0,10551.0,10669.0,21760,2015-03-23
175,10551.0,10669.0,10551.0,10551.0,10460,2015-03-24
176,10551.0,10598.0,10551.0,10598.0,7420,2015-03-25
177,10551.0,10669.0,10313.0,10669.0,3450,2015-03-26
178,10859.0,10859.0,10551.0,10788.0,3460,2015-03-27
