,Open,High,Low,Close,Volume,TradingDate
0,20850.0,20850.0,20850.0,20900.0,1000,2021-08-04
1,23957.0,23957.0,23957.0,24000.0,500,2021-08-05
2,27547.0,27547.0,27547.0,27500.0,500,2021-08-06
3,31620.0,31620.0,31620.0,31600.0,500,2021-08-09
4,36315.0,36315.0,36315.0,36300.0,1000,2021-08-10
5,41700.0,41700.0,41700.0,41700.0,400,2021-08-11
6,47914.0,47914.0,47914.0,47900.0,500,2021-08-12
7,55094.0,55094.0,55094.0,55100.0,3000,2021-08-13
8,63310.0,63310.0,63310.0,63300.0,15000,2021-08-16
9,72768.0,72768.0,72768.0,72800.0,68900,2021-08-17
10,83676.0,83676.0,76980.0,82700.0,334400,2021-08-18
11,75944.0,79396.0,75254.0,76200.0,224700,2021-08-19
12,72492.0,72492.0,68350.0,69600.0,155400,2021-08-20
13,67659.0,69385.0,62136.0,66800.0,197700,2021-08-23
14,66624.0,70628.0,66555.0,69300.0,203000,2021-08-24
15,68004.0,70835.0,68004.0,70100.0,280000,2021-08-25
16,70076.0,72147.0,68212.0,69700.0,297800,2021-08-26
17,69040.0,69730.0,68281.0,68900.0,238600,2021-08-27
18,68350.0,69316.0,62136.0,68900.0,198500,2021-08-30
19,68902.0,69592.0,68350.0,69100.0,298900,2021-08-31
20,68350.0,71802.0,67383.0,69900.0,205900,2021-09-01
21,71733.0,73113.0,69109.0,72100.0,243000,2021-09-06
22,71802.0,72354.0,70421.0,71300.0,220600,2021-09-07
23,71456.0,71456.0,70421.0,70900.0,205900,2021-09-08
24,71111.0,71733.0,69385.0,70600.0,262500,2021-09-09
25,70421.0,72768.0,70421.0,71700.0,227100,2021-09-10
26,71111.0,71802.0,70214.0,71000.0,279900,2021-09-13
27,70490.0,71733.0,70283.0,71200.0,259600,2021-09-14
28,71525.0,71664.0,70421.0,71100.0,198000,2021-09-15
29,71456.0,71664.0,69454.0,70700.0,240000,2021-09-16
30,70352.0,70835.0,69385.0,70000.0,297400,2021-09-17
31,69938.0,72906.0,69868.0,71700.0,394000,2021-09-20
32,71456.0,72492.0,70421.0,71500.0,279900,2021-09-21
33,71318.0,73735.0,70904.0,72400.0,348500,2021-09-22
34,72423.0,75185.0,72423.0,73500.0,237700,2021-09-23
