,Open,High,Low,Close,Volume,TradingDate
0,5157.0,5157.0,5100.0,5100.0,4800,2007-12-18
1,5043.0,5043.0,4871.0,5043.0,3780,2007-12-19
2,4814.0,4814.0,4814.0,4814.0,100,2007-12-20
3,4584.0,4584.0,4584.0,4584.0,410,2007-12-21
4,4355.0,4355.0,4355.0,4355.0,1410,2007-12-24
5,4155.0,4155.0,4155.0,4155.0,9730,2007-12-25
6,4326.0,4355.0,3983.0,4355.0,8420,2007-12-26
7,4355.0,4355.0,4355.0,4355.0,1630,2007-12-27
8,4326.0,4355.0,4326.0,4326.0,1170,2007-12-28
9,4126.0,4241.0,4126.0,4126.0,3080,2008-01-02
10,4011.0,4012.0,3954.0,4012.0,2360,2008-01-03
11,4012.0,4012.0,4012.0,4012.0,2650,2008-01-04
12,4011.0,4011.0,3811.0,3811.0,4630,2008-01-07
13,3725.0,3753.0,3667.0,3725.0,8100,2008-01-08
14,3725.0,3753.0,3696.0,3725.0,4400,2008-01-09
15,3610.0,3725.0,3610.0,3610.0,1250,2008-01-10
16,3782.0,3782.0,3725.0,3782.0,420,2008-01-11
17,3953.0,3954.0,3897.0,3897.0,12160,2008-01-14
18,3811.0,3897.0,3811.0,3811.0,4010,2008-01-15
19,3983.0,3983.0,3983.0,3983.0,440,2008-01-16
20,4068.0,4155.0,4011.0,4126.0,8580,2008-01-17
21,4326.0,4326.0,4240.0,4326.0,4630,2008-01-18
22,4527.0,4527.0,4499.0,4527.0,8230,2008-01-21
23,4527.0,4527.0,4384.0,4384.0,13370,2008-01-22
24,4498.0,4498.0,4183.0,4183.0,770,2008-01-23
25,4098.0,4384.0,4098.0,4098.0,6630,2008-01-24
26,4241.0,4241.0,4241.0,4241.0,1520,2008-01-25
27,4069.0,4241.0,4069.0,4069.0,4320,2008-01-28
28,4126.0,4126.0,4069.0,4126.0,380,2008-01-29
29,4298.0,4327.0,4126.0,4298.0,3890,2008-01-30
30,4297.0,4298.0,4126.0,4126.0,2020,2008-01-31
31,4297.0,4298.0,4212.0,4269.0,2680,2008-02-01
32,4355.0,4355.0,4355.0,4355.0,200,2008-02-12
33,4155.0,4269.0,4155.0,4155.0,6740,2008-02-13
34,4183.0,4212.0,4012.0,4012.0,4680,2008-02-14
35,4126.0,4126.0,4126.0,4126.0,4350,2008-02-15
36,3954.0,4068.0,3954.0,3954.0,5000,2008-02-18
37,4126.0,4126.0,3840.0,3840.0,1470,2008-02-19
38,4011.0,4011.0,3840.0,3840.0,820,2008-02-20
39,3839.0,4011.0,3725.0,3725.0,6550,2008-02-21
40,3896.0,3897.0,3839.0,3897.0,880,2008-02-22
41,4069.0,4069.0,3897.0,4069.0,5520,2008-02-25
42,4183.0,4183.0,3897.0,4040.0,2450,2008-02-26
43,4040.0,4040.0,3840.0,4012.0,5520,2008-02-27
44,3897.0,3897.0,3811.0,3840.0,2040,2008-02-28
45,3667.0,3667.0,3667.0,3667.0,2510,2008-02-29
46,3610.0,3839.0,3610.0,3610.0,3810,2008-03-03
47,3524.0,3524.0,3438.0,3438.0,7390,2008-03-04
48,3553.0,3553.0,3324.0,3553.0,6920,2008-03-05
49,3725.0,3725.0,3725.0,3725.0,2030,2008-03-06
50,3897.0,3897.0,3897.0,3897.0,8600,2008-03-07
51,4069.0,4069.0,4069.0,4069.0,15020,2008-03-10
52,4269.0,4269.0,4069.0,4269.0,11640,2008-03-11
53,4269.0,4269.0,4155.0,4155.0,1840,2008-03-12
54,4155.0,4098.0,3954.0,4098.0,1790,2008-03-13
55,4012.0,4040.0,3897.0,4012.0,2750,2008-03-14
56,3953.0,4011.0,3897.0,3897.0,440,2008-03-17
57,3725.0,3725.0,3725.0,3725.0,2660,2008-03-18
58,3553.0,3553.0,3553.0,3553.0,9000,2008-03-19
59,3725.0,3725.0,3381.0,3381.0,10180,2008-03-20
60,3381.0,3381.0,3381.0,3381.0,980,2008-03-21
61,3238.0,3238.0,3238.0,3238.0,12650,2008-03-24
62,3095.0,3095.0,3095.0,3095.0,10,2008-03-25
63,2951.0,2951.0,2951.0,2951.0,8120,2008-03-26
64,2980.0,2980.0,2980.0,2980.0,2050,2008-03-27
65,3009.0,3009.0,3009.0,3009.0,1010,2008-03-28
66,3037.0,3037.0,3037.0,3037.0,30,2008-03-31
67,3066.0,3066.0,3066.0,3066.0,1970,2008-04-01
68,3095.0,3095.0,3095.0,3095.0,200,2008-04-02
69,3123.0,3123.0,3123.0,3123.0,10,2008-04-03
