,Open,High,Low,Close,Volume,TradingDate
0,55558.0,55560.0,21430.0,23811.0,15200,2006-12-21
1,23572.0,26191.0,23572.0,23572.0,9800,2006-12-22
2,22270.0,23017.0,22112.0,22112.0,9500,2006-12-25
3,20397.0,20398.0,20081.0,20081.0,17000,2006-12-26
4,18054.0,20113.0,18113.0,20113.0,44500,2006-12-27
5,20318.0,20319.0,19843.0,20113.0,26100,2006-12-28
6,20318.0,20319.0,19843.0,19843.0,35100,2006-12-29
7,19824.0,20002.0,18065.0,19843.0,16700,2007-01-02
8,17427.0,18731.0,16953.0,16953.0,51700,2007-01-03
9,17302.0,18255.0,16192.0,18255.0,87800,2007-01-04
10,19096.0,19096.0,18414.0,19096.0,29800,2007-01-05
11,20953.0,20953.0,20477.0,20953.0,107500,2007-01-08
12,21506.0,23001.0,20953.0,21191.0,34600,2007-01-09
13,21429.0,21588.0,20318.0,20318.0,92200,2007-01-10
14,21446.0,21430.0,20017.0,20017.0,17900,2007-01-11
15,20652.0,20636.0,20017.0,20017.0,29700,2007-01-12
16,20474.0,20413.0,18302.0,19048.0,34200,2007-01-15
17,19843.0,20002.0,19049.0,19843.0,90800,2007-01-16
18,19522.0,20001.0,18810.0,19048.0,55700,2007-01-17
19,19048.0,19524.0,19048.0,19048.0,42000,2007-01-18
20,19129.0,19842.0,19048.0,19603.0,81900,2007-01-19
21,19681.0,20635.0,17619.0,19603.0,28600,2007-01-22
22,19046.0,19048.0,18255.0,18731.0,46500,2007-01-23
23,19046.0,19842.0,18731.0,19048.0,90500,2007-01-24
24,19683.0,19859.0,18256.0,18890.0,55900,2007-01-25
25,19208.0,19208.0,18414.0,19208.0,91300,2007-01-26
26,19826.0,20160.0,19446.0,19827.0,115000,2007-01-29
27,21429.0,21588.0,19841.0,21429.0,148700,2007-01-30
28,22603.0,22605.0,22224.0,22605.0,61800,2007-01-31
29,24842.0,24842.0,24842.0,24842.0,53200,2007-02-01
30,27299.0,27318.0,24603.0,25397.0,137000,2007-02-02
31,26823.0,26985.0,23652.0,23652.0,63400,2007-02-05
32,24128.0,24129.0,21732.0,22224.0,85900,2007-02-06
33,24239.0,24239.0,22223.0,24239.0,46200,2007-02-07
34,24604.0,24605.0,22224.0,23494.0,40400,2007-02-08
35,23173.0,23175.0,21000.0,22381.0,30700,2007-02-09
36,23014.0,23175.0,22239.0,23016.0,30600,2007-02-12
37,23792.0,23810.0,22858.0,23000.0,33000,2007-02-13
38,23649.0,23810.0,22985.0,23652.0,53200,2007-02-14
39,24220.0,24604.0,23810.0,23905.0,26400,2007-02-15
40,26188.0,26350.0,25159.0,26350.0,121600,2007-02-26
41,26982.0,28096.0,25397.0,26667.0,93400,2007-02-27
42,26192.0,26669.0,25081.0,25081.0,74200,2007-02-28
43,25081.0,25399.0,24923.0,25081.0,49100,2007-03-01
44,26192.0,26193.0,24923.0,25081.0,34000,2007-03-02
45,27775.0,27778.0,26350.0,26985.0,57100,2007-03-05
46,27224.0,28097.0,25558.0,27224.0,60400,2007-03-06
47,27775.0,27778.0,26667.0,26667.0,39200,2007-03-07
48,27285.0,27286.0,26350.0,26651.0,23300,2007-03-08
49,26668.0,26954.0,26192.0,26509.0,47500,2007-03-09
50,25712.0,26508.0,24603.0,25397.0,61800,2007-03-12
51,25398.0,25478.0,24923.0,25081.0,54500,2007-03-13
52,23811.0,23812.0,23018.0,25081.0,31100,2007-03-14
53,23490.0,23493.0,21588.0,23016.0,35700,2007-03-15
54,23478.0,24588.0,22699.0,24588.0,25800,2007-03-16
55,24922.0,26049.0,24604.0,24922.0,57700,2007-03-19
56,25398.0,25399.0,23811.0,23811.0,22300,2007-03-20
57,23493.0,24748.0,23176.0,23494.0,27400,2007-03-21
58,23490.0,23731.0,22858.0,23652.0,18600,2007-03-22
59,23017.0,23017.0,22224.0,22859.0,37200,2007-03-23
60,22153.0,22240.0,20573.0,22859.0,12100,2007-03-26
61,19208.0,19366.0,19208.0,22859.0,18600,2007-03-27
62,21127.0,21127.0,17286.0,21127.0,15400,2007-03-28
63,20382.0,20382.0,20382.0,20382.0,6700,2007-03-29
64,20556.0,22382.0,18350.0,20382.0,76700,2007-03-30
65,20477.0,20478.0,19129.0,19843.0,14200,2007-04-02
66,18887.0,19842.0,18572.0,19366.0,24100,2007-04-03
67,17300.0,19842.0,17175.0,19683.0,13000,2007-04-04
68,19683.0,19716.0,18891.0,19208.0,22300,2007-04-05
69,19205.0,19207.0,17937.0,18731.0,47200,2007-04-06
70,19046.0,19683.0,18413.0,19048.0,30400,2007-04-09
71,18966.0,19048.0,18587.0,18968.0,15500,2007-04-10
72,18890.0,18890.0,18732.0,18890.0,11400,2007-04-11
73,18647.0,18731.0,18096.0,18176.0,15300,2007-04-12
74,18252.0,18254.0,17286.0,17461.0,27700,2007-04-13
75,17144.0,17144.0,16033.0,16033.0,25400,2007-04-16
76,15237.0,16190.0,14920.0,15238.0,26000,2007-04-17
77,16937.0,16937.0,15398.0,16937.0,25400,2007-04-18
78,17459.0,18254.0,16349.0,17143.0,46400,2007-04-19
79,15872.0,17143.0,15635.0,15873.0,15200,2007-04-20
80,15873.0,15873.0,15238.0,15873.0,11500,2007-04-23
81,15795.0,15874.0,15557.0,15795.0,16100,2007-04-24
82,16668.0,17366.0,15874.0,16668.0,30500,2007-04-25
83,17461.0,17461.0,16509.0,16668.0,19600,2007-05-02
84,16667.0,16715.0,16525.0,16668.0,9500,2007-05-03
85,16350.0,16668.0,16191.0,16350.0,17000,2007-05-04
86,16983.0,17349.0,16508.0,16825.0,13800,2007-05-07
87,16826.0,17144.0,16668.0,16668.0,24400,2007-05-08
88,17144.0,17144.0,16509.0,16668.0,10700,2007-05-09
89,16509.0,16588.0,16191.0,16350.0,6500,2007-05-10
90,16825.0,16825.0,16349.0,16825.0,14600,2007-05-11
91,17143.0,17778.0,16508.0,17143.0,29100,2007-05-14
92,17827.0,17763.0,17033.0,17033.0,22900,2007-05-15
93,17000.0,17001.0,16827.0,17001.0,9300,2007-05-16
94,17143.0,17302.0,16667.0,17143.0,15100,2007-05-17
95,17143.0,17302.0,16984.0,17143.0,17900,2007-05-18
96,17461.0,17763.0,16985.0,17303.0,31600,2007-05-21
97,18096.0,18254.0,17461.0,18096.0,34600,2007-05-22
98,19048.0,19049.0,18255.0,18573.0,42300,2007-05-23
99,18430.0,18732.0,17779.0,17954.0,39500,2007-05-24
100,18381.0,18413.0,17778.0,18381.0,11000,2007-05-25
101,18411.0,18413.0,18016.0,18096.0,13400,2007-05-28
102,17778.0,18096.0,17778.0,17778.0,11800,2007-05-29
103,17935.0,17937.0,17302.0,17461.0,6600,2007-05-30
104,17461.0,17619.0,17143.0,17461.0,11000,2007-05-31
105,17617.0,17619.0,17461.0,17461.0,5500,2007-06-01
106,17144.0,17144.0,16969.0,16985.0,5100,2007-06-04
107,17144.0,17160.0,16350.0,16350.0,15700,2007-06-05
108,16668.0,16668.0,16191.0,16668.0,19600,2007-06-06
109,16665.0,16746.0,16032.0,16508.0,12000,2007-06-07
110,16509.0,16668.0,16350.0,16350.0,9700,2007-06-08
111,16064.0,16065.0,15715.0,15747.0,17400,2007-06-11
112,16189.0,16270.0,15714.0,15873.0,27500,2007-06-12
113,15874.0,15890.0,15715.0,15715.0,9900,2007-06-13
114,15713.0,15873.0,15555.0,15555.0,8800,2007-06-14
115,15713.0,15746.0,15539.0,15555.0,11900,2007-06-15
116,15715.0,15715.0,15556.0,15715.0,7100,2007-06-18
117,15715.0,15874.0,15080.0,15398.0,21500,2007-06-19
118,15587.0,15587.0,15317.0,15587.0,6300,2007-06-20
119,15381.0,15541.0,15240.0,15541.0,12500,2007-06-21
120,15398.0,15556.0,15398.0,15398.0,5800,2007-06-22
121,15395.0,15397.0,14920.0,15238.0,6500,2007-06-25
122,14605.0,15081.0,14287.0,14605.0,11500,2007-06-26
123,14554.0,14555.0,14397.0,14397.0,0,2007-06-27
124,14462.0,14446.0,13652.0,13668.0,11500,2007-06-28
125,13650.0,13651.0,13016.0,13492.0,0,2007-06-29
126,13175.0,13176.0,12223.0,12382.0,0,2007-07-02
127,12699.0,12699.0,11429.0,12064.0,0,2007-07-03
128,12953.0,12953.0,11847.0,12953.0,0,2007-07-04
129,13015.0,13333.0,12381.0,12540.0,0,2007-07-05
130,12699.0,13017.0,12382.0,13017.0,0,2007-07-06
131,12956.0,13114.0,12482.0,12956.0,0,2007-07-09
132,13588.0,13588.0,13272.0,13588.0,0,2007-07-10
133,14493.0,14811.0,13697.0,14493.0,0,2007-07-11
134,14094.0,14096.0,13779.0,13938.0,0,2007-07-12
135,14207.0,14207.0,13892.0,14207.0,0,2007-07-13
136,13652.0,13652.0,13335.0,13652.0,0,2007-07-16
137,14287.0,14287.0,13652.0,14287.0,0,2007-07-17
138,14079.0,14238.0,13921.0,14079.0,0,2007-07-18
139,14046.0,14205.0,13890.0,14048.0,0,2007-07-19
140,14287.0,14446.0,14128.0,14287.0,0,2007-07-20
141,14287.0,14287.0,13970.0,14287.0,0,2007-07-23
142,14048.0,14207.0,13892.0,14207.0,0,2007-07-24
143,14032.0,14191.0,14032.0,14032.0,0,2007-07-25
144,14079.0,14080.0,13922.0,13922.0,0,2007-07-26
145,13461.0,14095.0,13304.0,14095.0,0,2007-07-27
146,13810.0,13811.0,13652.0,13652.0,0,2007-07-30
147,13620.0,13620.0,12987.0,13620.0,0,2007-07-31
148,13810.0,13811.0,13652.0,13652.0,0,2007-08-01
149,13652.0,13811.0,13652.0,13652.0,0,2007-08-02
150,13651.0,13652.0,13017.0,13335.0,0,2007-08-03
151,13334.0,13335.0,12700.0,13335.0,0,2007-08-06
152,13255.0,13255.0,12939.0,13255.0,0,2007-08-07
153,13492.0,13492.0,13334.0,13492.0,0,2007-08-08
154,13492.0,13651.0,13492.0,13492.0,0,2007-08-09
155,13571.0,13572.0,13099.0,13572.0,0,2007-08-10
156,13492.0,13492.0,13334.0,13492.0,0,2007-08-13
157,13524.0,13683.0,13524.0,13524.0,0,2007-08-14
158,13444.0,13603.0,13128.0,13444.0,0,2007-08-15
159,13492.0,13651.0,13492.0,13492.0,0,2007-08-16
