,Open,High,Low,Close,Volume,TradingDate
0,5510.0,5585.0,3630.0,4133.0,28500,2008-06-26
1,4077.0,4386.0,4072.0,4229.0,14700,2008-06-27
2,4229.0,4432.0,4129.0,4201.0,11700,2008-06-30
3,4133.0,4174.0,4146.0,4160.0,7400,2008-07-01
4,4312.0,4312.0,4312.0,4312.0,16200,2008-07-02
5,4463.0,4477.0,4463.0,4477.0,5800,2008-07-03
6,4656.0,4656.0,4656.0,4656.0,5000,2008-07-04
7,4835.0,4622.0,4279.0,4477.0,30100,2008-07-07
8,4518.0,5111.0,4734.0,4821.0,17300,2008-07-08
9,4684.0,4766.0,4697.0,4739.0,7200,2008-07-09
10,4876.0,4904.0,4807.0,4863.0,15800,2008-07-10
11,4959.0,5069.0,4986.0,5042.0,27900,2008-07-11
12,5207.0,5221.0,5083.0,5207.0,16100,2008-07-14
13,5400.0,5400.0,5400.0,5400.0,9600,2008-07-15
14,5606.0,5690.0,5271.0,5606.0,32600,2008-07-16
15,5744.0,5758.0,5592.0,5744.0,34300,2008-07-17
16,5730.0,5646.0,5429.0,5510.0,6300,2008-07-18
17,5372.0,5372.0,5372.0,5372.0,300,2008-07-21
18,5372.0,5372.0,5372.0,5372.0,0,2008-07-22
19,5166.0,5166.0,5166.0,5166.0,100,2008-07-23
20,4959.0,4959.0,4959.0,4959.0,2000,2008-07-24
21,4766.0,4766.0,4766.0,4766.0,300,2008-07-25
22,4587.0,4697.0,4587.0,4587.0,28500,2008-07-28
23,4615.0,4682.0,4451.0,4573.0,12900,2008-07-29
24,4615.0,4600.0,4436.0,4463.0,6500,2008-07-30
25,4408.0,4534.0,4380.0,4408.0,11100,2008-07-31
26,4201.0,4589.0,4294.0,4491.0,8300,2008-08-01
27,4560.0,4560.0,4546.0,4560.0,24100,2008-08-04
28,4739.0,4651.0,4299.0,4380.0,9600,2008-08-05
29,4463.0,4727.0,4558.0,4628.0,10100,2008-08-06
30,4711.0,4655.0,4491.0,4546.0,13600,2008-08-07
31,4601.0,4725.0,4642.0,4670.0,7700,2008-08-08
32,4794.0,4808.0,4794.0,4808.0,27300,2008-08-11
33,4987.0,4987.0,4931.0,4987.0,45800,2008-08-12
34,5179.0,5193.0,5014.0,5179.0,64800,2008-08-13
35,5372.0,5372.0,5372.0,5372.0,85400,2008-08-14
36,5579.0,5579.0,5579.0,5579.0,51600,2008-08-15
37,5965.0,5701.0,5122.0,5372.0,50700,2008-08-18
38,5262.0,5414.0,5276.0,5303.0,61500,2008-08-19
39,4987.0,5008.0,4645.0,4752.0,57700,2008-08-20
40,5193.0,5291.0,4688.0,5193.0,46500,2008-08-21
41,5359.0,5428.0,5124.0,5276.0,34000,2008-08-22
42,5579.0,5606.0,5579.0,5606.0,114300,2008-08-25
43,5992.0,5992.0,5992.0,5992.0,29100,2008-08-26
44,6323.0,6405.0,5648.0,6323.0,152100,2008-08-27
45,5882.0,5882.0,5882.0,5882.0,22500,2008-08-28
46,5482.0,6036.0,5586.0,5923.0,100200,2008-08-29
47,6213.0,6213.0,6199.0,6213.0,89100,2008-09-03
48,6640.0,6428.0,5601.0,5868.0,57200,2008-09-04
49,5717.0,5717.0,5648.0,5648.0,66900,2008-09-05
50,5372.0,5372.0,5262.0,5262.0,21500,2008-09-08
51,5510.0,5426.0,5117.0,5372.0,35600,2008-09-09
52,5248.0,5785.0,5394.0,5510.0,11700,2008-09-10
53,5400.0,5214.0,4855.0,5028.0,20200,2008-09-11
54,4849.0,4945.0,4835.0,4849.0,27200,2008-09-12
55,4863.0,5094.0,4729.0,4959.0,16900,2008-09-15
56,4711.0,4711.0,4711.0,4711.0,7300,2008-09-16
57,4394.0,4408.0,4394.0,4394.0,18100,2008-09-17
58,4091.0,4091.0,4091.0,4091.0,700,2008-09-18
59,3829.0,4630.0,4045.0,4367.0,87400,2008-09-19
60,4394.0,4394.0,4394.0,4394.0,100,2008-09-22
61,4670.0,4743.0,4143.0,4394.0,94500,2008-09-23
62,4215.0,4422.0,4229.0,4270.0,11200,2008-09-24
63,4477.0,4546.0,4477.0,4546.0,15700,2008-09-25
64,4863.0,4863.0,4863.0,4863.0,64600,2008-09-26
65,5193.0,5193.0,5193.0,5193.0,68300,2008-09-29
66,4835.0,4835.0,4835.0,4835.0,24300,2008-09-30
67,5166.0,5207.0,4874.0,5166.0,192300,2008-10-01
68,5482.0,5496.0,5275.0,5482.0,99400,2008-10-02
69,5482.0,5812.0,5111.0,5372.0,79800,2008-10-03
70,5372.0,5343.0,4987.0,5014.0,15300,2008-10-06
71,4697.0,4697.0,4697.0,4697.0,18200,2008-10-07
72,4380.0,4588.0,4394.0,4422.0,133100,2008-10-08
73,4146.0,4696.0,4133.0,4545.0,42700,2008-10-09
74,4257.0,4298.0,4229.0,4243.0,68700,2008-10-10
75,4546.0,4688.0,4390.0,4546.0,54800,2008-10-13
76,4711.0,4711.0,4711.0,4711.0,5800,2008-10-14
77,4959.0,5141.0,4831.0,5028.0,76900,2008-10-15
