,Open,High,Low,Close,Volume,TradingDate
0,34130.0,34997.0,34130.0,34130.0,2811840,2018-06-04
1,33030.0,35330.0,31997.0,31997.0,1357500,2018-06-05
2,31664.0,31997.0,30330.0,30664.0,1605480,2018-06-06
3,31497.0,32797.0,31030.0,32797.0,1376540,2018-06-07
4,33663.0,35063.0,33163.0,35063.0,2008500,2018-06-08
5,34930.0,36330.0,34397.0,36330.0,1229830,2018-06-11
6,35996.0,35996.0,34297.0,34997.0,1139130,2018-06-12
7,34997.0,35996.0,34830.0,35130.0,772670,2018-06-13
8,35496.0,35496.0,34497.0,34997.0,617130,2018-06-14
9,35163.0,35163.0,34497.0,35063.0,723460,2018-06-15
10,34697.0,34997.0,32663.0,33330.0,825810,2018-06-18
11,31697.0,32330.0,30997.0,31664.0,2092720,2018-06-19
12,31664.0,32163.0,31030.0,31730.0,554870,2018-06-20
13,31797.0,31797.0,31097.0,31730.0,497790,2018-06-21
14,31697.0,31697.0,31197.0,31664.0,328710,2018-06-22
15,31997.0,32330.0,31897.0,31963.0,918340,2018-06-25
16,31464.0,31830.0,31397.0,31664.0,493790,2018-06-26
17,31164.0,31664.0,31164.0,31197.0,394860,2018-06-27
18,30997.0,31164.0,29497.0,30730.0,1319230,2018-06-28
19,30330.0,30664.0,28997.0,30564.0,1583700,2018-06-29
20,30597.0,30597.0,28997.0,29297.0,669570,2018-07-02
21,29164.0,29430.0,27264.0,27264.0,2112230,2018-07-03
22,26831.0,26997.0,25364.0,26997.0,1102650,2018-07-04
23,28850.0,28850.0,27000.0,28150.0,1583450,2018-07-05
24,28000.0,29000.0,27000.0,28800.0,1160990,2018-07-06
25,29000.0,29200.0,27850.0,28500.0,631240,2018-07-09
26,28500.0,28500.0,27500.0,27650.0,549100,2018-07-10
27,27100.0,27100.0,25750.0,25750.0,1134570,2018-07-11
28,25100.0,26000.0,25100.0,26000.0,686180,2018-07-12
29,26400.0,26500.0,26000.0,26200.0,406500,2018-07-13
30,26000.0,26200.0,25750.0,26200.0,430160,2018-07-16
31,26200.0,27500.0,25700.0,27100.0,1174520,2018-07-17
32,27500.0,28500.0,27300.0,27950.0,1139340,2018-07-18
33,28000.0,28000.0,27500.0,27900.0,680430,2018-07-19
34,27500.0,27900.0,27200.0,27900.0,1473990,2018-07-20
35,27300.0,27850.0,26600.0,26600.0,878370,2018-07-23
36,27000.0,27500.0,26300.0,26400.0,1019120,2018-07-24
37,26800.0,26850.0,24900.0,26750.0,3348190,2018-07-25
38,26000.0,26250.0,25500.0,25800.0,645430,2018-07-26
39,25800.0,26200.0,25600.0,25950.0,1427670,2018-07-27
40,25950.0,26200.0,25900.0,26100.0,1438740,2018-07-30
41,26150.0,27900.0,26000.0,27800.0,4690660,2018-07-31
42,27900.0,28650.0,27150.0,27550.0,2060620,2018-08-01
43,27300.0,28500.0,27000.0,28500.0,3507500,2018-08-02
44,28600.0,28900.0,28000.0,28350.0,2418140,2018-08-03
45,28000.0,28300.0,27800.0,28000.0,1478320,2018-08-06
46,27750.0,28200.0,27400.0,27950.0,1670400,2018-08-07
47,28150.0,28150.0,27400.0,27750.0,1406450,2018-08-08
48,27900.0,28300.0,27400.0,27400.0,2342630,2018-08-09
49,27400.0,27700.0,26400.0,27200.0,2362660,2018-08-10
50,27000.0,27650.0,26800.0,27450.0,1369550,2018-08-13
51,27500.0,27500.0,27000.0,27200.0,850440,2018-08-14
52,27000.0,27200.0,26500.0,26500.0,1030610,2018-08-15
53,26500.0,26900.0,25950.0,26500.0,1576340,2018-08-16
54,26500.0,26900.0,26500.0,26500.0,691890,2018-08-17
55,26700.0,26700.0,25900.0,26500.0,847610,2018-08-20
56,26500.0,26650.0,26250.0,26500.0,904270,2018-08-21
57,26700.0,27400.0,26550.0,26650.0,1386850,2018-08-22
58,27000.0,27150.0,26650.0,26750.0,1031560,2018-08-23
59,26750.0,26950.0,26500.0,26600.0,817010,2018-08-24
60,26600.0,26850.0,26500.0,26500.0,1480540,2018-08-27
61,26600.0,26800.0,26200.0,26250.0,1630740,2018-08-28
62,26250.0,26350.0,26100.0,26150.0,778240,2018-08-29
63,26150.0,26300.0,26050.0,26300.0,887840,2018-08-30
64,26300.0,26850.0,26300.0,26300.0,1723040,2018-08-31
65,26300.0,26600.0,26050.0,26100.0,991610,2018-09-04
66,26100.0,26250.0,25750.0,25800.0,1052150,2018-09-05
67,25800.0,25900.0,24800.0,24800.0,2694080,2018-09-06
68,25000.0,25300.0,24900.0,25250.0,2154200,2018-09-07
69,25400.0,25500.0,25000.0,25500.0,1297720,2018-09-10
70,25450.0,25500.0,25300.0,25400.0,780150,2018-09-11
71,25500.0,25550.0,25000.0,25000.0,1460210,2018-09-12
72,25000.0,25400.0,25000.0,25200.0,1105010,2018-09-13
73,25200.0,25400.0,25150.0,25250.0,1343360,2018-09-14
74,25250.0,27000.0,25150.0,26050.0,2714630,2018-09-17
75,26050.0,26150.0,25550.0,26150.0,1059520,2018-09-18
76,26200.0,27050.0,26200.0,26600.0,2934180,2018-09-19
77,26600.0,28000.0,26600.0,28000.0,5779740,2018-09-20
78,28000.0,28450.0,27800.0,28300.0,4008110,2018-09-21
79,28300.0,28450.0,27950.0,28100.0,2213810,2018-09-24
80,28000.0,28200.0,27800.0,28000.0,2261840,2018-09-25
81,28000.0,29350.0,27800.0,28900.0,4516320,2018-09-26
82,29200.0,29650.0,29150.0,29400.0,3663710,2018-09-27
83,29500.0,29650.0,29000.0,29150.0,3943650,2018-09-28
84,29150.0,29250.0,28600.0,28650.0,2816100,2018-10-01
85,28600.0,29400.0,28600.0,29100.0,3139750,2018-10-02
86,29400.0,29500.0,29150.0,29350.0,1405830,2018-10-03
87,29500.0,30200.0,29350.0,30200.0,3273230,2018-10-04
88,30100.0,30250.0,29750.0,29800.0,3156560,2018-10-05
89,29100.0,29750.0,29100.0,29350.0,2101380,2018-10-08
90,29400.0,29750.0,29150.0,29750.0,2656380,2018-10-09
91,29800.0,30100.0,29650.0,29700.0,1689250,2018-10-10
92,28200.0,29100.0,27700.0,27850.0,4366960,2018-10-11
93,27850.0,28800.0,27300.0,28700.0,2298230,2018-10-12
94,28700.0,28750.0,28000.0,28200.0,2085500,2018-10-15
95,28150.0,28900.0,28150.0,28700.0,1363410,2018-10-16
96,29300.0,29300.0,28950.0,29100.0,1972280,2018-10-17
97,28800.0,29100.0,28700.0,28900.0,1487880,2018-10-18
98,28400.0,29000.0,28100.0,29000.0,1454000,2018-10-19
99,29000.0,29200.0,28800.0,28800.0,2026290,2018-10-22
100,28800.0,28800.0,26800.0,27800.0,2307530,2018-10-23
101,27900.0,28000.0,26500.0,26500.0,1535430,2018-10-24
102,25200.0,26300.0,25100.0,26100.0,2454470,2018-10-25
103,26900.0,26900.0,25500.0,25850.0,1747390,2018-10-26
104,25800.0,26000.0,25500.0,25700.0,1473740,2018-10-29
105,25700.0,26100.0,25600.0,25800.0,1327540,2018-10-30
106,26100.0,26900.0,26100.0,26900.0,1230140,2018-10-31
107,26950.0,26950.0,26100.0,26100.0,802870,2018-11-01
108,26600.0,26950.0,26200.0,26600.0,1048790,2018-11-02
109,26700.0,26950.0,26500.0,26850.0,920120,2018-11-05
110,27400.0,27400.0,26750.0,26950.0,1174180,2018-11-06
111,26700.0,27200.0,26700.0,27000.0,1180500,2018-11-07
112,27500.0,27500.0,26950.0,27000.0,710570,2018-11-08
113,26850.0,26950.0,26350.0,26350.0,1090990,2018-11-09
114,26300.0,26500.0,25850.0,26300.0,784460,2018-11-12
115,25700.0,26000.0,25700.0,25750.0,947810,2018-11-13
116,25600.0,26000.0,25150.0,25250.0,1692450,2018-11-14
117,25250.0,25550.0,25050.0,25250.0,971850,2018-11-15
118,25500.0,26400.0,25450.0,25700.0,645780,2018-11-16
119,25700.0,26700.0,25700.0,26500.0,1754860,2018-11-19
120,26300.0,26550.0,26100.0,26400.0,1534530,2018-11-20
121,26000.0,26800.0,25900.0,26500.0,1028070,2018-11-21
122,26900.0,26900.0,24650.0,26500.0,901490,2018-11-22
123,26500.0,26600.0,26100.0,26100.0,643390,2018-11-23
124,26000.0,26450.0,25950.0,25950.0,1195560,2018-11-26
125,26300.0,26500.0,25950.0,26000.0,1040020,2018-11-27
126,26000.0,26150.0,25900.0,26150.0,668970,2018-11-28
127,26450.0,26600.0,26050.0,26050.0,1304530,2018-11-29
128,26250.0,26300.0,26000.0,26050.0,635260,2018-11-30
129,26500.0,27200.0,26300.0,27200.0,3059840,2018-12-03
130,27200.0,27950.0,27200.0,27800.0,2885160,2018-12-04
131,27500.0,28300.0,27300.0,28000.0,3540000,2018-12-05
132,28000.0,28450.0,27900.0,28150.0,2977170,2018-12-06
133,28200.0,28500.0,27800.0,28000.0,2249340,2018-12-07
134,27900.0,28350.0,27700.0,28250.0,3389080,2018-12-10
135,28350.0,28500.0,28100.0,28300.0,2451470,2018-12-11
136,28500.0,28900.0,28300.0,28900.0,3106230,2018-12-12
137,29000.0,29150.0,28700.0,28700.0,2502500,2018-12-13
138,28500.0,28800.0,28500.0,28650.0,2395670,2018-12-14
139,28300.0,28500.0,27400.0,27400.0,3335920,2018-12-17
140,27000.0,27500.0,26700.0,27500.0,3565390,2018-12-18
141,27400.0,27500.0,26950.0,27500.0,1152330,2018-12-19
142,27200.0,27700.0,27100.0,27250.0,1096130,2018-12-20
143,27000.0,27300.0,26700.0,27300.0,1436860,2018-12-21
144,27300.0,27400.0,26900.0,26900.0,1250440,2018-12-24
145,26200.0,26550.0,25800.0,26400.0,2408040,2018-12-25
146,26300.0,26600.0,25950.0,26000.0,1965260,2018-12-26
147,26500.0,26650.0,26050.0,26050.0,2093990,2018-12-27
148,26300.0,26300.0,25850.0,25850.0,1849440,2018-12-28
149,26000.0,26050.0,25600.0,25600.0,1329030,2019-01-02
150,25700.0,25750.0,25000.0,25000.0,1811430,2019-01-03
151,25000.0,25000.0,23250.0,24950.0,2970830,2019-01-04
152,25150.0,25500.0,25100.0,25100.0,1436930,2019-01-07
153,25150.0,25200.0,25050.0,25100.0,843170,2019-01-08
154,25200.0,26000.0,25100.0,25800.0,3192180,2019-01-09
155,25800.0,25950.0,25750.0,25800.0,1644380,2019-01-10
156,25850.0,26300.0,25850.0,26000.0,1623150,2019-01-11
157,25900.0,26050.0,25750.0,25850.0,2002420,2019-01-14
158,25850.0,26500.0,25850.0,26500.0,1853220,2019-01-15
159,26600.0,26750.0,26450.0,26500.0,1782580,2019-01-16
160,26500.0,26850.0,26400.0,26650.0,1858980,2019-01-17
161,26800.0,26950.0,26500.0,26750.0,1598890,2019-01-18
162,26900.0,27500.0,26900.0,27400.0,1951730,2019-01-21
163,27600.0,27600.0,26800.0,26800.0,2368670,2019-01-22
164,26900.0,26900.0,26550.0,26550.0,2092730,2019-01-23
165,26700.0,26850.0,26450.0,26650.0,1537670,2019-01-24
166,26950.0,27250.0,26650.0,26650.0,1710030,2019-01-25
167,26750.0,26800.0,26050.0,26200.0,1864000,2019-01-28
168,26200.0,26500.0,25900.0,26500.0,2058540,2019-01-29
169,26500.0,26700.0,26300.0,26600.0,1017170,2019-01-30
170,26600.0,26600.0,26300.0,26500.0,2606420,2019-01-31
171,26500.0,27200.0,26300.0,27200.0,7859690,2019-02-01
172,27000.0,27300.0,26800.0,27050.0,2504660,2019-02-11
173,27150.0,27650.0,26950.0,27450.0,4957590,2019-02-12
174,27450.0,27750.0,27400.0,27550.0,2519920,2019-02-13
175,27500.0,27600.0,27250.0,27300.0,2290940,2019-02-14
176,27200.0,27650.0,27100.0,27250.0,3355310,2019-02-15
177,27300.0,27550.0,27250.0,27350.0,2160450,2019-02-18
178,27400.0,28200.0,27400.0,27550.0,7850600,2019-02-19
179,27650.0,27800.0,27450.0,27550.0,2760520,2019-02-20
180,27600.0,27700.0,27300.0,27500.0,2102120,2019-02-21
181,27500.0,28000.0,27400.0,27700.0,6443060,2019-02-22
182,27900.0,28000.0,27700.0,27750.0,3849680,2019-02-25
183,27700.0,27850.0,27250.0,27450.0,3078620,2019-02-26
184,27450.0,27500.0,27050.0,27200.0,4709200,2019-02-27
185,27100.0,27200.0,26400.0,26500.0,4845650,2019-02-28
186,26600.0,26850.0,26400.0,26600.0,2342280,2019-03-01
187,26700.0,27100.0,26700.0,27000.0,2834780,2019-03-04
188,26850.0,27200.0,26700.0,26800.0,3227790,2019-03-05
189,26800.0,26900.0,26650.0,26800.0,1004950,2019-03-06
190,26900.0,27050.0,26750.0,26750.0,1428410,2019-03-07
191,26550.0,26650.0,26250.0,26250.0,2892590,2019-03-08
192,26500.0,26500.0,26250.0,26300.0,894870,2019-03-11
193,26600.0,26800.0,26250.0,26800.0,1884510,2019-03-12
194,26900.0,27550.0,26900.0,27150.0,4603520,2019-03-13
195,27200.0,27250.0,26950.0,27000.0,1377040,2019-03-14
196,26900.0,27200.0,26750.0,26850.0,1750100,2019-03-15
197,26950.0,27250.0,26800.0,27050.0,3348820,2019-03-18
198,27050.0,27200.0,26700.0,26750.0,2078600,2019-03-19
199,26750.0,26750.0,26400.0,26600.0,1701020,2019-03-20
200,26750.0,26750.0,26100.0,26100.0,2858380,2019-03-21
201,26150.0,26300.0,25950.0,26100.0,2631920,2019-03-22
202,25500.0,25900.0,25450.0,25600.0,2295560,2019-03-25
203,25600.0,25900.0,25400.0,25500.0,2041810,2019-03-26
204,25700.0,25800.0,25450.0,25750.0,1426910,2019-03-27
205,25650.0,25800.0,25550.0,25550.0,798820,2019-03-28
206,25550.0,25800.0,25550.0,25600.0,1656270,2019-03-29
207,25700.0,25700.0,25500.0,25550.0,1213000,2019-04-01
208,25700.0,25850.0,25450.0,25500.0,1197560,2019-04-02
209,25500.0,25600.0,25400.0,25450.0,883080,2019-04-03
