,Open,High,Low,Close,Volume,TradingDate
0,9242.0,9242.0,9242.0,9242.0,205890,2016-10-05
1,9883.0,9883.0,9883.0,9883.0,14250,2016-10-06
2,10551.0,10551.0,10551.0,10551.0,30910,2016-10-07
3,11270.0,11270.0,11270.0,11270.0,450360,2016-10-10
4,12040.0,12040.0,12040.0,12040.0,799790,2016-10-11
5,12861.0,12861.0,12861.0,12861.0,1130610,2016-10-12
6,13760.0,13760.0,13734.0,13760.0,3145880,2016-10-13
7,14632.0,14709.0,14376.0,14709.0,2242380,2016-10-14
8,15711.0,15736.0,15608.0,15736.0,1428260,2016-10-17
9,16814.0,16814.0,16789.0,16814.0,1439460,2016-10-18
10,17944.0,17944.0,15659.0,15659.0,1389260,2016-10-19
11,14581.0,14581.0,14581.0,14581.0,805310,2016-10-20
12,13580.0,15172.0,13580.0,14889.0,3892820,2016-10-21
13,14940.0,15326.0,14915.0,15223.0,1239320,2016-10-24
14,15274.0,15711.0,14324.0,14607.0,1387380,2016-10-25
15,13862.0,14632.0,13631.0,14632.0,2192960,2016-10-26
16,14709.0,15326.0,14709.0,15300.0,1137290,2016-10-27
17,14427.0,15608.0,14427.0,15505.0,1771130,2016-10-28
18,15326.0,15326.0,14427.0,14530.0,557560,2016-10-31
19,13708.0,14786.0,13529.0,14530.0,941280,2016-11-01
20,14555.0,14555.0,13529.0,13529.0,733570,2016-11-02
21,12604.0,13041.0,12604.0,12604.0,280160,2016-11-03
22,11732.0,12296.0,11732.0,12168.0,1020320,2016-11-04
23,11809.0,12322.0,11321.0,11321.0,179850,2016-11-07
24,10551.0,12091.0,10551.0,12091.0,1175430,2016-11-08
25,12142.0,12604.0,11552.0,12245.0,1376620,2016-11-09
26,12296.0,13092.0,12271.0,12271.0,617110,2016-11-10
27,11552.0,12271.0,11424.0,11424.0,610960,2016-11-11
28,11295.0,11347.0,10782.0,11218.0,910960,2016-11-14
29,11244.0,11475.0,11244.0,11449.0,717210,2016-11-15
30,11501.0,11783.0,11501.0,11603.0,1183670,2016-11-16
31,11295.0,11603.0,11295.0,11449.0,775880,2016-11-17
32,11501.0,12040.0,11501.0,11963.0,1545900,2016-11-18
33,12065.0,12733.0,11988.0,11988.0,265960,2016-11-21
34,11988.0,12245.0,11988.0,12040.0,1039110,2016-11-22
35,12040.0,12219.0,11218.0,11398.0,352320,2016-11-23
36,11398.0,11526.0,10782.0,10884.0,282950,2016-11-24
37,10884.0,10987.0,10166.0,10525.0,260410,2016-11-25
38,10551.0,10576.0,9806.0,9909.0,164100,2016-11-28
39,9293.0,10602.0,9267.0,10602.0,377890,2016-11-29
40,10679.0,11295.0,10474.0,10653.0,410010,2016-11-30
41,10653.0,10653.0,10012.0,10114.0,152600,2016-12-01
42,9601.0,10114.0,9601.0,9858.0,338550,2016-12-02
43,10166.0,10533.0,10166.0,10533.0,403940,2016-12-05
44,10617.0,10956.0,10533.0,10561.0,447500,2016-12-06
45,10222.0,10815.0,10222.0,10787.0,457640,2016-12-07
46,11013.0,11182.0,10787.0,11182.0,541740,2016-12-08
47,10900.0,11182.0,10900.0,11182.0,395990,2016-12-09
48,10900.0,11013.0,10533.0,10533.0,154710,2016-12-12
49,10363.0,10420.0,9883.0,9883.0,115150,2016-12-13
50,9657.0,10279.0,9544.0,9911.0,188730,2016-12-14
51,9855.0,9968.0,9770.0,9940.0,254330,2016-12-15
52,9968.0,10053.0,9940.0,9996.0,316980,2016-12-16
53,9940.0,10137.0,9911.0,10109.0,461400,2016-12-19
54,10081.0,10222.0,10053.0,10081.0,330030,2016-12-20
55,10081.0,10109.0,9883.0,10081.0,602550,2016-12-21
56,9996.0,10053.0,9742.0,9883.0,137410,2016-12-22
57,9798.0,9883.0,9601.0,9798.0,67440,2016-12-23
58,9827.0,9855.0,9488.0,9657.0,104860,2016-12-26
59,9714.0,9742.0,9205.0,9318.0,354160,2016-12-27
60,9234.0,9290.0,9036.0,9149.0,237510,2016-12-28
61,9036.0,9177.0,8556.0,9036.0,312690,2016-12-29
62,8810.0,9544.0,8782.0,9544.0,763300,2016-12-30
63,9347.0,9544.0,9347.0,9544.0,524250,2017-01-03
64,9573.0,9601.0,9431.0,9488.0,532300,2017-01-04
65,9318.0,9714.0,9318.0,9629.0,954840,2017-01-05
66,9544.0,9573.0,9375.0,9573.0,736580,2017-01-06
67,9657.0,9770.0,9657.0,9714.0,710260,2017-01-09
68,9488.0,9714.0,9347.0,9488.0,665850,2017-01-10
69,9488.0,9573.0,9318.0,9573.0,764900,2017-01-11
70,9573.0,9714.0,9205.0,9488.0,1352390,2017-01-12
71,9460.0,9460.0,9205.0,9431.0,528940,2017-01-13
