,Open,High,Low,Close,Volume,TradingDate
0,15857.0,15857.0,15857.0,15857.0,7000,2006-12-29
1,15856.0,16626.0,15856.0,16626.0,26870,2007-01-02
2,16624.0,16626.0,16309.0,16309.0,38730,2007-01-03
3,16309.0,16309.0,16309.0,16309.0,9350,2007-01-04
4,15854.0,15855.0,15493.0,15493.0,7050,2007-01-05
5,14724.0,14724.0,14724.0,14724.0,9350,2007-01-08
6,14272.0,14274.0,14002.0,14002.0,6950,2007-01-09
7,13315.0,13315.0,13315.0,13315.0,6740,2007-01-10
8,13315.0,13315.0,13134.0,13315.0,31930,2007-01-11
9,13550.0,13595.0,13323.0,13550.0,31650,2007-01-12
10,13136.0,13136.0,12910.0,12910.0,20780,2007-01-15
11,13549.0,13550.0,12462.0,13550.0,31430,2007-01-16
12,13815.0,13816.0,12910.0,12910.0,36920,2007-01-17
13,12910.0,12910.0,12276.0,12276.0,42420,2007-01-18
14,12681.0,12863.0,12455.0,12863.0,42310,2007-01-19
15,13503.0,13503.0,12914.0,13503.0,56030,2007-01-22
16,14137.0,14137.0,14137.0,14137.0,30770,2007-01-23
17,14812.0,14812.0,14812.0,14812.0,119680,2007-01-24
18,15405.0,15405.0,14816.0,15405.0,79670,2007-01-25
19,15399.0,15400.0,14947.0,14947.0,52630,2007-01-26
20,15129.0,15129.0,14495.0,15129.0,67150,2007-01-29
21,15857.0,15857.0,15857.0,15857.0,125930,2007-01-30
22,16626.0,16628.0,15405.0,15405.0,74680,2007-01-31
23,16169.0,16171.0,16080.0,16080.0,128180,2007-02-01
24,15405.0,15405.0,15405.0,15405.0,24900,2007-02-02
25,15405.0,15405.0,15405.0,15405.0,18790,2007-02-05
26,15768.0,15769.0,15406.0,15769.0,53830,2007-02-06
27,15675.0,15675.0,15403.0,15675.0,54220,2007-02-07
28,15539.0,15541.0,15178.0,15405.0,36280,2007-02-08
29,15405.0,15405.0,15405.0,15405.0,22500,2007-02-09
30,15405.0,15405.0,15405.0,15405.0,19780,2007-02-12
31,15628.0,15628.0,14631.0,15628.0,25640,2007-02-13
32,15629.0,15631.0,15405.0,15405.0,16360,2007-02-14
33,15628.0,15855.0,15402.0,15628.0,42660,2007-02-15
34,16309.0,16309.0,16309.0,16309.0,82490,2007-02-26
35,16536.0,16627.0,16491.0,16491.0,135900,2007-02-27
36,16533.0,16536.0,16309.0,16309.0,80920,2007-02-28
37,15854.0,15855.0,15493.0,15493.0,54300,2007-03-01
38,15857.0,16265.0,15495.0,15857.0,95440,2007-03-02
39,16626.0,16626.0,16626.0,16626.0,268420,2007-03-05
40,17442.0,17442.0,16989.0,17442.0,284570,2007-03-06
41,18299.0,18299.0,18299.0,18299.0,319930,2007-03-07
42,19209.0,19209.0,19209.0,19209.0,304910,2007-03-08
43,20160.0,20160.0,20160.0,20160.0,87950,2007-03-09
44,21158.0,21158.0,21158.0,21158.0,85830,2007-03-12
45,22197.0,22197.0,22197.0,22197.0,302140,2007-03-13
46,21111.0,21111.0,21111.0,21111.0,195740,2007-03-14
47,20066.0,20066.0,20066.0,20066.0,52790,2007-03-15
48,19074.0,19074.0,19074.0,19074.0,99840,2007-03-16
49,20021.0,20023.0,19479.0,19479.0,215240,2007-03-19
50,19251.0,19254.0,19027.0,19027.0,107360,2007-03-20
51,18574.0,18574.0,18076.0,18076.0,87510,2007-03-21
52,17219.0,17219.0,17219.0,17219.0,83830,2007-03-22
53,16761.0,16761.0,16535.0,16761.0,111340,2007-03-23
54,16760.0,16760.0,15945.0,15945.0,103270,2007-03-26
55,15176.0,15176.0,15176.0,15176.0,136600,2007-03-27
56,14585.0,14586.0,14450.0,14495.0,107950,2007-03-28
57,15217.0,15217.0,15217.0,15217.0,63390,2007-03-29
58,15945.0,15945.0,15945.0,15945.0,66260,2007-03-30
59,16714.0,16714.0,16714.0,16714.0,190920,2007-04-02
60,15904.0,15904.0,15904.0,15904.0,75960,2007-04-03
61,16309.0,16309.0,15901.0,16309.0,38710,2007-04-04
62,16309.0,16309.0,15765.0,16309.0,64360,2007-04-05
63,15854.0,15855.0,15628.0,15628.0,32430,2007-04-06
64,16309.0,16311.0,15405.0,15405.0,15070,2007-04-09
65,15857.0,15857.0,15404.0,15857.0,16750,2007-04-10
66,15628.0,15809.0,15628.0,15628.0,17600,2007-04-11
67,15627.0,15629.0,15176.0,15176.0,33140,2007-04-12
68,14947.0,15173.0,14947.0,14947.0,50740,2007-04-13
69,14495.0,14495.0,14268.0,14495.0,63890,2007-04-16
70,14272.0,14272.0,14272.0,14272.0,38220,2007-04-17
71,14947.0,14947.0,14721.0,14947.0,52110,2007-04-18
