,Open,High,Low,Close,Volume,TradingDate
0,6309.0,6242.0,5843.0,5905.0,31900,2015-12-22
1,5905.0,5905.0,5905.0,5905.0,17000,2015-12-23
2,5905.0,6160.0,6006.0,6057.0,109000,2015-12-24
3,5905.0,6007.0,5906.0,6006.0,54300,2015-12-25
4,6006.0,6107.0,6056.0,6057.0,54300,2015-12-28
5,6057.0,6066.0,6015.0,6057.0,27500,2015-12-29
6,6107.0,6438.0,6232.0,6309.0,72600,2015-12-30
7,6309.0,7241.0,6607.0,6915.0,165900,2015-12-31
8,6309.0,7411.0,6524.0,7167.0,98100,2016-01-04
9,7167.0,7876.0,7298.0,7571.0,195500,2016-01-05
10,7571.0,7655.0,7554.0,7621.0,189100,2016-01-06
11,7521.0,7887.0,7526.0,7722.0,186100,2016-01-07
12,7521.0,8026.0,7666.0,7874.0,193400,2016-01-08
13,7874.0,8032.0,7930.0,7975.0,230900,2016-01-11
14,7975.0,7835.0,7686.0,7823.0,138400,2016-01-12
15,7773.0,7852.0,7599.0,7773.0,119300,2016-01-13
16,7773.0,8045.0,7841.0,7924.0,87400,2016-01-14
17,7924.0,8100.0,7899.0,8025.0,22800,2016-01-15
18,7823.0,7852.0,7751.0,7773.0,16300,2016-01-18
19,7823.0,8895.0,8158.0,8530.0,160200,2016-01-19
20,8530.0,8768.0,8615.0,8681.0,166300,2016-01-20
21,8580.0,8869.0,8515.0,8681.0,111800,2016-01-21
22,9035.0,9974.0,9341.0,9539.0,175300,2016-01-22
23,9489.0,9692.0,9489.0,9590.0,63400,2016-01-25
24,9439.0,9460.0,9309.0,9388.0,18600,2016-01-26
25,9388.0,10862.0,9952.0,10145.0,51400,2016-01-27
26,10145.0,10204.0,10053.0,10145.0,92100,2016-01-28
27,10044.0,10039.0,9939.0,9994.0,42500,2016-01-29
28,9943.0,9922.0,9318.0,9489.0,160300,2016-02-01
29,9439.0,9790.0,9226.0,9640.0,107000,2016-02-02
30,9590.0,9844.0,9691.0,9741.0,17000,2016-02-03
31,9691.0,9780.0,9729.0,9741.0,4100,2016-02-04
32,9640.0,9646.0,9596.0,9640.0,3200,2016-02-05
33,9691.0,9759.0,9606.0,9640.0,236500,2016-02-15
34,9590.0,10120.0,9761.0,9893.0,201800,2016-02-16
35,9893.0,10121.0,9968.0,10044.0,187400,2016-02-17
36,10044.0,10445.0,10189.0,10297.0,200900,2016-02-18
37,10297.0,10362.0,10261.0,10347.0,193400,2016-02-19
38,10347.0,10153.0,9905.0,10095.0,95200,2016-02-22
39,10095.0,10090.0,9839.0,9943.0,76100,2016-02-23
40,9893.0,10197.0,9943.0,10095.0,118300,2016-02-24
41,10044.0,10057.0,9856.0,9943.0,184400,2016-02-25
42,9893.0,10030.0,9878.0,9994.0,57500,2016-02-26
43,9943.0,9766.0,9468.0,9640.0,28000,2016-02-29
44,9590.0,9327.0,8443.0,8681.0,45500,2016-03-01
45,7874.0,8624.0,8056.0,8379.0,191300,2016-03-02
46,8076.0,8620.0,8101.0,8328.0,463400,2016-03-03
47,8177.0,8968.0,8342.0,8580.0,393100,2016-03-04
48,8631.0,8741.0,8589.0,8681.0,141700,2016-03-07
49,8631.0,8708.0,8607.0,8681.0,166500,2016-03-08
50,8631.0,8983.0,8778.0,8833.0,178600,2016-03-09
51,8833.0,9382.0,9021.0,9186.0,430800,2016-03-10
52,9085.0,9549.0,9187.0,9338.0,325700,2016-03-11
53,9085.0,8837.0,8444.0,8681.0,259700,2016-03-14
54,8681.0,8662.0,8209.0,8480.0,47600,2016-03-15
55,8328.0,8627.0,8272.0,8429.0,474300,2016-03-16
