,Open,High,Low,Close,Volume,TradingDate
0,47841.0,53157.0,47841.0,51183.0,497300,2009-11-11
1,53157.0,54676.0,50120.0,51562.0,163200,2009-11-12
2,49740.0,49740.0,47993.0,48677.0,105200,2009-11-13
3,48601.0,48980.0,45411.0,47690.0,109600,2009-11-16
4,46323.0,47841.0,46323.0,47082.0,123400,2009-11-17
5,46702.0,50347.0,45563.0,48297.0,303900,2009-11-18
6,50727.0,51638.0,50727.0,51562.0,105400,2009-11-19
7,53005.0,54676.0,51790.0,53081.0,367500,2009-11-20
8,51259.0,52777.0,49436.0,50271.0,187300,2009-11-23
9,50271.0,50271.0,46778.0,47841.0,183400,2009-11-24
10,47841.0,47841.0,44500.0,44956.0,121400,2009-11-25
11,41918.0,42146.0,41842.0,41918.0,51500,2009-11-26
12,39032.0,42526.0,39032.0,39640.0,168100,2009-11-27
13,37210.0,40475.0,37210.0,39032.0,118100,2009-11-30
14,40248.0,41690.0,40248.0,41235.0,180900,2009-12-01
15,43285.0,43285.0,38729.0,40323.0,59300,2009-12-02
16,38729.0,40248.0,38349.0,39260.0,60400,2009-12-03
17,39868.0,39868.0,38729.0,39108.0,62300,2009-12-04
18,39108.0,40020.0,38729.0,39412.0,44100,2009-12-07
19,39412.0,39412.0,38045.0,38653.0,56500,2009-12-08
20,37210.0,37210.0,35995.0,36071.0,93000,2009-12-09
21,37742.0,37817.0,33565.0,34628.0,146300,2009-12-10
22,35919.0,35919.0,32274.0,32730.0,127700,2009-12-11
23,34172.0,35008.0,34172.0,34856.0,43200,2009-12-14
24,34248.0,35312.0,33793.0,34400.0,48500,2009-12-15
25,32881.0,32881.0,32046.0,32274.0,84000,2009-12-16
26,30831.0,32502.0,30527.0,30983.0,30200,2009-12-17
27,33033.0,33109.0,32806.0,33109.0,136900,2009-12-18
28,34932.0,35387.0,34476.0,35312.0,145500,2009-12-21
29,35387.0,35691.0,33793.0,34552.0,67500,2009-12-22
30,34172.0,34780.0,34172.0,34552.0,69500,2009-12-23
31,34172.0,36375.0,34172.0,35160.0,118100,2009-12-24
32,36830.0,37590.0,36602.0,37438.0,208000,2009-12-25
33,39996.0,39996.0,37438.0,39841.0,213600,2009-12-28
34,42554.0,42554.0,41081.0,42477.0,254800,2009-12-29
