,Open,High,Low,Close,Volume,TradingDate
0,6283.0,6584.0,4056.0,4398.0,354300,2008-11-19
1,4137.0,4189.0,4084.0,4084.0,130400,2008-11-20
2,3822.0,4243.0,3872.0,4110.0,76900,2008-11-21
3,4084.0,4058.0,3980.0,4032.0,20400,2008-11-24
4,3979.0,4003.0,3745.0,3796.0,111200,2008-11-25
5,3849.0,3847.0,3561.0,3587.0,38600,2008-11-26
6,3456.0,3456.0,3377.0,3377.0,38200,2008-11-27
7,3377.0,3693.0,3452.0,3613.0,74000,2008-11-28
8,3456.0,3532.0,3274.0,3377.0,34000,2008-12-01
9,3351.0,3378.0,3272.0,3351.0,12700,2008-12-02
10,3168.0,3271.0,3091.0,3168.0,49000,2008-12-03
11,3351.0,3404.0,3298.0,3351.0,27700,2008-12-04
12,3168.0,3246.0,3115.0,3168.0,45000,2008-12-05
13,3011.0,3088.0,2959.0,3011.0,20400,2008-12-08
14,3142.0,3194.0,3115.0,3142.0,25100,2008-12-09
15,3351.0,3404.0,3192.0,3351.0,66100,2008-12-10
16,3325.0,3351.0,3273.0,3325.0,14200,2008-12-11
17,3508.0,3534.0,3430.0,3508.0,29400,2008-12-12
18,3456.0,3693.0,3429.0,3456.0,9900,2008-12-15
19,3194.0,3220.0,3194.0,3194.0,20500,2008-12-16
20,3325.0,3430.0,3245.0,3377.0,19000,2008-12-17
21,3377.0,3457.0,3271.0,3377.0,8300,2008-12-18
22,3325.0,3403.0,3299.0,3351.0,9600,2008-12-19
23,3403.0,3377.0,3325.0,3351.0,5600,2008-12-22
24,3351.0,3325.0,3273.0,3299.0,7300,2008-12-23
25,3246.0,3351.0,3272.0,3325.0,19000,2008-12-24
26,3273.0,3299.0,3273.0,3273.0,12000,2008-12-25
27,3273.0,3456.0,3298.0,3403.0,28000,2008-12-26
28,3403.0,3403.0,3377.0,3377.0,20800,2008-12-29
29,3325.0,3403.0,3325.0,3403.0,12300,2008-12-30
30,3351.0,3377.0,3351.0,3351.0,7500,2008-12-31
31,3351.0,3377.0,3299.0,3325.0,14500,2009-01-02
32,3325.0,3351.0,3325.0,3351.0,5200,2009-01-05
33,3351.0,3403.0,3351.0,3403.0,9900,2009-01-06
34,3351.0,3457.0,3377.0,3403.0,22300,2009-01-07
35,3142.0,3404.0,3167.0,3299.0,12000,2009-01-08
36,3063.0,3433.0,3163.0,3325.0,20600,2009-01-09
37,3194.0,3456.0,3219.0,3430.0,48000,2009-01-12
38,3403.0,3377.0,3299.0,3377.0,5100,2009-01-13
39,3351.0,3351.0,3351.0,3351.0,4300,2009-01-14
40,3299.0,3378.0,3325.0,3351.0,4000,2009-01-15
41,3351.0,3377.0,3351.0,3377.0,3000,2009-01-16
42,3377.0,3351.0,3299.0,3325.0,4500,2009-01-19
43,3351.0,3351.0,3299.0,3325.0,21500,2009-01-20
44,3377.0,3456.0,3377.0,3403.0,25600,2009-01-21
45,3430.0,3561.0,3482.0,3508.0,10800,2009-01-22
46,3456.0,3482.0,3456.0,3482.0,1600,2009-01-23
47,3351.0,3325.0,3299.0,3325.0,5000,2009-02-02
48,3115.0,3168.0,3115.0,3142.0,10600,2009-02-03
49,3168.0,3220.0,3090.0,3142.0,13800,2009-02-04
50,3089.0,3063.0,2959.0,3037.0,8100,2009-02-05
51,3063.0,3063.0,2880.0,2958.0,13400,2009-02-06
52,3011.0,3116.0,3037.0,3089.0,4600,2009-02-09
53,2880.0,3199.0,2982.0,3063.0,500,2009-02-10
54,3011.0,3037.0,3011.0,3011.0,5500,2009-02-11
55,2958.0,2932.0,2880.0,2906.0,2000,2009-02-12
56,2932.0,2932.0,2906.0,2932.0,9100,2009-02-13
57,2801.0,3122.0,2930.0,2985.0,3200,2009-02-16
58,3011.0,3011.0,2723.0,2775.0,7200,2009-02-17
59,2670.0,2830.0,2722.0,2749.0,14400,2009-02-18
60,2749.0,2749.0,2618.0,2618.0,2200,2009-02-19
61,2618.0,2618.0,2618.0,2618.0,7800,2009-02-20
62,2487.0,2487.0,2409.0,2461.0,15100,2009-02-23
63,2356.0,2461.0,2331.0,2435.0,7000,2009-02-24
64,2409.0,2699.0,2483.0,2618.0,10700,2009-02-25
65,2592.0,2592.0,2540.0,2566.0,10200,2009-02-26
66,2618.0,2618.0,2618.0,2618.0,6000,2009-02-27
67,2644.0,2644.0,2644.0,2644.0,4300,2009-03-02
68,2670.0,2670.0,2670.0,2670.0,6400,2009-03-03
69,2749.0,2775.0,2749.0,2775.0,2500,2009-03-04
70,2775.0,2801.0,2775.0,2801.0,3400,2009-03-05
71,2801.0,2801.0,2723.0,2723.0,1900,2009-03-06
72,2775.0,2854.0,2801.0,2828.0,2000,2009-03-09
73,2697.0,2907.0,2747.0,2854.0,5100,2009-03-10
74,2932.0,2932.0,2854.0,2880.0,30800,2009-03-11
75,2932.0,2986.0,2774.0,2880.0,18200,2009-03-12
76,2828.0,2881.0,2801.0,2828.0,13700,2009-03-13
77,2854.0,2801.0,2724.0,2775.0,6400,2009-03-16
78,2801.0,2880.0,2801.0,2828.0,2400,2009-03-17
79,2854.0,2906.0,2827.0,2880.0,18300,2009-03-18
80,2854.0,2827.0,2749.0,2775.0,2800,2009-03-19
81,2775.0,2749.0,2697.0,2723.0,16000,2009-03-20
82,2880.0,2824.0,2619.0,2670.0,9100,2009-03-23
83,2880.0,2853.0,2724.0,2801.0,25600,2009-03-24
84,2801.0,2775.0,2749.0,2775.0,19500,2009-03-25
85,2854.0,2880.0,2854.0,2854.0,9900,2009-03-26
86,2801.0,2854.0,2801.0,2828.0,13200,2009-03-27
87,2775.0,2775.0,2775.0,2775.0,6700,2009-03-30
88,2723.0,2802.0,2749.0,2775.0,10800,2009-03-31
89,2828.0,2828.0,2801.0,2801.0,13600,2009-04-01
90,2801.0,3065.0,2877.0,2985.0,60600,2009-04-02
91,3011.0,3089.0,3011.0,3089.0,76700,2009-04-03
92,3273.0,3325.0,3220.0,3299.0,60400,2009-04-07
93,3273.0,3293.0,2987.0,3063.0,49000,2009-04-08
94,3142.0,3060.0,2856.0,2958.0,26300,2009-04-09
95,3220.0,3273.0,3062.0,3246.0,59500,2009-04-10
96,3351.0,3430.0,3351.0,3430.0,118500,2009-04-13
97,3613.0,3528.0,3196.0,3273.0,12200,2009-04-14
98,3194.0,3219.0,3090.0,3142.0,13400,2009-04-15
99,3273.0,3192.0,2988.0,3115.0,12600,2009-04-16
100,3089.0,3089.0,2985.0,2985.0,63900,2009-04-17
101,2801.0,2907.0,2828.0,2828.0,35300,2009-04-20
102,2618.0,2989.0,2717.0,2880.0,6400,2009-04-21
103,2958.0,2958.0,2880.0,2958.0,7500,2009-04-22
104,2958.0,3065.0,2932.0,2958.0,21600,2009-04-23
105,2880.0,2959.0,2827.0,2906.0,61700,2009-04-24
106,2828.0,2906.0,2828.0,2880.0,24400,2009-04-27
107,2880.0,2880.0,2880.0,2880.0,5000,2009-04-28
108,3037.0,3009.0,2802.0,2828.0,1100,2009-04-29
109,2880.0,3090.0,2930.0,3037.0,10100,2009-05-04
110,3168.0,3168.0,3037.0,3142.0,17600,2009-05-05
111,3273.0,3219.0,3116.0,3168.0,2400,2009-05-06
112,3142.0,3195.0,3062.0,3115.0,34700,2009-05-07
113,3063.0,3090.0,3011.0,3037.0,7900,2009-05-08
114,3011.0,3011.0,2958.0,2985.0,6500,2009-05-11
115,2932.0,3143.0,2905.0,3011.0,6300,2009-05-12
116,2985.0,3065.0,2931.0,2985.0,28100,2009-05-13
117,2906.0,3064.0,2905.0,2985.0,25400,2009-05-14
118,3089.0,3116.0,3037.0,3063.0,20100,2009-05-15
119,3115.0,3170.0,3036.0,3063.0,10200,2009-05-18
120,3115.0,3301.0,3086.0,3220.0,99200,2009-05-19
121,3351.0,3351.0,3142.0,3351.0,21300,2009-05-20
122,3534.0,3587.0,3429.0,3561.0,121700,2009-05-21
123,3534.0,3693.0,3324.0,3482.0,41700,2009-05-22
124,3561.0,3718.0,3586.0,3691.0,90800,2009-05-25
125,3875.0,3819.0,3511.0,3639.0,42900,2009-05-26
126,3718.0,3773.0,3534.0,3561.0,64200,2009-05-27
127,3403.0,3535.0,3455.0,3482.0,32700,2009-05-28
128,3456.0,3509.0,3403.0,3456.0,24300,2009-05-29
129,3482.0,3639.0,3482.0,3639.0,42000,2009-06-01
130,3875.0,3901.0,3690.0,3875.0,108100,2009-06-02
131,4110.0,4110.0,4110.0,4110.0,35400,2009-06-03
132,4372.0,4372.0,4372.0,4372.0,22800,2009-06-04
133,4660.0,4660.0,4660.0,4660.0,9600,2009-06-05
134,4974.0,4974.0,4974.0,4974.0,39500,2009-06-08
135,5315.0,5315.0,5315.0,5315.0,74000,2009-06-09
136,5681.0,5708.0,5339.0,5681.0,581500,2009-06-10
137,6048.0,6048.0,6022.0,6048.0,93200,2009-06-11
138,6467.0,6467.0,6414.0,6467.0,132100,2009-06-12
139,6467.0,6691.0,5919.0,6022.0,134700,2009-06-15
140,5707.0,5707.0,5707.0,5707.0,6700,2009-06-16
141,5315.0,5818.0,5418.0,5498.0,90500,2009-06-17
142,5498.0,5651.0,5317.0,5446.0,132000,2009-06-18
143,5917.0,5830.0,5108.0,5288.0,104100,2009-06-19
144,5001.0,5105.0,5001.0,5001.0,12000,2009-06-22
145,4660.0,4660.0,4660.0,4660.0,11900,2009-06-23
146,4346.0,5193.0,4537.0,4974.0,106900,2009-06-24
147,5079.0,4882.0,4303.0,4529.0,61400,2009-06-25
148,4582.0,4740.0,4476.0,4582.0,34600,2009-06-26
149,4555.0,5006.0,4708.0,4843.0,27400,2009-06-29
150,4713.0,4633.0,4504.0,4582.0,17000,2009-06-30
151,4451.0,4451.0,4346.0,4346.0,35100,2009-07-01
152,4477.0,4503.0,4189.0,4477.0,15700,2009-07-02
153,4425.0,4425.0,4320.0,4398.0,31500,2009-07-03
154,4451.0,4766.0,4527.0,4686.0,43500,2009-07-06
155,4608.0,4659.0,4452.0,4555.0,28000,2009-07-07
156,4451.0,4504.0,4371.0,4451.0,4100,2009-07-08
157,4451.0,4555.0,4372.0,4425.0,14100,2009-07-09
158,4189.0,4505.0,4265.0,4398.0,7000,2009-07-10
159,4267.0,4187.0,3982.0,4110.0,8600,2009-07-13
160,4398.0,4372.0,4164.0,4320.0,21700,2009-07-14
161,4529.0,4502.0,4242.0,4372.0,2500,2009-07-15
162,4372.0,4372.0,4241.0,4320.0,16800,2009-07-16
163,4215.0,4293.0,4163.0,4215.0,8700,2009-07-17
164,4189.0,4189.0,4058.0,4084.0,10900,2009-07-20
165,4267.0,4211.0,3875.0,3927.0,10700,2009-07-21
166,4058.0,4058.0,3953.0,3979.0,23500,2009-07-22
167,3875.0,4296.0,3974.0,4189.0,20000,2009-07-23
168,4320.0,4346.0,4320.0,4346.0,20500,2009-07-24
169,4634.0,4579.0,4139.0,4346.0,42100,2009-07-27
170,4189.0,4320.0,4137.0,4163.0,33400,2009-07-28
171,4163.0,4163.0,4084.0,4110.0,18500,2009-07-29
172,3953.0,4216.0,4004.0,4137.0,18100,2009-07-30
173,4189.0,4242.0,4136.0,4189.0,18600,2009-07-31
174,4189.0,4162.0,4058.0,4084.0,6500,2009-08-03
175,4189.0,4216.0,4005.0,4137.0,14400,2009-08-04
176,4110.0,4563.0,4236.0,4372.0,36900,2009-08-05
177,4477.0,4477.0,4477.0,4477.0,20200,2009-08-06
178,4765.0,4791.0,4554.0,4765.0,198400,2009-08-07
179,4765.0,5053.0,4608.0,4713.0,59500,2009-08-10
180,4713.0,4634.0,4505.0,4608.0,20800,2009-08-11
181,4608.0,4686.0,4582.0,4660.0,97800,2009-08-12
182,4765.0,5027.0,4790.0,4974.0,166300,2009-08-13
183,4896.0,5001.0,4869.0,4974.0,30900,2009-08-14
184,4974.0,4867.0,4662.0,4765.0,22300,2009-08-17
185,4765.0,4818.0,4686.0,4765.0,29100,2009-08-18
186,4791.0,4949.0,4790.0,4870.0,48300,2009-08-19
187,4896.0,5001.0,4896.0,4948.0,92400,2009-08-20
188,5105.0,5288.0,5027.0,5262.0,149700,2009-08-21
189,5498.0,5498.0,4922.0,5027.0,19800,2009-08-24
190,4765.0,4843.0,4713.0,4791.0,28900,2009-08-25
191,4791.0,5105.0,4791.0,4974.0,78400,2009-08-26
192,5210.0,5315.0,4948.0,5105.0,113800,2009-08-27
193,5236.0,5105.0,4909.0,5105.0,240500,2009-08-28
194,5498.0,5629.0,5446.0,5524.0,69600,2009-08-31
195,5498.0,5714.0,5362.0,5524.0,34400,2009-09-01
196,5001.0,5210.0,5001.0,5053.0,10500,2009-09-03
197,4948.0,5053.0,4713.0,4843.0,122000,2009-09-04
198,4713.0,4974.0,4713.0,4817.0,63500,2009-09-07
199,5053.0,5053.0,4817.0,4922.0,33000,2009-09-08
200,5105.0,5105.0,4922.0,4948.0,31400,2009-09-09
201,4948.0,5288.0,4713.0,5027.0,77600,2009-09-10
202,5341.0,5367.0,5288.0,5367.0,286900,2009-09-11
203,5734.0,5734.0,5446.0,5707.0,279800,2009-09-14
204,5707.0,5707.0,5341.0,5498.0,83300,2009-09-15
205,5498.0,5707.0,5315.0,5419.0,81300,2009-09-16
206,5472.0,5472.0,5184.0,5315.0,98800,2009-09-17
207,5262.0,5655.0,5236.0,5550.0,107900,2009-09-18
208,5707.0,5707.0,5367.0,5550.0,101500,2009-09-21
209,5367.0,5446.0,5262.0,5341.0,53800,2009-09-22
210,5629.0,5629.0,5262.0,5341.0,99400,2009-09-23
211,5341.0,5707.0,5341.0,5472.0,196500,2009-09-24
212,5838.0,5838.0,5760.0,5838.0,137300,2009-09-25
213,6179.0,6231.0,5943.0,6179.0,319300,2009-09-28
214,6414.0,6414.0,5891.0,5943.0,123000,2009-09-29
215,6022.0,6022.0,5550.0,5734.0,93500,2009-09-30
216,5498.0,5550.0,5367.0,5446.0,109600,2009-10-01
217,5288.0,5288.0,5079.0,5158.0,144800,2009-10-02
218,5367.0,5498.0,5236.0,5341.0,32800,2009-10-05
219,5629.0,5629.0,5236.0,5367.0,32700,2009-10-06
220,5393.0,5498.0,5367.0,5446.0,40200,2009-10-07
221,5393.0,5498.0,5288.0,5419.0,57600,2009-10-08
222,5576.0,5576.0,5419.0,5498.0,54100,2009-10-09
223,5603.0,5864.0,5603.0,5838.0,186500,2009-10-12
224,6152.0,6152.0,5707.0,5812.0,92500,2009-10-13
225,5760.0,6205.0,5760.0,6048.0,301200,2009-10-14
226,6467.0,6467.0,6467.0,6467.0,280100,2009-10-15
