,Open,High,Low,Close,Volume,TradingDate
0,2604.0,2604.0,2604.0,2604.0,30,2011-07-28
1,2474.0,2474.0,2474.0,2474.0,10,2011-07-29
2,2357.0,2357.0,2357.0,2357.0,10,2011-08-01
3,2240.0,2240.0,2240.0,2240.0,10,2011-08-02
4,2136.0,2136.0,2136.0,2136.0,10,2011-08-03
5,2031.0,2031.0,2031.0,2031.0,2990,2011-08-04
6,1940.0,1940.0,1940.0,1940.0,10,2011-08-05
7,1849.0,1849.0,1849.0,1849.0,1200,2011-08-08
8,1758.0,1758.0,1758.0,1758.0,60,2011-08-09
9,1680.0,1680.0,1680.0,1680.0,50,2011-08-10
10,1602.0,1602.0,1602.0,1602.0,110,2011-08-11
11,1537.0,1537.0,1524.0,1524.0,820,2011-08-12
12,1458.0,1589.0,1458.0,1458.0,3550,2011-08-15
13,1393.0,1458.0,1393.0,1393.0,14710,2011-08-16
14,1328.0,1328.0,1328.0,1328.0,15970,2011-08-17
15,1273.0,1273.0,1273.0,1273.0,6930,2011-08-18
16,1328.0,1328.0,1218.0,1218.0,35040,2011-08-19
17,1204.0,1273.0,1204.0,1245.0,55030,2011-08-22
18,1301.0,1301.0,1245.0,1245.0,33840,2011-08-23
19,1190.0,1301.0,1190.0,1245.0,1680,2011-08-24
20,1301.0,1301.0,1245.0,1245.0,10040,2011-08-25
21,1301.0,1301.0,1259.0,1273.0,12660,2011-08-26
22,1328.0,1328.0,1328.0,1328.0,10500,2011-08-29
23,1384.0,1384.0,1384.0,1384.0,10,2011-08-30
24,1453.0,1453.0,1453.0,1453.0,2020,2011-08-31
25,1522.0,1522.0,1522.0,1522.0,130,2011-09-01
26,1591.0,1591.0,1522.0,1577.0,870,2011-09-05
27,1522.0,1522.0,1508.0,1508.0,870,2011-09-06
28,1439.0,1577.0,1439.0,1453.0,7270,2011-09-07
29,1522.0,1522.0,1522.0,1522.0,12020,2011-09-08
30,1577.0,1591.0,1522.0,1522.0,5590,2011-09-09
31,1522.0,1522.0,1522.0,1522.0,10670,2011-09-12
32,1536.0,1536.0,1494.0,1494.0,8860,2011-09-13
33,1494.0,1550.0,1439.0,1550.0,20410,2011-09-14
34,1480.0,1522.0,1480.0,1522.0,7670,2011-09-15
35,1522.0,1522.0,1453.0,1453.0,19040,2011-09-16
36,1453.0,1453.0,1453.0,1453.0,8630,2011-09-19
37,1397.0,1453.0,1397.0,1397.0,10760,2011-09-20
38,1453.0,1467.0,1425.0,1425.0,6510,2011-09-21
39,1425.0,1467.0,1425.0,1467.0,2310,2011-09-22
40,1453.0,1508.0,1411.0,1411.0,13020,2011-09-23
41,1411.0,1467.0,1411.0,1467.0,840,2011-09-26
42,1453.0,1453.0,1453.0,1453.0,50,2011-09-27
43,1397.0,1397.0,1397.0,1397.0,1010,2011-09-28
44,1356.0,1467.0,1328.0,1328.0,1870,2011-09-29
45,1328.0,1384.0,1273.0,1273.0,1130,2011-09-30
46,1218.0,1218.0,1218.0,1218.0,1020,2011-10-03
47,1218.0,1273.0,1190.0,1273.0,2340,2011-10-04
48,1328.0,1328.0,1328.0,1328.0,24460,2011-10-05
49,1384.0,1384.0,1384.0,1384.0,1560,2011-10-06
50,1453.0,1453.0,1453.0,1453.0,6790,2011-10-07
51,1522.0,1522.0,1522.0,1522.0,11380,2011-10-10
52,1591.0,1591.0,1591.0,1591.0,46550,2011-10-11
53,1660.0,1660.0,1522.0,1591.0,17730,2011-10-12
54,1591.0,1591.0,1591.0,1591.0,1800,2011-10-13
55,1522.0,1660.0,1522.0,1660.0,28670,2011-10-14
56,1619.0,1619.0,1577.0,1577.0,3430,2011-10-17
57,1508.0,1591.0,1508.0,1522.0,306060,2011-10-18
58,1522.0,1522.0,1522.0,1522.0,10,2011-10-19
59,1453.0,1522.0,1453.0,1522.0,3010,2011-10-20
60,1522.0,1522.0,1522.0,1522.0,2000,2011-10-21
61,1522.0,1522.0,1522.0,1522.0,0,2011-10-24
62,1467.0,1467.0,1453.0,1453.0,21360,2011-10-25
63,1384.0,1384.0,1384.0,1384.0,14240,2011-10-26
64,1342.0,1342.0,1314.0,1342.0,13160,2011-10-27
65,1314.0,1342.0,1314.0,1342.0,11160,2011-10-28
66,1287.0,1370.0,1287.0,1370.0,6010,2011-10-31
67,1314.0,1314.0,1314.0,1314.0,10080,2011-11-01
68,1259.0,1273.0,1259.0,1273.0,12640,2011-11-02
69,1273.0,1301.0,1245.0,1301.0,14990,2011-11-03
70,1245.0,1314.0,1245.0,1314.0,8000,2011-11-04
71,1259.0,1314.0,1259.0,1314.0,23530,2011-11-07
72,1314.0,1328.0,1301.0,1328.0,820,2011-11-08
73,1328.0,1328.0,1273.0,1273.0,5120,2011-11-09
74,1245.0,1314.0,1245.0,1314.0,12330,2011-11-10
75,1287.0,1287.0,1273.0,1273.0,2010,2011-11-11
76,1259.0,1259.0,1245.0,1259.0,7000,2011-11-14
77,1301.0,1301.0,1301.0,1301.0,1400,2011-11-15
78,1314.0,1314.0,1314.0,1314.0,1000,2011-11-16
79,1328.0,1342.0,1314.0,1328.0,10510,2011-11-17
80,1356.0,1370.0,1314.0,1370.0,10040,2011-11-18
81,1384.0,1425.0,1384.0,1425.0,1040,2011-11-21
82,1494.0,1494.0,1494.0,1494.0,30,2011-11-22
83,1453.0,1453.0,1453.0,1453.0,10,2011-11-23
84,1453.0,1453.0,1453.0,1453.0,0,2011-11-24
85,1384.0,1522.0,1384.0,1384.0,710,2011-11-25
86,1384.0,1384.0,1384.0,1384.0,0,2011-11-28
87,1314.0,1314.0,1314.0,1314.0,12500,2011-11-29
88,1259.0,1370.0,1259.0,1370.0,60,2011-11-30
89,1314.0,1314.0,1314.0,1314.0,30,2011-12-01
90,1356.0,1356.0,1356.0,1356.0,500,2011-12-02
91,1314.0,1314.0,1314.0,1314.0,2040,2011-12-05
92,1314.0,1314.0,1314.0,1314.0,0,2011-12-06
93,1259.0,1328.0,1259.0,1328.0,1010,2011-12-07
94,1314.0,1314.0,1314.0,1314.0,2000,2011-12-08
95,1314.0,1314.0,1314.0,1314.0,700,2011-12-09
96,1301.0,1301.0,1259.0,1259.0,7140,2011-12-12
97,1273.0,1273.0,1273.0,1273.0,1500,2011-12-13
98,1287.0,1287.0,1287.0,1287.0,10,2011-12-14
99,1231.0,1342.0,1231.0,1342.0,2020,2011-12-15
100,1314.0,1397.0,1287.0,1397.0,4020,2011-12-16
101,1328.0,1328.0,1328.0,1328.0,600,2011-12-19
102,1273.0,1273.0,1273.0,1273.0,8840,2011-12-20
103,1314.0,1314.0,1273.0,1273.0,1010,2011-12-21
104,1273.0,1273.0,1273.0,1273.0,0,2011-12-22
105,1218.0,1245.0,1218.0,1245.0,16070,2011-12-23
106,1190.0,1190.0,1190.0,1190.0,500,2011-12-26
107,1135.0,1135.0,1135.0,1135.0,1000,2011-12-27
108,1135.0,1135.0,1135.0,1135.0,0,2011-12-28
109,1190.0,1190.0,1176.0,1176.0,2480,2011-12-29
110,1231.0,1231.0,1231.0,1231.0,10,2011-12-30
111,1231.0,1231.0,1231.0,1231.0,0,2012-01-03
112,1287.0,1287.0,1287.0,1287.0,10,2012-01-04
113,1287.0,1287.0,1287.0,1287.0,890,2012-01-05
114,1287.0,1287.0,1287.0,1287.0,0,2012-01-06
115,1314.0,1314.0,1314.0,1314.0,10,2012-01-09
116,1356.0,1356.0,1356.0,1356.0,10,2012-01-10
117,1301.0,1301.0,1301.0,1301.0,20,2012-01-11
118,1245.0,1245.0,1245.0,1245.0,10000,2012-01-12
119,1190.0,1190.0,1190.0,1190.0,10,2012-01-13
