,Open,High,Low,Close,Volume,TradingDate
0,23920.0,24000.0,22000.0,24000.0,2041600,2021-01-06
1,25680.0,25680.0,25680.0,25680.0,382300,2021-01-07
2,27440.0,27440.0,27440.0,27440.0,340500,2021-01-08
3,29360.0,29360.0,26400.0,27600.0,972000,2021-01-11
4,27600.0,28480.0,26640.0,28480.0,561800,2021-01-12
5,28720.0,28800.0,27200.0,27840.0,516800,2021-01-13
6,28000.0,28000.0,27320.0,27800.0,293600,2021-01-14
7,27480.0,27800.0,27000.0,27080.0,318400,2021-01-15
8,26880.0,26880.0,25200.0,25200.0,937000,2021-01-18
9,24640.0,24800.0,23440.0,23440.0,447800,2021-01-19
10,22000.0,23200.0,21920.0,23040.0,240200,2021-01-20
11,23040.0,24480.0,23040.0,24000.0,202300,2021-01-21
12,24000.0,24000.0,23200.0,23600.0,184300,2021-01-22
13,23600.0,23600.0,22680.0,22960.0,207500,2021-01-25
14,22880.0,22880.0,21640.0,21760.0,115100,2021-01-26
15,21760.0,22560.0,21200.0,21760.0,205400,2021-01-27
16,20800.0,22160.0,20240.0,20240.0,265800,2021-01-28
17,21200.0,21600.0,20560.0,21000.0,166000,2021-01-29
18,21000.0,21200.0,19560.0,20480.0,369900,2021-02-01
19,20640.0,21040.0,19920.0,20800.0,88900,2021-02-02
20,20800.0,22200.0,20640.0,22200.0,364700,2021-02-03
21,22320.0,22360.0,21600.0,21600.0,211200,2021-02-04
22,21600.0,21600.0,21200.0,21600.0,132300,2021-02-05
23,21600.0,21960.0,20800.0,21320.0,125500,2021-02-08
24,21240.0,21600.0,20880.0,21360.0,97000,2021-02-09
25,21600.0,21600.0,21280.0,21560.0,101700,2021-02-17
26,21600.0,21600.0,21200.0,21600.0,148900,2021-02-18
27,21600.0,21600.0,21280.0,21600.0,75700,2021-02-19
28,21600.0,22080.0,21360.0,22000.0,288300,2021-02-22
29,22000.0,23520.0,22000.0,23520.0,646600,2021-02-23
30,24040.0,25160.0,24040.0,24720.0,372800,2021-02-24
31,24720.0,24720.0,23920.0,24000.0,401500,2021-02-25
32,23600.0,24000.0,23200.0,23720.0,200300,2021-02-26
33,23720.0,23840.0,22800.0,23840.0,285100,2021-03-01
34,23520.0,23720.0,23040.0,23440.0,101100,2021-03-02
35,23200.0,23360.0,22760.0,23360.0,238000,2021-03-03
36,23280.0,23680.0,22720.0,22800.0,146100,2021-03-04
37,22480.0,23040.0,22400.0,22800.0,112100,2021-03-05
38,22880.0,23120.0,22120.0,22800.0,196600,2021-03-08
39,22400.0,22760.0,22400.0,22400.0,108100,2021-03-09
40,22920.0,22920.0,22320.0,22720.0,137800,2021-03-10
41,22720.0,22720.0,22320.0,22640.0,308700,2021-03-11
42,22800.0,22800.0,22240.0,22480.0,174400,2021-03-12
43,22480.0,23600.0,22400.0,23520.0,238700,2021-03-15
44,23520.0,23520.0,22400.0,23160.0,241500,2021-03-16
45,23160.0,23520.0,22880.0,23040.0,253000,2021-03-17
46,23040.0,23200.0,22800.0,23040.0,170100,2021-03-18
47,22800.0,23120.0,22640.0,22800.0,153900,2021-03-19
48,22800.0,23120.0,22400.0,22720.0,160600,2021-03-22
49,22720.0,22720.0,22240.0,22560.0,158500,2021-03-23
50,22400.0,22400.0,22000.0,22400.0,139200,2021-03-24
51,22400.0,22400.0,21920.0,22400.0,102800,2021-03-25
52,22320.0,22320.0,21440.0,21960.0,64300,2021-03-26
53,22000.0,22280.0,21600.0,22080.0,85600,2021-03-29
54,22000.0,22000.0,21600.0,22000.0,128600,2021-03-30
55,22000.0,22560.0,22000.0,22240.0,147600,2021-03-31
56,22400.0,22400.0,22080.0,22400.0,81000,2021-04-01
57,22400.0,23040.0,22400.0,22800.0,279900,2021-04-02
58,22880.0,23200.0,22720.0,22960.0,186800,2021-04-05
59,22960.0,22960.0,22560.0,22640.0,143900,2021-04-06
60,22640.0,22800.0,22400.0,22640.0,124700,2021-04-07
61,22640.0,22640.0,22240.0,22440.0,186000,2021-04-08
62,22480.0,22640.0,22400.0,22640.0,160900,2021-04-09
63,22640.0,24000.0,22640.0,23720.0,458200,2021-04-12
64,23920.0,23920.0,22800.0,23200.0,104400,2021-04-13
65,23200.0,23480.0,22720.0,23360.0,169700,2021-04-14
66,23360.0,23360.0,22800.0,23120.0,164800,2021-04-15
67,23120.0,23160.0,22800.0,23120.0,193600,2021-04-16
68,23040.0,23040.0,22560.0,22720.0,104600,2021-04-19
