,Open,High,Low,Close,Volume,TradingDate
0,10897.0,12474.0,10515.0,12474.0,5124680,2017-05-29
1,12666.0,13335.0,12474.0,12857.0,4453270,2017-05-30
2,12905.0,13239.0,12283.0,12283.0,1562860,2017-05-31
3,11471.0,11471.0,11471.0,11471.0,743410,2017-06-01
4,10706.0,10706.0,10706.0,10706.0,924640,2017-06-02
5,9989.0,10180.0,9989.0,9989.0,2266580,2017-06-05
6,9291.0,9655.0,9291.0,9330.0,4493100,2017-06-06
7,9349.0,9798.0,9272.0,9387.0,1339010,2017-06-07
8,9224.0,9387.0,8737.0,8737.0,725280,2017-06-08
9,8135.0,8316.0,8135.0,8173.0,1217110,2017-06-09
10,7934.0,8125.0,7743.0,7886.0,474890,2017-06-12
11,7886.0,8010.0,7743.0,7886.0,441090,2017-06-13
12,7896.0,8288.0,7838.0,8269.0,714910,2017-06-14
13,8221.0,8412.0,8125.0,8393.0,552760,2017-06-15
14,8393.0,8794.0,8230.0,8622.0,1020660,2017-06-16
15,8555.0,8718.0,8555.0,8632.0,309490,2017-06-19
16,8632.0,8699.0,8460.0,8632.0,323580,2017-06-20
17,8508.0,8746.0,8508.0,8699.0,351730,2017-06-21
18,8699.0,9224.0,8699.0,9196.0,1053230,2017-06-22
19,9196.0,9798.0,9081.0,9750.0,1688050,2017-06-23
20,9894.0,10228.0,9444.0,9559.0,1083220,2017-06-26
21,9655.0,9846.0,9349.0,9463.0,639010,2017-06-27
22,9416.0,9559.0,9253.0,9463.0,560480,2017-06-28
23,9444.0,10085.0,9368.0,10085.0,2766130,2017-06-29
24,10180.0,10754.0,9846.0,10754.0,3403220,2017-06-30
25,10849.0,10993.0,10419.0,10610.0,1445620,2017-07-03
26,10515.0,11088.0,9894.0,10037.0,1766700,2017-07-04
27,9750.0,10037.0,9349.0,9416.0,444190,2017-07-05
28,9416.0,9846.0,9177.0,9483.0,679320,2017-07-06
29,9483.0,9750.0,9416.0,9540.0,561300,2017-07-07
30,9463.0,9798.0,9368.0,9798.0,456150,2017-07-10
31,9798.0,9894.0,9463.0,9655.0,392960,2017-07-11
32,9559.0,9750.0,9416.0,9463.0,230490,2017-07-12
33,9368.0,9750.0,9368.0,9463.0,405440,2017-07-13
34,9463.0,9463.0,8947.0,9463.0,366250,2017-07-14
35,9511.0,9846.0,9463.0,9702.0,2633310,2017-07-17
36,9702.0,9750.0,9463.0,9559.0,128910,2017-07-18
37,9559.0,9750.0,9368.0,9368.0,240410,2017-07-19
38,9559.0,9559.0,9081.0,9320.0,197230,2017-07-20
39,9272.0,9511.0,9272.0,9320.0,360270,2017-07-21
40,9320.0,9483.0,9177.0,9483.0,266380,2017-07-24
41,9483.0,9549.0,9320.0,9549.0,261490,2017-07-25
42,9549.0,9655.0,9052.0,9463.0,821370,2017-07-26
43,9483.0,10085.0,9368.0,10085.0,2351700,2017-07-27
44,10180.0,10754.0,9989.0,10085.0,2347610,2017-07-28
45,9846.0,10133.0,9387.0,9549.0,1838920,2017-07-31
46,9549.0,9549.0,8890.0,8890.0,2051260,2017-08-01
47,8269.0,8794.0,8269.0,8269.0,1631670,2017-08-02
48,7695.0,7934.0,7695.0,7867.0,2490530,2017-08-03
49,7886.0,8412.0,7886.0,8412.0,3140940,2017-08-04
50,8527.0,8527.0,7829.0,8221.0,1982240,2017-08-07
51,7743.0,8116.0,7647.0,7647.0,1967520,2017-08-08
52,7169.0,7647.0,7112.0,7112.0,2128050,2017-08-09
53,6624.0,7265.0,6624.0,7074.0,1396910,2017-08-10
54,6882.0,7121.0,6835.0,7074.0,933540,2017-08-11
55,7074.0,7380.0,6806.0,7313.0,1706900,2017-08-14
56,7456.0,7724.0,7045.0,7217.0,1541170,2017-08-15
57,6978.0,7169.0,6825.0,7169.0,787130,2017-08-16
58,7074.0,7074.0,6768.0,6768.0,770010,2017-08-17
59,6691.0,6691.0,6462.0,6596.0,921790,2017-08-18
60,6644.0,6682.0,6500.0,6634.0,267900,2017-08-21
61,6510.0,6672.0,6510.0,6644.0,456170,2017-08-22
62,6500.0,6768.0,6500.0,6682.0,317920,2017-08-23
63,6682.0,6787.0,6529.0,6768.0,452990,2017-08-24
64,6787.0,6949.0,6739.0,6835.0,741370,2017-08-25
65,6835.0,6911.0,6596.0,6644.0,537680,2017-08-28
66,6691.0,6787.0,6596.0,6605.0,538320,2017-08-29
67,6596.0,6863.0,6567.0,6682.0,818640,2017-08-30
68,6691.0,6806.0,6605.0,6634.0,378370,2017-08-31
69,6634.0,6787.0,6596.0,6691.0,1077600,2017-09-01
70,6653.0,6720.0,6644.0,6663.0,545020,2017-09-05
71,6663.0,6720.0,6663.0,6691.0,664750,2017-09-06
72,6672.0,6739.0,6596.0,6701.0,778610,2017-09-07
73,6720.0,6787.0,6672.0,6739.0,587130,2017-09-08
74,6749.0,7179.0,6749.0,7083.0,1592140,2017-09-11
75,7074.0,7169.0,6863.0,6863.0,704040,2017-09-12
76,6882.0,7026.0,6777.0,6911.0,646750,2017-09-13
77,6892.0,6930.0,6787.0,6835.0,264760,2017-09-14
78,6749.0,6835.0,6749.0,6787.0,355240,2017-09-15
79,6768.0,6825.0,6739.0,6806.0,346530,2017-09-18
80,6796.0,6949.0,6796.0,6816.0,448760,2017-09-19
81,6825.0,6863.0,6739.0,6758.0,492470,2017-09-20
82,6787.0,6873.0,6739.0,6873.0,427660,2017-09-21
83,6873.0,6930.0,6796.0,6796.0,591970,2017-09-22
84,6816.0,6816.0,6739.0,6739.0,284460,2017-09-25
85,6768.0,6796.0,6720.0,6768.0,312130,2017-09-26
86,6768.0,6768.0,6701.0,6739.0,192190,2017-09-27
87,6749.0,6873.0,6691.0,6787.0,791770,2017-09-28
88,6787.0,6787.0,6682.0,6739.0,943860,2017-09-29
89,6739.0,6739.0,6596.0,6691.0,135980,2017-10-02
90,6691.0,6739.0,6510.0,6596.0,176650,2017-10-03
91,6624.0,6644.0,6500.0,6624.0,673500,2017-10-04
92,6557.0,6663.0,6548.0,6644.0,676660,2017-10-05
93,6624.0,6653.0,6596.0,6624.0,286720,2017-10-06
94,6644.0,6644.0,6596.0,6596.0,161180,2017-10-09
95,6644.0,6644.0,6548.0,6548.0,139180,2017-10-10
96,6529.0,6596.0,6510.0,6529.0,350840,2017-10-11
97,6548.0,6557.0,6500.0,6519.0,207880,2017-10-12
98,6529.0,6529.0,6491.0,6510.0,259350,2017-10-13
99,6510.0,6529.0,6299.0,6395.0,177910,2017-10-16
100,6357.0,6395.0,6261.0,6357.0,353210,2017-10-17
101,6338.0,6596.0,6309.0,6500.0,782260,2017-10-18
102,6500.0,6577.0,6452.0,6548.0,706390,2017-10-19
103,6548.0,6548.0,6357.0,6357.0,173040,2017-10-20
104,6433.0,6433.0,6013.0,6213.0,275950,2017-10-23
105,6213.0,6309.0,6166.0,6194.0,309180,2017-10-24
106,6213.0,6261.0,6118.0,6213.0,158810,2017-10-25
107,6213.0,6261.0,6022.0,6213.0,365880,2017-10-26
108,6213.0,6261.0,6118.0,6261.0,804130,2017-10-27
109,6261.0,6338.0,6213.0,6280.0,1078720,2017-10-30
110,6261.0,6309.0,6022.0,6213.0,165350,2017-10-31
111,6166.0,6213.0,6118.0,6194.0,122650,2017-11-01
112,6194.0,6194.0,6022.0,6108.0,165320,2017-11-02
113,6070.0,6118.0,5879.0,5927.0,462560,2017-11-03
114,5927.0,6022.0,5917.0,6013.0,893890,2017-11-06
115,6013.0,6185.0,5927.0,6185.0,652880,2017-11-07
116,6166.0,6347.0,6118.0,6261.0,706400,2017-11-08
117,6261.0,6271.0,6166.0,6261.0,700320,2017-11-09
118,6261.0,6280.0,6118.0,6194.0,266590,2017-11-10
119,6118.0,6232.0,6118.0,6232.0,176490,2017-11-13
120,6232.0,6261.0,6070.0,6156.0,729560,2017-11-14
121,6118.0,6309.0,6089.0,6309.0,1409050,2017-11-15
122,6318.0,6424.0,6261.0,6405.0,788570,2017-11-16
123,6414.0,6452.0,6290.0,6357.0,385230,2017-11-17
124,6357.0,6385.0,6252.0,6309.0,478850,2017-11-20
125,6309.0,6462.0,6185.0,6309.0,682310,2017-11-21
126,6309.0,6376.0,6166.0,6309.0,333310,2017-11-22
127,6318.0,6347.0,6213.0,6309.0,185790,2017-11-23
128,6309.0,6357.0,6118.0,6357.0,562570,2017-11-24
129,6318.0,6452.0,6166.0,6405.0,1291510,2017-11-27
