,Open,High,Low,Close,Volume,TradingDate
0,9569.0,9569.0,8414.0,8500.0,2000,2017-07-17
1,8249.0,8249.0,8249.0,8200.0,300,2017-07-18
2,8249.0,8249.0,8249.0,8200.0,10,2017-07-19
3,7094.0,7094.0,7094.0,7100.0,200,2017-07-20
4,6187.0,6187.0,6187.0,6200.0,200,2017-07-21
5,5279.0,5362.0,5279.0,5300.0,2900,2017-07-24
6,6022.0,6022.0,6022.0,6000.0,800,2017-07-25
7,5774.0,5774.0,5197.0,5700.0,3900,2017-07-26
8,6517.0,6517.0,6517.0,6500.0,100,2017-07-27
9,6517.0,6517.0,6517.0,6500.0,100,2017-07-28
10,5609.0,5609.0,5609.0,5600.0,100,2017-07-31
11,5774.0,5774.0,4784.0,5100.0,3700,2017-08-01
12,4372.0,5692.0,4372.0,5100.0,1700,2017-08-02
13,5114.0,5114.0,5114.0,5100.0,0,2017-08-03
14,4454.0,4454.0,4454.0,4500.0,300,2017-08-04
15,4454.0,4454.0,4454.0,4500.0,0,2017-08-07
16,4125.0,4125.0,4125.0,4100.0,200,2017-08-08
17,3795.0,3795.0,3795.0,3800.0,100,2017-08-09
18,3382.0,3382.0,3382.0,3400.0,300,2017-08-10
19,3877.0,3877.0,3877.0,3900.0,800,2017-08-11
20,3877.0,3877.0,3877.0,3900.0,0,2017-08-14
21,4454.0,4454.0,4454.0,4500.0,100,2017-08-15
22,5114.0,5114.0,5114.0,5100.0,100,2017-08-16
23,5857.0,5857.0,5857.0,5900.0,200,2017-08-17
24,6682.0,6682.0,6599.0,6600.0,2800,2017-08-18
25,6599.0,7589.0,6187.0,6900.0,4000,2017-08-21
26,6929.0,7507.0,6929.0,7400.0,800,2017-08-22
27,6929.0,6929.0,6929.0,6900.0,2000,2017-08-23
28,5939.0,5939.0,5939.0,5900.0,200,2017-08-24
29,6599.0,6764.0,6599.0,6600.0,13200,2017-08-25
30,6599.0,6764.0,6599.0,6600.0,7000,2017-08-28
31,7507.0,7507.0,7507.0,7500.0,100,2017-08-29
32,6599.0,6599.0,6599.0,6600.0,1000,2017-08-30
33,6599.0,6599.0,6599.0,6600.0,3400,2017-08-31
34,6599.0,6599.0,6599.0,6600.0,5000,2017-09-01
35,6682.0,6682.0,6599.0,6600.0,2900,2017-09-05
36,6599.0,6599.0,6599.0,6600.0,3100,2017-09-06
37,6682.0,6682.0,6599.0,6600.0,3300,2017-09-07
38,7012.0,7672.0,6682.0,7300.0,2900,2017-09-08
39,7342.0,7424.0,6764.0,7400.0,1500,2017-09-11
40,8249.0,8414.0,6847.0,8300.0,3100,2017-09-12
41,7094.0,7424.0,7094.0,7200.0,3300,2017-09-13
42,8249.0,8249.0,7094.0,8200.0,7400,2017-09-14
43,8991.0,8991.0,8991.0,9000.0,100,2017-09-15
44,8662.0,8662.0,8662.0,8700.0,1000,2017-09-18
45,8662.0,8662.0,8662.0,8700.0,0,2017-09-19
46,8662.0,8662.0,8497.0,8700.0,4600,2017-09-20
47,7672.0,7672.0,7672.0,7700.0,100,2017-09-21
48,7012.0,7012.0,7012.0,7000.0,100,2017-09-22
49,6764.0,6764.0,6764.0,6800.0,100,2017-09-25
50,7754.0,7754.0,7754.0,7800.0,500,2017-09-26
51,7754.0,7754.0,7754.0,7800.0,0,2017-09-27
52,7424.0,7424.0,7424.0,7400.0,3900,2017-09-28
53,7424.0,7424.0,7424.0,7400.0,1300,2017-09-29
54,7424.0,7424.0,7424.0,7400.0,0,2017-10-02
55,7424.0,7424.0,7424.0,7400.0,0,2017-10-03
56,6764.0,6847.0,6764.0,6800.0,3600,2017-10-04
57,6847.0,6847.0,6847.0,6800.0,0,2017-10-05
58,6847.0,6847.0,6847.0,6800.0,0,2017-10-06
59,6847.0,6847.0,6847.0,6800.0,0,2017-10-09
60,6847.0,6847.0,6847.0,6800.0,0,2017-10-10
61,6847.0,6847.0,6847.0,6800.0,0,2017-10-11
62,6847.0,6847.0,6847.0,6800.0,0,2017-10-12
63,7012.0,7012.0,7012.0,7000.0,1800,2017-10-13
64,7012.0,7012.0,7012.0,7000.0,0,2017-10-16
65,7012.0,7012.0,7012.0,7000.0,0,2017-10-17
66,7012.0,7012.0,7012.0,7000.0,0,2017-10-18
67,7012.0,7012.0,7012.0,7000.0,0,2017-10-19
68,7012.0,7012.0,7012.0,7000.0,1300,2017-10-20
69,7012.0,7012.0,7012.0,7000.0,0,2017-10-23
