,Open,High,Low,Close,Volume,TradingDate
0,11212.0,11240.0,9223.0,10235.0,550000,2015-01-26
1,9775.0,10142.0,9173.0,9257.0,75800,2015-01-27
2,9200.0,9140.0,8914.0,9085.0,179400,2015-01-28
3,8912.0,8318.0,7481.0,8222.0,249200,2015-01-29
4,8222.0,8912.0,8222.0,8682.0,26300,2015-01-30
5,8682.0,8617.0,7989.0,8510.0,8700,2015-02-02
6,8625.0,8978.0,8320.0,8395.0,10300,2015-02-03
7,7935.0,8834.0,8290.0,8395.0,10200,2015-02-04
8,8222.0,8562.0,8273.0,8452.0,145900,2015-02-05
9,8625.0,8613.0,8165.0,8395.0,1100,2015-02-06
10,8395.0,8449.0,8334.0,8395.0,3900,2015-02-09
11,7820.0,8126.0,7618.0,7762.0,9100,2015-02-10
12,8107.0,8328.0,8152.0,8165.0,9000,2015-02-11
13,8050.0,8182.0,8066.0,8107.0,5700,2015-02-12
14,8050.0,8050.0,8050.0,8050.0,5300,2015-02-13
15,8050.0,7993.0,7936.0,7992.0,6100,2015-02-24
16,7992.0,7947.0,7722.0,7877.0,28800,2015-02-25
17,7877.0,7894.0,7721.0,7762.0,10800,2015-02-26
18,7705.0,8019.0,7730.0,7820.0,11400,2015-02-27
19,7820.0,7806.0,7749.0,7762.0,35200,2015-03-02
20,7820.0,8642.0,8159.0,8222.0,17600,2015-03-03
21,8165.0,8057.0,7773.0,7877.0,3200,2015-03-04
22,7877.0,8072.0,7840.0,7877.0,9800,2015-03-05
23,7820.0,8415.0,7948.0,8280.0,20700,2015-03-06
24,8567.0,8119.0,7629.0,8050.0,7500,2015-03-09
25,8280.0,8559.0,8145.0,8337.0,12700,2015-03-10
26,8050.0,8330.0,8042.0,8165.0,63000,2015-03-11
27,8165.0,9183.0,8359.0,8970.0,292000,2015-03-12
28,8970.0,9054.0,8825.0,8912.0,72200,2015-03-13
29,8740.0,8836.0,8665.0,8740.0,94700,2015-03-16
30,8567.0,9199.0,8621.0,9027.0,112000,2015-03-17
31,9085.0,9385.0,9150.0,9200.0,95600,2015-03-18
32,9142.0,9587.0,9238.0,9372.0,154700,2015-03-19
33,9372.0,9293.0,9122.0,9200.0,117800,2015-03-20
34,9200.0,9249.0,8962.0,9085.0,138000,2015-03-23
35,9085.0,9179.0,8540.0,8970.0,188900,2015-03-24
36,9200.0,9816.0,9061.0,9315.0,208800,2015-03-25
37,9430.0,9614.0,9207.0,9430.0,166800,2015-03-26
38,9372.0,9416.0,9189.0,9315.0,127200,2015-03-27
39,9315.0,9086.0,8693.0,8912.0,154000,2015-03-30
40,8912.0,9133.0,8848.0,9027.0,84100,2015-03-31
41,9027.0,9028.0,8683.0,8912.0,76800,2015-04-01
42,8912.0,9675.0,9144.0,9430.0,161500,2015-04-02
43,9487.0,9940.0,9423.0,9775.0,299700,2015-04-03
44,9775.0,9824.0,9708.0,9775.0,94300,2015-04-06
45,9717.0,9841.0,9667.0,9775.0,78000,2015-04-07
46,9717.0,9698.0,9469.0,9545.0,98300,2015-04-08
47,9545.0,9773.0,9305.0,9602.0,118500,2015-04-09
48,9602.0,9725.0,9495.0,9602.0,145800,2015-04-10
49,9602.0,9704.0,9413.0,9545.0,85800,2015-04-13
50,9545.0,9425.0,9254.0,9372.0,69300,2015-04-14
51,9372.0,9619.0,9331.0,9430.0,150400,2015-04-15
52,9430.0,9588.0,9472.0,9487.0,63500,2015-04-16
53,9487.0,9679.0,9563.0,9602.0,112700,2015-04-17
54,9602.0,9642.0,9584.0,9602.0,59500,2015-04-20
55,9602.0,9590.0,9533.0,9545.0,26600,2015-04-21
56,9545.0,9494.0,9380.0,9430.0,28900,2015-04-22
57,9430.0,9493.0,9377.0,9430.0,32500,2015-04-23
58,9430.0,9506.0,9390.0,9430.0,18200,2015-04-24
59,9430.0,9578.0,9462.0,9487.0,34300,2015-04-27
60,9487.0,9485.0,8853.0,9200.0,102600,2015-05-04
61,9430.0,9430.0,9430.0,9430.0,200,2015-05-05
62,9430.0,9430.0,9430.0,9430.0,0,2015-05-06
63,9085.0,8713.0,8272.0,8625.0,500,2015-05-07
64,9085.0,7877.0,6830.0,7877.0,300,2015-05-08
65,8452.0,8730.0,8017.0,8050.0,11900,2015-05-11
66,7762.0,9840.0,8740.0,8740.0,16500,2015-05-12
67,8050.0,9364.0,8552.0,8625.0,20500,2015-05-13
68,7992.0,9366.0,8486.0,8567.0,28500,2015-05-14
69,8050.0,9309.0,8434.0,8567.0,50100,2015-05-15
70,7935.0,8279.0,7983.0,8050.0,55200,2015-05-18
71,8050.0,8349.0,7872.0,8050.0,26900,2015-05-19
72,7762.0,8367.0,7954.0,8050.0,97400,2015-05-20
73,7820.0,7971.0,7798.0,7877.0,29800,2015-05-21
74,7877.0,8866.0,8098.0,8625.0,193100,2015-05-22
75,8740.0,9103.0,8751.0,8912.0,100400,2015-05-25
76,8740.0,8604.0,7873.0,8050.0,169800,2015-05-26
77,7877.0,8460.0,8045.0,8222.0,145400,2015-05-27
78,8050.0,8887.0,8235.0,8510.0,76600,2015-05-28
79,8337.0,8098.0,7651.0,7877.0,85400,2015-05-29
80,7935.0,8670.0,8195.0,8395.0,135600,2015-06-01
81,8625.0,9035.0,8511.0,8625.0,310200,2015-06-02
82,8625.0,8644.0,8355.0,8452.0,132000,2015-06-03
83,8452.0,8487.0,8314.0,8395.0,126200,2015-06-04
84,8337.0,8490.0,8261.0,8337.0,223200,2015-06-05
85,9167.0,9077.0,8407.0,8716.0,50700,2015-06-08
86,8716.0,9211.0,8750.0,8942.0,83600,2015-06-09
87,9167.0,9602.0,8821.0,9017.0,72600,2015-06-10
88,9092.0,9420.0,8802.0,8867.0,53800,2015-06-11
89,8942.0,9070.0,8765.0,8867.0,9500,2015-06-12
90,8867.0,8881.0,8655.0,8716.0,17400,2015-06-15
91,8641.0,8625.0,8550.0,8566.0,38400,2015-06-16
92,8566.0,8902.0,8043.0,8341.0,109500,2015-06-17
93,8491.0,8590.0,8438.0,8491.0,8300,2015-06-18
94,8491.0,8589.0,8438.0,8491.0,32400,2015-06-19
95,8491.0,8552.0,8402.0,8416.0,43400,2015-06-22
96,8491.0,8625.0,8396.0,8491.0,32600,2015-06-23
97,8491.0,8562.0,8486.0,8491.0,19700,2015-06-24
98,8566.0,8664.0,8436.0,8491.0,37100,2015-06-25
99,8491.0,8814.0,8507.0,8566.0,76000,2015-06-26
100,8716.0,8702.0,8402.0,8491.0,38900,2015-06-29
101,8566.0,8573.0,7896.0,8416.0,20500,2015-06-30
102,8491.0,8392.0,8169.0,8266.0,16200,2015-07-01
103,8341.0,8530.0,8299.0,8341.0,33700,2015-07-02
104,8416.0,8423.0,8272.0,8341.0,11500,2015-07-03
105,8341.0,8417.0,8190.0,8266.0,6800,2015-07-06
106,8190.0,8262.0,8187.0,8190.0,3100,2015-07-07
107,8190.0,8379.0,7995.0,8115.0,26700,2015-07-08
108,8115.0,7753.0,7394.0,7740.0,15100,2015-07-09
109,8115.0,8165.0,7862.0,7965.0,18100,2015-07-10
110,8115.0,8101.0,7576.0,7589.0,49100,2015-07-13
111,7890.0,7815.0,7740.0,7815.0,3200,2015-07-14
112,7740.0,8152.0,7842.0,7890.0,7400,2015-07-15
113,7815.0,7886.0,7583.0,7664.0,50700,2015-07-16
114,7664.0,7911.0,7759.0,7815.0,56200,2015-07-17
115,7815.0,7991.0,7684.0,7740.0,10300,2015-07-20
116,7815.0,7831.0,7530.0,7664.0,12500,2015-07-21
117,7815.0,7924.0,7620.0,7664.0,14300,2015-07-22
118,7815.0,7817.0,7667.0,7740.0,13200,2015-07-23
119,7815.0,7726.0,7429.0,7514.0,9800,2015-07-24
120,8115.0,8269.0,7580.0,7664.0,10400,2015-07-27
121,7664.0,7736.0,7585.0,7589.0,3300,2015-07-28
122,7815.0,7866.0,7640.0,7664.0,1000,2015-07-29
123,7589.0,7586.0,7510.0,7514.0,2200,2015-07-30
124,7589.0,7651.0,7575.0,7589.0,3100,2015-07-31
125,7664.0,7725.0,7573.0,7589.0,2000,2015-08-03
126,7664.0,7690.0,7464.0,7514.0,2300,2015-08-04
127,7514.0,7649.0,7343.0,7439.0,10800,2015-08-05
128,7664.0,7710.0,7407.0,7439.0,13600,2015-08-06
129,7514.0,7554.0,7328.0,7364.0,6700,2015-08-07
130,7364.0,7560.0,7258.0,7514.0,11210,2015-08-10
131,7514.0,7573.0,7194.0,7289.0,6850,2015-08-11
132,7439.0,7399.0,7250.0,7289.0,5400,2015-08-12
133,7289.0,7415.0,7340.0,7364.0,21400,2015-08-13
134,7289.0,7592.0,7439.0,7439.0,2600,2015-08-14
135,7439.0,7602.0,7295.0,7364.0,6000,2015-08-17
136,7364.0,7359.0,7284.0,7289.0,3400,2015-08-18
137,7289.0,7574.0,7421.0,7439.0,10900,2015-08-19
