,Open,High,Low,Close,Volume,TradingDate
0,29119.0,29119.0,29119.0,29100.0,0,2017-02-06
1,29119.0,29119.0,29119.0,29100.0,0,2017-02-07
2,29119.0,29119.0,29119.0,29100.0,0,2017-02-08
3,36849.0,36849.0,28587.0,28700.0,10000,2017-02-09
4,28670.0,28670.0,28670.0,28700.0,0,2017-02-10
5,28670.0,28670.0,28670.0,28700.0,0,2017-02-13
6,28670.0,28670.0,28670.0,28700.0,0,2017-02-14
7,32901.0,32901.0,32901.0,32900.0,100,2017-02-15
8,32901.0,32901.0,32901.0,32900.0,0,2017-02-16
9,30342.0,34363.0,30342.0,32400.0,4000,2017-02-17
10,31073.0,31073.0,31073.0,31100.0,1500,2017-02-20
11,31073.0,31073.0,31073.0,31100.0,0,2017-02-21
12,31073.0,31073.0,31073.0,31100.0,0,2017-02-22
13,32901.0,33998.0,32901.0,33300.0,2500,2017-02-23
14,33340.0,33340.0,33340.0,33300.0,0,2017-02-24
15,28587.0,28587.0,28587.0,28600.0,200,2017-02-27
16,32828.0,32828.0,24347.0,32300.0,4800,2017-02-28
17,32298.0,32298.0,32298.0,32300.0,0,2017-03-01
18,32298.0,32298.0,32298.0,32300.0,0,2017-03-02
19,32298.0,32298.0,32298.0,32300.0,0,2017-03-03
20,29392.0,29392.0,29392.0,29400.0,100,2017-03-06
21,33778.0,33778.0,29392.0,33400.0,3300,2017-03-07
22,33380.0,33380.0,33380.0,33400.0,0,2017-03-08
23,33380.0,33380.0,33380.0,33400.0,0,2017-03-09
24,33380.0,33380.0,33380.0,33400.0,0,2017-03-10
25,33380.0,33380.0,33380.0,33400.0,0,2017-03-13
26,36557.0,36557.0,36557.0,36600.0,100,2017-03-14
27,36557.0,36557.0,36557.0,36600.0,0,2017-03-15
28,36557.0,36557.0,36557.0,36600.0,0,2017-03-16
29,31073.0,31073.0,31073.0,31100.0,100,2017-03-17
30,29684.0,29684.0,29684.0,29700.0,200,2017-03-20
31,34071.0,34071.0,29684.0,34100.0,200,2017-03-21
32,36557.0,36557.0,36557.0,36600.0,800,2017-03-22
33,36557.0,36557.0,36557.0,36600.0,0,2017-03-23
34,31146.0,31146.0,31146.0,31100.0,100,2017-03-24
35,31146.0,31146.0,31146.0,31100.0,0,2017-03-27
36,31146.0,31146.0,31146.0,31100.0,0,2017-03-28
37,35752.0,35752.0,35752.0,35800.0,1000,2017-03-29
38,36557.0,36557.0,36557.0,36600.0,700,2017-03-30
39,36557.0,36557.0,36557.0,36600.0,0,2017-03-31
40,36557.0,36557.0,36557.0,36600.0,0,2017-04-03
