,Open,High,Low,Close,Volume,TradingDate
0,26079.0,27066.0,22208.0,24290.0,170900,2008-02-18
1,23943.0,23943.0,23943.0,23943.0,117180,2008-02-19
2,25707.0,23943.0,22902.0,22902.0,189040,2008-02-20
3,21861.0,21861.0,21861.0,21861.0,37790,2008-02-21
4,24217.0,22902.0,20820.0,22555.0,72190,2008-02-22
5,23596.0,23596.0,23596.0,23596.0,19870,2008-02-25
6,25334.0,23596.0,22555.0,22555.0,36250,2008-02-26
7,23844.0,23075.0,22034.0,22208.0,11290,2008-02-27
8,24217.0,23249.0,21861.0,21861.0,22500,2008-02-28
9,23476.0,22210.0,21342.0,21342.0,19150,2008-02-29
10,21437.0,20301.0,19794.0,20301.0,36530,2008-03-03
11,19779.0,20126.0,19779.0,19779.0,79970,2008-03-04
12,18913.0,18913.0,18913.0,18913.0,9800,2008-03-05
13,19779.0,19779.0,19779.0,19779.0,20690,2008-03-06
14,22172.0,20648.0,19781.0,20648.0,34500,2008-03-07
15,23099.0,21514.0,20820.0,20820.0,89250,2008-03-10
16,20126.0,20473.0,19952.0,20126.0,68430,2008-03-11
17,20473.0,20820.0,20126.0,20473.0,41870,2008-03-12
18,20820.0,20820.0,20126.0,20820.0,21610,2008-03-13
19,20126.0,20473.0,19779.0,20126.0,46660,2008-03-14
20,21241.0,19781.0,19260.0,19260.0,27380,2008-03-17
21,18391.0,19258.0,18391.0,18391.0,81530,2008-03-18
22,18391.0,20029.0,18391.0,18391.0,75220,2008-03-19
23,19058.0,18937.0,17553.0,17589.0,21090,2008-03-20
24,16715.0,17480.0,16715.0,16715.0,20500,2008-03-21
25,15914.0,16388.0,15914.0,15914.0,68170,2008-03-24
26,15150.0,15222.0,15150.0,15150.0,128790,2008-03-25
27,15129.0,15129.0,15129.0,15129.0,24950,2008-03-26
28,15268.0,15268.0,15268.0,15268.0,10010,2008-03-27
29,15407.0,15407.0,15407.0,15407.0,20,2008-03-28
30,15545.0,15545.0,15545.0,15545.0,30,2008-03-31
31,15684.0,15684.0,15684.0,15684.0,21000,2008-04-01
32,15823.0,15823.0,15823.0,15823.0,10020,2008-04-02
33,15962.0,15962.0,15962.0,15962.0,11920,2008-04-03
34,16101.0,16101.0,16101.0,16101.0,10000,2008-04-04
35,16410.0,16410.0,16410.0,16410.0,224470,2008-04-07
36,16725.0,16725.0,16690.0,16725.0,421720,2008-04-08
37,18293.0,17035.0,16410.0,16410.0,112250,2008-04-09
38,16101.0,16274.0,16101.0,16101.0,29990,2008-04-10
39,15791.0,15791.0,15791.0,15791.0,61560,2008-04-11
