,Open,High,Low,Close,Volume,TradingDate
0,3575.0,0.0,0.0,3300.0,0,2009-12-23
1,3575.0,3596.0,3210.0,3300.0,52000,2010-01-05
2,2604.0,2604.0,2564.0,2600.0,16000,2010-01-11
3,2766.0,2766.0,2766.0,2800.0,24000,2010-01-13
4,2827.0,2827.0,2827.0,2800.0,5000,2010-01-14
5,2847.0,2868.0,2847.0,2800.0,11000,2010-01-26
6,2644.0,2645.0,2547.0,2600.0,12000,2010-01-27
7,2766.0,2766.0,2766.0,2800.0,0,2010-02-05
8,2625.0,2625.0,2524.0,2600.0,7000,2010-03-01
9,2726.0,2726.0,2726.0,2700.0,1000,2010-03-02
10,2766.0,2766.0,2766.0,2800.0,1500,2010-03-03
11,2766.0,2766.0,2766.0,2800.0,20000,2010-03-04
12,2665.0,2665.0,2665.0,2700.0,700,2010-03-05
13,2403.0,2927.0,2403.0,2700.0,2500,2010-03-08
14,2665.0,2665.0,2665.0,2700.0,4000,2010-03-09
15,2806.0,2806.0,2686.0,2700.0,4100,2010-03-10
16,2726.0,2726.0,2706.0,2700.0,3100,2010-03-11
17,2726.0,2766.0,2726.0,2700.0,46100,2010-03-12
18,2807.0,2847.0,2806.0,2800.0,20000,2010-03-15
19,2786.0,2786.0,2766.0,2800.0,5500,2010-03-16
20,2726.0,2745.0,2686.0,2700.0,40900,2010-03-17
21,2766.0,2766.0,2726.0,2700.0,22600,2010-03-18
22,2746.0,3006.0,2706.0,2700.0,26100,2010-03-19
23,2746.0,2746.0,2726.0,2700.0,18600,2010-03-22
24,2644.0,2645.0,2585.0,2600.0,31700,2010-03-23
25,2666.0,2686.0,2665.0,2700.0,4400,2010-03-24
26,2604.0,2604.0,2604.0,2600.0,0,2010-03-26
27,2604.0,2605.0,2584.0,2600.0,25000,2010-03-29
28,2604.0,2625.0,2625.0,2600.0,16000,2010-03-30
29,2604.0,2604.0,2564.0,2600.0,60100,2010-03-31
30,2665.0,2665.0,2665.0,2700.0,5000,2010-04-01
31,2625.0,2625.0,2604.0,2600.0,26000,2010-04-02
32,2584.0,2584.0,2544.0,2600.0,45100,2010-04-05
33,2564.0,2564.0,2564.0,2600.0,0,2010-04-06
34,2564.0,2564.0,2564.0,2600.0,0,2010-04-07
35,2625.0,2665.0,2624.0,2600.0,117500,2010-04-08
36,2726.0,2787.0,2664.0,2700.0,72500,2010-04-09
37,2785.0,2988.0,2785.0,3000.0,252800,2010-04-12
38,3129.0,3129.0,3012.0,3100.0,158490,2010-04-13
39,3029.0,3048.0,2857.0,3000.0,28100,2010-04-14
40,3029.0,3109.0,3009.0,3000.0,30800,2010-04-15
41,2948.0,3028.0,2928.0,3000.0,78830,2010-04-16
42,3271.0,3271.0,3029.0,3100.0,65815,2010-04-19
43,3048.0,3434.0,3048.0,3100.0,71355,2010-04-20
44,3048.0,3048.0,2929.0,3000.0,55200,2010-04-21
45,3306.0,3307.0,2829.0,3000.0,43200,2010-04-22
46,3230.0,3231.0,2928.0,2900.0,85500,2010-04-26
47,2928.0,3008.0,2908.0,2900.0,49650,2010-04-27
48,3065.0,3294.0,3065.0,3200.0,64200,2010-04-28
49,3270.0,3433.0,3229.0,3400.0,310050,2010-04-29
50,3452.0,3695.0,3451.0,3700.0,98600,2010-05-04
51,3978.0,4059.0,3875.0,4000.0,235800,2010-05-05
52,4382.0,4381.0,3753.0,4400.0,136900,2010-05-06
53,4724.0,4743.0,4040.0,4400.0,114590,2010-05-07
54,4355.0,4374.0,3939.0,4000.0,130550,2010-05-10
55,3910.0,4359.0,3577.0,3700.0,107160,2010-05-11
56,3493.0,3677.0,3493.0,3500.0,148060,2010-05-12
57,3215.0,3900.0,3215.0,3800.0,42380,2010-05-13
58,4038.0,4037.0,3716.0,3900.0,9510,2010-05-14
59,3897.0,3897.0,3735.0,3800.0,12612,2010-05-17
60,3168.0,3025.0,2940.0,3200.0,22500,2010-05-18
61,3168.0,3461.0,3146.0,3200.0,25800,2010-05-19
62,3332.0,3412.0,3332.0,3400.0,76110,2010-05-20
63,3170.0,3252.0,3149.0,3200.0,37300,2010-05-21
64,3328.0,3328.0,3050.0,3100.0,40200,2010-05-25
65,3227.0,3495.0,3227.0,3400.0,60500,2010-05-26
66,3353.0,3611.0,3353.0,3400.0,27950,2010-05-27
67,3818.0,3817.0,3553.0,3600.0,61810,2010-05-28
