,Open,High,Low,Close,Volume,TradingDate
0,18752.0,18752.0,18752.0,18752.0,117300,2007-11-12
1,19689.0,19689.0,19689.0,19689.0,19010,2007-11-13
2,20627.0,20627.0,20627.0,20627.0,90660,2007-11-14
3,21563.0,21564.0,20626.0,21564.0,301720,2007-11-15
4,20623.0,21093.0,20507.0,20507.0,146200,2007-11-16
5,19685.0,20390.0,19570.0,19570.0,90660,2007-11-19
6,18869.0,19455.0,18635.0,18869.0,112490,2007-11-20
7,18868.0,18869.0,18049.0,18049.0,131140,2007-11-21
8,18752.0,18869.0,18283.0,18752.0,92390,2007-11-22
9,18750.0,18751.0,18399.0,18399.0,30870,2007-11-23
10,18399.0,18751.0,17930.0,18399.0,53080,2007-11-26
11,18633.0,18634.0,18282.0,18282.0,49800,2007-11-27
12,18282.0,18400.0,18048.0,18165.0,96320,2007-11-28
13,18516.0,18516.0,18282.0,18399.0,55430,2007-11-29
14,18516.0,18517.0,18282.0,18282.0,22870,2007-11-30
15,18282.0,18282.0,18048.0,18282.0,33930,2007-12-03
16,18282.0,18517.0,18282.0,18282.0,35750,2007-12-04
17,17812.0,17812.0,17695.0,17812.0,69110,2007-12-05
18,17578.0,17697.0,17228.0,17228.0,52190,2007-12-06
19,17110.0,17463.0,16877.0,17111.0,55320,2007-12-07
20,17578.0,17579.0,16525.0,16525.0,20550,2007-12-10
21,16407.0,16407.0,15704.0,15704.0,57340,2007-12-11
22,15352.0,16407.0,15235.0,15704.0,40290,2007-12-12
23,15702.0,15703.0,15234.0,15234.0,25530,2007-12-13
24,14884.0,15118.0,14884.0,14884.0,25450,2007-12-14
25,14766.0,15001.0,14180.0,14180.0,29630,2007-12-17
26,13594.0,13830.0,13478.0,13830.0,50720,2007-12-18
27,14414.0,14414.0,14414.0,14414.0,27380,2007-12-19
28,15116.0,15117.0,14531.0,14531.0,100380,2007-12-20
29,15000.0,15235.0,14766.0,15235.0,48740,2007-12-21
30,15938.0,15938.0,15938.0,15938.0,11030,2007-12-24
31,16641.0,16641.0,16641.0,16641.0,10410,2007-12-25
32,17110.0,17110.0,15938.0,16641.0,185620,2007-12-26
33,16170.0,16641.0,16055.0,16055.0,39440,2007-12-27
34,16170.0,16172.0,15937.0,16055.0,20050,2007-12-28
35,15703.0,15939.0,15471.0,15471.0,30550,2008-01-02
36,15000.0,15118.0,14883.0,15001.0,28170,2008-01-03
37,15233.0,15234.0,15000.0,15234.0,28580,2008-01-04
38,15352.0,15352.0,14532.0,15001.0,32660,2008-01-07
39,15233.0,15468.0,14531.0,14531.0,41960,2008-01-08
40,14881.0,14882.0,14414.0,14531.0,26280,2008-01-09
41,14649.0,14649.0,14063.0,14180.0,60200,2008-01-10
42,14530.0,14649.0,14297.0,14297.0,29530,2008-01-11
43,14295.0,14296.0,13710.0,13710.0,30570,2008-01-14
44,13242.0,13361.0,13126.0,13126.0,57450,2008-01-15
45,13710.0,13710.0,13710.0,13710.0,27360,2008-01-16
46,14297.0,14299.0,13713.0,13830.0,103660,2008-01-17
47,14297.0,14297.0,13711.0,14297.0,45350,2008-01-18
48,14297.0,14298.0,13829.0,14063.0,26400,2008-01-21
49,13710.0,13828.0,13593.0,13710.0,53820,2008-01-22
50,13360.0,13477.0,13126.0,13243.0,48690,2008-01-23
51,12773.0,13593.0,12773.0,12773.0,44380,2008-01-24
52,12656.0,13009.0,12541.0,13009.0,47980,2008-01-25
53,12889.0,13007.0,12773.0,12890.0,37070,2008-01-28
54,13477.0,13477.0,12891.0,13477.0,52680,2008-01-29
55,14063.0,14063.0,13829.0,14063.0,111740,2008-01-30
56,13594.0,13594.0,13359.0,13594.0,59490,2008-01-31
57,13946.0,13947.0,13595.0,13830.0,69510,2008-02-01
58,13594.0,13595.0,13243.0,13243.0,70590,2008-02-12
59,12773.0,12890.0,12773.0,12773.0,63960,2008-02-13
60,13009.0,13361.0,12892.0,13009.0,37420,2008-02-14
61,13124.0,13125.0,12656.0,12656.0,39520,2008-02-15
62,12070.0,12187.0,12070.0,12070.0,102230,2008-02-18
63,11718.0,12070.0,11602.0,11836.0,43830,2008-02-19
64,11955.0,11955.0,11252.0,11252.0,54950,2008-02-20
65,10689.0,10689.0,10689.0,10689.0,21710,2008-02-21
66,10171.0,10171.0,10171.0,10171.0,88530,2008-02-22
67,10312.0,10663.0,10312.0,10312.0,107900,2008-02-25
68,10077.0,9961.0,9797.0,9797.0,55640,2008-02-26
69,9330.0,10080.0,9330.0,9330.0,61420,2008-02-27
70,9141.0,9141.0,8884.0,8884.0,50860,2008-02-28
71,8461.0,8579.0,8461.0,8461.0,59860,2008-02-29
72,8039.0,8039.0,8039.0,8039.0,18510,2008-03-03
73,8039.0,8039.0,7641.0,7641.0,510,2008-03-04
74,7267.0,7267.0,7267.0,7267.0,6570,2008-03-05
75,7617.0,7617.0,7617.0,7617.0,66280,2008-03-06
76,7991.0,7991.0,7991.0,7991.0,3760,2008-03-07
77,8390.0,8390.0,7593.0,7593.0,78110,2008-03-10
78,7219.0,7219.0,7219.0,7219.0,48500,2008-03-11
79,6868.0,7454.0,6868.0,6868.0,86020,2008-03-12
80,7126.0,7126.0,6798.0,6868.0,40020,2008-03-13
81,6914.0,6914.0,6609.0,6914.0,24980,2008-03-14
82,6704.0,6704.0,6587.0,6587.0,54600,2008-03-17
83,6258.0,6281.0,6258.0,6258.0,64780,2008-03-18
84,6139.0,6327.0,5952.0,5952.0,84060,2008-03-19
85,5858.0,5882.0,5671.0,5671.0,43950,2008-03-20
86,5671.0,5671.0,5390.0,5390.0,46540,2008-03-21
87,5132.0,5132.0,5132.0,5132.0,3650,2008-03-24
88,4898.0,4898.0,4898.0,4898.0,2110,2008-03-25
89,4665.0,4899.0,4665.0,4665.0,108740,2008-03-26
90,4689.0,4689.0,4689.0,4689.0,21690,2008-03-27
91,4734.0,4734.0,4734.0,4734.0,3510,2008-03-28
92,4782.0,4782.0,4782.0,4782.0,8760,2008-03-31
93,4829.0,4829.0,4829.0,4829.0,7310,2008-04-01
94,4875.0,4875.0,4875.0,4875.0,4000,2008-04-02
95,4922.0,4922.0,4922.0,4922.0,1000,2008-04-03
96,4970.0,4970.0,4970.0,4970.0,610,2008-04-04
97,5063.0,5063.0,5063.0,5063.0,8010,2008-04-07
98,4970.0,5158.0,4970.0,4970.0,111060,2008-04-08
99,5015.0,5015.0,4875.0,4875.0,42780,2008-04-09
100,4782.0,4782.0,4782.0,4782.0,11200,2008-04-10
101,4689.0,4689.0,4689.0,4689.0,1790,2008-04-11
102,4593.0,4593.0,4593.0,4593.0,3940,2008-04-16
103,4665.0,4665.0,4524.0,4665.0,31760,2008-04-17
104,4593.0,4593.0,4593.0,4593.0,20360,2008-04-18
105,4524.0,4524.0,4524.0,4524.0,1360,2008-04-21
106,4452.0,4452.0,4452.0,4452.0,1300,2008-04-22
107,4383.0,4383.0,4383.0,4383.0,730,2008-04-23
108,4312.0,4312.0,4312.0,4312.0,1260,2008-04-24
109,4243.0,4243.0,4243.0,4243.0,28760,2008-04-25
110,4171.0,4288.0,4171.0,4171.0,69380,2008-04-28
111,4219.0,4243.0,4102.0,4102.0,52420,2008-04-29
112,4053.0,4054.0,4030.0,4030.0,10520,2008-05-05
113,3961.0,3961.0,3961.0,3961.0,370,2008-05-06
114,3890.0,3890.0,3890.0,3890.0,220,2008-05-07
115,3867.0,3867.0,3821.0,3821.0,410,2008-05-08
116,3751.0,3751.0,3751.0,3751.0,3950,2008-05-09
117,3680.0,3680.0,3680.0,3680.0,1040,2008-05-12
118,3611.0,3611.0,3611.0,3611.0,1740,2008-05-13
119,3609.0,3609.0,3539.0,3539.0,1530,2008-05-14
120,3470.0,3470.0,3470.0,3470.0,3230,2008-05-15
121,3422.0,3422.0,3422.0,3422.0,16720,2008-05-16
122,3374.0,3374.0,3374.0,3374.0,750,2008-05-19
123,3329.0,3329.0,3329.0,3329.0,1970,2008-05-20
124,3282.0,3282.0,3282.0,3282.0,500,2008-05-21
125,3234.0,3234.0,3234.0,3234.0,880,2008-05-22
126,3235.0,3236.0,3189.0,3189.0,1120,2008-05-23
127,3141.0,3141.0,3141.0,3141.0,1450,2008-05-26
128,3141.0,3141.0,3141.0,3141.0,38070,2008-05-30
129,3141.0,3141.0,3141.0,3141.0,32480,2008-06-02
130,3000.0,3000.0,3000.0,3000.0,42540,2008-06-03
131,2947.0,2947.0,2947.0,2947.0,1580,2008-06-04
132,2894.0,2894.0,2894.0,2894.0,7120,2008-06-05
133,2894.0,2894.0,2841.0,2841.0,8330,2008-06-06
134,2788.0,2788.0,2788.0,2788.0,8530,2008-06-09
135,2735.0,2735.0,2735.0,2735.0,6770,2008-06-10
136,2788.0,2788.0,2682.0,2788.0,53010,2008-06-11
137,2841.0,2841.0,2814.0,2841.0,44390,2008-06-12
138,2894.0,2894.0,2894.0,2894.0,640,2008-06-13
139,2947.0,2947.0,2947.0,2947.0,10000,2008-06-16
140,3000.0,3000.0,3000.0,3000.0,6100,2008-06-17
141,3053.0,3053.0,2947.0,2947.0,104100,2008-06-18
142,2867.0,2867.0,2867.0,2867.0,23510,2008-06-19
143,2920.0,2947.0,2788.0,2920.0,36460,2008-06-20
144,3000.0,3000.0,2920.0,3000.0,43170,2008-06-23
145,3080.0,3080.0,3080.0,3080.0,17660,2008-06-24
146,3159.0,3159.0,3159.0,3159.0,12660,2008-06-25
147,3239.0,3239.0,3080.0,3080.0,60830,2008-06-26
148,3159.0,3159.0,3000.0,3159.0,35950,2008-06-27
149,3159.0,3239.0,3106.0,3239.0,19550,2008-06-30
150,3319.0,3319.0,3319.0,3319.0,32090,2008-07-01
151,3398.0,3398.0,3398.0,3398.0,24070,2008-07-02
152,3478.0,3478.0,3478.0,3478.0,3710,2008-07-03
153,3558.0,3558.0,3558.0,3558.0,19560,2008-07-04
154,3664.0,3664.0,3451.0,3451.0,86440,2008-07-07
155,3372.0,3372.0,3372.0,3372.0,48970,2008-07-08
156,3451.0,3451.0,3372.0,3451.0,59890,2008-07-09
157,3531.0,3531.0,3451.0,3531.0,65820,2008-07-10
158,3611.0,3611.0,3611.0,3611.0,12390,2008-07-11
159,3717.0,3717.0,3717.0,3717.0,5160,2008-07-14
160,3823.0,3823.0,3823.0,3823.0,5710,2008-07-15
161,3929.0,3929.0,3717.0,3929.0,132430,2008-07-16
162,4036.0,4036.0,4036.0,4036.0,23010,2008-07-17
163,3982.0,4062.0,3929.0,3982.0,58370,2008-07-18
164,3876.0,3876.0,3876.0,3876.0,5920,2008-07-21
165,3770.0,3770.0,3770.0,3770.0,310,2008-07-22
166,3770.0,3770.0,3664.0,3664.0,220,2008-07-23
167,3558.0,3558.0,3558.0,3558.0,3910,2008-07-24
168,3451.0,3451.0,3451.0,3451.0,1950,2008-07-25
169,3451.0,3531.0,3372.0,3451.0,67930,2008-07-28
170,3531.0,3531.0,3505.0,3531.0,52700,2008-07-29
171,3531.0,3531.0,3451.0,3451.0,21960,2008-07-30
172,3372.0,3372.0,3372.0,3372.0,8580,2008-07-31
173,3318.0,3319.0,3292.0,3292.0,1250,2008-08-01
174,3213.0,3213.0,3213.0,3213.0,2210,2008-08-04
175,3133.0,3133.0,3133.0,3133.0,8600,2008-08-05
176,3053.0,3186.0,3053.0,3053.0,59980,2008-08-06
177,3133.0,3133.0,3000.0,3000.0,40240,2008-08-07
178,3079.0,3080.0,3000.0,3080.0,27690,2008-08-08
